energy_ev,total_up,Hf_p_up,Hf_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,1.66518427,1.13730837,0.65421931,0.32588917,0.00347058,1.01747621,0.00000000
-5.99399700,1.66283908,1.13265892,0.65246022,0.32161007,0.00347911,1.01863318,0.00000000
-5.98799400,1.65290322,1.12240221,0.64764698,0.31532695,0.00347158,1.01550663,0.00000000
-5.98199100,1.63544103,1.10664573,0.63982041,0.30713905,0.00344804,1.00807882,0.00000000
-5.97598799,1.61068442,1.08562286,0.62908820,0.29718802,0.00340889,0.99642694,0.00000000
-5.96998499,1.57901384,1.05967757,0.61561727,0.28565213,0.00335485,0.98071306,0.00000000
-5.96398199,1.54093584,1.02924646,0.59962478,0.27273942,0.00328693,0.96117231,0.00000000
-5.95797899,1.49705871,0.99483933,0.58136817,0.25868015,0.00320632,0.93809998,0.00000000
-5.95197599,1.44806717,0.95701901,0.56113492,0.24371884,0.00311441,0.91183824,0.00000000
-5.94597299,1.39469767,0.91638164,0.53923238,0.22810645,0.00301269,0.88276329,0.00000000
-5.93996998,1.33771513,0.87353801,0.51597826,0.21209266,0.00290272,0.85127330,0.00000000
-5.93396698,1.27789219,0.82909678,0.49169210,0.19591901,0.00278609,0.81777781,0.00000000
-5.92796398,1.21599138,0.78365004,0.46668789,0.17981271,0.00266440,0.78268875,0.00000000
-5.92196098,1.15275083,0.73776161,0.44126826,0.16398166,0.00253920,0.74641328,0.00000000
-5.91595798,1.08887345,0.69195811,0.41571998,0.14861049,0.00241200,0.70934849,0.00000000
-5.90995498,1.02501957,0.64672293,0.39031103,0.13385795,0.00228422,0.67187783,0.00000000
-5.90395198,0.96180269,0.60249274,0.36528901,0.11985547,0.00215724,0.63436898,0.00000000
-5.89794897,0.89978796,0.55965643,0.34088067,0.10670678,0.00203233,0.59717303,0.00000000
-5.89194597,0.83949269,0.51855592,0.31729240,0.09448867,0.00191070,0.56062447,0.00000000
-5.88594297,0.78138847,0.47948848,0.29471146,0.08325254,0.00179347,0.52504182,0.00000000
-5.87993997,0.72590425,0.44271009,0.27330762,0.07302668,0.00168168,0.49072838,0.00000000
-5.87393697,0.67342974,0.40843947,0.25323510,0.06381899,0.00157632,0.45797308,0.00000000
-5.86793397,0.62431892,0.37686225,0.23463443,0.05562015,0.00147827,0.42705101,0.00000000
-5.86193097,0.57889308,0.34813515,0.21763422,0.04840675,0.00138835,0.39822362,0.00000000
-5.85592796,0.53744332,0.32238984,0.20235274,0.04214455,0.00130731,0.37173848,0.00000000
-5.84992496,0.50023231,0.29973630,0.18889901,0.03679148,0.00123583,0.34782868,0.00000000
-5.84392196,0.46749549,0.28026573,0.17737365,0.03230049,0.00117449,0.32671175,0.00000000
-5.83791896,0.43944152,0.26405297,0.16786937,0.02862190,0.00112379,0.30858855,0.00000000
-5.83191596,0.41625240,0.25115852,0.16047106,0.02570551,0.00108417,0.29364197,0.00000000
-5.82591296,0.39808343,0.24163021,0.15525575,0.02350222,0.00105594,0.28203579,0.00000000
-5.81990995,0.38506305,0.23550491,0.15229234,0.02196520,0.00103938,0.27391376,0.00000000
-5.81390695,0.37729310,0.23281012,0.15164130,0.02105075,0.00103465,0.26939925,0.00000000
-5.80790395,0.37484942,0.23356590,0.15335435,0.02071872,0.00104186,0.26859526,0.00000000
-5.80190095,0.37778312,0.23778712,0.15747423,0.02093263,0.00106106,0.27158526,0.00000000
-5.79589795,0.38612253,0.24548607,0.16403466,0.02165952,0.00109225,0.27843458,0.00000000
-5.78989495,0.39987593,0.25667569,0.17306046,0.02286960,0.00113540,0.28919246,0.00000000
-5.78389195,0.41903487,0.27137312,0.18456780,0.02453574,0.00119051,0.30389472,0.00000000
-5.77788894,0.44357819,0.28960373,0.19856476,0.02663278,0.00125756,0.32256684,0.00000000
-5.77188594,0.47347622,0.31140519,0.21505190,0.02913692,0.00133662,0.34522721,0.00000000
-5.76588294,0.50869511,0.33683159,0.23402289,0.03202493,0.00142781,0.37189046,0.00000000
-5.75987994,0.54920085,0.36595711,0.25546517,0.03527351,0.00153133,0.40257039,0.00000000
-5.75387694,0.59496260,0.39887891,0.27936037,0.03885863,0.00164753,0.43728237,0.00000000
-5.74787394,0.64595485,0.43571889,0.30568440,0.04275498,0.00177684,0.47604467,0.00000000
-5.74187094,0.70215803,0.47662375,0.33440715,0.04693547,0.00191985,0.51887859,0.00000000
-5.73586793,0.76355726,0.52176307,0.36549156,0.05137087,0.00207725,0.56580697,0.00000000
-5.72986493,0.83013862,0.57132491,0.39889199,0.05602957,0.00224985,0.61685079,0.00000000
-5.72386193,0.90188307,0.62550867,0.43455181,0.06087741,0.00243851,0.67202388,0.00000000
-5.71785893,0.97875757,0.68451512,0.47240019,0.06587770,0.00264413,0.73132544,0.00000000
-5.71185593,1.06070364,0.74853333,0.51234806,0.07099125,0.00286760,0.79473060,0.00000000
-5.70585293,1.14762354,0.81772496,0.55428343,0.07617667,0.00310968,0.86217911,0.00000000
-5.69984992,1.23936449,0.89220595,0.59806612,0.08139061,0.00337098,0.93356272,0.00000000
-5.69384692,1.33570154,0.97202647,0.64352225,0.08658821,0.00365185,1.00871146,0.00000000
-5.68784392,1.43632005,1.05714971,0.69043882,0.09172361,0.00395229,1.08737983,0.00000000
-5.68184092,1.54079861,1.14743055,0.73855861,0.09675054,0.00427188,1.16923351,0.00000000
-5.67583792,1.64859370,1.24259532,0.78757606,0.10162295,0.00460966,1.25383753,0.00000000
-5.66983492,1.75902717,1.34222384,0.83713440,0.10629575,0.00496411,1.34064686,0.00000000
-5.66383192,1.87127785,1.44573500,0.88682446,0.11072549,0.00533304,1.42900042,0.00000000
-5.65782891,1.98437831,1.55237722,0.93618579,0.11487118,0.00571359,1.51811925,0.00000000
-5.65182591,2.09721787,1.66122493,0.98471005,0.11869497,0.00610220,1.60710970,0.00000000
-5.64582291,2.20855234,1.77118188,1.03184721,0.12216288,0.00649464,1.69497211,0.00000000
-5.63981991,2.31702124,1.88099214,1.07701445,0.12524547,0.00688606,1.78061523,0.00000000
-5.63381691,2.42117211,1.98925884,1.11960774,0.12791837,0.00727105,1.86287647,0.00000000
-5.62781391,2.51949182,2.09447078,1.15901590,0.13016284,0.00764377,1.94054745,0.00000000
-5.62181091,2.61044394,2.19503617,1.19463664,0.13196605,0.00799806,2.01240429,0.00000000
-5.61580790,2.69251081,2.28932264,1.22589409,0.13332138,0.00832767,2.07724158,0.00000000
-5.60980490,2.76423898,2.37570213,1.25225704,0.13422850,0.00862634,2.13390866,0.00000000
-5.60380190,2.82428582,2.45259884,1.27325723,0.13469335,0.00888809,2.18134682,0.00000000
-5.59779890,2.87146539,2.51853836,1.28850655,0.13472789,0.00910733,2.21862554,0.00000000
-5.59179590,2.90479127,2.57219576,1.29771259,0.13434986,0.00927911,2.24497630,0.00000000
-5.58579290,2.92351439,2.61244048,1.30069151,0.13358223,0.00939927,2.25982199,0.00000000
-5.57978989,2.92715365,2.63837588,1.29737744,0.13245269,0.00946457,2.26280058,0.00000000
-5.57378689,2.91551792,2.64937161,1.28782804,0.13099292,0.00947286,2.25378175,0.00000000
-5.56778389,2.88871796,2.64508712,1.27222559,0.12923785,0.00942311,2.23287543,0.00000000
-5.56178089,2.84716768,2.62548535,1.25087352,0.12722478,0.00931549,2.20043167,0.00000000
-5.55577789,2.79157430,2.59083573,1.22418838,0.12499255,0.00915137,2.15703191,0.00000000
-5.54977489,2.72291795,2.54170651,1.19268753,0.12258057,0.00893326,2.10347170,0.00000000
-5.54377189,2.64242143,2.47894675,1.15697308,0.12002795,0.00866474,2.04073576,0.00000000
-5.53776888,2.55151157,2.40365885,1.11771273,0.11737256,0.00835036,1.96996650,0.00000000
-5.53176588,2.45177399,2.31716309,1.07561837,0.11465024,0.00799548,1.89242746,0.00000000
-5.52576288,2.34490328,2.22095578,1.03142344,0.11189392,0.00760609,1.80946332,0.00000000
-5.51975988,2.23265100,2.11666298,0.98586010,0.10913301,0.00718865,1.72245837,0.00000000
-5.51375688,2.11677370,2.00599210,0.93963717,0.10639271,0.00674986,1.63279524,0.00000000
-5.50775388,1.99898345,1.89068326,0.89341986,0.10369366,0.00629652,1.54181586,0.00000000
-5.50175088,1.88090266,1.77246271,0.84781219,0.10105154,0.00583529,1.45078608,0.00000000
-5.49574787,1.76402534,1.65299999,0.80334274,0.09847702,0.00537257,1.36086551,0.00000000
-5.48974487,1.64968594,1.53387049,0.76045440,0.09597582,0.00491435,1.27308363,0.00000000
-5.48374187,1.53903682,1.41652465,0.71949826,0.09354900,0.00446604,1.18832280,0.00000000
-5.47773887,1.43303494,1.30226464,0.68073194,0.09119348,0.00403244,1.10730880,0.00000000
-5.47173587,1.33243775,1.19222887,0.64432210,0.08890279,0.00361767,1.03060853,0.00000000
-5.46573287,1.23780790,1.08738454,0.61035096,0.08666800,0.00322511,0.95863484,0.00000000
-5.45972986,1.14952598,0.98852773,0.57882624,0.08447889,0.00285740,0.89165760,0.00000000
-5.45372686,1.06781029,0.89629056,0.54969404,0.08232527,0.00251649,0.82982026,0.00000000
-5.44772386,0.99274212,0.81115439,0.52285373,0.08019845,0.00220369,0.77316068,0.00000000
-5.44172086,0.92429523,0.73346801,0.49817441,0.07809286,0.00191968,0.72163501,0.00000000
-5.43571786,0.86236783,0.66346960,0.47551173,0.07600762,0.00166464,0.67514346,0.00000000
-5.42971486,0.80681555,0.60131126,0.45472477,0.07394825,0.00143831,0.63355660,0.00000000
-5.42371186,0.75748390,0.54708461,0.43569181,0.07192826,0.00124009,0.59674096,0.00000000
-5.41770885,0.71423888,0.50084647,0.41832480,0.06997066,0.00106913,0.56458304,0.00000000
-5.41170585,0.67699451,0.46264333,0.40258160,0.06810933,0.00092441,0.53701058,0.00000000
-5.40570285,0.64573637,0.43253367,0.38847599,0.06639025,0.00080483,0.51401050,0.00000000
-5.39969985,0.62054042,0.41060718,0.37608479,0.06487240,0.00070931,0.49564288,0.00000000
-5.39369685,0.60158641,0.39700020,0.36555225,0.06362846,0.00063678,0.48205055,0.00000000
-5.38769385,0.58916569,0.39190681,0.35709137,0.06274516,0.00058633,0.47346408,0.00000000
-5.38169085,0.58368322,0.39558509,0.35098238,0.06232327,0.00055717,0.47020219,0.00000000
-5.37568784,0.58565370,0.40835830,0.34756841,0.06247724,0.00054870,0.47266735,0.00000000
-5.36968484,0.59569205,0.43061089,0.34724845,0.06333434,0.00056050,0.48133713,0.00000000
-5.36368184,0.61449844,0.46277919,0.35046795,0.06503345,0.00059234,0.49675112,0.00000000
-5.35767884,0.64283816,0.50533703,0.35770711,0.06772332,0.00064416,0.51949410,0.00000000
-5.35167584,0.68151683,0.55877657,0.36946723,0.07156028,0.00071607,0.55017565,0.00000000
-5.34567284,0.73135143,0.62358459,0.38625539,0.07670553,0.00080825,0.58940667,0.00000000
-5.33966983,0.79313773,0.70021500,0.40856771,0.08332183,0.00092100,0.63777346,0.00000000
-5.33366683,0.86761478,0.78905816,0.43687139,0.09156968,0.00105458,0.69580978,0.00000000
-5.32766383,0.95542736,0.89040792,0.47158617,0.10160306,0.00120922,0.76396768,0.00000000
-5.32166083,1.05708730,1.00442749,0.51306521,0.11356466,0.00138504,0.84258787,0.00000000
-5.31565783,1.17293463,1.13111526,0.56157616,0.12758079,0.00158196,0.93187036,0.00000000
-5.30965483,1.30309997,1.27027203,0.61728270,0.14375600,0.00179965,1.03184649,0.00000000
-5.30365183,1.44746926,1.42147095,0.68022725,0.16216759,0.00203748,1.14235320,0.00000000
-5.29764882,1.60565250,1.58403187,0.75031532,0.18286016,0.00229444,1.26301080,0.00000000
-5.29164582,1.77695779,1.75700151,0.82730238,0.20584042,0.00256908,1.39320524,0.00000000
-5.28564282,1.96037235,1.93914088,0.91078368,0.23107241,0.00285953,1.53207606,0.00000000
-5.27963982,2.15455180,2.12892141,1.00018797,0.25847342,0.00316342,1.67851108,0.00000000
-5.27363682,2.35781915,2.32453073,1.09477560,0.28791089,0.00347791,1.83114863,0.00000000
-5.26763382,2.56817446,2.52388894,1.19364165,0.31920039,0.00379970,1.98838829,0.00000000
-5.26163082,2.78331591,2.72467572,1.29572449,0.35210497,0.00412506,2.14841035,0.00000000
-5.25562781,3.00067277,2.92436833,1.39982012,0.38633608,0.00444991,2.30920437,0.00000000
-5.24962481,3.21744998,3.12028980,1.50460228,0.42155608,0.00476984,2.46860650,0.00000000
-5.24362181,3.43068372,3.30966628,1.60864822,0.45738254,0.00508028,2.62434497,0.00000000
-5.23761881,3.63730694,3.48969210,1.71046965,0.49339417,0.00537653,2.77409278,0.00000000
-5.23161581,3.83422287,3.65760034,1.80854814,0.52913844,0.00565394,2.91552615,0.00000000
-5.22561281,4.01838462,3.81073659,1.90137405,0.56414064,0.00590801,3.04638679,0.00000000
-5.21960980,4.18687786,3.94663324,1.98748778,0.59791420,0.00613453,3.16454612,0.00000000
-5.21360680,4.33700395,4.06308120,2.06552178,0.62997195,0.00632968,3.26806884,0.00000000
-5.20760380,4.46636019,4.15819646,2.13424198,0.65983797,0.00649020,3.35527361,0.00000000
-5.20160080,4.57291402,4.23047844,2.19258689,0.68705961,0.00661343,3.42478817,0.00000000
-5.19559780,4.65506815,4.27885774,2.23970267,0.71121928,0.00669747,3.47559662,0.00000000
-5.18959480,4.71171375,4.30273112,2.27497286,0.73194562,0.00674120,3.50707676,0.00000000
-5.18359180,4.74226930,4.30198214,2.29804125,0.74892351,0.00674431,3.51902565,0.00000000
-5.17758879,4.74670337,4.27698649,2.30882667,0.76190270,0.00670737,3.51167207,0.00000000
-5.17158579,4.72553993,4.22860155,2.30752921,0.77070460,0.00663178,3.48567510,0.00000000
-5.16558279,4.67984596,4.15814070,2.29462700,0.77522707,0.00651972,3.44210857,0.00000000
-5.15957979,4.61120142,4.06733332,2.27086384,0.77544691,0.00637412,3.38243175,0.00000000
-5.15357679,4.52165276,3.95827200,2.23722766,0.77142016,0.00619856,3.30844727,0.00000000
-5.14757379,4.41365151,3.83334933,2.19492086,0.76327995,0.00599712,3.22224767,0.00000000
-5.14157079,4.28998048,3.69518659,2.14532318,0.75123226,0.00577434,3.12615270,0.00000000
-5.13556778,4.15367016,3.54655729,2.08994893,0.73554954,0.00553499,3.02263955,0.00000000
-5.12956478,4.00790868,3.39030846,2.03039973,0.71656263,0.00528403,2.91426877,0.00000000
-5.12356178,3.85594864,3.22928273,1.96831495,0.69465122,0.00502637,2.80360859,0.00000000
