energy_ev,total_up,Pb_p_up,Pb_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,0.18278113,0.08258585,0.00000028,0.12742048,0.10172161,0.00002135,0.00966709
-5.99399700,0.19375509,0.08754277,0.00000038,0.13503090,0.10784226,0.00002262,0.01024822
-5.98799400,0.20397882,0.09216012,0.00000051,0.14210268,0.11355066,0.00002378,0.01078998
-5.98199100,0.21328757,0.09636329,0.00000068,0.14851676,0.11875656,0.00002483,0.01128373
-5.97598799,0.22153543,0.10008615,0.00000090,0.15416630,0.12338048,0.00002574,0.01172185
-5.96998499,0.22860183,0.10327393,0.00000119,0.15896109,0.12735741,0.00002649,0.01209811
-5.96398199,0.23439758,0.10588599,0.00000156,0.16283164,0.13064016,0.00002708,0.01240794
-5.95797899,0.23887013,0.10789818,0.00000203,0.16573269,0.13320244,0.00002749,0.01264876
-5.95197599,0.24200795,0.10930476,0.00000263,0.16764614,0.13504121,0.00002771,0.01282019
-5.94597299,0.24384357,0.11011977,0.00000338,0.16858305,0.13617853,0.00002774,0.01292424
-5.93996998,0.24445534,0.11037784,0.00000433,0.16858477,0.13666251,0.00002759,0.01296539
-5.93396698,0.24396764,0.11013419,0.00000550,0.16772306,0.13656745,0.00002726,0.01295063
-5.92796398,0.24254956,0.10946402,0.00000696,0.16609908,0.13599315,0.00002677,0.01288939
-5.92196098,0.24041200,0.10846120,0.00000874,0.16384149,0.13506325,0.00002613,0.01279339
-5.91595798,0.23780335,0.10723619,0.00001093,0.16110350,0.13392285,0.00002536,0.01267644
-5.90995498,0.23500381,0.10591345,0.00001358,0.15805908,0.13273522,0.00002450,0.01255417
-5.90395198,0.23231852,0.10462830,0.00001680,0.15489845,0.13167799,0.00002355,0.01244364
-5.89794897,0.23006986,0.10352328,0.00002066,0.15182301,0.13093873,0.00002257,0.01236298
-5.89194597,0.22858904,0.10274435,0.00002530,0.14903994,0.13071012,0.00002159,0.01233098
-5.88594297,0.22820741,0.10243676,0.00003082,0.14675657,0.13118504,0.00002063,0.01236661
-5.87993997,0.22924766,0.10274105,0.00003738,0.14517483,0.13255146,0.00001975,0.01248861
