energy_ev,total_up,In_p_up,In_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,5.95905106,0.19044077,0.00932399,2.32500507,3.44942541,0.01454167,3.79509191
-5.99399700,5.69455551,0.17349052,0.00876121,2.21373514,3.33970152,0.01329011,3.65668083
-5.98799400,5.42661138,0.15776472,0.00821819,2.10216854,3.22126046,0.01212615,3.51070205
-5.98199100,5.15751054,0.14333739,0.00769878,1.99129409,3.09531084,0.01105085,3.35855649
-5.97598799,4.88965320,0.13025810,0.00720646,1.88210942,2.96328051,0.01006402,3.20182150
-5.96998499,4.62552556,0.11855432,0.00674427,1.77561337,2.82679086,0.00916446,3.04222723
-5.96398199,4.36766716,0.10823368,0.00631491,1.67279543,2.68762231,0.00835021,2.88162486
-5.95797899,4.11862875,0.09928632,0.00592067,1.57462232,2.54767250,0.00761868,2.72194794
-5.95197599,3.88092261,0.09168699,0.00556347,1.48202229,2.40890895,0.00696684,2.56516865
-5.94597299,3.65696740,0.08539692,0.00524479,1.39586760,2.27331852,0.00639136,2.41325087
-5.93996998,3.44903050,0.08036544,0.00496569,1.31695632,2.14285580,0.00588863,2.26810227
-5.93396698,3.25917050,0.07653128,0.00472675,1.24599411,2.01939288,0.00545486,2.13152754
-5.92796398,3.08918299,0.07382364,0.00452806,1.18357713,1.90467243,0.00508607,2.00518480
-5.92196098,2.94055236,0.07216307,0.00436915,1.13017691,1.80026604,0.00477812,1.89054707
-5.91595798,2.81441197,0.07146222,0.00424901,1.08612806,1.70753920,0.00452672,1.78887017
-5.90995498,2.71151467,0.07162649,0.00416604,1.05161942,1.62762406,0.00432738,1.70116811
-5.90395198,2.63221499,0.07255482,0.00411808,1.02668929,1.56140038,0.00417545,1.62819663
-5.89794897,2.57646371,0.07414052,0.00410243,1.01122476,1.50948481,0.00406613,1.57044497
-5.89194597,2.54381478,0.07627231,0.00411586,1.00496544,1.47222826,0.00399446,1.52813558
-5.88594297,2.53344409,0.07883563,0.00415469,1.00751122,1.44972048,0.00395541,1.50123115
-5.87993997,2.54417885,0.08171416,0.00421488,1.01833378,1.44180094,0.00394390,1.48944798
-5.87393697,2.57453609,0.08479168,0.00429209,1.03679128,1.44807480,0.00395494,1.49227447
-5.86793397,2.62276822,0.08795413,0.00438181,1.06214556,1.46793272,0.00398370,1.50899359
-5.86193097,2.68691366,0.09109192,0.00447950,1.09358115,1.50057315,0.00402562,1.53870783
-5.85592796,2.76485027,0.09410235,0.00458069,1.13022523,1.54502592,0.00407659,1.58036553
-5.84992496,2.85434950,0.09689212,0.00468110,1.17116796,1.60017625,0.00413306,1.63278762
-5.84392196,2.95312933,0.09937977,0.00477680,1.21548228,1.66478821,0.00419216,1.69469361
-5.83791896,3.05890446,0.10149800,0.00486429,1.26224286,1.73752728,0.00425190,1.76472663
-5.83191596,3.16943229,0.10319573,0.00494064,1.31054356,1.81698164,0.00431122,1.84147675
-5.82591296,3.28255404,0.10443983,0.00500352,1.35951316,1.90168231,0.00437018,1.92350289
-5.81990995,3.39623025,0.10521634,0.00505132,1.40832928,1.99012222,0.00442995,2.00935307
-5.81390695,3.50857068,0.10553128,0.00508313,1.45623028,2.08077482,0.00449294,2.09758354
-5.80790395,3.61785873,0.10541080,0.00509881,1.50252543,2.17211237,0.00456277,2.18677700
