energy_ev,total_up,Pb_p_up,Pb_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,4.25452957,0.01056589,0.00082212,0.52587805,2.87626294,0.10066570,0.95967185
-5.99399700,4.54268041,0.01101720,0.00085607,0.56482920,3.07763133,0.09975808,1.03239378
-5.98799400,4.82165539,0.01142614,0.00088556,0.60276039,3.27276342,0.09909526,1.10395298
-5.98199100,5.08683117,0.01178142,0.00091001,0.63906891,3.45853932,0.09850473,1.17325513
-5.97598799,5.33365702,0.01207333,0.00092894,0.67315034,3.63186632,0.09783920,1.23918875
-5.96998499,5.55776351,0.01229392,0.00094196,0.70441399,3.78975451,0.09697733,1.30065037
-5.96398199,5.75507276,0.01243710,0.00094883,0.73229879,3.92939426,0.09582389,1.35657152
-5.95797899,5.92190617,0.01249874,0.00094941,0.75628922,4.04823249,0.09430914,1.40594660
-5.95197599,6.05508526,0.01247669,0.00094370,0.77593045,4.14404473,0.09238776,1.44786038
-5.94597299,6.15202123,0.01237078,0.00093183,0.79084212,4.21499978,0.09003720,1.48151427
-5.93996998,6.21078954,0.01218274,0.00091406,0.80073015,4.25971434,0.08725564,1.50624996
-5.93396698,6.23018605,0.01191614,0.00089074,0.80539611,4.27729509,0.08405950,1.52156965
-5.92796398,6.20976212,0.01157615,0.00086235,0.80474349,4.26736628,0.08048078,1.52715170
-5.92196098,6.14983701,0.01116939,0.00082942,0.79878092,4.23008144,0.07656413,1.52286119
-5.91595798,6.05148674,0.01070365,0.00079259,0.78762187,4.16611877,0.07236392,1.50875463
-5.90995498,5.91650980,0.01018764,0.00075250,0.77148099,4.07666011,0.06794127,1.48507875
-5.90395198,5.74737101,0.00963070,0.00070985,0.75066719,3.96335439,0.06336119,1.45226317
-5.89794897,5.54712567,0.00904250,0.00066533,0.72557386,3.82826707,0.05868992,1.41090739
-5.89194597,5.31932732,0.00843279,0.00061963,0.69666644,3.67381760,0.05399256,1.36176251
-5.88594297,5.06792260,0.00781106,0.00057341,0.66446811,3.50270755,0.04933099,1.30570844
-5.87993997,4.79713769,0.00718639,0.00052729,0.62954413,3.31784235,0.04476211,1.24372765
-5.87393697,4.51136064,0.00656719,0.00048183,0.59248538,3.12224973,0.04033656,1.17687642
-5.86793397,4.21502411,0.00596104,0.00043754,0.55389192,2.91899795,0.03609774,1.10625482
-5.86193097,3.91249285,0.00537459,0.00039484,0.51435710,2.71111713,0.03208123,1.03297665
-5.85592796,3.60795981,0.00481343,0.00035410,0.47445284,2.50152605,0.02831462,0.95814041
-5.84992496,3.30535412,0.00428211,0.00031560,0.43471652,2.29296717,0.02481756,0.88280240
-5.84392196,3.00826359,0.00378408,0.00027955,0.39563993,2.08795154,0.02160213,0.80795282
-5.83791896,2.71987362,0.00332177,0.00024610,0.35766054,1.88871499,0.01867347,0.73449558
