energy_ev,total_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,0.94874103,0.08235027,0.00004566,0.62148981,0.00000000,0.36252864,0.27330373
-5.99399700,0.93989409,0.08151897,0.00004575,0.61577997,0.00000000,0.35929262,0.27091421
-5.98799400,0.92571864,0.08018185,0.00004614,0.60662446,0.00000000,0.35412000,0.26700483
-5.98199100,0.90676697,0.07838349,0.00004686,0.59438970,0.00000000,0.34722949,0.26174361
-5.97598799,0.88374918,0.07618074,0.00004800,0.57954690,0.00000000,0.33890336,0.25534440
-5.96998499,0.85751612,0.07364131,0.00004967,0.56266092,0.00000000,0.32948082,0.24806207
-5.96398199,0.82903856,0.07084193,0.00005199,0.54437656,0.00000000,0.31935001,0.24018664
-5.95797899,0.79938311,0.06786645,0.00005510,0.52540278,0.00000000,0.30893855,0.23203639
-5.95197599,0.76968573,0.06480353,0.00005916,0.50649515,0.00000000,0.29870323,0.22395022
-5.94597299,0.74112344,0.06174444,0.00006436,0.48843725,0.00000000,0.28911883,0.21627947
-5.93996998,0.71488513,0.05878066,0.00007088,0.47202125,0.00000000,0.28066643,0.20937936
-5.93396698,0.69214192,0.05600163,0.00007891,0.45802825,0.00000000,0.27382158,0.20360024
-5.92796398,0.67401788,0.05349252,0.00008865,0.44720869,0.00000000,0.26904217,0.19927888
-5.92196098,0.66156146,0.05133220,0.00010028,0.44026316,0.00000000,0.26675672,0.19672986
-5.91595798,0.65571813,0.04959127,0.00011397,0.43782399,0.00000000,0.26735272,0.19623727
-5.90995498,0.65730472,0.04833048,0.00012989,0.44043779,0.00000000,0.27116562,0.19804677
-5.90395198,0.66698572,0.04759916,0.00014814,0.44854929,0.00000000,0.27846843,0.20235823
-5.89794897,0.68525202,0.04743408,0.00016883,0.46248668,0.00000000,0.28946213,0.20931900
-5.89194597,0.71240240,0.04785844,0.00019200,0.48244880,0.00000000,0.30426716,0.21901796
-5.88594297,0.74852838,0.04888117,0.00021764,0.50849449,0.00000000,0.32291619,0.23148056
-5.87993997,0.79350271,0.05049655,0.00024569,0.54053444,0.00000000,0.34534846,0.24666495
-5.87393697,0.84697229,0.05268400,0.00027600,0.57832598,0.00000000,0.37140591,0.26445946
-5.86793397,0.90835586,0.05540833,0.00030840,0.62147116,0.00000000,0.40083144,0.28468156
-5.86193097,0.97684719,0.05862021,0.00034259,0.66941859,0.00000000,0.43326966,0.30707857
-5.85592796,1.05142413,0.06225697,0.00037825,0.72146933,0.00000000,0.46827023,0.33133019
-5.84992496,1.13086405,0.06624385,0.00041494,0.77678716,0.00000000,0.50529410,0.35705309
-5.84392196,1.21376563,0.07049543,0.00045221,0.83441337,0.00000000,0.54372276,0.38380758
-5.83791896,1.29857728,0.07491755,0.00048952,0.89328596,0.00000000,0.58287045,0.41110624
-5.83191596,1.38363153,0.07940943,0.00052628,0.95226318,0.00000000,0.62199923,0.43842471
-5.82591296,1.46718510,0.08386614,0.00056190,1.01015098,0.00000000,0.66033666,0.46521407
-5.81990995,1.54746342,0.08818122,0.00059575,1.06573347,0.00000000,0.69709557,0.49091484
-5.81390695,1.62270847,0.09224953,0.00062721,1.11780589,0.00000000,0.73149549,0.51497190
-5.80790395,1.69122838,0.09597008,0.00065569,1.16520870,0.00000000,0.76278483,0.53685009
-5.80190095,1.75144700,0.09924885,0.00068061,1.20686175,0.00000000,0.79026324,0.55604973
-5.79589795,1.80195157,0.10200157,0.00070149,1.24179713,0.00000000,0.81330312,0.57212155
-5.78989495,1.84153650,0.10415608,0.00071791,1.26918947,0.00000000,0.83136938,0.58468035
-5.78389195,1.86924151,0.10565452,0.00072951,1.28838224,0.00000000,0.84403681,0.59341691
-5.77788894,1.88438236,0.10645502,0.00073609,1.29890909,0.00000000,0.85100403,0.59810739
-5.77188594,1.88657288,0.10653283,0.00073753,1.30050913,0.00000000,0.85210357,0.59862007
-5.76588294,1.87573722,0.10588104,0.00073382,1.29313552,0.00000000,0.84730757,0.59491888
-5.75987994,1.85211185,0.10451056,0.00072510,1.27695698,0.00000000,0.83672880,0.58706367
-5.75387694,1.81623720,0.10244961,0.00071161,1.25235219,0.00000000,0.82061708,0.57520715
-5.74787394,1.76893934,0.09974264,0.00069369,1.21989728,0.00000000,0.79935111,0.55958868
-5.74187094,1.71130256,0.09644869,0.00067182,1.18034713,0.00000000,0.77342628,0.54052525
-5.73586793,1.64463427,0.09263939,0.00064653,1.13461117,0.00000000,0.74343886,0.51839994
-5.72986493,1.57042356,0.08839659,0.00061843,1.08372504,0.00000000,0.71006746,0.49364858
-5.72386193,1.49029548,0.08380968,0.00058821,1.02881905,0.00000000,0.67405241,0.46674510
-5.71785893,1.40596284,0.07897293,0.00055658,0.97108502,0.00000000,0.63617408,0.43818625
-5.71185593,1.31917753,0.07398267,0.00052425,0.91174267,0.00000000,0.59723085,0.40847637
-5.70585293,1.23168301,0.06893466,0.00049197,0.85200679,0.00000000,0.55801767,0.37811287
-5.69984992,1.14516983,0.06392154,0.00046043,0.79305640,0.00000000,0.51930588,0.34757283
-5.69384692,1.06123525,0.05903067,0.00043032,0.73600673,0.00000000,0.48182489,0.31730131
-5.68784392,0.98134822,0.05434214,0.00040225,0.68188467,0.00000000,0.44624618,0.28770169
-5.68184092,0.90682014,0.04992720,0.00037678,0.63160832,0.00000000,0.41316988,0.25912821
-5.67583792,0.83878188,0.04584710,0.00035442,0.58597058,0.00000000,0.38311415,0.23188085
-5.66983492,0.77816712,0.04215221,0.00033555,0.54562716,0.00000000,0.35650737,0.20620256
-5.66383192,0.72570162,0.03888152,0.00032051,0.51108853,0.00000000,0.33368296,0.18227859
-5.65782891,0.68189812,0.03606253,0.00030951,0.48271573,0.00000000,0.31487671,0.16023784
-5.65182591,0.64705619,0.03371135,0.00030268,0.46071965,0.00000000,0.30022635,0.14015594
-5.64582291,0.62126658,0.03183308,0.00030008,0.44516325,0.00000000,0.28977320,0.12205958
-5.63981991,0.60441927,0.03042237,0.00030163,0.43596649,0.00000000,0.28346539,0.10593193
-5.63381691,0.59621467,0.02946423,0.00030719,0.43291353,0.00000000,0.28116268,0.09171870
-5.62781391,0.59617757,0.02893487,0.00031653,0.43566182,0.00000000,0.28264252,0.07933460
-5.62181091,0.60367339,0.02880274,0.00032933,0.44375297,0.00000000,0.28760723,0.06866973
-5.61580790,0.61792637,0.02902957,0.00034519,0.45662521,0.00000000,0.29569216,0.05959591
-5.60980490,0.63803956,0.02957157,0.00036366,0.47362716,0.00000000,0.30647483,0.05197254
-5.60380190,0.66301646,0.03038061,0.00038421,0.49403303,0.00000000,0.31948486,0.04565193
-5.59779890,0.69178412,0.03140555,0.00040628,0.51705907,0.00000000,0.33421477,0.04048406
-5.59179590,0.72321754,0.03259352,0.00042928,0.54188106,0.00000000,0.35013146,0.03632059
-5.58579290,0.75616526,0.03389133,0.00045258,0.56765289,0.00000000,0.36668843,0.03301825
-5.57978989,0.78947572,0.03524691,0.00047556,0.59352581,0.00000000,0.38333833,0.03044155
-5.57378689,0.82202407,0.03661076,0.00049761,0.61866808,0.00000000,0.39954600,0.02846488
-5.56778389,0.85273891,0.03793745,0.00051813,0.64228468,0.00000000,0.41480138,0.02697410
-5.56178089,0.88062837,0.03918716,0.00053657,0.66363650,0.00000000,0.42863227,0.02586760
