energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.54233839,0.01854309,0.00000000,0.00598225,1.03375229,0.60276729,0.63381905
-5.99399700,1.52369121,0.01771069,0.00000000,0.00590382,1.02800515,0.60087688,0.63177647
-5.98799400,1.50866229,0.01704411,0.00000000,0.00585500,1.02407243,0.59968090,0.63076872
-5.98199100,1.49673721,0.01653159,0.00000000,0.00583490,1.02161536,0.59902522,0.63056519
-5.97598799,1.48737442,0.01616188,0.00000000,0.00584249,1.02028863,0.59876366,0.63092687
-5.96998499,1.48003404,0.01592468,0.00000000,0.00587661,1.01975831,0.59876969,0.63161671
-5.96398199,1.47420392,0.01581107,0.00000000,0.00593606,1.01971789,0.59894673,0.63240899
-5.95797899,1.46942209,0.01581368,0.00000000,0.00601960,1.01990158,0.59923619,0.63309744
-5.95197599,1.46529439,0.01592688,0.00000000,0.00612604,1.02009458,0.59962300,0.63350177
-5.94597299,1.46150705,0.01614677,0.00000000,0.00625423,1.02013963,0.60013812,0.63347246
-5.93996998,1.45783352,0.01647099,0.00000000,0.00640308,1.01993996,0.60085804,0.63289364
-5.93396698,1.45413581,0.01689856,0.00000000,0.00657154,1.01945845,0.60190100,0.63168425
-5.92796398,1.45036029,0.01742948,0.00000000,0.00675859,1.01871320,0.60342036,0.62979737
-5.92196098,1.44652869,0.01806433,0.00000000,0.00696324,1.01777007,0.60559520,0.62721796
-5.91595798,1.44272475,0.01880375,0.00000000,0.00718442,1.01673235,0.60861872,0.62395932
-5.90995498,1.43907757,0.01964794,0.00000000,0.00742097,1.01572847,0.61268503,0.62005831
-5.90395198,1.43574258,0.02059604,0.00000000,0.00767155,1.01489831,0.61797487,0.61556994
-5.89794897,1.43288136,0.02164566,0.00000000,0.00793459,1.01437893,0.62464127,0.61056138
-5.89194597,1.43064127,0.02279231,0.00000000,0.00820823,1.01429045,0.63279569,0.60510587
-5.88594297,1.42913625,0.02402901,0.00000000,0.00849023,1.01472292,0.64249549,0.59927684
-5.87993997,1.42842977,0.02534591,0.00000000,0.00877793,1.01572495,0.65373358,0.59314253
-5.87393697,1.42852084,0.02673007,0.00000000,0.00906821,1.01729462,0.66643072,0.58676130
-5.86793397,1.42933412,0.02816540,0.00000000,0.00935750,1.01937335,0.68043116,0.58017805
-5.86193097,1.43071453,0.02963267,0.00000000,0.00964174,1.02184310,0.69550189,0.57342175
-5.85592796,1.43242685,0.03110979,0.00000000,0.00991645,1.02452706,0.71133576,0.56650427
-5.84992496,1.43416050,0.03257214,0.00000000,0.01017675,1.02719407,0.72755853,0.55942057
-5.84392196,1.43553931,0.03399316,0.00000000,0.01041752,1.02956641,0.74373956,0.55215020
-5.83791896,1.43613585,0.03534498,0.00000000,0.01063344,1.03133091,0.75940587,0.54466001
-5.83191596,1.43548976,0.03659926,0.00000000,0.01081918,1.03215268,0.77405893,0.53690794
