energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.35903163,-2.51690527,0.02396214,-0.04697232,0.08245944,-0.09879150,0.61976218,-1.13597085,0.36376783,-0.44771495,0.41374356,-0.82983153,0.10405208,-0.17165098,0.01568646,-0.03339817,0.75959687,-1.58246811
-5.99399700,1.24712523,-2.63691255,0.02164497,-0.04819434,0.07212348,-0.10774175,0.57636263,-1.20087530,0.32717877,-0.47289710,0.38583680,-0.86826696,0.09608441,-0.18064938,0.01420894,-0.03428294,0.70396717,-1.65390508
-5.98799400,1.14561805,-2.74995218,0.01944198,-0.04910652,0.06306772,-0.11690718,0.53725820,-1.26325328,0.29442364,-0.49773421,0.36016631,-0.90399864,0.08876232,-0.18917843,0.01281934,-0.03497072,0.65313609,-1.72038184
-5.98199100,1.05456040,-2.85446539,0.01736678,-0.04969060,0.05529455,-0.12619017,0.50245199,-1.32225775,0.26546430,-0.52192993,0.33673952,-0.93650061,0.08210245,-0.19712649,0.01152506,-0.03544995,0.60714280,-1.78094785
-5.97598799,0.97383762,-2.94900098,0.01542909,-0.04993502,0.04879510,-0.13548185,0.47188134,-1.37706466,0.24022172,-0.54518402,0.31552062,-0.96529292,0.07610683,-0.20438946,0.01033088,-0.03571320,0.56593531,-1.83473792
-5.96998499,0.90319773,-3.03224582,0.01363497,-0.04983522,0.04355308,-0.14466377,0.44542882,-1.42689198,0.21858757,-0.56719681,0.29643621,-0.98995320,0.07076439,-0.21087323,0.00923906,-0.03575734,0.52938225,-1.88099162
-5.96398199,0.84227906,-3.10305268,0.01198711,-0.04939386,0.03954832,-0.15360988,0.42293314,-1.47101851,0.20043492,-0.58767402,0.27938107,-1.01012712,0.06605262,-0.21649574,0.00824968,-0.03558355,0.49728532,-1.91907034
-5.95797899,0.79063699,-3.16046458,0.01048527,-0.04862066,0.03675976,-0.16218917,0.40419974,-1.50880207,0.18562762,-0.60633192,0.26422413,-1.02553709,0.06193937,-0.22118889,0.00736084,-0.03519727,0.46939201,-1.94847149
-5.95197599,0.74776886,-3.20373526,0.00912672,-0.04753210,0.03516788,-0.17026854,0.38901067,-1.53969637,0.17402820,-0.62290282,0.25081427,-1.03598911,0.05838475,-0.22489998,0.00656899,-0.03460790,0.44540804,-1.96883947
-5.94597299,0.71313638,-3.23234511,0.00790664,-0.04615078,0.03475643,-0.17771616,0.37713350,-1.56326602,0.16550396,-0.63714071,0.23898606,-1.04137752,0.05534295,-0.22759284,0.00586927,-0.03382854,0.42500953,-1.97997305
-5.93996998,0.68618521,-3.24601210,0.00681862,-0.04450473,0.03551338,-0.18440499,0.36832922,-1.57919905,0.15993117,-0.64882704,0.22856508,-1.04168746,0.05276414,-0.22924850,0.00525582,-0.03287543,0.40785439,-1.98182908
-5.93396698,0.66636124,-3.24469750,0.00585507,-0.04262641,0.03743107,-0.19021645,0.36235886,-1.58731641,0.15719749,-0.65777627,0.21937314,-1.03699486,0.05059619,-0.22986546,0.00472207,-0.03176748,0.39359288,-1.97452220
-5.92796398,0.65312353,-3.22860609,0.00500767,-0.04055169,0.04050561,-0.19504413,0.35898892,-1.58757808,0.15720246,-0.66384119,0.21123296,-1.02746413,0.04878632,-0.22945942,0.00426109,-0.03052568,0.38187723,-1.95832080
-5.92196098,0.64595379,-3.19818073,0.00426769,-0.03831871,0.04473549,-0.19879726,0.35799536,-1.58008536,0.15985636,-0.66691772,0.20397257,-1.01334340,0.04728262,-0.22806269,0.00386581,-0.02917240,0.37237015,-1.93363904
-5.91595798,0.64436260,-3.15409147,0.00362634,-0.03596677,0.05011953,-0.20140403,0.35916645,-1.56507913,0.16507755,-0.66694891,0.19742930,-0.99495752,0.04603540,-0.22572305,0.00352933,-0.02773082,0.36475220,-1.90102543
-5.90995498,0.64789256,-3.09721928,0.00307508,-0.03353515,0.05665430,-0.20281434,0.36230425,-1.54293410,0.17278847,-0.66392808,0.19145322,-0.97269903,0.04499836,-0.22250236,0.00324506,-0.02622427,0.35872797,-1.86114797
-5.90395198,0.65611855,-3.02863486,0.00260583,-0.03106214,0.06433101,-0.20300218,0.36722493,-1.51414899,0.18291074,-0.65790076,0.18591025,-0.94701734,0.04412957,-0.21847471,0.00300700,-0.02467566,0.35403111,-1.81477651
-5.89794897,0.66864570,-2.94957294,0.00221119,-0.02858402,0.07313216,-0.20196719,0.37375803,-1.47933307,0.19535945,-0.64896541,0.18068463,-0.91840643,0.04339230,-0.21372436,0.00280982,-0.02310694,0.35042814,-1.76276270
-5.89194597,0.68510535,-2.86140287,0.00188462,-0.02613430,0.08302805,-0.19973567,0.38174481,-1.43918930,0.21003726,-0.63727282,0.17568097,-0.88739148,0.04275561,-0.20834343,0.00264903,-0.02153866,0.34772110,-1.70601807
-5.88594297,0.70514969,-2.76559627,0.00162053,-0.02374305,0.09397340,-0.19636071,0.39103585,-1.39449483,0.22682839,-0.62302405,0.17082565,-0.85451484,0.04219480,-0.20242944,0.00252108,-0.01998957,0.34574915,-1.64549105
-5.87993997,0.72844544,-2.66369264,0.00141444,-0.02143643,0.10590418,-0.19192170,0.40148813,-1.34607930,0.24559309,-0.60646713,0.16606775,-0.82032183,0.04169161,-0.19608281,0.00242345,-0.01847636,0.34438908,-1.58214338
-5.87393697,0.75466749,-2.55726410,0.00126305,-0.01923636,0.11873499,-0.18652294,0.41296182,-1.29480202,0.26616288,-0.58789245,0.16137930,-0.78534667,0.04123437,-0.18940433,0.00235468,-0.01701343,0.34355500,-1.51692692
-5.86793397,0.78349276,-2.44788025,0.00116426,-0.01716042,0.13235706,-0.18029175,0.42531715,-1.24152857,0.28833687,-0.56762708,0.15675507,-0.75009929,0.04081786,-0.18249271,0.00231443,-0.01561283,0.34319709,-1.45076130
-5.86193097,0.81459518,-2.33707427,0.00111731,-0.01522184,0.14663715,-0.17337588,0.43841146,-1.18710802,0.31187953,-0.54602827,0.15221171,-0.71505310,0.04044312,-0.17544234,0.00230351,-0.01428414,0.34329981,-1.38451322
-5.85592796,0.84764208,-2.22631152,0.00112273,-0.01342967,0.16141743,-0.16594053,0.45209684,-1.13235129,0.33652022,-0.52347632,0.14778646,-0.68063439,0.04011713,-0.16834123,0.00232387,-0.01303459,0.34387953,-1.31897819
-5.84992496,0.88229253,-2.11696133,0.00118243,-0.01178906,0.17651646,-0.15816491,0.46621859,-1.07801175,0.36195446,-0.50036704,0.14353536,-0.64721353,0.03985237,-0.16126924,0.00237855,-0.01186914,0.34498173,-1.25486494
-5.84392196,0.91819798,-2.01027314,0.00129965,-0.01030166,0.19173141,-0.15023870,0.48061463,-1.02476847,0.38784731,-0.47710416,0.13953106,-0.61509835,0.03966630,-0.15429670,0.00247173,-0.01079062,0.34667799,-1.19278328
-5.83791896,0.95500517,-1.90735745,0.00147896,-0.00896602,0.20684139,-0.14235829,0.49511604,-0.97321294,0.41383868,-0.45409194,0.13586029,-0.58452974,0.03958076,-0.14748333,0.00260859,-0.00979993,0.34906281,-1.13323553
-5.83191596,0.99236151,-1.80917221,0.00172625,-0.00777809,0.22161198,-0.13472307,0.50954881,-0.92383946,0.43955047,-0.43172810,0.13262104,-0.55567974,0.03962137,-0.14087762,0.00279527,-0.00889630,0.35225033,-1.07661190
-5.82591296,1.02992242,-1.71651472,0.00204859,-0.00673177,0.23580071,-0.12753178,0.52373676,-0.87703947,0.46459545,-0.41039731,0.12991953,-0.52865197,0.03981678,-0.13451659,0.00303875,-0.00807749,0.35637094,-1.02318961
-5.81990995,1.06736055,-1.63001906,0.00245415,-0.00581938,0.24916343,-0.12097903,0.53750545,-0.83309997,0.48858738,-0.39046534,0.12786707,-0.50348440,0.04019797,-0.12842598,0.00334674,-0.00734009,0.36156799,-0.97313595
-5.81390695,1.10437593,-1.55015881,0.00295204,-0.00503216,0.26146126,-0.11525194,0.55068701,-0.79220566,0.51115207,-0.37227394,0.12657679,-0.48015424,0.04079745,-0.12262077,0.00372745,-0.00667973,0.36799422,-0.92651469
-5.80790395,1.14070665,-1.47725437,0.00355207,-0.00436075,0.27246788,-0.11052709,0.56312547,-0.75444468,0.53193887,-0.35613634,0.12616028,-0.45858469,0.04164845,-0.11710606,0.00418943,-0.00609139,0.37580813,-0.88329578
-5.80190095,1.17613902,-1.41148432,0.00426451,-0.00379558,0.28197684,-0.10696754,0.57468234,-0.71981740,0.55063197,-0.34233350,0.12672435,-0.43865323,0.04278401,-0.11187828,0.00474129,-0.00556957,0.38517015,-0.84336750
-5.79589795,1.21051650,-1.35289972,0.00509974,-0.00332727,0.28980855,-0.10472007,0.58524196,-0.68824755,0.56696108,-0.33111077,0.12836770,-0.42020109,0.04423605,-0.10692654,0.00539142,-0.00510858,0.39623833,-0.80655067
-5.78989495,1.24374653,-1.30144057,0.00606787,-0.00294690,0.29581673,-0.10391259,0.59471638,-0.65959527,0.58071079,-0.32267505,0.13117778,-0.40304339,0.04603441,-0.10223425,0.00614764,-0.00470269,0.40916378,-0.77261414
-5.78389195,1.27580460,-1.25695316,0.00717830,-0.00264632,0.29989382,-0.10465157,0.60304926,-0.63367112,0.59172827,-0.31719215,0.13522766,-0.38697962,0.04820579,-0.09778074,0.00701688,-0.00434635,0.42408555,-0.74129093
-5.77788894,1.30673498,-1.21920750,0.00843921,-0.00241828,0.30197533,-0.10701963,0.61021855,-0.61025044,0.59992875,-0.31478433,0.14057320,-0.37180400,0.05077266,-0.09354297,0.00800477,-0.00403432,0.44112518,-0.71229420
-5.77188594,1.33664779,-1.18791370,0.00985706,-0.00225662,0.30204278,-0.11107311,0.61623771,-0.58908734,0.60529862,-0.31552791,0.14725038,-0.35731524,0.05375224,-0.08949711,0.00911522,-0.00376182,0.46038083,-0.68533253
