energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.21144597,0.03326742,0.12116427,0.29693893,0.42389270,0.05099096,0.60203349,0.40528069,0.63676279
-5.99399700,2.15953611,0.03165780,0.11629609,0.28989373,0.42258693,0.05309184,0.59419467,0.38933235,0.61166205
-5.98799400,2.10969950,0.03027114,0.11139462,0.28360791,0.42146605,0.05503501,0.58700239,0.37397201,0.58739492
-5.98199100,2.06218539,0.02912492,0.10649000,0.27814851,0.42038286,0.05680200,0.58040448,0.35923797,0.56419883
-5.97598799,2.01715753,0.02823207,0.10160793,0.27356267,0.41918115,0.05837749,0.57432680,0.34514496,0.54227849
-5.96998499,1.97470486,0.02760084,0.09677008,0.26987879,0.41770252,0.05974955,0.56867939,0.33168807,0.52180530
-5.96398199,1.93485328,0.02723486,0.09199468,0.26710803,0.41579293,0.06090966,0.56336269,0.31884697,0.50291733
-5.95797899,1.89757779,0.02713310,0.08729711,0.26524596,0.41330880,0.06185269,0.55827356,0.30659024,0.48571997
-5.95197599,1.86281424,0.02729008,0.08269064,0.26427441,0.41012245,0.06257673,0.55331084,0.29487961,0.47028704
-5.94597299,1.83047001,0.02769594,0.07818704,0.26416321,0.40612679,0.06308281,0.54838029,0.28367376,0.45666210
-5.93996998,1.80043332,0.02833676,0.07379715,0.26487181,0.40123886,0.06337463,0.54339853,0.27293179,0.44486008
-5.93396698,1.77258054,0.02919479,0.06953142,0.26635083,0.39540252,0.06345807,0.53829611,0.26261588,0.43486888
-5.92796398,1.74678148,0.03024877,0.06540022,0.26854330,0.38858984,0.06334087,0.53301943,0.25269337,0.42665100
-5.92196098,1.72290255,0.03147440,0.06141400,0.27138559,0.38080149,0.06303213,0.52753155,0.24313805,0.42014517
-5.91595798,1.70080777,0.03284465,0.05758341,0.27480823,0.37206597,0.06254192,0.52181197,0.23393068,0.41526783
-5.90995498,1.68035805,0.03433035,0.05391910,0.27873637,0.36243790,0.06188093,0.51585539,0.22505880,0.41191462
-5.90395198,1.66140889,0.03590064,0.05043148,0.28309010,0.35199538,0.06106008,0.50966966,0.21651604,0.40996184
-5.89794897,1.64380708,0.03752354,0.04713038,0.28778461,0.34083664,0.06009031,0.50327300,0.20830078,0.40926789
-5.89194597,1.62738682,0.03916655,0.04402459,0.29273039,0.32907607,0.05898233,0.49669085,0.20041459,0.40967490
