energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,1.10412218,0.05086484,0.00000000,0.04620611,0.05025061,0.46418180,0.32700782,0.00284079,0.66868016
-5.99399700,1.06279593,0.04801135,0.00000000,0.04809075,0.05379308,0.40204154,0.32696529,0.00256490,0.62612909
-5.98799400,1.03777902,0.04581324,0.00000000,0.05054856,0.05813088,0.34719619,0.33172270,0.00233980,0.59343460
-5.98199100,1.02807061,0.04424512,0.00000000,0.05353287,0.06326082,0.29922137,0.34102797,0.00216084,0.56994993
-5.97598799,1.03253133,0.04327323,0.00000000,0.05698933,0.06917025,0.25764824,0.35458184,0.00202334,0.55495045
-5.96998499,1.04990283,0.04285684,0.00000000,0.06085659,0.07583666,0.22197761,0.37204145,0.00192271,0.54764885
-5.96398199,1.07882928,0.04294977,0.00000000,0.06506734,0.08322730,0.19169314,0.39302481,0.00185448,0.54721113
-5.95797899,1.11788039,0.04350191,0.00000000,0.06954955,0.09129896,0.16627353,0.41711597,0.00181429,0.55277313
-5.95197599,1.16557585,0.04446086,0.00000000,0.07422802,0.09999791,0.14520322,0.44387113,0.00179802,0.56345722
-5.94597299,1.22041046,0.04577350,0.00000000,0.07902612,0.10925989,0.12798161,0.47282518,0.00180174,0.57838889
-5.93996998,1.28087960,0.04738750,0.00000000,0.08386769,0.11901036,0.11413060,0.50349894,0.00182180,0.59671292
-5.93396698,1.34550424,0.04925270,0.00000000,0.08867903,0.12916485,0.10320046,0.53540653,0.00185483,0.61760849
-5.92796398,1.41285486,0.05132233,0.00000000,0.09339087,0.13962953,0.09477412,0.56806290,0.00189778,0.64030317
-5.92196098,1.48157347,0.05355398,0.00000000,0.09794020,0.15030188,0.08846996,0.60099124,0.00194795,0.66408497
-5.91595798,1.55039301,0.05591035,0.00000000,0.10227198,0.16107162,0.08394317,0.63372985,0.00200298,0.68831244
-5.90995498,1.61815339,0.05835970,0.00000000,0.10634045,0.17182179,0.08088592,0.66583846,0.00206086,0.71242207
-5.90395198,1.68381365,0.06087594,0.00000000,0.11011006,0.18243000,0.07902658,0.69690366,0.00211995,0.73593307
-5.89794897,1.74645976,0.06343849,0.00000000,0.11355605,0.19276991,0.07812802,0.72654325,0.00217893,0.75844900
-5.89194597,1.80530783,0.06603175,0.00000000,0.11666435,0.20271285,0.07798528,0.75440957,0.00223681,0.77965644
-5.88594297,1.85970280,0.06864429,0.00000000,0.11943113,0.21212969,0.07842281,0.78019153,0.00229288,0.79932060
-5.87993997,1.90911273,0.07126784,0.00000000,0.12186174,0.22089281,0.07929140,0.80361562,0.00234667,0.81727820
-5.87393697,1.95311939,0.07389605,0.00000000,0.12396922,0.22887827,0.08046499,0.82444580,0.00239794,0.83342793
-5.86793397,1.99140567,0.07652308,0.00000000,0.12577247,0.23596810,0.08183740,0.84248257,0.00244657,0.84771902
-5.86193097,2.02374086,0.07914226,0.00000000,0.12729412,0.24205266,0.08331934,0.85756138,0.00249252,0.86013855
-5.85592796,2.04996486,0.08174469,0.00000000,0.12855827,0.24703303,0.08483546,0.86955065,0.00253584,0.87069830
-5.84992496,2.06997225,0.08431803,0.00000000,0.12958820,0.25082340,0.08632182,0.87834958,0.00257653,0.87942170
-5.84392196,2.08369757,0.08684549,0.00000000,0.13040422,0.25335331,0.08772372,0.88388618,0.00261454,0.88633189
-5.83791896,2.09110251,0.08930513,0.00000000,0.13102187,0.25456969,0.08899383,0.88611544,0.00264974,0.89144143
-5.83191596,2.09216614,0.09166953,0.00000000,0.13145036,0.25443871,0.09009086,0.88501813,0.00268186,0.89474427
-5.82591296,2.08687853,0.09390585,0.00000000,0.13169168,0.25294712,0.09097864,0.88060008,0.00271051,0.89621054
-5.81990995,2.07523822,0.09597626,0.00000000,0.13174007,0.25010327,0.09162550,0.87289214,0.00273516,0.89578435
-5.81390695,2.05725364,0.09783890,0.00000000,0.13158226,0.24593754,0.09200422,0.86195061,0.00275515,0.89338479
-5.80790395,2.03294808,0.09944911,0.00000000,0.13119815,0.24050225,0.09209216,0.84785827,0.00276970,0.88890985
-5.80190095,2.00236790,0.10076102,0.00000000,0.13056207,0.23387096,0.09187181,0.83072563,0.00277798,0.88224320
-5.79589795,1.96559304,0.10172936,0.00000000,0.12964447,0.22613715,0.09133146,0.81069230,0.00277912,0.87326310
-5.78989495,1.92274913,0.10231149,0.00000000,0.12841397,0.21741242,0.09046618,0.78792830,0.00277229,0.86185303
-5.78389195,1.87402010,0.10246933,0.00000000,0.12683957,0.20782411,0.08927878,0.76263506,0.00275674,0.84791318
-5.77788894,1.81966031,0.10217135,0.00000000,0.12489300,0.19751256,0.08778096,0.73504584,0.00273183,0.83137215
-5.77188594,1.76000528,0.10139429,0.00000000,0.12255085,0.18662804,0.08599439,0.70542559,0.00269716,0.81219797
-5.76588294,1.69548015,0.10012462,0.00000000,0.11979665,0.17532751,0.08395181,0.67406994,0.00265253,0.79040799
-5.75987994,1.62660530,0.09835966,0.00000000,0.11662248,0.16377137,0.08169808,0.64130349,0.00259806,0.76607672
-5.75387694,1.55399867,0.09610830,0.00000000,0.11303017,0.15212022,0.07929117,0.60747722,0.00253419,0.73934153
-5.74787394,1.47837462,0.09339117,0.00000000,0.10903206,0.14053201,0.07680306,0.57296525,0.00246169,0.71040560
-5.74187094,1.40053947,0.09024045,0.00000000,0.10465117,0.12915937,0.07432061,0.53816101,0.00238172,0.67953825
-5.73586793,1.32138382,0.08669921,0.00000000,0.09992081,0.11814757,0.07194638,0.50347305,0.00229581,0.64707257
-5.72986493,1.24187239,0.08282031,0.00000000,0.09488375,0.10763286,0.06979933,0.46932054,0.00220585,0.61340062
-5.72386193,1.16303178,0.07866504,0.00000000,0.08959092,0.09774148,0.06801558,0.43612893,0.00211410,0.57896653
-5.71785893,1.08593687,0.07430139,0.00000000,0.08409975,0.08858917,0.06674901,0.40432558,0.00202316,0.54425797
-5.71185593,1.01169660,0.06980225,0.00000000,0.07847227,0.08028131,0.06617187,0.37433590,0.00193594,0.50979645
-5.70585293,0.94143971,0.06524349,0.00000000,0.07277304,0.07291347,0.06647522,0.34657971,0.00185565,0.47612702
-5.69984992,0.87630098,0.06070204,0.00000000,0.06706708,0.06657242,0.06786923,0.32146819,0.00178576,0.44380781
-5.69384692,0.81740824,0.05625405,0.00000000,0.06141784,0.06133738,0.07058319,0.29940113,0.00173000,0.41339988
-5.68784392,0.76587054,0.05197325,0.00000000,0.05588538,0.05728150,0.07486522,0.28076461,0.00169227,0.38545772
-5.68184092,0.72276727,0.04792946,0.00000000,0.05052471,0.05447326,0.08098143,0.26592870,0.00167670,0.36052059
-5.67583792,0.68913823,0.04418739,0.00000000,0.04538452,0.05297790,0.08921462,0.25524523,0.00168752,0.33910496
-5.66983492,0.66597421,0.04080566,0.00000000,0.04050620,0.05285846,0.09986209,0.24904529,0.00172913,0.32169791
-5.66383192,0.65420771,0.03783613,0.00000000,0.03592323,0.05417660,0.11323278,0.24763621,0.00180601,0.30875151
-5.65782891,0.65470336,0.03532342,0.00000000,0.03166086,0.05699280,0.12964331,0.25129791,0.00192268,0.30067799
-5.65182591,0.66824744,0.03330466,0.00000000,0.02773620,0.06136619,0.14941314,0.26027832,0.00208371,0.29784555
-5.64582291,0.69553630,0.03180950,0.00000000,0.02415855,0.06735367,0.17285862,0.27478797,0.00229360,0.30057445
-5.63981991,0.73716326,0.03086014,0.00000000,0.02092993,0.07500860,0.20028604,0.29499352,0.00255681,0.30913329
-5.63381691,0.79360390,0.03047160,0.00000000,0.01804587,0.08437877,0.23198378,0.32101057,0.00287761,0.32373527
-5.62781391,0.86520010,0.03065198,0.00000000,0.01549627,0.09550406,0.26821365,0.35289574,0.00326007,0.34453432
-5.62181091,0.95214292,0.03140284,0.00000000,0.01326638,0.10841367,0.30920170,0.39063853,0.00370793,0.37162098
-5.61580790,1.05445524,0.03271955,0.00000000,0.01133774,0.12312305,0.35512880,0.43415323,0.00422457,0.40501831
-5.60980490,1.17197487,0.03459175,0.00000000,0.00968920,0.13963088,0.40612127,0.48327155,0.00481285,0.44467784
-5.60380190,1.30433924,0.03700378,0.00000000,0.00829777,0.15791604,0.46224206,0.53773643,0.00547508,0.49047580
-5.59779890,1.45097296,0.03993520,0.00000000,0.00713945,0.17793499,0.52348288,0.59719764,0.00621288,0.54221015
-5.59179590,1.61107940,0.04336130,0.00000000,0.00618999,0.19961957,0.58975769,0.66120985,0.00702718,0.59959859
-5.58579290,1.78363767,0.04725379,0.00000000,0.00542547,0.22287549,0.66089811,0.72923363,0.00791806,0.66227816
-5.57978989,1.96740600,0.05158148,0.00000000,0.00482278,0.24758172,0.73665103,0.80063976,0.00888482,0.72980665
-5.57378689,2.16093262,0.05631118,0.00000000,0.00436005,0.27359083,0.81667897,0.87471735,0.00992592,0.80166639
-5.56778389,2.36257464,0.06140862,0.00000000,0.00401687,0.30073038,0.90056328,0.95068565,0.01103900,0.87727046
-5.56178089,2.57052529,0.06683961,0.00000000,0.00377453,0.32880557,0.98781048,1.02770965,0.01222101,0.95597173
-5.55577789,2.78284940,0.07257120,0.00000000,0.00361608,0.35760291,1.07786175,1.10491916,0.01346824,1.03707462
-5.54977489,2.99752635,0.07857301,0.00000000,0.00352643,0.38689506,1.17010549,1.18143083,0.01477656,1.11984940
-5.54377189,3.21249971,0.08481856,0.00000000,0.00349226,0.41644661,1.26389266,1.25637238,0.01614158,1.20354899
-5.53776888,3.42573174,0.09128661,0.00000000,0.00350204,0.44602065,1.35855457,1.32890830,0.01755889,1.28742745
-5.53176588,3.63526107,0.09796242,0.00000000,0.00354591,0.47538590,1.45342245,1.39826578,0.01902436,1.37075984
-5.52576288,3.83926114,0.10483887,0.00000000,0.00361560,0.50432417,1.54784815,1.46375992,0.02053440,1.45286251
-5.51975988,4.03609694,0.11191731,0.00000000,0.00370428,0.53263773,1.64122517,1.52481698,0.02208631,1.53311303
-5.51375688,4.22437750,0.11920810,0.00000000,0.00380650,0.56015631,1.73300895,1.58099447,0.02367856,1.61096880
-5.50775388,4.40300129,0.12673080,0.00000000,0.00391800,0.58674344,1.82273549,1.63199711,0.02531109,1.68598333
-5.50175088,4.57119231,0.13451377,0.00000000,0.00403564,0.61230159,1.91003734,1.67768772,0.02698553,1.75781941
-5.49574787,4.72852441,0.14259340,0.00000000,0.00415725,0.63677600,1.99465583,1.71809224,0.02870543,1.82625810
-5.48974487,4.87493213,0.15101259,0.00000000,0.00428150,0.66015678,2.07644871,1.75339850,0.03047631,1.89120294
-5.48374187,5.01070679,0.15981883,0.00000000,0.00440778,0.68247906,2.15539249,1.78394849,0.03230573,1.95267890
-5.47773887,5.13647704,0.16906162,0.00000000,0.00453609,0.70382111,2.23157878,1.81022423,0.03420313,2.01082558
-5.47173587,5.25317413,0.17878942,0.00000000,0.00466692,0.72430031,2.30520450,1.83282772,0.03617965,2.06588481
-5.46573287,5.36198246,0.18904620,0.00000000,0.00480109,0.74406704,2.37655584,1.85245547,0.03824776,2.11818276
-5.45972986,5.46427707,0.19986771,0.00000000,0.00493968,0.76329659,2.44598633,1.86986889,0.04042078,2.16810718
-5.45372686,5.56155035,0.21127757,0.00000000,0.00508388,0.78217943,2.51388983,1.88586138,0.04271228,2.21608062
-5.44772386,5.65533090,0.22328344,0.00000000,0.00523490,0.80091017,2.58066929,1.90122377,0.04513538,2.26253066
-5.44172086,5.74709788,0.23587337,0.00000000,0.00539385,0.81967562,2.64670283,1.91670942,0.04770199,2.30785867
-5.43571786,5.83819507,0.24901263,0.00000000,0.00556166,0.83864253,2.71230869,1.93300055,0.05042191,2.35240839
-5.42971486,5.92974831,0.26264115,0.00000000,0.00573898,0.85794566,2.77771097,1.95067730,0.05330205,2.39643627
-5.42371186,6.02259095,0.27667174,0.00000000,0.00592614,0.87767671,2.84300808,1.97019095,0.05634556,2.44008487
-5.41770885,6.11720084,0.29098936,0.00000000,0.00612307,0.89787471,2.90814601,1.99184242,0.05955109,2.48336125
-5.41170585,6.21365280,0.30545143,0.00000000,0.00632931,0.91851858,2.97289814,2.01576722,0.06291210,2.52612150
-5.40570285,6.31158923,0.31988940,0.00000000,0.00654394,0.93952226,3.03685338,2.04192740,0.06641640,2.56806274
-5.39969985,6.41021131,0.33411152,0.00000000,0.00676563,0.96073276,3.09941391,2.07011112,0.07004581,2.60872335
-5.39369685,6.50829172,0.34790679,0.00000000,0.00699268,0.98193155,3.15980333,2.09993978,0.07377607,2.64749187
-5.38769385,6.60420943,0.36105002,0.00000000,0.00722301,1.00283929,3.21708561,2.13088248,0.07757694,2.68362459
-5.38169085,6.69600527,0.37330795,0.00000000,0.00745427,1.02312382,3.27019451,2.16227736,0.08141259,2.71627132
-5.37568784,6.78145666,0.38444595,0.00000000,0.00768385,1.04241129,3.31797268,2.19335877,0.08524224,2.74450841
-5.36968484,6.85816831,0.39423543,0.00000000,0.00790905,1.06029992,3.35921888,2.22328931,0.08902097,2.76737772
-5.36368184,6.92367517,0.40246127,0.00000000,0.00812707,1.07637590,3.39274146,2.25119527,0.09270076,2.78392976
-5.35767884,6.97555308,0.40892934,0.00000000,0.00833512,1.09023077,3.41741567,2.27620411,0.09623174,2.79326910
-5.35167584,7.01153231,0.41347346,0.00000000,0.00853054,1.10147949,3.43224206,2.29748236,0.09956349,2.79459987
-5.34567284,7.02960865,0.41596175,0.00000000,0.00871081,1.10977843,3.43640310,2.31427253,0.10264646,2.78726919
-5.33966983,7.02814737,0.41630193,0.00000000,0.00887365,1.11484240,3.42931531,2.32592741,0.10543344,2.77080646
-5.33366683,7.00597507,0.41444540,0.00000000,0.00901707,1.11646008,3.41067397,2.33194061,0.10788087,2.74495651
-5.32766383,6.96245555,0.41038992,0.00000000,0.00913937,1.11450703,3.38048830,2.33197214,0.10995027,2.70970512
-5.32166083,6.89754639,0.40418078,0.00000000,0.00923924,1.10895575,3.33910496,2.32586811,0.11160933,2.66529557
-5.31565783,6.81183380,0.39591033,0.00000000,0.00931572,1.09988240,3.28721863,2.31367402,0.11283300,2.61223548
-5.30965483,6.70654453,0.38571605,0.00000000,0.00936825,1.08746981,3.22586887,2.29564120,0.11360428,2.55129361
-5.30365183,6.58353453,0.37377712,0.00000000,0.00939663,1.07200674,3.15642308,2.27222631,0.11391480,2.48348682
-5.29764882,6.44525497,0.36030974,0.00000000,0.00940111,1.05388346,3.08054617,2.24408411,0.11376524,2.41005770
-5.29164582,6.29469748,0.34556133,0.00000000,0.00938232,1.03358377,3.00015802,2.21205385,0.11316538,2.33244395
-5.28564282,6.13532078,0.32980398,0.00000000,0.00934131,1.01167393,2.91738029,2.17713983,0.11213405,2.25224087
-5.27963982,5.97096192,0.31332729,0.00000000,0.00927955,0.98878877,2.83447478,2.14048686,0.11069875,2.17115844
-5.27363682,5.80573544,0.29643100,0.00000000,0.00919898,0.96561579,2.75377553,2.10335144,0.10889513,2.09097478
-5.26763382,5.64392430,0.27941757,0.00000000,0.00910199,0.94287747,2.67761740,2.06706957,0.10676624,2.01348776
-5.26163082,5.48986612,0.26258512,0.00000000,0.00899145,0.92131272,2.60826357,2.03302208,0.10436163,1.94046651
-5.25562781,5.34783862,0.24622080,0.00000000,0.00887076,0.90165785,2.54783470,2.00259851,0.10173632,1.87360443
-5.24962481,5.22194753,0.23059483,0.00000000,0.00874383,0.88462772,2.49824220,1.97716033,0.09894962,1.81447528
-5.24362181,5.11602021,0.21595539,0.00000000,0.00861512,0.87089751,2.46112768,1.95800454,0.09606389,1.76449346
-5.23761881,5.03350765,0.20252439,0.00000000,0.00848963,0.86108566,2.43781084,1.94632854,0.09314321,1.72487962
-5.23161581,4.97739727,0.19049418,0.00000000,0.00837288,0.85573835,2.42924712,1.94319701,0.09025200,1.69663230
-5.22561281,4.95013839,0.18002521,0.00000000,0.00827090,0.85531577,2.43599662,1.94951174,0.08745366,1.68050615
-5.21960980,4.95358192,0.17124454,0.00000000,0.00819016,0.86018059,2.45820507,1.96598504,0.08480919,1.67699699
-5.21360680,4.98893531,0.16424531,0.00000000,0.00813749,0.87058872,2.49559740,1.99311765,0.08237579,1.68633375
-5.20760380,5.05673368,0.15908681,0.00000000,0.00812000,0.88668259,2.54748398,2.03118152,0.08020567,1.70847726
-5.20160080,5.15682720,0.15579530,0.00000000,0.00814494,0.90848695,2.61277929,2.08020828,0.07834479,1.74312545
-5.19559780,5.28838509,0.15436542,0.00000000,0.00821957,0.93590744,2.69003237,2.13998363,0.07683182,1.78972465
-5.18959480,5.44991555,0.15476194,0.00000000,0.00835097,0.96873161,2.77746802,2.21004809,0.07569721,1.84748635
-5.18359180,5.63930122,0.15692196,0.00000000,0.00854589,1.00663269,2.87303736,2.28970415,0.07496247,1.91540891
-5.17758879,5.85384886,0.16075737,0.00000000,0.00881051,1.04917573,2.97447621,2.37802980,0.07463962,1.99230326
