energy_ev,total_up,Ca_p_up,Ca_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,7.21290238,0.01150152,0.00000000,0.21511713,6.35414049,0.29101826,0.02798991,0.04647554,0.29863424
-5.99399700,7.06749882,0.01128765,0.00000000,0.21292959,6.21961162,0.28970034,0.02733859,0.04593802,0.29485506
-5.98799400,6.88880512,0.01105725,0.00000000,0.20986657,6.05490461,0.28656316,0.02665064,0.04527795,0.29010857
-5.98199100,6.67888013,0.01080917,0.00000000,0.20596158,5.86194000,0.28165623,0.02592958,0.04448616,0.28444368
-5.97598799,6.44053563,0.01054475,0.00000000,0.20128777,5.64322997,0.27506889,0.02518442,0.04356311,0.27797049
-5.96998499,6.17726730,0.01026788,0.00000000,0.19595743,5.40181109,0.26692777,0.02442976,0.04251903,0.27086019
-5.96398199,5.89316624,0.00998503,0.00000000,0.19012059,5.14116102,0.25739296,0.02368578,0.04137375,0.26334357
-5.95797899,5.59281542,0.00970510,0.00000000,0.18396275,4.86510329,0.24665339,0.02297817,0.04015629,0.25570849
-5.95197599,5.28117545,0.00943938,0.00000000,0.17770202,4.57770407,0.23492131,0.02233790,0.03890425,0.24829636
-5.94597299,4.96346462,0.00920132,0.00000000,0.17158554,4.28316549,0.22242637,0.02180092,0.03766300,0.24149768
-5.93996998,4.64503768,0.00900637,0.00000000,0.16588556,3.98571968,0.20940944,0.02140781,0.03648470,0.23574685
-5.93396698,4.33126763,0.00887172,0.00000000,0.16089495,3.68952746,0.19611638,0.02120325,0.03542722,0.23151623
-5.92796398,4.02743395,0.00881601,0.00000000,0.15692251,3.39858516,0.18279202,0.02123545,0.03455290,0.22930941
-5.92196098,3.73862003,0.00885904,0.00000000,0.15428782,3.11664223,0.16967457,0.02155549,0.03392732,0.22965371
-5.91595798,3.46962168,0.00902139,0.00000000,0.15331579,2.84713173,0.15699057,0.02221651,0.03361783,0.23309177
-5.90995498,3.22486760,0.00932405,0.00000000,0.15433089,2.59311471,0.14495046,0.02327276,0.03369220,0.24017211
-5.90395198,3.00835199,0.00978795,0.00000000,0.15765081,2.35723899,0.13374496,0.02477853,0.03421701,0.25143855
-5.89794897,2.82357859,0.01043346,0.00000000,0.16357986,2.14171187,0.12354210,0.02678688,0.03525613,0.26741837
-5.89194597,2.67351511,0.01127991,0.00000000,0.17240171,1.94828582,0.11448506,0.02934831,0.03686904,0.28860915
-5.88594297,2.56055644,0.01234490,0.00000000,0.18437176,1.77825566,0.10669061,0.03250913,0.03910912,0.31546429
-5.87993997,2.48649521,0.01364377,0.00000000,0.19970903,1.63246546,0.10024827,0.03630980,0.04202188,0.34837734
-5.87393697,2.45249816,0.01518885,0.00000000,0.21858774,1.51132322,0.09521984,0.04078316,0.04564321,0.38766535
-5.86793397,2.45908729,0.01698880,0.00000000,0.24112877,1.41482144,0.09163954,0.04595247,0.04999758,0.43355164
-5.86193097,2.50612528,0.01904797,0.00000000,0.26739119,1.34256183,0.08951437,0.05182963,0.05509639,0.48614854
-5.85592796,2.59280515,0.02136565,0.00000000,0.29736433,1.29378274,0.08882484,0.05841336,0.06093635,0.54544071
-5.84992496,2.71764496,0.02393556,0.00000000,0.33096060,1.26738820,0.08952590,0.06568757,0.06749816,0.61126999
-5.84392196,2.87848891,0.02674533,0.00000000,0.36800974,1.26197789,0.09154819,0.07361999,0.07474543,0.68332243
-5.83791896,3.07251673,0.02977609,0.00000000,0.40825469,1.27587771,0.09479935,0.08216123,0.08262396,0.76111880
-5.83191596,3.29626356,0.03300232,0.00000000,0.45134984,1.30717111,0.09916573,0.09124418,0.09106153,0.84400915
-5.82591296,3.54565272,0.03639183,0.00000000,0.49686188,1.35373141,0.10451430,0.10078416,0.09996824,0.93117264
-5.81990995,3.81604362,0.03990597,0.00000000,0.54427371,1.41325564,0.11069484,0.11067949,0.10923739,1.02162311
-5.81390695,4.10229644,0.04350013,0.00000000,0.59299159,1.48330055,0.11754251,0.12081295,0.11874710,1.11422106
-5.80790395,4.39885488,0.04712449,0.00000000,0.64235569,1.56132111,0.12488082,0.13105378,0.12836253,1.20769223
-5.80190095,4.69984691,0.05072494,0.00000000,0.69165388,1.64471200,0.13252487,0.14126049,0.13793881,1.30065283
-5.79589795,4.99920283,0.05424436,0.00000000,0.74013863,1.73085201,0.14028508,0.15128423,0.14732452,1.39164074
-5.78989495,5.29078819,0.05762404,0.00000000,0.78704634,1.81715101,0.14797111,0.16097271,0.15636570,1.47915222
-5.78389195,5.56854853,0.06080523,0.00000000,0.83161873,1.90109895,0.15539609,0.17017456,0.16491022,1.56168272
-5.77788894,5.82666116,0.06373087,0.00000000,0.87312522,1.98031562,0.16238093,0.17874388,0.17281239,1.63777044
-5.77188594,6.05968884,0.06634727,0.00000000,0.91088561,2.05259999,0.16875863,0.18654485,0.17993761,1.70604098
-5.76588294,6.26272902,0.06860585,0.00000000,0.94429181,2.11597718,0.17437842,0.19345618,0.18616686,1.76525104
-5.75987994,6.43155245,0.07046467,0.00000000,0.97282779,2.16874153,0.17910953,0.19937517,0.19140079,1.81432939
-5.75387694,6.56272468,0.07188985,0.00000000,0.99608659,2.20949362,0.18284453,0.20422119,0.19556334,1.85241307
-5.74787394,6.65370469,0.07285669,0.00000000,1.01378364,2.23716967,0.18550192,0.20793841,0.19860452,1.87887711
-5.74187094,6.70291549,0.07335049,0.00000000,1.02576552,2.25106171,0.18702795,0.21049755,0.20050243,1.89335634
-5.73586793,6.70978305,0.07336707,0.00000000,1.03201376,2.25082727,0.18739762,0.21189671,0.20126419,1.89575810
-5.72986493,6.67474102,0.07291284,0.00000000,1.03264332,2.23648791,0.18661459,0.21216099,0.20092589,1.88626507
-5.72386193,6.59920074,0.07200452,0.00000000,1.02789585,2.20841651,0.18471019,0.21134119,0.19955146,1.86532830
-5.71785893,6.48548750,0.07066849,0.00000000,1.01812797,2.16731330,0.18174152,0.20951134,0.19723050,1.83365034
-5.71185593,6.33674577,0.06893981,0.00000000,1.00379509,2.11417199,0.17778863,0.20676542,0.19407524,1.79215958
-5.70585293,6.15681777,0.06686094,0.00000000,0.98543170,2.05023705,0.17295098,0.20321336,0.19021663,1.74197683
