energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,V_p_up,V_d_up
-6.00000000,7.39686068,0.00203781,5.19246722,0.19956238,0.01101819,4.26928241,3.03122921
-5.99399700,7.46189769,0.00204540,5.23891940,0.20086686,0.01108981,4.31322495,3.04816986
-5.98799400,7.50683021,0.00205007,5.27106841,0.20198257,0.01112665,4.34638301,3.05631893
-5.98199100,7.52959660,0.00205137,5.28746492,0.20286518,0.01112707,4.36739232,3.05478378
-5.97598799,7.52866245,0.00204901,5.28702805,0.20348050,0.01109012,4.37516781,3.04289485
-5.96998499,7.50306290,0.00204282,5.26907644,0.20380434,0.01101556,4.36893658,3.02022744
-5.96398199,7.45242286,0.00203281,5.23334378,0.20382198,0.01090383,4.34825848,2.98661399
-5.95797899,7.37695474,0.00201911,5.17997837,0.20352720,0.01075606,4.31303368,2.94214646
-5.95197599,7.27743432,0.00200195,5.10952729,0.20292102,0.01057398,4.26349723,2.88716900
-5.94597299,7.15515665,0.00198166,5.02290629,0.20201020,0.01035989,4.20020126,2.82226157
-5.93996998,7.01187423,0.00195862,4.92135703,0.20080569,0.01011655,4.12398587,2.74821547
-5.93396698,6.84972107,0.00193326,4.80639404,0.19932102,0.00984710,4.03594054,2.66600204
-5.92796398,6.67112607,0.00190599,4.67974396,0.19757079,0.00955499,3.93735787,2.57673618
-5.92196098,6.47872018,0.00187725,4.54327997,0.19556943,0.00924381,3.82968208,2.48163634
-5.91595798,6.27524133,0.00184739,4.39895439,0.19333016,0.00891727,3.71445472,2.38198282
-5.90995498,6.06344133,0.00181676,4.24873236,0.19086434,0.00857905,3.59325994,2.27907626
-5.90395198,5.84599858,0.00178561,4.09452927,0.18818116,0.00823274,3.46767183,2.17419774
-5.89794897,5.62543991,0.00175413,3.93815442,0.18528774,0.00788172,3.33920582,2.06857242
-5.89194597,5.40407423,0.00172248,3.78126287,0.18218946,0.00752916,3.20927607,1.96333753
-5.88594297,5.18394003,0.00169072,3.62531694,0.17889074,0.00717789,3.07916028,1.85951607
-5.87993997,4.96676802,0.00165889,3.47155838,0.17539586,0.00683040,2.94997280,1.75799672
-5.87393697,4.75395918,0.00162697,3.32099159,0.17171000,0.00648883,2.82264681,1.65952030
-5.86793397,4.54657814,0.00159494,3.17437776,0.16784027,0.00615493,2.69792536,1.56467291
-5.86193097,4.34536082,0.00156276,3.03223944,0.16379666,0.00583006,2.57636124,1.47388532
-5.85592796,4.15073470,0.00153042,2.89487432,0.15959280,0.00551525,2.45832469,1.38743833
-5.84992496,3.96284985,0.00149789,2.76237704,0.15524648,0.00521116,2.34401800,1.30547301
-5.84392196,3.78161824,0.00146521,2.63466730,0.15077990,0.00491818,2.23349581,1.22800528
-5.83791896,3.60675891,0.00143243,2.51152248,0.14621947,0.00463642,2.12668939,1.15494354
-5.83191596,3.43784628,0.00139963,2.39261294,0.14159539,0.00436578,2.02343370,1.08610837
-5.82591296,3.27435926,0.00136694,2.27753816,0.13694083,0.00410601,1.92349543,1.02125339
-5.81990995,3.11572866,0.00133450,2.16586205,0.13229078,0.00385673,1.82660075,0.96008598
-5.81390695,2.96138106,0.00130248,2.05714578,0.12768082,0.00361747,1.73246137,0.90228727
-5.80790395,2.81077731,0.00127104,1.95097701,0.12314559,0.00338775,1.64079793,0.84753042
-5.80190095,2.66344449,0.00124034,1.84699433,0.11871735,0.00316709,1.55135969,0.79549668
-5.79589795,2.51900048,0.00121051,1.74490636,0.11442451,0.00295504,1.46394015,0.74588873
-5.78989495,2.37717069,0.00118166,1.64450502,0.11029037,0.00275120,1.37838802,0.69844103
-5.78389195,2.23779705,0.00115384,1.54567291,0.10633205,0.00255525,1.29461366,0.65292716
-5.77788894,2.10083952,0.00112705,1.44838505,0.10255972,0.00236695,1.21259109,0.60916403
-5.77188594,1.96637099,0.00110123,1.35270538,0.09897625,0.00218614,1.13235589,0.56701339
-5.76588294,1.83456634,0.00107627,1.25877876,0.09557713,0.00201275,1.05399968,0.52638064
-5.75987994,1.70568697,0.00105200,1.16681916,0.09235084,0.00184678,0.97766165,0.48721166
-5.75387694,1.58006199,0.00102818,1.07709519,0.08927961,0.00168828,0.90351813,0.44948781
-5.74787394,1.45806728,0.00100456,0.98991375,0.08634042,0.00153735,0.83177074,0.41321980
-5.74187094,1.34010391,0.00098084,0.90560289,0.08350626,0.00139411,0.76263410,0.37844076
-5.73586793,1.22657678,0.00095671,0.82449478,0.08074766,0.00125871,0.69632366,0.34519903
-5.72986493,1.11787474,0.00093188,0.74690960,0.07803424,0.00113127,0.63304430,0.31355109
-5.72386193,1.01435295,0.00090606,0.67314110,0.07533623,0.00101188,0.57298033,0.28355489
-5.71785893,0.91631810,0.00087900,0.60344432,0.07262606,0.00090061,0.51628712,0.25526402
-5.71185593,0.82401688,0.00085049,0.53802593,0.06987960,0.00079747,0.46308466,0.22872277
-5.70585293,0.73762800,0.00082038,0.47703729,0.06707735,0.00070241,0.41345325,0.20396226
-5.69984992,0.65725764,0.00078861,0.42057036,0.06420526,0.00061532,0.36743116,0.18099776
-5.69384692,0.58293827,0.00075515,0.36865645,0.06125528,0.00053603,0.32501435,0.15982708
-5.68784392,0.51463044,0.00072009,0.32126732,0.05822555,0.00046430,0.28615781,0.14043001
-5.68184092,0.45222709,0.00068355,0.27831860,0.05512037,0.00039983,0.25077844,0.12276872
-5.67583792,0.39556004,0.00064573,0.23967501,0.05194975,0.00034227,0.21875912,0.10678891
-5.66983492,0.34440790,0.00060690,0.20515688,0.04872881,0.00029124,0.18995355,0.09242163
-5.66383192,0.29850505,0.00056736,0.17454766,0.04547691,0.00024631,0.16419171,0.07958548
-5.65782891,0.25755102,0.00052744,0.14760193,0.04221668,0.00020702,0.14128543,0.06818914
-5.65182591,0.22122004,0.00048751,0.12405349,0.03897292,0.00017291,0.12103399,0.05813402
-5.64582291,0.18917006,0.00044792,0.10362321,0.03577149,0.00014350,0.10322944,0.04931683
-5.63981991,0.16105128,0.00040904,0.08602633,0.03263821,0.00011834,0.08766139,0.04163211
-5.63381691,0.13651360,0.00037121,0.07097907,0.02959792,0.00009696,0.07412133,0.03497448
-5.62781391,0.11521320,0.00033474,0.05820428,0.02667350,0.00007892,0.06240622,0.02924057
-5.62181091,0.09681783,0.00029991,0.04743612,0.02388524,0.00006382,0.05232145,0.02433076
-5.61580790,0.08101115,0.00026694,0.03842376,0.02125024,0.00005127,0.04368303,0.02015043
-5.60980490,0.06749580,0.00023603,0.03093402,0.01878206,0.00004092,0.03631929,0.01661096
-5.60380190,0.05599560,0.00020730,0.02475316,0.01649050,0.00003244,0.03007179,0.01363043
-5.59779890,0.04625680,0.00018083,0.01968784,0.01438165,0.00002555,0.02479592,0.01113399
-5.59179590,0.03804854,0.00015667,0.01556525,0.01245793,0.00001999,0.02036092,0.00905398
-5.58579290,0.03116277,0.00013482,0.01223280,0.01071846,0.00001554,0.01664961,0.00732992
-5.57978989,0.02541353,0.00011521,0.00955724,0.00915935,0.00001200,0.01355787,0.00590821
-5.57378689,0.02063603,0.00009778,0.00742346,0.00777415,0.00000922,0.01099389,0.00474185
-5.56778389,0.01668530,0.00008242,0.00573304,0.00655440,0.00000705,0.00887730,0.00378994
-5.56178089,0.01343479,0.00006899,0.00440270,0.00549004,0.00000537,0.00713824,0.00301725
-5.55577789,0.01077490,0.00005737,0.00336264,0.00457001,0.00000410,0.00571641,0.00239367
-5.54977489,0.00861139,0.00004739,0.00255495,0.00378270,0.00000315,0.00456008,0.00189371
-5.54377189,0.00686398,0.00003890,0.00193200,0.00311642,0.00000247,0.00362525,0.00149601
-5.53776888,0.00546493,0.00003176,0.00145501,0.00255982,0.00000201,0.00287472,0.00118289
-5.53176588,0.00435781,0.00002581,0.00109271,0.00210230,0.00000173,0.00227737,0.00093992
-5.52576288,0.00349631,0.00002092,0.00082017,0.00173431,0.00000163,0.00180742,0.00075556
-5.51975988,0.00284334,0.00001697,0.00061769,0.00144770,0.00000169,0.00144387,0.00062086
-5.51375688,0.00237018,0.00001383,0.00046995,0.00123599,0.00000191,0.00116989,0.00052918
-5.50775388,0.00205580,0.00001143,0.00036524,0.00109456,0.00000231,0.00097246,0.00047603
-5.50175088,0.00188640,0.00000968,0.00029477,0.00102099,0.00000292,0.00084192,0.00045889
-5.49574787,0.00185502,0.00000852,0.00025219,0.00101516,0.00000377,0.00077176,0.00047711
-5.48974487,0.00196136,0.00000792,0.00023318,0.00107958,0.00000493,0.00075835,0.00053190
-5.48374187,0.00221170,0.00000785,0.00023507,0.00121954,0.00000644,0.00080078,0.00062628
-5.47773887,0.00261887,0.00000833,0.00025663,0.00144334,0.00000841,0.00090079,0.00076513
-5.47173587,0.00320241,0.00000936,0.00029785,0.00176253,0.00001093,0.00106265,0.00095524
-5.46573287,0.00398868,0.00001100,0.00035980,0.00219208,0.00001412,0.00129318,0.00120536
-5.45972986,0.00501108,0.00001331,0.00044455,0.00275059,0.00001813,0.00160174,0.00152628
-5.45372686,0.00631015,0.00001638,0.00055507,0.00346041,0.00002312,0.00200016,0.00193090
-5.44772386,0.00793369,0.00002030,0.00069518,0.00434775,0.00002929,0.00250282,0.00243425
-5.44172086,0.00993670,0.00002521,0.00086951,0.00544270,0.00003685,0.00312654,0.00305352
-5.43571786,0.01238123,0.00003125,0.00108348,0.00677910,0.00004603,0.00389052,0.00380800
-5.42971486,0.01533593,0.00003859,0.00134320,0.00839435,0.00005711,0.00481623,0.00471895
-5.42371186,0.01887542,0.00004741,0.00165547,0.01032907,0.00007036,0.00592713,0.00580942
-5.41770885,0.02307928,0.00005790,0.00202764,0.01262651,0.00008609,0.00724844,0.00710392
-5.41170585,0.02803079,0.00007027,0.00246756,0.01533185,0.00010462,0.00880671,0.00862810
-5.40570285,0.03381523,0.00008472,0.00298346,0.01849128,0.00012627,0.01062929,0.01040813
-5.39969985,0.04051791,0.00010147,0.00358373,0.02215090,0.00015137,0.01274379,0.01247018
-5.39369685,0.04822179,0.00012071,0.00427685,0.02635537,0.00018023,0.01517728,0.01483964
-5.38769385,0.05700485,0.00014265,0.00507108,0.03114650,0.00021315,0.01795556,0.01754031
-5.38169085,0.06693724,0.00016744,0.00597433,0.03656163,0.00025041,0.02110227,0.02059355
-5.37568784,0.07807824,0.00019523,0.00699388,0.04263195,0.00029225,0.02463794,0.02401727
-5.36968484,0.09047316,0.00022612,0.00813613,0.04938084,0.00033883,0.02857910,0.02782510
-5.36368184,0.10415047,0.00026019,0.00940640,0.05682222,0.00039030,0.03293733,0.03202535
-5.35767884,0.11911894,0.00029744,0.01080864,0.06495904,0.00044669,0.03771845,0.03662027
-5.35167584,0.13536534,0.00033783,0.01234527,0.07378202,0.00050799,0.04292173,0.04160524
-5.34567284,0.15285250,0.00038125,0.01401698,0.08326856,0.00057407,0.04853933,0.04696827
-5.33966983,0.17151813,0.00042755,0.01582256,0.09338218,0.00064473,0.05455589,0.05268955
-5.33366683,0.19127426,0.00047648,0.01775883,0.10407223,0.00071967,0.06094828,0.05874137
-5.32766383,0.21200760,0.00052775,0.01982057,0.11527415,0.00079849,0.06768573,0.06508823
-5.32166083,0.23358067,0.00058102,0.02200053,0.12691019,0.00088070,0.07473003,0.07168718
-5.31565783,0.25583389,0.00063587,0.02428946,0.13889058,0.00096574,0.08203614,0.07848853
-5.30965483,0.27858844,0.00069184,0.02667625,0.15111527,0.00105295,0.08955297,0.08543675
-5.30365183,0.30164982,0.00074845,0.02914805,0.16347598,0.00114165,0.09722436,0.09247158
-5.29764882,0.32481214,0.00080519,0.03169046,0.17585862,0.00123108,0.10499032,0.09952942
-5.29164582,0.34786274,0.00086151,0.03428781,0.18814604,0.00132045,0.11278831,0.10654479
-5.28564282,0.37058720,0.00091691,0.03692333,0.20022084,0.00140897,0.12055471,0.11345189
-5.27963982,0.39277439,0.00097086,0.03957947,0.21196828,0.00149585,0.12822626,0.12018622
-5.27363682,0.41422139,0.00102289,0.04223819,0.22327910,0.00158033,0.13574150,0.12668612
-5.26763382,0.43473819,0.00107255,0.04488121,0.23405216,0.00166166,0.14304214,0.13289424
-5.26163082,0.45415188,0.00111944,0.04749033,0.24419680,0.00173919,0.15007433,0.13875885
-5.25562781,0.47231025,0.00116325,0.05004768,0.25363485,0.00181228,0.15678978,0.14423496
-5.24962481,0.48908471,0.00120370,0.05253602,0.26230223,0.00188041,0.16314663,0.14928523
-5.24362181,0.50437248,0.00124060,0.05493902,0.27015002,0.00194314,0.16911024,0.15388060
-5.23761881,0.51809787,0.00127385,0.05724151,0.27714512,0.00200009,0.17465362,0.15800066
-5.23161581,0.53021295,0.00130340,0.05942973,0.28327042,0.00205102,0.17975779,0.16163379
-5.22561281,0.54069732,0.00132929,0.06149161,0.28852443,0.00209575,0.18441177,0.16477702
-5.21960980,0.54955721,0.00135162,0.06341701,0.29292057,0.00213420,0.18861250,0.16743571
-5.21360680,0.55682405,0.00137057,0.06519791,0.29648602,0.00216640,0.19236451,0.16962290
-5.20760380,0.56255235,0.00138636,0.06682867,0.29926028,0.00219244,0.19567934,0.17135865
-5.20160080,0.56681726,0.00139925,0.06830619,0.30129340,0.00221250,0.19857494,0.17266908
-5.19559780,0.56971163,0.00140956,0.06963003,0.30264401,0.00222683,0.20107477,0.17358539
