energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,1.48449626,-1.48449626,0.01516167,-0.01516167,0.14455960,-0.14455960,0.21185560,-0.21185560,0.47133184,-0.47133184,0.03453748,-0.03453748,0.46187972,-0.46187972,0.19339827,-0.19339827,0.15166985,-0.15166985
-5.99399700,1.52045024,-1.52045024,0.01424017,-0.01424017,0.14196197,-0.14196197,0.21635274,-0.21635274,0.47105683,-0.47105683,0.03636518,-0.03636518,0.48005455,-0.48005455,0.19971938,-0.19971938,0.15700919,-0.15700919
-5.98799400,1.55412477,-1.55412477,0.01331101,-0.01331101,0.13936827,-0.13936827,0.22065971,-0.22065971,0.47026463,-0.47026463,0.03813417,-0.03813417,0.49719936,-0.49719936,0.20548897,-0.20548897,0.16210609,-0.16210609
-5.98199100,1.58479708,-1.58479708,0.01238646,-0.01238646,0.13680179,-0.13680179,0.22464870,-0.22464870,0.46895926,-0.46895926,0.03980939,-0.03980939,0.51300589,-0.51300589,0.21060334,-0.21060334,0.16682462,-0.16682462
-5.97598799,1.61179293,-1.61179293,0.01147811,-0.01147811,0.13428436,-0.13428436,0.22819961,-0.22819961,0.46713805,-0.46713805,0.04135899,-0.04135899,0.52718421,-0.52718421,0.21496937,-0.21496937,0.17104169,-0.17104169
-5.96998499,1.63450011,-1.63450011,0.01059658,-0.01059658,0.13183531,-0.13183531,0.23120144,-0.23120144,0.46479177,-0.46479177,0.04275525,-0.04275525,0.53946941,-0.53946941,0.21850606,-0.21850606,0.17464937,-0.17464937
-5.96398199,1.65238232,-1.65238232,0.00975129,-0.00975129,0.12947080,-0.12947080,0.23355391,-0.23355391,0.46190576,-0.46190576,0.04397520,-0.04397520,0.54962808,-0.54962808,0.22114609,-0.22114609,0.17755694,-0.17755694
-5.95797899,1.66499261,-1.66499261,0.00895028,-0.00895028,0.12720345,-0.12720345,0.23516923,-0.23516923,0.45846188,-0.45846188,0.04500117,-0.04500117,0.55746439,-0.55746439,0.22283711,-0.22283711,0.17969262,-0.17969262
-5.95197599,1.67198539,-1.67198539,0.00820014,-0.00820014,0.12504230,-0.12504230,0.23597379,-0.23597379,0.45444092,-0.45444092,0.04582123,-0.04582123,0.56282546,-0.56282546,0.22354286,-0.22354286,0.18100480,-0.18100480
-5.94597299,1.67312635,-1.67312635,0.00750593,-0.00750593,0.12299296,-0.12299296,0.23590990,-0.23590990,0.44982538,-0.44982538,0.04642926,-0.04642926,0.56560561,-0.56560561,0.22324400,-0.22324400,0.18146281,-0.18146281
-5.93996998,1.66829931,-1.66829931,0.00687120,-0.00687120,0.12105795,-0.12105795,0.23493720,-0.23493720,0.44460228,-0.44460228,0.04682498,-0.04682498,0.56574934,-0.56574934,0.22193857,-0.22193857,0.18105710,-0.18105710
-5.93396698,1.65750953,-1.65750953,0.00629807,-0.00629807,0.11923720,-0.11923720,0.23303384,-0.23303384,0.43876567,-0.43876567,0.04701363,-0.04701363,0.56325276,-0.56325276,0.21964200,-0.21964200,0.17979869,-0.17979869
-5.92796398,1.64088286,-1.64088286,0.00578727,-0.00578727,0.11752840,-0.11752840,0.23019720,-0.23019720,0.43231874,-0.43231874,0.04700549,-0.04700549,0.55816338,-0.55816338,0.21638672,-0.21638672,0.17771811,-0.17771811
-5.92196098,1.61866064,-1.61866064,0.00533834,-0.00533834,0.11592751,-0.11592751,0.22644415,-0.22644415,0.42527516,-0.42527516,0.04681523,-0.04681523,0.55057824,-0.55057824,0.21222131,-0.21222131,0.17486366,-0.17486366
-5.91595798,1.59119044,-1.59119044,0.00494969,-0.00494969,0.11442908,-0.11442908,0.22181076,-0.22181076,0.41765972,-0.41765972,0.04646102,-0.04646102,0.54064031,-0.54064031,0.20720920,-0.20720920,0.17129907,-0.17129907
-5.90995498,1.55891284,-1.55891284,0.00461877,-0.00461877,0.11302643,-0.11302643,0.21635148,-0.21635148,0.40950809,-0.40950809,0.04596358,-0.04596358,0.52853343,-0.52853343,0.20142689,-0.20142689,0.16710083,-0.16710083
-5.90395198,1.52234494,-1.52234494,0.00434222,-0.00434223,0.11171178,-0.11171178,0.21013780,-0.21013780,0.40086572,-0.40086572,0.04534513,-0.04534513,0.51447598,-0.51447597,0.19496194,-0.19496194,0.16235505,-0.16235505
-5.89794897,1.48206136,-1.48206136,0.00411604,-0.00411604,0.11047623,-0.11047623,0.20325639,-0.20325639,0.39178609,-0.39178609,0.04462835,-0.04462835,0.49871346,-0.49871345,0.18791052,-0.18791052,0.15715421,-0.15715421
-5.89194597,1.43867373,-1.43867373,0.00393568,-0.00393568,0.10930971,-0.10930971,0.19580686,-0.19580686,0.38232828,-0.38232828,0.04383531,-0.04383531,0.48151048,-0.48151048,0.18037490,-0.18037490,0.15159378,-0.15159378
-5.88594297,1.39280959,-1.39280959,0.00379619,-0.00379619,0.10820080,-0.10820080,0.18789930,-0.18789930,0.37255427,-0.37255427,0.04298658,-0.04298658,0.46314242,-0.46314242,0.17246074,-0.17246074,0.14576902,-0.14576902
-5.87993997,1.34509203,-1.34509203,0.00369237,-0.00369237,0.10713670,-0.10713670,0.17965149,-0.17965149,0.36252598,-0.36252598,0.04210033,-0.04210033,0.44388717,-0.44388717,0.16427446,-0.16427446,0.13977194,-0.13977194
-5.87393697,1.29612080,-1.29612080,0.00361885,-0.00361885,0.10610314,-0.10610314,0.17118623,-0.17118623,0.35230251,-0.35230251,0.04119179,-0.04119179,0.42401735,-0.42401735,0.15592072,-0.15592072,0.13368866,-0.13368866
-5.86793397,1.24645604,-1.24645604,0.00357020,-0.00357020,0.10508447,-0.10508447,0.16262858,-0.16262858,0.34193757,-0.34193757,0.04027273,-0.04027273,0.40379326,-0.40379326,0.14750005,-0.14750005,0.12759728,-0.12759728
-5.86193097,1.19660527,-1.19660527,0.00354104,-0.00354104,0.10406392,-0.10406392,0.15410334,-0.15410334,0.33147752,-0.33147752,0.03935128,-0.03935128,0.38345697,-0.38345697,0.13910692,-0.13910692,0.12156619,-0.12156619
-5.85592796,1.14701412,-1.14701412,0.00352613,-0.00352613,0.10302399,-0.10302399,0.14573284,-0.14573284,0.32096002,-0.32096002,0.03843189,-0.03843189,0.36322759,-0.36322759,0.13082802,-0.13082802,0.11565309,-0.11565309
-5.84992496,1.09806104,-1.09806104,0.00352045,-0.00352045,0.10194703,-0.10194703,0.13763495,-0.13763495,0.31041339,-0.31041339,0.03751557,-0.03751557,0.34329796,-0.34329796,0.12274109,-0.12274109,0.10990450,-0.10990450
-5.84392196,1.05005610,-1.05005611,0.00351928,-0.00351928,0.10081601,-0.10081601,0.12992154,-0.12992154,0.29985680,-0.29985680,0.03660025,-0.03660025,0.32383273,-0.32383273,0.11491407,-0.11491407,0.10435591,-0.10435591
-5.83791896,1.00324345,-1.00324345,0.00351827,-0.00351827,0.09961536,-0.09961536,0.12269721,-0.12269721,0.28930121,-0.28930121,0.03568134,-0.03568134,0.30496787,-0.30496787,0.10740478,-0.10740478,0.09903235,-0.09903235
