energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,11.58482604,1.86510255,1.02329816,0.10418731,0.07944196,0.24222169,3.08096168,0.54837721,5.77720570
-5.99399700,11.57598887,1.87822696,1.04357147,0.10734004,0.07945339,0.23997892,3.10226976,0.55652372,5.72866819
-5.98799400,11.52954451,1.88201144,1.06267326,0.11046413,0.07914290,0.23698312,3.11340724,0.56268021,5.66134475
-5.98199100,11.44452578,1.87640848,1.08038728,0.11349635,0.07850085,0.23327347,3.11414623,0.56668524,5.57483479
-5.97598799,11.32071238,1.86153432,1.09648419,0.11637769,0.07752408,0.22889714,3.10440353,0.56841567,5.46919466
-5.96998499,11.15862520,1.83766385,1.11072461,0.11905480,0.07621621,0.22390796,3.08423834,0.56778993,5.34493121
-5.96398199,10.95949645,1.80522101,1.12286290,0.12148096,0.07458758,0.21836493,3.05384621,0.56476992,5.20297962
-5.95797899,10.72521758,1.76476509,1.13265170,0.12361681,0.07265509,0.21233069,3.01354995,0.55936150,5.04466654
-5.95197599,10.45826765,1.71697351,1.13984700,0.12543065,0.07044171,0.20587000,2.96378773,0.55161359,4.87166055
-5.94597299,10.16162593,1.66262163,1.14421392,0.12689836,0.06797582,0.19904832,2.90509929,0.54161595,4.68591220
-5.93996998,9.83867280,1.60256051,1.14553286,0.12800310,0.06529040,0.19193054,2.83811073,0.52949578,4.48958650
-5.93396698,9.49308359,1.53769345,1.14360599,0.12873462,0.06242198,0.18457989,2.76351874,0.51541325,4.28499093
-5.92796398,9.12872019,1.46895207,1.13826387,0.12908848,0.05940963,0.17705708,2.68207470,0.49955630,4.07450207
-5.92196098,8.74952475,1.39727299,1.12937196,0.12906510,0.05629381,0.16941968,2.59456958,0.48213491,3.86049400
-5.91595798,8.35942001,1.32357570,1.11683688,0.12866873,0.05311526,0.16172178,2.50181975,0.46337502,3.64527141
-5.90995498,7.96221961,1.24874256,1.10061194,0.12790654,0.04991396,0.15401385,2.40465439,0.44351252,3.43100982
-5.90395198,7.56155152,1.17360138,1.08070199,0.12678772,0.04672817,0.14634284,2.30390460,0.42278741,3.21970509
-5.89794897,7.16079650,1.09891109,1.05716708,0.12532279,0.04359363,0.13875249,2.20039438,0.40143839,3.01313371
-5.89194597,6.76304293,1.02535083,1.03012485,0.12352310,0.04054287,0.13128374,2.09493348,0.37969805,2.81282476
-5.88594297,6.37105799,0.95351255,0.99975141,0.12140053,0.03760472,0.12397523,1.98831190,0.35778882,2.62004377
-5.87993997,5.98727484,0.88389718,0.96628064,0.11896743,0.03480408,0.11686395,1.88129607,0.33591964,2.43578836
-5.87393697,5.61379428,0.81691404,0.93000179,0.11623674,0.03216171,0.10998577,1.77462613,0.31428356,2.26079450
-5.86793397,5.25239876,0.75288338,0.89125540,0.11322234,0.02969431,0.10337595,1.66901420,0.29305610,2.09555233
-5.86193097,4.90457653,0.69204145,0.85042771,0.10993944,0.02741471,0.09706965,1.56514327,0.27239429,1.94032971
-5.85592796,4.57155286,0.63454773,0.80794354,0.10640515,0.02533213,0.09110220,1.46366635,0.25243656,1.79520151
-5.84992496,4.25432576,0.58049378,0.76425808,0.10263895,0.02345256,0.08550933,1.36520562,0.23330296,1.66008276
-5.84392196,3.95370316,0.52991302,0.71984768,0.09866323,0.02177917,0.08032718,1.27035134,0.21509604,1.53476335
-5.83791896,3.67033925,0.48279117,0.67520006,0.09450366,0.02031272,0.07559218,1.17966049,0.19790188,1.41894261
-5.83191596,3.40476772,0.43907650,0.63080431,0.09018939,0.01905197,0.07134077,1.09365484,0.18179139,1.31226183
-5.82591296,3.15743019,0.39868981,0.58714086,0.08575320,0.01799403,0.06760898,1.01281864,0.16682169,1.21433337
-5.81990995,2.92869877,0.36153351,0.54467205,0.08123132,0.01713467,0.06443191,0.93759589,0.15303747,1.12476536
-5.81390695,2.71889195,0.32749973,0.50383331,0.07666312,0.01646851,0.06184304,0.86838731,0.14047229,1.04318114
-5.80790395,2.52828392,0.29647705,0.46502542,0.07209056,0.01598920,0.05987358,0.80554714,0.12914977,0.96923318
-5.80190095,2.35710740,0.26835602,0.42860798,0.06755755,0.01568944,0.05855167,0.74938000,0.11908455,0.90261156
-5.79589795,2.20555092,0.24303321,0.39489423,0.06310908,0.01556103,0.05790168,0.70013794,0.11028317,0.84304723
-5.78989495,2.07375135,0.22041397,0.36414734,0.05879028,0.01559476,0.05794346,0.65801775,0.10274474,0.79031070
-5.78389195,1.96178295,0.20041389,0.33657817,0.05464547,0.01578039,0.05869166,0.62315885,0.09646141,0.74420697
-5.77788894,1.86964419,0.18295924,0.31234436,0.05071707,0.01610653,0.06015510,0.59564169,0.09141880,0.70456748
-5.77188594,1.79724354,0.16798639,0.29155082,0.04704471,0.01656056,0.06233627,0.57548674,0.08759626,0.67124019
-5.76588294,1.74438531,0.15544049,0.27425122,0.04366426,0.01712865,0.06523088,0.56265418,0.08496706,0.64407850
-5.75987994,1.71075669,0.14527352,0.26045054,0.04060699,0.01779576,0.06882747,0.55704414,0.08349857,0.62293005
-5.75387694,1.69591659,0.13744199,0.25010828,0.03789895,0.01854576,0.07310724,0.55849748,0.08315245,0.60762608
-5.74787394,1.69928712,0.13190437,0.24314217,0.03556032,0.01936164,0.07804379,0.56679714,0.08388478,0.59797186
-5.74187094,1.72014793,0.12861838,0.23943227,0.03360506,0.02022581,0.08360310,0.58166981,0.08564635,0.59373889
-5.73586793,1.75763379,0.12753850,0.23882515,0.03204065,0.02112056,0.08974346,0.60278799,0.08838300,0.59465884
-5.72986493,1.81073558,0.12861359,0.24113805,0.03086797,0.02202847,0.09641551,0.62977247,0.09203605,0.60041978
-5.72386193,1.87830467,0.13178495,0.24616300,0.03008135,0.02293309,0.10356233,0.66219512,0.09654293,0.61066444
-5.71785893,1.95906074,0.13698487,0.25367067,0.02966877,0.02381959,0.11111957,0.69958206,0.10183795,0.62499061
-5.71185593,2.05160314,0.14413582,0.26341415,0.02961219,0.02467542,0.11901565,0.74141755,0.10785335,0.64295356
-5.70585293,2.15442570,0.15315041,0.27513244,0.02988798,0.02549110,0.12717199,0.78714842,0.11452046,0.66407030
-5.69984992,2.26593515,0.16393211,0.28855399,0.03046753,0.02626097,0.13550344,0.83618956,0.12177129,0.68782547
-5.69384692,2.38447308,0.17637697,0.30340007,0.03131789,0.02698388,0.14391865,0.88793045,0.12954022,0.71367872
-5.68784392,2.50834162,0.19037616,0.31938840,0.03240257,0.02766385,0.15232082,0.94174300,0.13776603,0.74107333
-5.68184092,2.63583262,0.20581952,0.33623684,0.03368244,0.02831071,0.16060840,0.99699089,0.14639421,0.76944592
-5.67583792,2.76526021,0.22259980,0.35366734,0.03511665,0.02894052,0.16867623,1.05304044,0.15537935,0.79823703
-5.66983492,2.89499631,0.24061770,0.37141028,0.03666368,0.02957595,0.17641671,1.10927284,0.16468773,0.82690229
-5.66383192,3.02350849,0.25978728,0.38920901,0.03828237,0.03024648,0.18372141,1.16509787,0.17429990,0.85492408
-5.65782891,3.14939902,0.28004160,0.40682467,0.03993305,0.03098841,0.19048279,1.21996839,0.18421316,0.88182320
-5.65182591,3.27144412,0.30133817,0.42404115,0.04157857,0.03184471,0.19659628,1.27339545,0.19444373,0.90717039
-5.64582291,3.38863150,0.32366381,0.44066993,0.04318536,0.03286461,0.20196243,1.32496310,0.20502850,0.93059725
-5.63981991,3.50019448,0.34703859,0.45655476,0.04472435,0.03410305,0.20648931,1.37434236,0.21602615,0.95180615
-5.63381691,3.60564066,0.37151821,0.47157568,0.04617180,0.03561980,0.21009491,1.42130314,0.22751743,0.97057868
-5.62781391,3.70477279,0.39719460,0.48565229,0.04750999,0.03747840,0.21270950,1.46572361,0.23960446,0.98678214
-5.62181091,3.79770004,0.42419422,0.49874587,0.04872761,0.03974491,0.21427790,1.50759565,0.25240881,1.00037367
-5.61580790,3.88483760,0.45267388,0.51086008,0.04982009,0.04248628,0.21476143,1.54702597,0.26606838,1.01140162
-5.60980490,3.96689326,0.48281382,0.52204013,0.05078951,0.04576871,0.21413950,1.58423193,0.28073291,1.02000373
-5.60380190,4.04484015,0.51480811,0.53237009,0.05164439,0.04965563,0.21241082,1.61953186,0.29655825,1.02640208
-5.59779890,4.11987533,0.54885247,0.54196842,0.05239911,0.05420567,0.20959392,1.65332965,0.31369934,1.03089456
-5.59179590,4.19336502,0.58512991,0.55098175,0.05307314,0.05947044,0.20572714,1.68609389,0.33230228,1.03384310
-5.58579290,4.26677798,0.62379463,0.55957696,0.05369008,0.06549236,0.20086799,1.71833214,0.35249552,1.03565892
-5.57978989,4.34160927,0.66495501,0.56793204,0.05427643,0.07230238,0.19509175,1.75056134,0.37438083,1.03678526
