energy_ev,total_up,Ga_p_up,Ga_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,1.64655459,0.08886640,0.00000000,0.53708135,1.49583952,0.00099820,0.00941362
-5.99399700,1.72148205,0.09293396,0.00000000,0.55821929,1.56414632,0.00102742,0.01012732
-5.98799400,1.79332191,0.09679872,0.00000000,0.57791266,1.62986064,0.00105603,0.01088019
-5.98199100,1.86207586,0.10045335,0.00000000,0.59614306,1.69301227,0.00108431,0.01167778
-5.97598799,1.92793955,0.10390226,0.00000000,0.61295723,1.75380311,0.00111269,0.01252656
-5.96998499,1.99130508,0.10716212,0.00000000,0.62846794,1.81260817,0.00114175,0.01343374
-5.96398199,2.05275481,0.11026197,0.00000000,0.64285217,1.86996878,0.00117221,0.01440709
-5.95797899,2.11304614,0.11324263,0.00000000,0.65634636,1.92657783,0.00120492,0.01545462
-5.95197599,2.17308760,0.11615568,0.00000000,0.66923912,1.98325732,0.00124080,0.01658427
-5.94597299,2.23390663,0.11906188,0.00000000,0.68186129,2.04092868,0.00128085,0.01780354
-5.93996998,2.29661030,0.12202909,0.00000000,0.69457386,2.10057702,0.00132608,0.01911901
-5.93396698,2.36234029,0.12512977,0.00000000,0.70775420,2.16321047,0.00137744,0.02053594
-5.92796398,2.43222388,0.12843824,0.00000000,0.72178101,2.22981630,0.00143584,0.02205781
-5.92196098,2.50732308,0.13202769,0.00000000,0.73701865,2.30131561,0.00150201,0.02368589
-5.91595798,2.58858391,0.13596715,0.00000000,0.75380143,2.37851858,0.00157651,0.02541885
-5.90995498,2.67678828,0.14031859,0.00000000,0.77241855,2.46208213,0.00165968,0.02725252
-5.90395198,2.77251058,0.14513419,0.00000000,0.79310016,2.55247222,0.00175157,0.02917964
-5.89794897,2.87608110,0.15045405,0.00000000,0.81600533,2.64993234,0.00185192,0.03118978
-5.89194597,2.98755818,0.15630434,0.00000000,0.84121221,2.75445996,0.00196018,0.03326946
-5.88594297,3.10671056,0.16269609,0.00000000,0.86871094,2.86579223,0.00207544,0.03540230
-5.87993997,3.23301104,0.16962461,0.00000000,0.89839966,2.98340169,0.00219647,0.03756940
-5.87393697,3.36564211,0.17706968,0.00000000,0.93008368,3.10650277,0.00232173,0.03974987
-5.86793397,3.50351368,0.18499643,0.00000000,0.96347808,3.23406890,0.00244944,0.04192147
-5.86193097,3.64529231,0.19335689,0.00000000,0.99821365,3.36485980,0.00257756,0.04406134
-5.85592796,3.78944117,0.20209222,0.00000000,1.03384597,3.49745818,0.00270391,0.04614692
-5.84992496,3.93426904,0.21113537,0.00000000,1.06986737,3.63031430,0.00282620,0.04815675
-5.84392196,4.07798631,0.22041421,0.00000000,1.10572149,3.76179660,0.00294213,0.05007145
-5.83791896,4.21876576,0.22985472,0.00000000,1.14081976,3.89024634,0.00304947,0.05187451
-5.83191596,4.35480511,0.23938432,0.00000000,1.17455925,4.01403372,0.00314609,0.05355309
-5.82591296,4.48438871,0.24893493,0.00000000,1.20634141,4.13161294,0.00323012,0.05509861
-5.81990995,4.60594518,0.25844568,0.00000000,1.23559062,4.24157360,0.00329993,0.05650719
