energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.75104537,0.59738083,0.39811413,0.00653795,0.25332057,0.00520000,0.87833958,0.20652500,0.29603882
-5.99399700,1.74397359,0.56972124,0.39704476,0.00648280,0.26243815,0.00511471,0.86279906,0.19598433,0.30350737
-5.98799400,1.73768044,0.54340361,0.39523572,0.00639451,0.27195847,0.00500632,0.84753405,0.18603608,0.31133017
-5.98199100,1.73207208,0.51863535,0.39267573,0.00627389,0.28176902,0.00487535,0.83262136,0.17673692,0.31941602
-5.97598799,1.72701878,0.49559426,0.38936453,0.00612261,0.29174475,0.00472283,0.81812496,0.16812946,0.32766127
-5.96998499,1.72237536,0.47443435,0.38531495,0.00594320,0.30175335,0.00455030,0.80410385,0.16024541,0.33595471
-5.96398199,1.71800251,0.45529228,0.38055472,0.00573897,0.31166112,0.00435976,0.79062013,0.15310910,0.34418301
-5.95797899,1.71378807,0.43829418,0.37512765,0.00551396,0.32133902,0.00415364,0.77774687,0.14674111,0.35223644
-5.95197599,1.70966728,0.42356244,0.36909437,0.00527283,0.33066879,0.00393470,0.76557538,0.14116182,0.36001449
-5.94597299,1.70564102,0.41122203,0.36253244,0.00502075,0.33954863,0.00370598,0.75422162,0.13639477,0.36743143
-5.93996998,1.70179125,0.40140620,0.35553594,0.00476328,0.34789835,0.00347070,0.74383140,0.13246950,0.37442119
-5.93396698,1.69829289,0.39426102,0.34821457,0.00450622,0.35566365,0.00323220,0.73458415,0.12942389,0.38094158
-5.92796398,1.69542141,0.38994870,0.34069226,0.00425546,0.36281924,0.00299380,0.72669507,0.12730584,0.38697738
-5.92196098,1.69355575,0.38864947,0.33310530,0.00401687,0.36937064,0.00275880,0.72041548,0.12617421,0.39254238
-5.91595798,1.69317614,0.39056171,0.32560014,0.00379616,0.37535458,0.00253030,0.71603125,0.12609890,0.39767992
-5.90995498,1.69485665,0.39590046,0.31833076,0.00359871,0.38083783,0.00231124,0.71385935,0.12716019,0.40246205
-5.90395198,1.69925252,0.40489398,0.31145583,0.00342951,0.38591450,0.00210427,0.71424227,0.12944728,0.40698724
-5.89794897,1.70708250,0.41777868,0.30513540,0.00329305,0.39070191,0.00191174,0.71754070,0.13305605,0.41137665
-5.89194597,1.71910664,0.43479221,0.29952760,0.00319318,0.39533518,0.00173569,0.72412424,0.13808612,0.41576911
-5.88594297,1.73610016,0.45616502,0.29478491,0.00313309,0.39996070,0.00157778,0.73436063,0.14463737,0.42031499
-5.87993997,1.75882427,0.48211070,0.29105044,0.00311526,0.40472890,0.00143936,0.74860355,0.15280595,0.42516926
-5.87393697,1.78799508,0.51281514,0.28845414,0.00314135,0.40978648,0.00132142,0.76717948,0.16267991,0.43048400
-5.86793397,1.82425161,0.54842517,0.28710895,0.00321224,0.41526866,0.00122463,0.79037406,0.17433473,0.43640070
-5.86193097,1.86812434,0.58903697,0.28710719,0.00332795,0.42129159,0.00114935,0.81841826,0.18782871,0.44304276
-5.85592796,1.92000555,0.63468479,0.28851713,0.00348768,0.42794555,0.00109567,0.85147516,0.20319862,0.45050852
-5.84992496,1.98012283,0.68533045,0.29137993,0.00368979,0.43528906,0.00106340,0.88962766,0.22045548,0.45886516
-5.84392196,2.04851686,0.74085424,0.29570713,0.00393184,0.44334429,0.00105215,0.93286781,0.23958100,0.46814380
-5.83791896,2.12502474,0.80104761,0.30147873,0.00421061,0.45209400,0.00106128,0.98108829,0.26052450,0.47833600
-5.83191596,2.20926947,0.86560812,0.30864202,0.00452214,0.46148010,0.00108998,1.03407634,0.28320063,0.48939192
-5.82591296,2.30065650,0.93413712,0.31711129,0.00486182,0.47140399,0.00113724,1.09151078,0.30748796,0.50122013
-5.81990995,2.39837732,1.00614018,0.32676839,0.00522442,0.48172857,0.00120188,1.15296206,0.33322846,0.51368917
-5.81390695,2.50142037,1.08103071,0.33746427,0.00560424,0.49228188,0.00128257,1.21789571,0.36022807,0.52663071
-5.80790395,2.60858879,1.15813647,0.34902150,0.00599515,0.50286222,0.00137780,1.28567908,0.38825818,0.53984423
-5.80190095,2.71852442,1.23670907,0.36123762,0.00639076,0.51324442,0.00148591,1.35559114,0.41705819,0.55310294
-5.79589795,2.82973718,1.31593606,0.37388939,0.00678449,0.52318704,0.00160510,1.42683513,0.44633893,0.56616067
-5.78989495,2.94063875,1.39495523,0.38673768,0.00716976,0.53244022,0.00173342,1.49855369,0.47578707,0.57875942
-5.78389195,3.04957921,1.47287070,0.39953297,0.00754008,0.54075372,0.00186879,1.56984578,0.50507013,0.59063727
-5.77788894,3.15488554,1.54877024,0.41202123,0.00788918,0.54788500,0.00200903,1.63978499,0.53384229,0.60153621
-5.77188594,3.25490034,1.62174317,0.42394993,0.00821119,0.55360683,0.00215187,1.70743863,0.56175052,0.61120968
-5.76588294,3.34801978,1.69089836,0.43507418,0.00850072,0.55771429,0.00229500,1.77188686,0.58844113,0.61942948
-5.75987994,3.43272945,1.75538169,0.44516258,0.00875297,0.56003097,0.00243608,1.83224146,0.61356646,0.62599188
-5.75387694,3.50763724,1.81439258,0.45400272,0.00896386,0.56041396,0.00257282,1.88766359,0.63679153,0.63072263
-5.74787394,3.57150237,1.86719899,0.46140619,0.00913007,0.55875782,0.00270304,1.93738026,0.65780057,0.63348090
-5.74187094,3.62325999,1.91315083,0.46721288,0.00924910,0.55499720,0.00282469,1.98069903,0.67630320,0.63416198
-5.73586793,3.66204118,1.95169128,0.47129456,0.00931932,0.54910825,0.00293597,2.01702078,0.69204014,0.63269890
-5.72986493,3.68718786,1.98236610,0.47355757,0.00933997,0.54110877,0.00303536,2.04585031,0.70478842,0.62906279
-5.72386193,3.69826295,2.00483072,0.47394464,0.00931116,0.53105727,0.00312169,2.06680487,0.71436579,0.62326238
-5.71785893,3.69505575,2.01885528,0.47243582,0.00923381,0.51905095,0.00319422,2.07962036,0.72063445,0.61534252
-5.71185593,3.67758282,2.02432754,0.46904848,0.00910961,0.50522275,0.00325269,2.08415544,0.72350388,0.60538199
-5.70585293,3.64608478,2.02125390,0.46383653,0.00894099,0.48973765,0.00329736,2.08039355,0.72293273,0.59349078
-5.69984992,3.60101923,2.00975852,0.45688879,0.00873098,0.47278843,0.00332906,2.06844286,0.71892985,0.57980686
-5.69384692,3.54305034,1.99008074,0.44832667,0.00848315,0.45459085,0.00334919,2.04853430,0.71155424,0.56449279
-5.68784392,3.47303519,1.96257086,0.43830121,0.00820152,0.43537862,0.00335977,2.02101774,0.70091411,0.54773202
-5.68184092,3.39200746,1.92768434,0.42698964,0.00789045,0.41539815,0.00336340,1.98635625,0.68716496,0.52972524
-5.67583792,3.30115858,1.88597448,0.41459139,0.00755452,0.39490335,0.00336322,1.94511873,0.67050671,0.51068668
-5.66983492,3.20181655,1.83808368,0.40132388,0.00719851,0.37415044,0.00336291,1.89797060,0.65118004,0.49084046
-5.66383192,3.09542295,1.78473319,0.38741803,0.00682720,0.35339299,0.00336661,1.84566301,0.62946190,0.47041702
-5.65782891,2.98350812,1.72671156,0.37311365,0.00644540,0.33287728,0.00337881,1.78902030,0.60566039,0.44964970
-5.65182591,2.86766511,1.66486179,0.35865483,0.00605778,0.31283807,0.00340432,1.72892607,0.58010905,0.42877140
-5.64582291,2.74952252,1.60006730,0.34428536,0.00566888,0.29349475,0.00344811,1.66630787,0.55316079,0.40801132
