energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Li_s_up,S_s_up,S_p_up
-6.00000000,0.40448280,0.00573271,0.01420532,0.09630878,0.05801715,0.05647297,0.01516465,0.15575742
-5.99399700,0.39627835,0.00608025,0.01401368,0.09832992,0.05574784,0.05929797,0.01500559,0.15404650
-5.98799400,0.39363834,0.00649973,0.01404652,0.10190030,0.05436694,0.06289135,0.01506408,0.15442410
-5.98199100,0.39668945,0.00699125,0.01431572,0.10709124,0.05388872,0.06725376,0.01534482,0.15693640
-5.97598799,0.40546551,0.00755414,0.01483015,0.11395284,0.05431637,0.07237264,0.01584846,0.16159212
-5.96998499,0.41990548,0.00818693,0.01559540,0.12251180,0.05564142,0.07822192,0.01657144,0.16836171
-5.96398199,0.43985251,0.00888717,0.01661363,0.13276947,0.05784340,0.08476179,0.01750590,0.17717710
-5.95797899,0.46505420,0.00965141,0.01788338,0.14470004,0.06088950,0.09193881,0.01863964,0.18793198
-5.95197599,0.49516411,0.01047514,0.01939937,0.15824892,0.06473440,0.09968615,0.01995614,0.20048257
-5.94597299,0.52974476,0.01135275,0.02115235,0.17333163,0.06932028,0.10792423,0.02143476,0.21464915
-5.93996998,0.56827232,0.01227753,0.02312900,0.18983293,0.07457702,0.11656152,0.02305101,0.23021826
-5.93396698,0.61014304,0.01324168,0.02531187,0.20760668,0.08042267,0.12549570,0.02477693,0.24694561
-5.92796398,0.65468178,0.01423634,0.02767938,0.22647628,0.08676413,0.13461514,0.02658161,0.26455995
-5.92196098,0.70115257,0.01525165,0.03020595,0.24623587,0.09349824,0.14380064,0.02843187,0.28276764
-5.91595798,0.74877134,0.01627681,0.03286215,0.26665235,0.10051320,0.15292739,0.03029301,0.30125812
-5.90995498,0.79672067,0.01730018,0.03561506,0.28746837,0.10769036,0.16186732,0.03212971,0.31971012
-5.90395198,0.84416642,0.01830942,0.03842868,0.30840608,0.11490637,0.17049146,0.03390701,0.33779853
-5.89794897,0.89027588,0.01929165,0.04126448,0.32917189,0.12203568,0.17867255,0.03559134,0.35520174
-5.89194597,0.93423699,0.02023365,0.04408209,0.34946194,0.12895331,0.18628774,0.03715153,0.37160937
-5.88594297,0.97527812,0.02112205,0.04684005,0.36896833,0.13553788,0.19322122,0.03855991,0.38673001
-5.87993997,1.01268776,0.02194364,0.04949669,0.38738586,0.14167473,0.19936682,0.03979323,0.40029874
-5.87393697,1.04583336,0.02268561,0.05201108,0.40441915,0.14725904,0.20463046,0.04083354,0.41208435
-5.86793397,1.07417866,0.02333591,0.05434399,0.41978983,0.15219892,0.20893236,0.04166890,0.42189557
-5.86193097,1.09729873,0.02388353,0.05645884,0.43324374,0.15641814,0.21220896,0.04229386,0.42958653
