energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.07874522,0.08046278,0.04518332,0.43971945,0.52216361,0.00000000,0.28069138,0.08653528
-5.99399700,1.06640035,0.07946513,0.04515557,0.43400167,0.51701974,0.00000000,0.28301053,0.08460311
-5.98799400,1.05099006,0.07793202,0.04512646,0.42594537,0.51041553,0.00000000,0.28501787,0.08250179
-5.98199100,1.03273396,0.07589559,0.04510185,0.41573358,0.50245438,0.00000000,0.28678539,0.08024506
-5.97598799,1.01197137,0.07339844,0.04509188,0.40359792,0.49329703,0.00000000,0.28840955,0.07785571
-5.96998499,0.98914948,0.07049224,0.04511066,0.38981004,0.48315577,0.00000000,0.29000668,0.07536485
-5.96398199,0.96480671,0.06723614,0.04517560,0.37467162,0.47228616,0.00000000,0.29170692,0.07281085
-5.95797899,0.93955192,0.06369499,0.04530661,0.35850353,0.46097678,0.00000000,0.29364729,0.07023797
-5.95197599,0.91404063,0.05993749,0.04552510,0.34163474,0.44953740,0.00000000,0.29596403,0.06769479
-5.94597299,0.88894930,0.05603428,0.04585278,0.32439127,0.43828627,0.00000000,0.29878465,0.06523238
-5.93996998,0.86494907,0.05205614,0.04631052,0.30708599,0.42753697,0.00000000,0.30222018,0.06290260
-5.93396698,0.84268001,0.04807233,0.04691708,0.29000942,0.41758568,0.00000000,0.30635800,0.06075626
-5.92796398,0.82272718,0.04414911,0.04768801,0.27342207,0.40869924,0.00000000,0.31125558,0.05884149
-5.92196098,0.80559947,0.04034856,0.04863457,0.25754849,0.40110461,0.00000000,0.31693557,0.05720222
-5.91595798,0.79171207,0.03672754,0.04976291,0.24257330,0.39498023,0.00000000,0.32338246,0.05587701
-5.90995498,0.78137320,0.03333711,0.05107342,0.22863907,0.39044944,0.00000000,0.33054109,0.05489799
-5.90395198,0.77477560,0.03022202,0.05256035,0.21584618,0.38757647,0.00000000,0.33831698,0.05429026
-5.89794897,0.77199273,0.02742060,0.05421168,0.20425440,0.38636474,0.00000000,0.34657859,0.05407145
-5.89194597,0.77297989,0.02496474,0.05600933,0.19388598,0.38675784,0.00000000,0.35516140,0.05425163
-5.88594297,0.77757967,0.02288009,0.05792951,0.18472999,0.38864269,0.00000000,0.36387359,0.05483346
-5.87993997,0.78553150,0.02118638,0.05994347,0.17674750,0.39185498,0.00000000,0.37250307,0.05581257
-5.87393697,0.79648450,0.01989771,0.06201836,0.16987733,0.39618634,0.00000000,0.38082550,0.05717802
-5.86793397,0.81001297,0.01902294,0.06411830,0.16404189,0.40139302,0.00000000,0.38861296,0.05891299
-5.86193097,0.82563363,0.01856602,0.06620552,0.15915295,0.40720558,0.00000000,0.39564287,0.06099547
-5.85592796,0.84282395,0.01852623,0.06824169,0.15511692,0.41333918,0.00000000,0.40170670,0.06339891
-5.84992496,0.86104055,0.01889834,0.07018913,0.15183935,0.41950409,0.00000000,0.40661815,0.06609295
-5.84392196,0.87973710,0.01967270,0.07201205,0.14922870,0.42541591,0.00000000,0.41022046,0.06904402
-5.83791896,0.89838102,0.02083521,0.07367774,0.14719908,0.43080523,0.00000000,0.41239254,0.07221585
-5.83191596,0.91646848,0.02236725,0.07515758,0.14567192,0.43542632,0.00000000,0.41305377,0.07556989
-5.82591296,0.93353730,0.02424550,0.07642794,0.14457686,0.43906466,0.00000000,0.41216732,0.07906574
-5.81990995,0.94917752,0.02644182,0.07747090,0.14385159,0.44154311,0.00000000,0.40974196,0.08266134
-5.81390695,0.96303968,0.02892314,0.07827482,0.14344113,0.44272660,0.00000000,0.40583244,0.08631332
-5.80790395,0.97484067,0.03165144,0.07883472,0.14329652,0.44252523,0.00000000,0.40053852,0.08997715
-5.80190095,0.98436754,0.03458380,0.07915252,0.14337320,0.44089598,0.00000000,0.39400287,0.09360753
