energy_ev,total_up,B_p_up,B_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,1.17307180,0.28236190,0.00000000,0.72122750,0.79615536,0.01051339,0.06301172
-5.99399700,1.14152200,0.27353758,0.00000000,0.67047908,0.78046196,0.01011081,0.06256640
-5.98799400,1.11398935,0.26554796,0.00000000,0.62188042,0.76728115,0.00978584,0.06249789
-5.98199100,1.09104187,0.25852823,0.00000000,0.57608994,0.75695085,0.00954082,0.06283595
-5.97598799,1.07318653,0.25260085,0.00000000,0.53371531,0.74977912,0.00937731,0.06360472
-5.96998499,1.06086860,0.24787564,0.00000000,0.49530784,0.74604564,0.00929606,0.06482229
-5.96398199,1.05447416,0.24445054,0.00000000,0.46135927,0.74600510,0.00929698,0.06650056
-5.95797899,1.05433538,0.24241308,0.00000000,0.43230090,0.74989208,0.00937912,0.06864534
-5.95197599,1.06073793,0.24184215,0.00000000,0.40850443,0.75792685,0.00954067,0.07125658
-5.94597299,1.07392958,0.24281011,0.00000000,0.39028439,0.77032153,0.00977903,0.07432882
-5.93996998,1.09412913,0.24538481,0.00000000,0.37790118,0.78728586,0.01009088,0.07785178
-5.93396698,1.12153462,0.24963136,0.00000000,0.37156441,0.80903188,0.01047231,0.08181095
-5.92796398,1.15632970,0.25561341,0.00000000,0.37143591,0.83577675,0.01091890,0.08618832
-5.92196098,1.19868747,0.26339370,0.00000000,0.37763173,0.86774316,0.01142592,0.09096303
-5.91595798,1.24877070,0.27303369,0.00000000,0.39022299,0.90515678,0.01198842,0.09611187
-5.90995498,1.30672814,0.28459227,0.00000000,0.40923498,0.94824046,0.01260142,0.10160978
-5.90395198,1.37268663,0.29812332,0.00000000,0.43464470,0.99720509,0.01326003,0.10743005
-5.89794897,1.44673890,0.31367233,0.00000000,0.46637660,1.05223732,0.01395955,0.11354441
-5.89194597,1.52892765,0.33127211,0.00000000,0.50429697,1.11348438,0.01469553,0.11992288
-5.88594297,1.61922656,0.35093782,0.00000000,0.54820723,1.18103682,0.01546386,0.12653342
-5.87993997,1.71751913,0.37266149,0.00000000,0.59783673,1.25490993,0.01626073,0.13334144
-5.87393697,1.82357690,0.39640650,0.00000000,0.65283566,1.33502486,0.01708263,0.14030922
-5.86793397,1.93703812,0.42210223,0.00000000,0.71276884,1.42119061,0.01792626,0.14739519
-5.86193097,2.05738883,0.44963937,0.00000000,0.77711110,1.51308812,0.01878843,0.15455336
-5.85592796,2.18394757,0.47886619,0.00000000,0.84524501,1.61025767,0.01966594,0.16173270
-5.84992496,2.31585530,0.50958606,0.00000000,0.91646157,1.71209052,0.02055547,0.16887685
-5.84392196,2.45207179,0.54155665,0.00000000,0.98996445,1.81782596,0.02145336,0.17592396
-5.83791896,2.59137932,0.57449090,0.00000000,1.06487798,1.92655423,0.02235554,0.18280687
-5.83191596,2.73239431,0.60805990,0.00000000,1.14025933,2.03722581,0.02325736,0.18945369
-5.82591296,2.87358701,0.64189771,0.00000000,1.21511440,2.14866710,0.02415349,0.19578864
-5.81990995,3.01330891,0.67560802,0.00000000,1.28841750,2.25960217,0.02503785,0.20173340
-5.81390695,3.14982699,0.70877248,0.00000000,1.35913400,2.36867995,0.02590359,0.20720860
-5.80790395,3.28136381,0.74096030,0.00000000,1.42624535,2.47450586,0.02674307,0.21213575
-5.80190095,3.40614167,0.77173889,0.00000000,1.48877544,2.57567666,0.02754793,0.21643929
-5.79589795,3.52242913,0.80068494,0.00000000,1.54581738,2.67081712,0.02830916,0.22004875
-5.78989495,3.62858783,0.82739560,0.00000000,1.59655948,2.75861687,0.02901727,0.22290091
-5.78389195,3.72311760,0.85149918,0.00000000,1.64030938,2.83786587,0.02966245,0.22494185
-5.77788894,3.80469793,0.87266494,0.00000000,1.67651524,2.90748716,0.03023477,0.22612884
-5.77188594,3.87222405,0.89061165,0.00000000,1.70478313,2.96656525,0.03072440,0.22643183
-5.76588294,3.92483608,0.90511439,0.00000000,1.72488977,3.01436934,0.03112188,0.22583464
-5.75987994,3.96194036,0.91600952,0.00000000,1.73679015,3.05037035,0.03141837,0.22433569
-5.75387694,3.98322212,0.92319765,0.00000000,1.74061971,3.07425144,0.03160589,0.22194827
-5.74787394,3.98864945,0.92664448,0.00000000,1.73669104,3.08591176,0.03167759,0.21870032
-5.74187094,3.97846875,0.92637966,0.00000000,1.72548526,3.08546371,0.03162794,0.21463379
-5.73586793,3.95319229,0.92249384,0.00000000,1.70763852,3.07322419,0.03145298,0.20980363
-5.72986493,3.91357888,0.91513411,0.00000000,1.68392423,3.04970061,0.03115044,0.20427635
-5.72386193,3.86060878,0.90449805,0.00000000,1.65523173,3.01557250,0.03071990,0.19812840
-5.71785893,3.79545426,0.89082686,0.00000000,1.62254231,2.97166987,0.03016287,0.19144439
-5.71185593,3.71944707,0.87439782,0.00000000,1.58690330,2.91894922,0.02948285,0.18431513
-5.70585293,3.63404435,0.85551630,0.00000000,1.54940136,2.85846836,0.02868525,0.17683577
-5.69984992,3.54079395,0.83450784,0.00000000,1.51113550,2.79136079,0.02777738,0.16910398
-5.69384692,3.44130043,0.81171023,0.00000000,1.47319086,2.71881057,0.02676833,0.16121821
-5.68784392,3.33719241,0.78746613,0.00000000,1.43661363,2.64202816,0.02566878,0.15327622
-5.68184092,3.23009199,0.76211607,0.00000000,1.40238790,2.56222774,0.02449077,0.14537379
-5.67583792,3.12158658,0.73599207,0.00000000,1.37141473,2.48060618,0.02324750,0.13760361
-5.66983492,3.01320348,0.70941198,0.00000000,1.34449374,2.39832405,0.02195301,0.13005447
-5.66383192,2.90638719,0.68267442,0.00000000,1.32230764,2.31648841,0.02062186,0.12281062
-5.65782891,2.80247969,0.65605442,0.00000000,1.30540972,2.23613764,0.01926884,0.11595133
-5.65182591,2.70270344,0.62979975,0.00000000,1.29421451,2.15822815,0.01790864,0.10955062
-5.64582291,2.60814731,0.60412794,0.00000000,1.28899181,2.08362301,0.01655554,0.10367708
-5.63981991,2.51975534,0.57922394,0.00000000,1.28986394,2.01308258,0.01522309,0.09839388
-5.63381691,2.43831854,0.55523852,0.00000000,1.29680652,1.94725710,0.01392391,0.09375873
-5.62781391,2.36446967,0.53228738,0.00000000,1.30965268,1.88668150,0.01266941,0.08982400
-5.62181091,2.29868134,0.51045106,0.00000000,1.32810064,1.83177252,0.01146963,0.08663678
-5.61580790,2.24126741,0.48977554,0.00000000,1.35172465,1.78282825,0.01033312,0.08423906
-5.60980490,2.19238797,0.47027382,0.00000000,1.37998914,1.74003035,0.00926687,0.08266781
-5.60380190,2.15205773,0.45192816,0.00000000,1.41226568,1.70344896,0.00827626,0.08195519
-5.59779890,2.12015784,0.43469317,0.00000000,1.44785255,1.67305019,0.00736508,0.08212873
-5.59179590,2.09645092,0.41849964,0.00000000,1.48599622,1.64870626,0.00653566,0.08321152
-5.58579290,2.08059881,0.40325893,0.00000000,1.52591430,1.63020784,0.00578889,0.08522245
-5.57978989,2.07218252,0.38886791,0.00000000,1.56681906,1.61727830,0.00512444,0.08817652
-5.57378689,2.07072368,0.37521412,0.00000000,1.60794094,1.60958924,0.00454086,0.09208507
-5.56778389,2.07570656,0.36218113,0.00000000,1.64855088,1.60677681,0.00403581,0.09695614
-5.56178089,2.08659974,0.34965371,0.00000000,1.68798101,1.60845795,0.00360623,0.10279476
-5.55577789,2.10287661,0.33752275,0.00000000,1.72564256,1.61424586,0.00324849,0.10960322
-5.54977489,2.12403348,0.32568957,0.00000000,1.76104044,1.62376405,0.00295863,0.11738130
-5.54377189,2.14960470,0.31406962,0.00000000,1.79378389,1.63665819,0.00273250,0.12612641
-5.53776888,2.17917396,0.30259529,0.00000000,1.82359280,1.65260517,0.00256587,0.13583358
