energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,12.59096541,0.00933385,2.23555997,0.54329326,0.37858870,6.03329621,7.45749780,0.11118030,2.44428541
-5.99399700,12.65106966,0.00968214,2.24080888,0.55167978,0.37984664,6.10309257,7.48979525,0.11251769,2.46138533
-5.98799400,12.67500844,0.01007965,2.23739059,0.56067086,0.38004452,6.15669771,7.49805942,0.11357797,2.47479710
-5.98199100,12.66434322,0.01052856,2.22549877,0.57039189,0.37926813,6.19517326,7.48305359,0.11436736,2.48497619
-5.97598799,12.62146367,0.01103193,2.20548854,0.58097835,0.37763442,6.22004094,7.44601354,0.11490168,2.49251849
-5.96998499,12.54945760,0.01159344,2.17785859,0.59256654,0.37528590,6.23321381,7.38857991,0.11520505,2.49812601
-5.96398199,12.45195840,0.01221717,2.14322957,0.60528382,0.37238407,6.23691090,7.31271916,0.11530825,2.50256807
-5.95797899,12.33297726,0.01290722,2.10231967,0.61923877,0.36910224,6.23355931,7.22063744,0.11524678,2.50663958
-5.95197599,12.19672832,0.01366737,2.05591864,0.63451177,0.36561800,6.22568778,7.11469122,0.11505877,2.51111853
-5.94597299,12.04745457,0.01450064,2.00486130,0.65114650,0.36210577,6.21581677,6.99729875,0.11478273,2.51672481
-5.93996998,11.88926216,0.01540897,1.95000147,0.66914282,0.35872980,6.20634997,6.87085598,0.11445542,2.52408216
-5.93396698,11.72597040,0.01639277,1.89218762,0.68845127,0.35563782,6.19947219,6.73766044,0.11410985,2.53368525
-5.92796398,11.56098351,0.01745063,1.83224065,0.70896965,0.35295589,6.19705846,6.59984586,0.11377351,2.54587334
-5.92196098,11.39718914,0.01857905,1.77093494,0.73054182,0.35078445,6.20059859,6.45932978,0.11346698,2.56081183
-5.91595798,11.23688762,0.01977227,1.70898291,0.75295879,0.34919590,6.21114081,6.31777579,0.11320295,2.57848256
-5.90995498,11.08175405,0.02102216,1.64702355,0.77596221,0.34823379,6.22925738,6.17657130,0.11298576,2.59868337
-5.90395198,10.93283416,0.02231830,1.58561521,0.79925015,0.34791361,6.25503390,6.03682106,0.11281139,2.62103688
-5.89794897,10.79057315,0.02364806,1.52523246,0.82248493,0.34822510,6.28808303,5.89935595,0.11266792,2.64500822
-5.89194597,10.65487540,0.02499694,1.46626710,0.84530291,0.34913597,6.32758248,5.76475597,0.11253657,2.66993080
-5.88594297,10.52519144,0.02634886,1.40903281,0.86732563,0.35059686,6.37233553,5.63338566,0.11239298,2.69503897
-5.87993997,10.40062745,0.02768668,1.35377308,0.88817225,0.35254701,6.42085169,5.50543983,0.11220896,2.71950604
-5.87393697,10.28007155,0.02899271,1.30067193,0.90747250,0.35492060,6.47144399,5.38099690,0.11195437,2.74248594
-5.86793397,10.16233043,0.03024932,1.24986655,0.92487986,0.35765319,6.52233850,5.26007690,0.11159917,2.76315650
-5.86193097,10.04626936,0.03143957,1.20146131,0.94008436,0.36068791,6.57179108,5.14270117,0.11111543,2.78076234
-5.85592796,9.93094840,0.03254780,1.15554230,0.95282461,0.36398108,6.61820609,5.02895026,0.11047928,2.79465536
-5.84992496,9.81574801,0.03356023,1.11219160,0.96289836,0.36750683,6.66025117,4.91901730,0.10967261,2.80433093
-5.84392196,9.70047744,0.03446548,1.07150048,0.97017143,0.37126059,6.69696279,4.81325355,0.10868445,2.80945792
-5.83791896,9.58546027,0.03525499,1.03358091,0.97458434,0.37526102,6.72783700,4.71220390,0.10751200,2.80990132
-5.83191596,9.47159228,0.03592334,0.99857467,0.97615653,0.37955042,6.75290086,4.61662995,0.10616121,2.80573606
-5.82591296,9.36036844,0.03646843,0.96665954,0.97498775,0.38419349,6.77276038,4.52751921,0.10464689,2.79725160
-5.81990995,9.25387666,0.03689150,0.93805219,0.97125673,0.38927451,6.78862202,4.44607949,0.10299238,2.78494670
-5.81390695,9.15475807,0.03719705,0.91300757,0.96521683,0.39489311,6.80228582,4.37371831,0.10122872,2.76951469
-5.80790395,9.06613484,0.03739256,0.89181466,0.95718896,0.40115871,6.81610952,4.31200760,0.09939352,2.75181984
-5.80190095,8.99150797,0.03748814,0.87478878,0.94755187,0.40818418,6.83294416,4.26263515,0.09752938,2.73286556
