energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,7.43961780,0.12978276,0.35616049,1.39349400,0.25927979,0.08566727,4.16793280,1.35112696,0.68107317
-5.99399700,7.23063662,0.12622047,0.35424313,1.35615815,0.24674494,0.08249425,4.03767459,1.31702556,0.66835625
-5.98799400,7.00744112,0.12232217,0.35120578,1.31615813,0.23442467,0.07930179,3.90022298,1.27944090,0.65402926
-5.98199100,6.77120634,0.11813744,0.34711322,1.27354502,0.22241245,0.07608820,3.75622190,1.23833420,0.63818412
-5.97598799,6.52339160,0.11371711,0.34204371,1.22844462,0.21079252,0.07285564,3.60647494,1.19377675,0.62093923
-5.96998499,6.26569489,0.10911202,0.33608562,1.18105436,0.19963759,0.06960974,3.45192160,1.14594648,0.60243551
-5.96398199,5.99999903,0.10437200,0.32933376,1.13163698,0.18900687,0.06635899,3.29360844,1.09512058,0.58283168
-5.95797899,5.72831259,0.09954478,0.32188582,1.08051147,0.17894467,0.06311416,3.13265697,1.04166467,0.56229908
-5.95197599,5.45270853,0.09467517,0.31383899,1.02804195,0.16947958,0.05988754,2.97022972,0.98601900,0.54101622
-5.94597299,5.17526349,0.08980434,0.30528682,0.97462494,0.16062427,0.05669235,2.80749630,0.92868267,0.51916336
-5.93996998,4.89800066,0.08496929,0.29631678,0.92067604,0.15237590,0.05354204,2.64560080,0.87019638,0.49691751
-5.93396698,4.62283849,0.08020247,0.28700831,0.86661640,0.14471710,0.05044980,2.48563219,0.81112457,0.47444787
-5.92796398,4.35154741,0.07553159,0.27743157,0.81285990,0.13761755,0.04742804,2.32859864,0.75203785,0.45191210
-5.92196098,4.08571584,0.07097957,0.26764699,0.75980150,0.13103596,0.04448807,2.17540688,0.69349622,0.42945342
-5.91595798,3.82672662,0.06656471,0.25770545,0.70780726,0.12492241,0.04163984,2.02684695,0.63603383,0.40719875
-5.90995498,3.57574390,0.06230090,0.24764913,0.65720644,0.11922092,0.03889185,1.88358284,0.58014582,0.38525778
-5.90395198,3.33371034,0.05819800,0.23751294,0.60828572,0.11387218,0.03625107,1.74614881,0.52627745,0.36372304
-5.89794897,3.10135374,0.05426230,0.22732630,0.56128580,0.10881626,0.03372308,1.61495106,0.47481604,0.34267081
-5.89194597,2.87920181,0.05049699,0.21711529,0.51640017,0.10399513,0.03131216,1.49027425,0.42608553,0.32216275
-5.88594297,2.66760362,0.04690276,0.20690484,0.47377592,0.09935509,0.02902155,1.37229200,0.38034388,0.30224809
-5.87993997,2.46675571,0.04347826,0.19672098,0.43351629,0.09484874,0.02685367,1.26108039,0.33778296,0.28296618
-5.87393697,2.27673105,0.04022069,0.18659283,0.39568460,0.09043673,0.02481037,1.15663360,0.29853083,0.26434916
-5.86793397,2.09750902,0.03712626,0.17655433,0.36030923,0.08608888,0.02289325,1.05888051,0.26265602,0.24642462
-5.86193097,1.92900457,0.03419059,0.16664554,0.32738921,0.08178502,0.02110388,0.96770143,0.23017333,0.22921807
-5.85592796,1.77109505,0.03140911,0.15691350,0.29690005,0.07751526,0.01944402,0.88294401,0.20105090,0.21275497
-5.84992496,1.62364359,0.02877731,0.14741252,0.26879947,0.07327988,0.01791582,0.80443767,0.17521797,0.19706240
-5.84392196,1.48651800,0.02629095,0.13820400,0.24303279,0.06908876,0.01652192,0.73200599,0.15257297,0.18217005
-5.83791896,1.35960476,0.02394618,0.12935564,0.21953765,0.06496052,0.01526560,0.66547665,0.13299152,0.16811078
-5.83191596,1.24281796,0.02173959,0.12094031,0.19824809,0.06092131,0.01415072,0.60468882,0.11633414,0.15492048
-5.82591296,1.13610310,0.01966821,0.11303443,0.17909769,0.05700349,0.01318176,0.54949795,0.10245315,0.14263753
-5.81990995,1.03943645,0.01772944,0.10571604,0.16202186,0.05324407,0.01236372,0.49977803,0.09119879,0.13130167
