energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,1.48284467,0.00335724,0.27605445,0.30434074,0.11885884,0.84827807,0.55733232,0.00816952,0.51568157
-5.99399700,1.48262243,0.00332197,0.27808719,0.30732608,0.11712597,0.85922624,0.56116830,0.00819271,0.51128491
-5.98799400,1.48548432,0.00331705,0.27984225,0.31240625,0.11595198,0.87063048,0.56564308,0.00820668,0.50900276
-5.98199100,1.49218774,0.00335029,0.28131077,0.31990534,0.11548212,0.88277484,0.57081560,0.00821601,0.50933009
-5.97598799,1.50345488,0.00342959,0.28250130,0.33011166,0.11585317,0.89594256,0.57675398,0.00822567,0.51271933
-5.96998499,1.51994732,0.00356284,0.28343734,0.34326988,0.11719028,0.91040573,0.58352811,0.00824102,0.51956838
-5.96398199,1.54224327,0.00375780,0.28415462,0.35957465,0.11960400,0.92641565,0.59120249,0.00826769,0.53021056
-5.95797899,1.57081831,0.00402198,0.28469822,0.37916581,0.12318775,0.94419424,0.59982987,0.00831163,0.54490668
-5.95197599,1.60603028,0.00436247,0.28511984,0.40212536,0.12801576,0.96392686,0.60944581,0.00837902,0.56383941
-5.94597299,1.64810866,0.00478583,0.28547511,0.42847622,0.13414133,0.98575662,0.62006453,0.00847626,0.58711007
-5.93996998,1.69714859,0.00529794,0.28582132,0.45818264,0.14159562,1.00978031,0.63167618,0.00860993,0.61473772
-5.93396698,1.75310959,0.00590382,0.28621535,0.49115235,0.15038687,1.03604602,0.64424563,0.00878676,0.64666046
-5.92796398,1.81581847,0.00660748,0.28671202,0.52724004,0.16050005,1.06455226,0.65771265,0.00901359,0.68273868
-5.92196098,1.88497607,0.00741175,0.28736283,0.56625204,0.17189690,1.09524834,0.67199347,0.00929730,0.72276006
-5.91595798,1.96016712,0.00831813,0.28821487,0.60795199,0.18451638,1.12803599,0.68698341,0.00964472,0.76644592
-5.90995498,2.04087229,0.00932666,0.28931019,0.65206691,0.19827549,1.16277162,0.70256041,0.01006256,0.81345842
-5.90395198,2.12648176,0.01043574,0.29068517,0.69829367,0.21307033,1.19926924,0.71858900,0.01055724,0.86340852
-5.89794897,2.21630921,0.01164208,0.29237010,0.74630521,0.22877758,1.23730346,0.73492453,0.01113474,0.91586400
-5.89194597,2.30960557,0.01294059,0.29438872,0.79575642,0.24525611,1.27661260,0.75141722,0.01180040,0.97035731
-5.88594297,2.40557163,0.01432435,0.29675775,0.84628922,0.26234888,1.31690153,0.76791573,0.01255868,1.02639302
-5.87993997,2.50336912,0.01578462,0.29948632,0.89753682,0.27988501,1.35784430,0.78427009,0.01341288,1.08345447
-5.87393697,2.60212976,0.01731088,0.30257524,0.94912689,0.29768200,1.39908646,0.80033369,0.01436491,1.14100958
-5.86793397,2.70096224,0.01889091,0.30601627,1.00068361,0.31554811,1.44024720,0.81596445,0.01541494,1.19851577
-5.86193097,2.79895718,0.02051097,0.30979127,1.05182881,0.33328485,1.48092147,0.83102486,0.01656119,1.25542391
-5.85592796,2.89519050,0.02215593,0.31387132,1.10218207,0.35068952,1.52068236,0.84538143,0.01779959,1.31118160
-5.84992496,2.98872569,0.02380955,0.31821607,1.15136033,0.36755793,1.55908391,0.85890330,0.01912361,1.36523585
-5.84392196,3.07861570,0.02545468,0.32277317,1.19897712,0.38368710,1.59566481,0.87146061,0.02052408,1.41703557
-5.83791896,3.16390532,0.02707360,0.32747814,1.24464183,0.39887808,1.62995301,0.88292279,0.02198909,1.46603410
-5.83191596,3.24363493,0.02864827,0.33225456,1.28795941,0.41293881,1.66147177,0.89315710,0.02350401,1.51169219
