energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,4.96043189,0.03845678,0.02704460,1.84085052,0.62943065,0.73474263,0.24371634,0.20277337,2.77195112
-5.99399700,4.62350737,0.03532557,0.02610318,1.71438594,0.58872692,0.68006291,0.22728251,0.19014498,2.58268053
-5.98799400,4.30028306,0.03242008,0.02523496,1.59704097,0.54989867,0.62757209,0.21123832,0.17771012,2.40133925
-5.98199100,3.99347546,0.02975127,0.02444459,1.48937061,0.51330196,0.57770370,0.19574412,0.16560884,2.22941801
-5.97598799,3.70528964,0.02732879,0.02373441,1.39169867,0.47922458,0.53081873,0.18093724,0.15396516,2.06811724
-5.96998499,3.43740524,0.02516083,0.02310444,1.30413130,0.44788444,0.48720297,0.16693021,0.14288514,1.91834093
-5.96398199,3.19098143,0.02325396,0.02255257,1.22657681,0.41943053,0.44706703,0.15380988,0.13245551,1.78070090
-5.95797899,2.96667929,0.02161304,0.02207472,1.15877060,0.39394613,0.41054877,0.14163764,0.12274321,1.65553084
-5.95197599,2.76469914,0.02024109,0.02166514,1.10030369,0.37145402,0.37771796,0.13045032,0.11379565,1.54290834
-5.94597299,2.58482979,0.01913925,0.02131678,1.05065354,0.35192307,0.34858261,0.12026199,0.10564154,1.44268369
-5.93996998,2.42650638,0.01830670,0.02102163,1.00921537,0.33527592,0.32309656,0.11106618,0.09829235,1.35451299
-5.93396698,2.28887313,0.01774059,0.02077114,0.97533274,0.32139711,0.30116781,0.10283867,0.09174413,1.27789398
-5.92796398,2.17084739,0.01743604,0.02055662,0.94832577,0.31014129,0.28266717,0.09554045,0.08597957,1.21220239
-5.92196098,2.07118192,0.01738601,0.02036952,0.92751605,0.30134099,0.26743657,0.08912079,0.08097026,1.15672696
-5.91595798,1.98852234,0.01758132,0.02020183,0.91224716,0.29481365,0.25529688,0.08352021,0.07667894,1.11070169
-5.90995498,1.92145749,0.01801054,0.02004627,0.90190034,0.29036759,0.24605469,0.07867337,0.07306159,1.07333393
-5.90395198,1.86856125,0.01865996,0.01989644,0.89590473,0.28780684,0.23950800,0.07451154,0.07006942,1.04382745
-5.89794897,1.82842470,0.01951354,0.01974697,0.89374256,0.28693468,0.23545051,0.07096482,0.06765052,1.02140008
-5.89194597,1.79967865,0.02055289,0.01959351,0.89494922,0.28755592,0.23367470,0.06796389,0.06575130,1.00529575
-5.88594297,1.78100679,0.02175726,0.01943270,0.89910908,0.28947809,0.23397350,0.06544139,0.06431757,0.99479119
-5.87993997,1.77115062,0.02310365,0.01926203,0.90584767,0.29251177,0.23614090,0.06333291,0.06329533,0.98919801
-5.87393697,1.76890769,0.02456689,0.01907975,0.91482130,0.29647016,0.23997170,0.06157761,0.06263132,0.98786085
-5.86793397,1.77312473,0.02611980,0.01888463,0.92570514,0.30116830,0.24526046,0.06011859,0.06227336,0.99015278
-5.86193097,1.78268785,0.02773352,0.01867584,0.93818085,0.30642221,0.25180021,0.05890295,0.06217051,0.99546892
-5.85592796,1.79651161,0.02937782,0.01845271,0.95192485,0.31204814,0.25938100,0.05788174,0.06227313,1.00321947
-5.84992496,1.81352888,0.03102153,0.01821463,0.96659819,0.31786228,0.26778869,0.05700981,0.06253288,1.01282321
-5.84392196,1.83268303,0.03263302,0.01796087,0.98183876,0.32368096,0.27680418,0.05624559,0.06290279,1.02370240
-5.83791896,1.85292373,0.03418082,0.01769055,0.99725664,0.32932166,0.28620328,0.05555090,0.06333730,1.03527973
-5.83191596,1.87320726,0.03563418,0.01740256,1.01243278,0.33460475,0.29575741,0.05489079,0.06379244,1.04697786
-5.82591296,1.89250163,0.03696378,0.01709557,1.02692127,0.33935599,0.30523515,0.05423350,0.06422609,1.05822191
-5.81990995,1.90979668,0.03814230,0.01676814,1.04025519,0.34340968,0.31440471,0.05355040,0.06459831,1.06844473
-5.81390695,1.92411859,0.03914510,0.01641873,1.05195556,0.34661246,0.32303721,0.05281611,0.06487186,1.07709488
-5.80790395,1.93454817,0.03995081,0.01604593,1.06154313,0.34882739,0.33091077,0.05200863,0.06501266,1.08364687
-5.80190095,1.94024184,0.04054183,0.01564849,1.06855213,0.34993829,0.33781503,0.05110953,0.06499040,1.08761302
-5.79589795,1.94045405,0.04090475,0.01522555,1.07254535,0.34985395,0.34355619,0.05010409,0.06477913,1.08855632
-5.78989495,1.93455979,0.04103068,0.01477680,1.07312973,0.34851217,0.34796201,0.04898156,0.06435781,1.08610350
-5.78389195,1.92207599,0.04091543,0.01430253,1.06997148,0.34588324,0.35088676,0.04773526,0.06371078,1.07995743
-5.77788894,1.90268023,0.04055958,0.01380383,1.06281004,0.34197276,0.35221579,0.04636264,0.06282821,1.06990836
-5.77188594,1.87622595,0.03996840,0.01328264,1.05147002,0.33682366,0.35186937,0.04486531,0.06170630,1.05584297
-5.76588294,1.84275295,0.03915164,0.01274178,1.03587062,0.33051727,0.34980581,0.04324890,0.06034745,1.03775104
-5.75987994,1.80249263,0.03812323,0.01218496,1.01603186,0.32317332,0.34602341,0.04152287,0.05876018,1.01572899
-5.75387694,1.75586755,0.03690080,0.01161678,0.99207745,0.31494901,0.34056136,0.03970018,0.05695890,0.98998030
-5.74787394,1.70348505,0.03550522,0.01104261,0.96423407,0.30603690,0.33349939,0.03779691,0.05496355,0.96081253
-5.74187094,1.64612527,0.03395996,0.01046853,0.93282710,0.29666199,0.32495612,0.03583178,0.05279900,0.92863103
-5.73586793,1.58472379,0.03229052,0.00990118,0.89827289,0.28707772,0.31508622,0.03382559,0.05049444,0.89392970
-5.72986493,1.52034955,0.03052373,0.00934758,0.86106812,0.27756136,0.30407651,0.03180065,0.04808252,0.85727883
-5.72386193,1.45417893,0.02868715,0.00881501,0.82177650,0.26840865,0.29214095,0.02978019,0.04559847,0.81931088
-5.71785893,1.38746682,0.02680847,0.00831080,0.78101345,0.25992794,0.27951499,0.02778776,0.04307922,0.78070432
-5.71185593,1.32151576,0.02491493,0.00784213,0.73942946,0.25243403,0.26644915,0.02584670,0.04056237,0.74216642
-5.70585293,1.25764412,0.02303284,0.00741590,0.69769267,0.24624174,0.25320247,0.02397957,0.03808532,0.70441547
-5.69984992,1.19715442,0.02118717,0.00703852,0.65647136,0.24165950,0.24003560,0.02220774,0.03568430,0.66816300
-5.69384692,1.14130279,0.01940122,0.00671576,0.61641712,0.23898301,0.22720423,0.02055098,0.03339359,0.63409670
-5.68784392,1.09127028,0.01769637,0.00645261,0.57814901,0.23848909,0.21495270,0.01902715,0.03124474,0.60286435
