energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,6.63544525,0.03540765,0.79051826,2.44749376,2.71199055,0.04732861,2.94854465,1.44007987,0.73893084
-5.99399700,6.60827750,0.03462275,0.78838471,2.41730058,2.73236684,0.04616369,2.92130748,1.39898014,0.73086475
-5.98799400,6.60415246,0.03399111,0.78836633,2.39621204,2.76148780,0.04516605,2.90527029,1.36136879,0.72529163
-5.98199100,6.62284551,0.03350615,0.79037469,2.38427824,2.79907100,0.04433849,2.90048594,1.32732006,0.72221051
-5.97598799,6.66364491,0.03315990,0.79427152,2.38136808,2.84462572,0.04367981,2.90679142,1.29681962,0.72158682
-5.96998499,6.72539013,0.03294339,0.79987573,2.38718487,2.89746959,0.04318509,2.92382200,1.26977537,0.72335623
-5.96398199,6.80652154,0.03284714,0.80697204,2.40128605,2.95675147,0.04284606,2.95102935,1.24602979,0.72742809
-5.95797899,6.90513901,0.03286152,0.81532072,2.42310610,3.02147935,0.04265158,2.98770231,1.22537342,0.73368863
-5.95197599,7.01906659,0.03297718,0.82466782,2.45198131,3.09055198,0.04258803,3.03298970,1.20755855,0.74200342
-5.94597299,7.14592023,0.03318524,0.83475546,2.48717528,3.16279278,0.04263987,3.08592400,1.19231261,0.75221918
-5.93996998,7.28317576,0.03347756,0.84533145,2.52790373,3.23698450,0.04279004,3.14544514,1.17935049,0.76416482
-5.93396698,7.42823420,0.03384684,0.85615798,2.57335763,3.31190306,0.04302048,3.21042352,1.16838545,0.77765189
-5.92796398,7.57848209,0.03428663,0.86701863,2.62272363,3.38634923,0.04331256,3.27968186,1.15913801,0.79247442
-5.92196098,7.73134491,0.03479125,0.87772358,2.67520090,3.45917688,0.04364750,3.35201520,1.15134283,0.80840839
-5.91595798,7.88433201,0.03535570,0.88811278,2.73001405,3.52931673,0.04400672,3.42620899,1.14475325,0.82521124
-5.90995498,8.03507241,0.03597538,0.89805684,2.78642170,3.59579509,0.04437222,3.50105507,1.13914370,0.84262145
-5.90395198,8.18134114,0.03664583,0.90745587,2.84372092,3.65774703,0.04472680,3.57536567,1.13431011,0.86035864
-5.89794897,8.32107659,0.03736241,0.91623636,2.90124782,3.71442401,0.04505441,3.64798562,1.13006857,0.87812443
-5.89194597,8.45238985,0.03811999,0.92434649,2.95837484,3.76519641,0.04534025,3.71780306,1.12625274,0.89560425
-5.88594297,8.57356721,0.03891258,0.93175027,3.01450565,3.80955126,0.04557104,3.78375909,1.12271037,0.91247029
-5.87993997,8.68306785,0.03973304,0.93842099,3.06906863,3.84708634,0.04573508,3.84485652,1.11929943,0.92838573
-5.87393697,8.77951825,0.04057287,0.94433456,3.12150984,3.87750134,0.04582241,3.90016831,1.11588431,0.94301006
-5.86793397,8.86170542,0.04142197,0.94946336,3.17128682,3.90058750,0.04582487,3.94884572,1.11233247,0.95600564
-5.86193097,8.92857069,0.04226865,0.95377104,3.21786386,3.91621657,0.04573616,3.99012655,1.10851197,0.96704510
-5.85592796,8.97920556,0.04309959,0.95720866,3.26071001,3.92433032,0.04555186,4.02334340,1.10428998,0.97581941
-5.84992496,9.01285081,0.04390000,0.95971279,3.29930011,3.92493153,0.04526947,4.04793192,1.09953258,0.98204620
-5.84392196,9.02889967,0.04465389,0.96120545,3.33311960,3.91807709,0.04488838,4.06343900,1.09410575,0.98547810
-5.83791896,9.02690529,0.04534443,0.96159625,3.36167303,3.90387372,0.04440989,4.06953057,1.08787762,0.98591049
-5.83191596,9.00659231,0.04595445,0.96078649,3.38449617,3.88247663,0.04383710,4.06599869,1.08072171,0.98318845
-5.82591296,8.96787183,0.04646690,0.95867507,3.40117140,3.85409086,0.04317492,4.05276766,1.07252101,0.97721247
-5.81990995,8.91085880,0.04686555,0.95516589,3.41134553,3.81897515,0.04242993,4.02989867,1.06317258,0.96794264
-5.81390695,8.83589030,0.04713555,0.95017620,3.41474920,3.77744762,0.04161031,3.99759271,1.05259240,0.95540111
-5.80790395,8.74354320,0.04726411,0.94364540,3.41121677,3.72989264,0.04072571,3.95619134,1.04072011,0.93967271
-5.80190095,8.63464934,0.04724103,0.93554371,3.40070549,3.67676791,0.03978708,3.90617509,1.02752338,0.92090367
-5.79589795,8.51030662,0.04705930,0.92588021,3.38331269,3.61861089,0.03880653,3.84815920,1.01300165,0.89929847
-5.78989495,8.37188432,0.04671547,0.91470949,3.35928987,3.55604364,0.03779712,3.78288667,0.99718899,0.87511508
-5.78389195,8.22102137,0.04621001,0.90213664,3.32905246,3.48977513,0.03677268,3.71121849,0.98015596,0.84865862
-5.77788894,8.05961638,0.04554750,0.88832012,3.29318460,3.42060051,0.03574755,3.63412107,0.96201031,0.82027389
