energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,4.91000606,0.00275366,0.97381507,0.89051662,1.28275907,0.03508205,1.31469432,2.73323839,1.11541448
-5.99399700,4.98635058,0.00285151,0.96826659,0.91994904,1.33439075,0.03582639,1.35959950,2.71047720,1.11104178
-5.98799400,5.05710845,0.00295660,0.96102837,0.95040614,1.38495803,0.03646704,1.40423525,2.68393717,1.10438432
-5.98199100,5.12201326,0.00306957,0.95230259,0.98162885,1.43403763,0.03699918,1.44828160,2.65432079,1.09563159
-5.97598799,5.18075935,0.00319092,0.94229160,1.01330901,1.48118909,0.03741977,1.49137797,2.62230315,1.08498623
-5.96998499,5.23298209,0.00332093,0.93118975,1.04508925,1.52595593,0.03772750,1.53312083,2.58850326,1.07265588
-5.96398199,5.27824279,0.00345962,0.91917600,1.07656467,1.56786816,0.03792264,1.57306365,2.55345879,1.05884539
-5.95797899,5.31601976,0.00360664,0.90640753,1.10728658,1.60644652,0.03800687,1.61071971,2.51760539,1.04374980
-5.95197599,5.34570680,0.00376127,0.89301479,1.13676859,1.64120865,0.03798303,1.64556793,2.48126187,1.02754834
-5.94597299,5.36662020,0.00392233,0.87909821,1.16449510,1.67167716,0.03785490,1.67706189,2.44462178,1.01040001
-5.93996998,5.37801429,0.00408822,0.86472673,1.18993208,1.69738966,0.03762693,1.70464184,2.40775218,0.99244077
-5.93396698,5.37910561,0.00425687,0.84993837,1.21253994,1.71791038,0.03730397,1.72774959,2.37059922,0.97378250
-5.92796398,5.36910456,0.00442579,0.83474256,1.23178823,1.73284320,0.03689108,1.74584545,2.33300043,0.95451384
-5.92196098,5.34725332,0.00459212,0.81912430,1.24717151,1.74184525,0.03639330,1.75842688,2.29470288,0.93470259
-5.91595798,5.31286786,0.00475268,0.80304975,1.25822589,1.74464080,0.03581553,1.76504759,2.25538607,0.91439969
-5.90995498,5.26538184,0.00490407,0.78647294,1.26454550,1.74103441,0.03516246,1.76533643,2.21468812,0.89364419
-5.90395198,5.20438972,0.00504279,0.76934321,1.26579797,1.73092272,0.03443852,1.75901491,2.17223389,0.87246904
-5.89794897,5.12968626,0.00516531,0.75161281,1.26173845,1.71430417,0.03364793,1.74591234,2.12766314,0.85090702
-5.89194597,5.04130002,0.00526824,0.73324426,1.25222111,1.69128581,0.03279475,1.72597773,2.08065726,0.82899661
-5.88594297,4.93951832,0.00534841,0.71421708,1.23720769,1.66208677,0.03188301,1.69928766,2.03096301,0.80678707
-5.87993997,4.82490199,0.00540302,0.69453324,1.21677250,1.62703794,0.03091686,1.66604958,1.97841200,0.78434261
-5.87393697,4.69828852,0.00542975,0.67422124,1.19110365,1.58657766,0.02990070,1.62660019,1.92293483,0.76174515
