energy_ev,total_up,Fe_p_up,Fe_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,6.73408308,1.27078768,0.45594054,3.29178066,1.40333142,0.00807390,2.02580396,0.05982656,2.11793297
-5.99399700,6.66899243,1.26732237,0.45902206,3.22824849,1.35603404,0.00871454,1.96887748,0.06172819,2.13462979
-5.98799400,6.61500848,1.26504825,0.46188600,3.17202337,1.31316232,0.00937694,1.91694509,0.06379770,2.15364822
-5.98199100,6.57246556,1.26422175,0.46457329,3.12296122,1.27473236,0.01005408,1.87006884,0.06602577,2.17510706
-5.97598799,6.54135141,1.26500732,0.46711946,3.08073425,1.24068000,0.01073810,1.82820157,0.06840008,2.19901509
-5.96998499,6.52129502,1.26746817,0.46955248,3.04483674,1.21086493,0.01142044,1.79118911,0.07090528,2.22526197
-5.96398199,6.51156551,1.27156104,0.47189093,3.01459529,1.18507557,0.01209210,1.75877444,0.07352296,2.25361392
-5.95797899,6.51108313,1.27713534,0.47414260,2.98918426,1.16303503,0.01274380,1.73060440,0.07623179,2.28371448
-5.95197599,6.51844323,1.28393715,0.47630366,2.96764676,1.14440828,0.01336629,1.70623906,0.07900773,2.31509064
-5.94597299,6.53195325,1.29161781,0.47835835,2.94892113,1.12881051,0.01395056,1.68516402,0.08182436,2.34716421
-5.93996998,6.54968211,1.29974728,0.48027922,2.93187286,1.11581694,0.01448811,1.66680559,0.08465330,2.37926804
-5.93396698,6.56952071,1.30783154,0.48202800,2.91533089,1.10497370,0.01497120,1.65054861,0.08746472,2.41066666
-5.92796398,6.58925162,1.31533377,0.48355688,2.89812760,1.09580998,0.01539303,1.63575652,0.09022790,2.44058043
-5.92196098,6.60662537,1.32169813,0.48481022,2.87914078,1.08785083,0.01574793,1.62179307,0.09291190,2.46821227
-5.91595798,6.61944035,1.32637543,0.48572661,2.85733606,1.08063050,0.01603149,1.60804478,0.09548619,2.49277590
-5.90995498,6.62562308,1.32884941,0.48624117,2.83180790,1.07370579,0.01624065,1.59394346,0.09792134,2.51352436
-5.90395198,6.62330540,1.32866253,0.48628800,2.80181737,1.06666893,0.01637372,1.57898759,0.10018970,2.52977774
-5.89794897,6.61089533,1.32544005,0.48580265,2.76682469,1.05915947,0.01643038,1.56276169,0.10226604,2.54094881
-5.89194597,6.58713853,1.31891118,0.48472459,2.72651506,1.05087477,0.01641160,1.54495279,0.10412818,2.54656581
-5.88594297,6.55116774,1.30892641,0.48299957,2.68081642,1.04157859,0.01631956,1.52536307,0.10575752,2.54629118
-5.87993997,6.50253830,1.29547003,0.48058185,2.62990803,1.03110743,0.01615750,1.50391814,0.10713960,2.53993590
-5.87393697,6.44124814,1.27866718,0.47743616,2.57421946,1.01937435,0.01592954,1.48067049,0.10826449,2.52746869
-5.86793397,6.36774195,1.25878519,0.47353950,2.51441994,1.00637018,0.01564056,1.45579787,0.10912714,2.50902000
-5.86193097,6.28289934,1.23622887,0.46888267,2.45139847,0.99216201,0.01529595,1.42959677,0.10972773,2.48488073
-5.85592796,6.18800807,1.21153005,0.46347155,2.38623562,0.97688912,0.01490149,1.40247125,0.11007178,2.45549583
-5.84992496,6.08472371,1.18533178,0.45732807,2.32016834,0.96075659,0.01446318,1.37491770,0.11017030,2.42145321
-5.84392196,5.97501786,1.15836778,0.45049090,2.25454956,0.94402689,0.01398706,1.34750626,0.11003977,2.38346848
-5.83791896,5.86111728,1.13143818,0.44301596,2.19080433,0.92700979,0.01347913,1.32085996,0.10970204,2.34236624
-5.83191596,5.74543689,1.10538246,0.43497647,2.13038479,0.91005128,0.01294526,1.29563236,0.10918413,2.29905852
-5.82591296,5.63050935,1.08105093,0.42646281,2.07472580,0.89352176,0.01239109,1.27248510,0.10851788,2.25452146
-5.81990995,5.51891427,1.05927580,0.41758200,2.02520354,0.87780418,0.01182204,1.25206612,0.10773953,2.20977077
-5.81390695,5.41320978,1.04084324,0.40845694,1.98309860,0.86328260,0.01124325,1.23498975,0.10688914,2.16583704
-5.80790395,5.31586892,1.02646744,0.39922517,1.94956524,0.85033156,0.01065961,1.22181950,0.10600995,2.12374153
-5.80190095,5.22922306,1.01676791,0.39003746,1.92560792,0.83930669,0.01007577,1.21305418,0.10514756,2.08447324
-5.79589795,5.15541396,1.01225063,0.38105594,1.91206567,0.83053687,0.00949616,1.20911795,0.10434908,2.04896785
-5.78989495,5.09635565,1.01329399,0.37245201,1.90960466,0.82431808,0.00892502,1.21035438,0.10366218,2.01808914
-5.78389195,5.05370663,1.02013979,0.36440388,1.91871854,0.82090908,0.00836642,1.21702468,0.10313401,1.99261309
-5.77788894,5.02885243,1.03288952,0.35709391,1.93973594,0.82052882,0.00782425,1.22930973,0.10281023,1.97321519
-5.77188594,5.02289792,1.05150592,0.35070570,1.97283375,0.82335552,0.00730230,1.24731536,0.10273381,1.96046080
-5.76588294,5.03666820,1.07581945,0.34542090,2.01805490,0.82952707,0.00680414,1.27108035,0.10294405,1.95479874
-5.75987994,5.07071656,1.10553905,0.34141601,2.07532852,0.83914261,0.00633322,1.30058597,0.10347546,1.95655779
-5.75387694,5.12533747,1.14026672,0.33885888,2.14449087,0.85226462,0.00589275,1.33576637,0.10435681,1.96594584
-5.74787394,5.20058248,1.17951465,0.33790523,2.22530475,0.86892142,0.00548568,1.37651853,0.10561020,1.98305123
-5.74187094,5.29627676,1.22272430,0.33869501,2.31747571,0.88910934,0.00511470,1.42271096,0.10725022,2.00784588
-5.73586793,5.41203407,1.26928605,0.34134883,2.42066343,0.91279440,0.00478209,1.47418999,0.10928330,2.04018949
-5.72986493,5.54726833,1.31855866,0.34596427,2.53448695,0.93991297,0.00448975,1.53078319,0.11170714,2.07983444
-5.72386193,5.70120014,1.36988744,0.35261232,2.65852303,0.97037123,0.00423909,1.59229915,0.11451033,2.12643072
-5.71785893,5.87285745,1.42262035,0.36133390,2.79229740,1.00404341,0.00403097,1.65852356,0.11767212,2.17953065
-5.71185593,6.06107007,1.47612132,0.37213653,2.93526947,1.04076852,0.00386568,1.72921162,0.12116239,2.23859303
-5.70585293,6.26445852,1.52978055,0.38499138,3.08681131,1.08034603,0.00374292,1.80407726,0.12494189,2.30298660
-5.69984992,6.48141862,1.58302130,0.39983065,3.24618272,1.12253073,0.00366170,1.88277987,0.12896255,2.37199296
-5.69384692,6.71010362,1.63530354,0.41654555,3.41250439,1.16702706,0.00362042,1.96490976,0.13316820,2.44480925
