energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Nb_p_up,Nb_p_down,Nb_d_up,Nb_d_down,S_s_up,S_s_down,S_p_up,S_p_down
4.55327664,0.00001072,-0.00000008,0.00000000,-0.00000000,0.00000036,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00001226,-0.00000009,0.00001152,-0.00000008,0.00000000,-0.00000000,0.00000001,-0.00000000
4.55927964,0.00000676,-0.00000005,0.00000000,-0.00000000,0.00000023,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000772,-0.00000005,0.00000726,-0.00000005,0.00000000,-0.00000000,0.00000001,-0.00000000
4.56528264,0.00000423,-0.00000003,0.00000000,-0.00000000,0.00000014,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000483,-0.00000003,0.00000454,-0.00000003,0.00000000,-0.00000000,0.00000001,-0.00000000
4.57128564,0.00000263,-0.00000002,0.00000000,-0.00000000,0.00000009,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000300,-0.00000002,0.00000282,-0.00000002,0.00000000,-0.00000000,0.00000000,-0.00000000
4.57728864,0.00000162,-0.00000001,0.00000000,-0.00000000,0.00000005,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000185,-0.00000001,0.00000174,-0.00000001,0.00000000,-0.00000000,0.00000000,-0.00000000
4.58329165,0.00000099,-0.00000001,0.00000000,-0.00000000,0.00000003,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000113,-0.00000001,0.00000107,-0.00000001,0.00000000,-0.00000000,0.00000000,-0.00000000
4.58929465,0.00000060,-0.00000000,0.00000000,-0.00000000,0.00000002,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000069,-0.00000000,0.00000065,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.59529765,0.00000036,-0.00000000,0.00000000,-0.00000000,0.00000001,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000042,-0.00000000,0.00000039,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.60130065,0.00000022,-0.00000000,0.00000000,-0.00000000,0.00000001,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000025,-0.00000000,0.00000023,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.60730365,0.00000013,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000015,-0.00000000,0.00000014,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.61330665,0.00000008,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000009,-0.00000000,0.00000008,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.61930965,0.00000004,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000005,-0.00000000,0.00000005,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.62531266,0.00000003,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000003,-0.00000000,0.00000003,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.63131566,0.00000002,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000002,-0.00000000,0.00000002,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.63731866,0.00000001,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000001,-0.00000000,0.00000001,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.64332166,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000001,-0.00000000,0.00000001,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.64932466,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.65532766,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.66133067,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.66733367,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.67333667,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.67933967,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.68534267,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.69134567,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.69734867,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
4.70335168,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000
