energy_ev,total_up,Ag_p_up,Ag_d_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,3.88199571,0.82586599,1.73950017,0.40152253,1.59640395,0.02004136,0.06735455,0.21944434,0.00000000
-5.99399700,3.91155422,0.81638470,1.73626075,0.40798972,1.62437172,0.02116344,0.06710499,0.22145756,0.00000000
-5.98799400,3.93538591,0.80444831,1.72818620,0.41422496,1.65190736,0.02237735,0.06691228,0.22340874,0.00000000
-5.98199100,3.95326777,0.79020386,1.71546617,0.42012241,1.67864504,0.02367609,0.06676734,0.22527842,0.00000000
-5.97598799,3.96494137,0.77382210,1.69833955,0.42555977,1.70415044,0.02504896,0.06665550,0.22703610,0.00000000
-5.96998499,3.97012452,0.75549444,1.67708632,0.43040338,1.72793798,0.02648151,0.06655747,0.22864148,0.00000000
-5.96398199,3.96852669,0.73542964,1.65201905,0.43451426,1.74949150,0.02795576,0.06645039,0.23004632,0.00000000
-5.95797899,3.95986781,0.71385041,1.62347434,0.43775461,1.76828751,0.02945048,0.06630915,0.23119659,0.00000000
-5.95197599,3.94389972,0.69099004,1.59180481,0.43999455,1.78382001,0.03094170,0.06610762,0.23203512,0.00000000
-5.94597299,3.92042948,0.66708925,1.55737200,0.44111878,1.79562586,0.03240328,0.06582004,0.23250437,0.00000000
-5.93996998,3.88934358,0.64239324,1.52054054,0.44103284,1.80330952,0.03380765,0.06542228,0.23254936,0.00000000
-5.93396698,3.85063192,0.61714912,1.48167373,0.43966874,1.80656612,0.03512665,0.06489302,0.23212063,0.00000000
-5.92796398,3.80441051,0.59160371,1.44113074,0.43698961,1.80520181,0.03633247,0.06421477,0.23117704,0.00000000
-5.92196098,3.75094161,0.56600175,1.39926531,0.43299331,1.79915040,0.03739855,0.06337475,0.22968846,0.00000000
-5.91595798,3.69065023,0.54058442,1.35642579,0.42771479,1.78848565,0.03830056,0.06236546,0.22763800,0.00000000
-5.90995498,3.62413591,0.51558830,1.31295631,0.42122700,1.77342841,0.03901730,0.06118511,0.22502398,0.00000000
-5.90395198,3.55217884,0.49124441,1.26919868,0.41364061,1.75434833,0.03953150,0.05983775,0.22186135,0.00000000
-5.89794897,3.47573957,0.46777756,1.22549459,0.40510219,1.73175992,0.03983060,0.05833319,0.21818259,0.00000000
-5.89194597,3.39595181,0.44540560,1.18218775,0.39579127,1.70631290,0.03990720,0.05668669,0.21403810,0.00000000
-5.88594297,3.31410807,0.42433871,1.13962551,0.38591612,1.67877720,0.03975950,0.05491844,0.20949584,0.00000000
-5.87993997,3.23163818,0.40477846,1.09815955,0.37570855,1.65002303,0.03939148,0.05305289,0.20464056,0.00000000
-5.87393697,3.15008118,0.38691663,1.05814538,0.36541791,1.62099670,0.03881279,0.05111786,0.19957229,0.00000000
-5.86793397,3.07105103,0.37093370,1.01994046,0.35530445,1.59269297,0.03803855,0.04914370,0.19440435,0.00000000
-5.86193097,2.99619742,0.35699704,0.98390076,0.34563216,1.56612505,0.03708888,0.04716221,0.18926079,0.00000000
-5.85592796,2.92716269,0.34525865,0.95037583,0.33666160,1.54229314,0.03598827,0.04520563,0.18427343,0.00000000
-5.84992496,2.86553641,0.33585266,0.91970248,0.32864258,1.52215284,0.03476474,0.04330567,0.17957851,0.00000000
-5.84392196,2.81280924,0.32889250,0.89219740,0.32180718,1.50658446,0.03344895,0.04149248,0.17531303,0.00000000
-5.83791896,2.77032776,0.32446798,0.86814882,0.31636318,1.49636444,0.03207318,0.03979378,0.17161099,0.00000000
-5.83191596,2.73925197,0.32264224,0.84780787,0.31248814,1.49213991,0.03067029,0.03823410,0.16859944,0.00000000
-5.82591296,2.72051718,0.32344887,0.83137993,0.31032428,1.49440734,0.02927265,0.03683410,0.16639473,0.00000000
-5.81990995,2.71480177,0.32688929,0.81901637,0.30997436,1.50349608,0.02791112,0.03561004,0.16509881,0.00000000
-5.81390695,2.72250225,0.33293056,0.81080735,0.31149856,1.51955746,0.02661415,0.03457346,0.16479594,0.00000000
-5.80790395,2.74371663,0.34150381,0.80677589,0.31491274,1.54255984,0.02540694,0.03373095,0.16554967,0.00000000
-5.80190095,2.77823708,0.35250345,0.80687368,0.32018774,1.57228977,0.02431076,0.03308412,0.16740053,0.00000000
-5.79589795,2.82555222,0.36578735,0.81097899,0.32725024,1.60835940,0.02334246,0.03262974,0.17036420,0.00000000
-5.78989495,2.88485929,0.38117801,0.81889673,0.33598480,1.65021978,0.02251414,0.03235998,0.17443050,0.00000000
-5.78389195,2.95508605,0.39846494,0.83036103,0.34623729,1.69717964,0.02183297,0.03226283,0.17956313,0.00000000
