energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Te_p_up,Te_d_up
-6.00000000,1.75072712,0.36555034,1.30413910,0.01239033,0.00498004,0.00759991,0.00000000,0.28166597,0.00000000
-5.99399700,1.72507502,0.35159920,1.28158963,0.01164404,0.00520440,0.00752016,0.00000000,0.27894479,0.00000000
-5.98799400,1.70355274,0.33934913,1.26137351,0.01094984,0.00547132,0.00746916,0.00000000,0.27751402,0.00000000
-5.98199100,1.68588845,0.32889711,1.24314415,0.01031636,0.00578133,0.00744724,0.00000000,0.27744989,0.00000000
-5.97598799,1.67174190,0.32031005,1.22651902,0.00975117,0.00613412,0.00745412,0.00000000,0.27880560,0.00000000
-5.96998499,1.66072266,0.31362651,1.21109558,0.00926085,0.00652847,0.00748898,0.00000000,0.28161214,0.00000000
-5.96398199,1.65241002,0.30885921,1.19646794,0.00885099,0.00696227,0.00755059,0.00000000,0.28587971,0.00000000
-5.95797899,1.64637310,0.30599811,1.18224326,0.00852630,0.00743242,0.00763741,0.00000000,0.29159970,0.00000000
-5.95197599,1.64219052,0.30501373,1.16805737,0.00829065,0.00793490,0.00774771,0.00000000,0.29874691,0.00000000
-5.94597299,1.63946838,0.30586064,1.15358870,0.00814721,0.00846482,0.00787969,0.00000000,0.30728186,0.00000000
-5.93996998,1.63785587,0.30848071,1.13857013,0.00809845,0.00901647,0.00803152,0.00000000,0.31715317,0.00000000
-5.93396698,1.63705773,0.31280605,1.12279813,0.00814626,0.00958350,0.00820149,0.00000000,0.32829964,0.00000000
-5.92796398,1.63684302,0.31876149,1.10613896,0.00829187,0.01015901,0.00838801,0.00000000,0.34065207,0.00000000
-5.92196098,1.63704998,0.32626644,1.08853160,0.00853591,0.01073577,0.00858965,0.00000000,0.35413468,0.00000000
-5.91595798,1.63758661,0.33523608,1.06998747,0.00887830,0.01130637,0.00880511,0.00000000,0.36866604,0.00000000
-5.90995498,1.63842737,0.34558194,1.05058700,0.00931818,0.01186347,0.00903326,0.00000000,0.38415950,0.00000000
