energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,3.41295257,0.00541090,0.51142801,0.40074920,0.34010076,0.06347651,1.49222104,0.95972002,0.81137093
-5.99399700,3.40250680,0.00550298,0.49856211,0.40323269,0.34403383,0.06386884,1.50332092,0.95093013,0.79409873
-5.98799400,3.39826201,0.00559743,0.48497430,0.40630262,0.34890682,0.06449898,1.51875083,0.94325454,0.77667785
-5.98199100,3.39949501,0.00569314,0.47076228,0.40974386,0.35461683,0.06533928,1.53793310,0.93666987,0.75918910
-5.97598799,3.40540871,0.00578904,0.45603170,0.41334961,0.36104904,0.06635951,1.56024341,0.93113346,0.74171224
-5.96998499,3.41516728,0.00588412,0.44089655,0.41692914,0.36807989,0.06752785,1.58503198,0.92659116,0.72432948
-5.96398199,3.42792926,0.00597750,0.42547905,0.42031454,0.37558022,0.06881181,1.61164402,0.92298467,0.70712831
-5.95797899,3.44287754,0.00606847,0.40990893,0.42336648,0.38341803,0.07017899,1.63943862,0.92025803,0.69020357
-5.95197599,3.45924488,0.00615646,0.39432217,0.42597844,0.39146111,0.07159777,1.66780542,0.91836299,0.67365833
-5.94597299,3.47633461,0.00624115,0.37885916,0.42807956,0.39957924,0.07303781,1.69617880,0.91726285,0.65760396
-5.93996998,3.49353584,0.00632237,0.36366246,0.42963587,0.40764612,0.07447041,1.72404911,0.91693476,0.64215895
-5.93396698,3.51033353,0.00640017,0.34887418,0.43065012,0.41554112,0.07586878,1.75097101,0.91737030,0.62744700
-5.92796398,3.52631375,0.00647473,0.33463324,0.43116004,0.42315073,0.07720811,1.77656901,0.91857457,0.61359428
-5.92196098,3.54116468,0.00654640,0.32107260,0.43123552,0.43037005,0.07846563,1.80054040,0.92056401,0.60072627
-5.91595798,3.55467443,0.00661559,0.30831667,0.43097468,0.43710413,0.07962053,1.82265603,0.92336307,0.58896438
-5.90995498,3.56672662,0.00668280,0.29647911,0.43049924,0.44326953,0.08065393,1.84275930,0.92700037,0.57842264
-5.90395198,3.57729481,0.00674853,0.28566110,0.42994941,0.44879587,0.08154874,1.86076399,0.93150457,0.56920479
-5.89794897,3.58643672,0.00681328,0.27595024,0.42947853,0.45362764,0.08228966,1.87665120,0.93690043,0.56140209
-5.89194597,3.59428920,0.00687749,0.26742024,0.42924787,0.45772611,0.08286313,1.89046611,0.94320562,0.55509187
-5.88594297,3.60106449,0.00694157,0.26013122,0.42942158,0.46107144,0.08325743,1.90231469,0.95042832,0.55033725
-5.87993997,3.60704824,0.00700583,0.25413088,0.43016223,0.46366474,0.08346273,1.91236069,0.95856621,0.54718786
-5.87393697,3.61259928,0.00707057,0.24945619,0.43162687,0.46553014,0.08347137,1.92082312,0.96760682,0.54568165
-5.86793397,3.61815097,0.00713602,0.24613574,0.43396374,0.46671669,0.08327803,1.92797402,0.97752931,0.54584778
-5.86193097,3.62421357,0.00720244,0.24419229,0.43730973,0.46729980,0.08288007,1.93413652,0.98830759,0.54771011
-5.85592796,3.63137680,0.00727012,0.24364564,0.44178837,0.46738223,0.08227780,1.93968295,0.99991459,0.55129138
-5.84992496,3.64031169,0.00733948,0.24451530,0.44750848,0.46709437,0.08147481,1.94503247,1.01232729,0.55661737
-5.84392196,3.65177054,0.00741107,0.24682288,0.45456319,0.46659364,0.08047819,1.95064804,1.02553211,0.56372099
-5.83791896,3.66658390,0.00748569,0.25059396,0.46302934,0.46606289,0.07929873,1.95703207,1.03953006,0.57264565
-5.83191596,3.68565345,0.00756440,0.25585912,0.47296703,0.46570775,0.07795103,1.96472060,1.05434127,0.58344759
-5.82591296,3.70993999,0.00764859,0.26265417,0.48441916,0.46575281,0.07645344,1.97427536,1.07000823,0.59619696
-5.81990995,3.74044575,0.00773999,0.27101916,0.49741109,0.46643668,0.07482792,1.98627374,1.08659727,0.61097711
-5.81390695,3.77819081,0.00784069,0.28099643,0.51194990,0.46800599,0.07309975,2.00129642,1.10419803,0.62788212
-5.80790395,3.82418377,0.00795314,0.29262743,0.52802376,0.47070845,0.07129703,2.01991267,1.12292050,0.64701241
-5.80190095,3.87938702,0.00808008,0.30594865,0.54560086,0.47478515,0.06945017,2.04266378,1.14288963,0.66846849
