energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,3.69577040,0.03216192,0.30070554,1.51222932,0.91675809,2.04807398,0.00000000,1.19037713,0.45101973
-5.99399700,3.75551539,0.03191856,0.30256772,1.50803295,0.94130869,2.08939847,0.00000000,1.17871768,0.46864994
-5.98799400,3.82844598,0.03172336,0.30663693,1.51080652,0.97004205,2.13628879,0.00000000,1.17149890,0.48742854
-5.98199100,3.91243076,0.03157078,0.31271787,1.51993482,1.00227277,2.18756747,0.00000000,1.16832525,0.50704498
-5.97598799,4.00505955,0.03145391,0.32058729,1.53467501,1.03724421,2.24190958,0.00000000,1.16869930,0.52715752
-5.96998499,4.10370812,0.03136495,0.32999874,1.55417965,1.07414551,2.29787945,0.00000000,1.17204076,0.54740158
-5.96398199,4.20560955,0.03129567,0.34068767,1.57752219,1.11213044,2.35397136,0.00000000,1.17770745,0.56739903
-5.95797899,4.30792984,0.03123785,0.35237681,1.60372413,1.15033756,2.40865284,0.00000000,1.18501754,0.58676789
-5.95197599,4.40784509,0.03118377,0.36478166,1.63178288,1.18791107,2.46040882,0.00000000,1.19327213,0.60513210
-5.94597299,4.50261788,0.03112659,0.37761613,1.66069951,1.22402161,2.50778524,0.00000000,1.20177753,0.62213128
-5.93996998,4.58967004,0.03106073,0.39059795,1.68950536,1.25788655,2.54943054,0.00000000,1.20986625,0.63742977
-5.93396698,4.66664975,0.03098219,0.40345401,1.71728690,1.28878891,2.58413346,0.00000000,1.21691638,0.65072500
-5.92796398,4.73149087,0.03088875,0.41592540,1.74320810,1.31609462,2.61085615,0.00000000,1.22236855,0.66175467
-5.92196098,4.78246279,0.03078017,0.42777211,1.76652987,1.33926745,2.62876132,0.00000000,1.22574030,0.67030271
-5.91595798,4.81820978,0.03065821,0.43877731,1.78662610,1.35788133,2.63723295,0.00000000,1.22663747,0.67620373
-5.90995498,4.83777896,0.03052667,0.44875118,1.80299615,1.37162985,2.63588991,0.00000000,1.22476256,0.67934602
-5.90395198,4.84063672,0.03039128,0.45753429,1.81527366,1.38033264,2.62459245,0.00000000,1.21991998,0.67967292
-5.89794897,4.82667369,0.03025957,0.46500039,1.82323174,1.38393871,2.60344168,0.00000000,1.21201839,0.67718273
-5.89194597,4.79619886,0.03014063,0.47105868,1.82678462,1.38252688,2.57277250,0.00000000,1.20107020,0.67192719
-5.88594297,4.74992379,0.03004490,0.47565554,1.82598609,1.37630321,2.53314050,0.00000000,1.18718858,0.66400877
-5.87993997,4.68893791,0.02998385,0.47877564,1.82102481,1.36559587,2.48530365,0.00000000,1.17058218,0.65357673
-5.87393697,4.61467626,0.02996968,0.48044245,1.81221710,1.35084761,2.43019977,0.00000000,1.15154792,0.64082246
-5.86793397,4.52888109,0.03001501,0.48071809,1.79999721,1.33260609,2.36892058,0.00000000,1.13046209,0.62597402
-5.86193097,4.43355854,0.03013255,0.47970257,1.78490570,1.31151240,2.30268350,0.00000000,1.10777016,0.60929031
-5.85592796,4.33093182,0.03033478,0.47753231,1.76757606,1.28828806,2.23280190,0.00000000,1.08397541,0.59105489
-5.84992496,4.22339203,0.03063370,0.47437798,1.74871997,1.26372075,2.16065482,0.00000000,1.05962675,0.57156976
-5.84392196,4.11344766,0.03104048,0.47044157,1.72911151,1.23864897,2.08765692,0.00000000,1.03530586,0.55114917
-5.83791896,4.00367373,0.03156528,0.46595278,1.70957051,1.21394599,2.01522909,0.00000000,1.01161396,0.53011361
-5.83191596,3.89666127,0.03221699,0.46116472,1.69094537,1.19050309,1.94477055,0.00000000,0.98915824,0.50878409
-5.82591296,3.79496786,0.03300306,0.45634884,1.67409554,1.16921250,1.87763252,0.00000000,0.96853823,0.48747672
-5.81990995,3.70106972,0.03392929,0.45178932,1.65987397,1.15095004,1.81509403,0.00000000,0.95033236,0.46649772
-5.81390695,3.61731577,0.03499972,0.44777686,1.64910961,1.13655781,1.75833985,0.00000000,0.93508468,0.44613880
-5.80790395,3.54588424,0.03621650,0.44460203,1.64259032,1.12682699,1.70844082,0.00000000,0.92329230,0.42667300
-5.80190095,3.48874212,0.03757982,0.44254833,1.64104634,1.12248109,1.66633658,0.00000000,0.91539341,0.40835096
-5.79589795,3.44760788,0.03908778,0.44188506,1.64513450,1.12415989,1.63282089,0.00000000,0.91175646,0.39139762
-5.78989495,3.42391804,0.04073645,0.44286021,1.65542342,1.13240433,1.60852933,0.00000000,0.91267052,0.37600935
-5.78389195,3.41879798,0.04251975,0.44569355,1.67237997,1.14764266,1.59392974,0.00000000,0.91833718,0.36235159
-5.77788894,3.43303748,0.04442955,0.45057013,1.69635696,1.17017833,1.58931515,0.00000000,0.92886424,0.35055687
-5.77188594,3.46707167,0.04645568,0.45763439,1.72758264,1.20017976,1.59479947,0.00000000,0.94426135,0.34072335
-5.76588294,3.52096779,0.04858599,0.46698500,1.76615182,1.23767263,1.61031585,0.00000000,0.96443778,0.33291385
-5.75987994,3.59441837,0.05080646,0.47867078,1.81201911,1.28253487,1.63561791,0.00000000,0.98920251,0.32715537
-5.75387694,3.68674125,0.05310133,0.49268772,1.86499442,1.33449472,1.67028382,0.00000000,1.01826656,0.32343918
-5.74787394,3.79688691,0.05545325,0.50897735,1.92474088,1.39313228,1.71372324,0.00000000,1.05124773,0.32172140
-5.74187094,3.92345332,0.05784343,0.52742640,1.99077544,1.45788461,1.76518733,0.00000000,1.08767756,0.32192422
-5.73586793,4.06470856,0.06025188,0.54786815,2.06247252,1.52805466,1.82378163,0.00000000,1.12701033,0.32393762
-5.72986493,4.21862105,0.06265756,0.57008510,2.13907058,1.60282400,1.88848187,0.00000000,1.16863411,0.32762174
-5.72386193,4.38289736,0.06503865,0.59381332,2.21968213,1.68126927,1.95815254,0.00000000,1.21188326,0.33280978
