energy_ev,total_up,Mg_p_up,Mg_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.55328701,1.05304248,0.00000000,0.84595748,0.44265919,0.00282265,0.32076160,0.57762016,0.00000000
-5.99399700,1.51997252,1.03334831,0.00000000,0.79205365,0.44082151,0.00276399,0.31365705,0.55642583,0.00000000
-5.98799400,1.49431337,1.01838850,0.00000000,0.74316741,0.44043392,0.00275160,0.30786886,0.54003544,0.00000000
-5.98199100,1.47601018,1.00790124,0.00000000,0.69950409,0.44130105,0.00279193,0.30337235,0.52837625,0.00000000
-5.97598799,1.46467473,1.00157790,0.00000000,0.66118014,0.44321885,0.00289172,0.30010509,0.52134362,0.00000000
-5.96998499,1.45984654,0.99907550,0.00000000,0.62822780,0.44598073,0.00305781,0.29797051,0.51880588,0.00000000
-5.96398199,1.46100941,1.00002848,0.00000000,0.60060134,0.44938311,0.00329706,0.29684254,0.52060816,0.00000000
-5.95797899,1.46760692,1.00405902,0.00000000,0.57818449,0.45323033,0.00361618,0.29657116,0.52657492,0.00000000
-5.95197599,1.47905617,1.01078558,0.00000000,0.56079834,0.45733846,0.00402154,0.29698851,0.53651116,0.00000000
-5.94597299,1.49475925,1.01982924,0.00000000,0.54820943,0.46153824,0.00451897,0.29791527,0.55020212,0.00000000
-5.93996998,1.51411195,1.03081783,0.00000000,0.54013742,0.46567682,0.00511349,0.29916717,0.56741161,0.00000000
-5.93396698,1.53650961,1.04338773,0.00000000,0.53626212,0.46961842,0.00580907,0.30056119,0.58787921,0.00000000
-5.92796398,1.56135013,1.05718353,0.00000000,0.53622976,0.47324405,0.00660834,0.30192133,0.61131651,0.00000000
-5.92196098,1.58803446,1.07185601,0.00000000,0.53965824,0.47645022,0.00751230,0.30308372,0.63740297,0.00000000
-5.91595798,1.61596516,1.08705885,0.00000000,0.54614163,0.47914713,0.00852002,0.30390088,0.66578173,0.00000000
-5.90995498,1.64454358,1.10244457,0.00000000,0.55525395,0.48125628,0.00962841,0.30424512,0.69605602,0.00000000
-5.90395198,1.67316662,1.11766056,0.00000000,0.56655252,0.48270795,0.01083192,0.30401091,0.72778671,0.00000000
-5.89794897,1.70122384,1.13234562,0.00000000,0.57958117,0.48343872,0.01212242,0.30311633,0.76049137,0.00000000
-5.89194597,1.72809572,1.14612772,0.00000000,0.59387368,0.48338930,0.01348906,0.30150359,0.79364559,0.00000000
-5.88594297,1.75315408,1.15862354,0.00000000,0.60895762,0.48250288,0.01491824,0.29913872,0.82668663,0.00000000
-5.87993997,1.77576488,1.16944006,0.00000000,0.62435904,0.48072416,0.01639366,0.29601064,0.85901975,0.00000000
-5.87393697,1.79529419,1.17817850,0.00000000,0.63960796,0.47799922,0.01789653,0.29212956,0.89002724,0.00000000
-5.86793397,1.81111723,1.18444068,0.00000000,0.65424498,0.47427618,0.01940581,0.28752509,0.91908010,0.00000000
-5.86193097,1.82263050,1.18783748,0.00000000,0.66782872,0.46950673,0.02089862,0.28224409,0.94555186,0.00000000
-5.85592796,1.82926654,1.18799929,0.00000000,0.67994418,0.46364833,0.02235075,0.27634839,0.96883432,0.00000000
-5.84992496,1.83051079,1.18458770,0.00000000,0.69021154,0.45666700,0.02373723,0.26991259,0.98835435,0.00000000
-5.84392196,1.82591955,1.17730803,0.00000000,0.69829523,0.44854050,0.02503301,0.26302188,1.00359115,0.00000000
-5.83791896,1.81513816,1.16592171,0.00000000,0.70391261,0.43926157,0.02621364,0.25577016,1.01409307,0.00000000
-5.83191596,1.79791821,1.15025798,0.00000000,0.70684209,0.42884108,0.02725605,0.24825822,1.01949319,0.00000000
-5.82591296,1.77413269,1.13022398,0.00000000,0.70692979,0.41731074,0.02813921,0.24059220,1.01952280,0.00000000
-5.81990995,1.74378802,1.10581265,0.00000000,0.70409474,0.40472525,0.02884488,0.23288217,1.01402209,0.00000000
-5.81390695,1.70703203,1.07710782,0.00000000,0.69833175,0.39116357,0.02935817,0.22524081,1.00294739,0.00000000
-5.80790395,1.66415714,1.04428606,0.00000000,0.68971210,0.37672922,0.02966809,0.21778211,0.98637459,0.00000000
-5.80190095,1.61559836,1.00761512,0.00000000,0.67838145,0.36154959,0.02976786,0.21062007,0.96449841,0.00000000
-5.79589795,1.56192590,0.96744885,0.00000000,0.66455523,0.34577410,0.02965522,0.20386726,0.93762755,0.00000000
-5.78989495,1.50383256,0.92421888,0.00000000,0.64851144,0.32957144,0.02933247,0.19763328,0.90617592,0.00000000
-5.78389195,1.44211628,0.87842325,0.00000000,0.63058117,0.31312589,0.02880639,0.19202306,0.87065028,0.00000000
-5.77788894,1.37765879,0.83061275,0.00000000,0.61113719,0.29663286,0.02808801,0.18713495,0.83163490,0.00000000
-5.77188594,1.31140099,0.78137535,0.00000000,0.59058110,0.28029408,0.02719221,0.18305872,0.78977394,0.00000000
-5.76588294,1.24431655,0.73131967,0.00000000,0.56932965,0.26431246,0.02613719,0.17987354,0.74575235,0.00000000
-5.75987994,1.17738466,0.68105818,0.00000000,0.54780079,0.24888694,0.02494391,0.17764590,0.70027616,0.00000000
-5.75387694,1.11156337,0.63119088,0.00000000,0.52640018,0.23420773,0.02363533,0.17642769,0.65405302,0.00000000
-5.74787394,1.04776461,0.58229012,0.00000000,0.50550864,0.22045195,0.02223575,0.17625456,0.60777379,0.00000000
-5.74187094,0.98683205,0.53488736,0.00000000,0.48547128,0.20778009,0.02077001,0.17714460,0.56209582,0.00000000
-5.73586793,0.92952254,0.48946207,0.00000000,0.46658860,0.19633318,0.01926280,0.17909746,0.51762870,0.00000000
-5.72986493,0.87649201,0.44643333,0.00000000,0.44910995,0.18623109,0.01773800,0.18209410,0.47492264,0.00000000
-5.72386193,0.82828594,0.40615421,0.00000000,0.43322965,0.17757170,0.01621805,0.18609707,0.43445998,0.00000000
-5.71785893,0.78533480,0.36890893,0.00000000,0.41908565,0.17043103,0.01472352,0.19105150,0.39664975,0.00000000
-5.71185593,0.74795406,0.33491272,0.00000000,0.40676087,0.16486431,0.01327263,0.19688667,0.36182537,0.00000000
-5.70585293,0.71634851,0.30431408,0.00000000,0.39628669,0.16090772,0.01188104,0.20351814,0.33024502,0.00000000
-5.69984992,0.69062027,0.27719905,0.00000000,0.38764859,0.15858073,0.01056165,0.21085046,0.30209458,0.00000000
-5.69384692,0.67077959,0.25359714,0.00000000,0.38079317,0.15788872,0.00932455,0.21878007,0.27749257,0.00000000
-5.68784392,0.65675760,0.23348826,0.00000000,0.37563630,0.15882575,0.00817708,0.22719857,0.25649656,0.00000000
-5.68184092,0.64842013,0.21681033,0.00000000,0.37207166,0.16137728,0.00712394,0.23599589,0.23911055,0.00000000
-5.67583792,0.64558149,0.20346700,0.00000000,0.36997924,0.16552245,0.00616740,0.24506336,0.22529282,0.00000000
-5.66983492,0.64801744,0.19333495,0.00000000,0.36923327,0.17123592,0.00530757,0.25429644,0.21496371,0.00000000
-5.66383192,0.65547657,0.18627061,0.00000000,0.36970908,0.17848908,0.00454266,0.26359701,0.20801285,0.00000000
-5.65782891,0.66768940,0.18211581,0.00000000,0.37128861,0.18725046,0.00386933,0.27287494,0.20430563,0.00000000
