energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.69034606,0.06805832,0.38935483,1.29144578,1.97795116,0.01097886,1.96486925,0.97718136,0.38050736
-5.99399700,4.77696270,0.06858540,0.40745407,1.34309518,2.00201396,0.01072365,1.99448134,1.01220628,0.39041816
-5.98799400,4.85389507,0.06872860,0.42502834,1.39231452,2.02262801,0.01047662,2.01925595,1.04461724,0.39938339
-5.98199100,4.92069385,0.06848248,0.44192396,1.43844742,2.03990522,0.01024066,2.03898321,1.07408969,0.40735146
-5.97598799,4.97712225,0.06784947,0.45800126,1.48087591,2.05404483,0.01001798,2.05354347,1.10034814,0.41429366
-5.96998499,5.02317447,0.06683982,0.47313951,1.51903598,2.06533598,0.00981011,2.06291410,1.12317403,0.42020534
-5.96398199,5.05908726,0.06547124,0.48724139,1.55243234,2.07415732,0.00961799,2.06717367,1.14241223,0.42510628
-5.95797899,5.08534344,0.06376827,0.50023670,1.58065187,2.08097301,0.00944202,2.06650307,1.15797588,0.42904026
-5.95197599,5.10266636,0.06176154,0.51208507,1.60337501,2.08632503,0.00928220,2.06118332,1.16984916,0.43207375
-5.94597299,5.11200478,0.05948671,0.52277752,1.62038474,2.09082136,0.00913823,2.05158987,1.17808789,0.43429380
-5.93996998,5.11450794,0.05698337,0.53233672,1.63157256,2.09512023,0.00900960,2.03818338,1.18281774,0.43580512
-5.93396698,5.11149114,0.05429379,0.54081579,1.63694122,2.09991049,0.00889575,2.02149708,1.18423010,0.43672649
-5.92796398,5.10439267,0.05146173,0.54829575,1.63660394,2.10588870,0.00879613,2.00212102,1.18257558,0.43718654
-5.92196098,5.09472330,0.04853113,0.55488164,1.63078007,2.11373345,0.00871028,1.98068367,1.17815542,0.43731915
-5.91595798,5.08401012,0.04554497,0.56069740,1.61978735,2.12407787,0.00863786,1.95783157,1.17131100,0.43725859
-5.90995498,5.07373680,0.04254421,0.56587982,1.60403097,2.13748135,0.00857870,1.93420761,1.16241196,0.43713458
-5.90395198,5.06528277,0.03956684,0.57057165,1.58398983,2.15440167,0.00853279,1.91042897,1.15184323,0.43706744
-5.89794897,5.05986384,0.03664716,0.57491447,1.56020064,2.17516878,0.00850020,1.88706551,1.13999158,0.43716360
-5.89194597,5.05847701,0.03381520,0.57904134,1.53324032,2.19996164,0.00848111,1.86461961,1.12723226,0.43751162
-5.88594297,5.06185210,0.03109632,0.58306981,1.50370760,2.22878924,0.00847565,1.84350826,1.11391614,0.43817876
-5.87993997,5.07041251,0.02851106,0.58709555,1.47220437,2.26147709,0.00848388,1.82404831,1.10035805,0.43920842
-5.87393697,5.08424726,0.02607510,0.59118697,1.43931767,2.29766006,0.00850565,1.80644548,1.08682672,0.44061843
-5.86793397,5.10309594,0.02379942,0.59538106,1.40560295,2.33678233,0.00854058,1.79078775,1.07353670,0.44240022
-5.86193097,5.12634756,0.02169058,0.59968073,1.37156922,2.37810500,0.00858792,1.77704332,1.06064270,0.44451901
-5.85592796,5.15305386,0.01975111,0.60405380,1.33766660,2.42072121,0.00864650,1.76506341,1.04823642,0.44691488
-5.84992496,5.18195683,0.01797996,0.60843375,1.30427681,2.46357890,0.00871473,1.75458974,1.03634617,0.44950473
-5.84392196,5.21152969,0.01637304,0.61272221,1.27170669,2.50551022,0.00879053,1.74526632,1.02493907,0.45218505
-5.83791896,5.24002983,0.01492375,0.61679311,1.24018502,2.54526697,0.00887137,1.73665525,1.01392592,0.45483531
-5.83191596,5.26556170,0.01362354,0.62049835,1.20986259,2.58156066,0.00895429,1.72825558,1.00316827,0.45732194
-5.82591296,5.28614736,0.01246244,0.62367488,1.18081537,2.61310575,0.00903598,1.71952466,0.99248763,0.45950272
-5.81990995,5.29980171,0.01142950,0.62615258,1.15305058,2.63866435,0.00911286,1.70990103,0.98167619,0.46123133
-5.81390695,5.30460951,0.01051334,0.62776304,1.12651518,2.65709074,0.00918120,1.69882787,0.97050879,0.46236210
-5.80790395,5.29880109,0.00970244,0.62834848,1.10110650,2.66737364,0.00923722,1.68577604,0.95875543,0.46275462
-5.80190095,5.28082377,0.00898556,0.62777063,1.07668438,2.66867475,0.00927728,1.67026600,0.94619403,0.46227822
-5.79589795,5.24940609,0.00835197,0.62591909,1.05308428,2.66036184,0.00929797,1.65188757,0.93262277,0.46081613
-5.78989495,5.20361241,0.00779171,0.62271878,1.03013095,2.64203499,0.00929630,1.63031696,0.91787159,0.45826915
-5.78389195,5.14288582,0.00729572,0.61813624,1.00765187,2.61354498,0.00926981,1.60533058,0.90181246,0.45455893
-5.77788894,5.06707766,0.00685602,0.61218419,0.98549010,2.57500301,0.00921669,1.57681495,0.88436796,0.44963058
-5.77188594,4.97646283,0.00646572,0.60492452,0.96351607,2.52678143,0.00913589,1.54477282,0.86551792,0.44345465
-5.76588294,4.87174009,0.00611912,0.59646905,0.94163766,2.46950546,0.00902720,1.50932508,0.84530386,0.43602842
-5.75987994,4.75401787,0.00581168,0.58697842,0.91980845,2.40403620,0.00889128,1.47070876,0.82383120,0.42737650
-5.75387694,4.62478595,0.00553996,0.57665874,0.89803370,2.33144582,0.00872968,1.42927115,0.80126898,0.41755067
-5.74787394,4.48587432,0.00530166,0.56575632,0.87637386,2.25298579,0.00854482,1.38546041,0.77784732,0.40662901
-5.74187094,4.33940083,0.00509544,0.55455050,0.85494550,2.17004944,0.00833996,1.33981312,0.75385263,0.39471431
-5.73586793,4.18770971,0.00492091,0.54334484,0.83391967,2.08413051,0.00811907,1.29293917,0.72962075,0.38193183
-5.72986493,4.03330298,0.00477847,0.53245715,0.81351767,1.99677896,0.00788677,1.24550453,0.70552833,0.36842639
-5.72386193,3.87876749,0.00466922,0.52220840,0.79400447,1.90955592,0.00764817,1.19821261,0.68198262,0.35435900
-5.71785893,3.72669996,0.00459485,0.51291136,0.77567992,1.82398923,0.00740872,1.15178456,0.65941013,0.33990290
-5.71185593,3.57963252,0.00455746,0.50485900,0.75886817,1.74153112,0.00717404,1.10693936,0.63824452,0.32523939
-5.70585293,3.43996136,0.00455947,0.49831340,0.74390564,1.66351944,0.00694974,1.06437405,0.61891400,0.31055330
-5.69984992,3.30988049,0.00460349,0.49349554,0.73112803,1.59114347,0.00674124,1.02474481,0.60182871,0.29602843
-5.69384692,3.19132283,0.00469215,0.49057629,0.72085671,1.52541544,0.00655362,0.98864933,0.58736853,0.28184300
-5.68784392,3.08591029,0.00482801,0.48966914,0.71338528,1.46714824,0.00639142,0.95661098,0.57587155,0.26816527
-5.68184092,2.99491402,0.00501344,0.49082480,0.70896649,1.41693995,0.00625851,0.92906509,0.56762364,0.25514953
-5.67583792,2.91922613,0.00525047,0.49402808,0.70780036,1.37516525,0.00615796,0.90634789,0.56284946,0.24293243
-5.66983492,2.85934316,0.00554072,0.49919707,0.71002361,1.34197373,0.00609194,0.88868813,0.56170512,0.23163002
-5.66383192,2.81536167,0.00588528,0.50618468,0.71570121,1.31729472,0.00606163,0.87620189,0.56427278,0.22133538
-5.65782891,2.78698567,0.00628461,0.51478260,0.72482002,1.30084823,0.00606722,0.86889041,0.57055725,0.21211695
-5.65182591,2.77354530,0.00673848,0.52472736,0.73728510,1.29216142,0.00610783,0.86664114,0.58048492,0.20401778
-5.64582291,2.77402598,0.00724588,0.53570845,0.75291863,1.29058961,0.00618160,0.86923201,0.59390479,0.19705541
-5.63981991,2.78710662,0.00780499,0.54737805,0.77146174,1.29534123,0.00628570,0.87633860,0.61059187,0.19122266
-5.63381691,2.81120562,0.00841306,0.55936201,0.79257900,1.30550560,0.00641644,0.88754419,0.63025262,0.18648914
-5.62781391,2.84453291,0.00906644,0.57127177,0.81586563,1.32008260,0.00656937,0.90235217,0.65253246,0.18280334
-5.62181091,2.88514632,0.00976053,0.58271663,0.84085706,1.33801339,0.00673942,0.92020065,0.67702503,0.18009537
-5.61580790,2.93101031,0.01048976,0.59331592,0.86704066,1.35821111,0.00692105,0.94047866,0.70328295,0.17828011
-5.60980490,2.98005536,0.01124763,0.60271074,0.89386916,1.37959083,0.00710845,0.96254347,0.73082978,0.17726069
-5.60380190,3.03023598,0.01202669,0.61057465,0.92077531,1.40109786,0.00729569,0.98573852,0.75917275,0.17693211
-5.59779890,3.07958582,0.01281869,0.61662311,0.94718736,1.42173370,0.00747689,1.00941143,0.78781585,0.17718493
-5.59179590,3.12626810,0.01361456,0.62062126,0.97254473,1.44057920,0.00764646,1.03293133,0.81627291,0.17790887
