energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-5.82591296,5.95236595,-5.95236595,0.06730613,-0.06730613,0.99309468,-0.99309468,2.41517836,-2.41517836,1.50976619,-1.50976619,0.12478343,-0.12478343,1.92867755,-1.92867755,0.54354700,-0.54354700,0.29367887,-0.29367887
-5.81990995,5.88371190,-5.88371190,0.06597575,-0.06597575,0.98412935,-0.98412936,2.39259122,-2.39259122,1.50997942,-1.50997942,0.12091626,-0.12091626,1.90867545,-1.90867545,0.54247747,-0.54247747,0.28323056,-0.28323056
-5.81390695,5.80410978,-5.80410978,0.06463680,-0.06463680,0.97270759,-0.97270759,2.36194778,-2.36194778,1.50753886,-1.50753886,0.11703851,-0.11703851,1.88454888,-1.88454888,0.53979517,-0.53979518,0.27303795,-0.27303795
-5.80790395,5.71270024,-5.71270024,0.06330411,-0.06330411,0.95871563,-0.95871563,2.32276725,-2.32276725,1.50239056,-1.50239056,0.11313400,-0.11313400,1.85599951,-1.85599951,0.53544239,-0.53544240,0.26300100,-0.26300100
-5.80190095,5.60913226,-5.60913226,0.06199557,-0.06199557,0.94213360,-0.94213360,2.27483141,-2.27483141,1.49461466,-1.49461466,0.10919228,-0.10919228,1.82289888,-1.82289888,0.52941257,-0.52941257,0.25303714,-0.25303714
-5.79589795,5.49358873,-5.49358873,0.06073240,-0.06073240,0.92303871,-0.92303872,2.21819249,-2.21819249,1.48442843,-1.48442843,0.10520942,-0.10520942,1.78529648,-1.78529648,0.52175154,-0.52175154,0.24308431,-0.24308431
-5.78989495,5.36678359,-5.36678359,0.05953908,-0.05953908,0.90160349,-0.90160349,2.15316895,-2.15316895,1.47218168,-1.47218168,0.10118841,-0.10118841,1.74341890,-1.74341891,0.51255622,-0.51255622,0.23310263,-0.23310263
-5.78389195,5.22993154,-5.22993154,0.05844302,-0.05844302,0.87808927,-0.87808927,2.08032960,-2.08032961,1.45834472,-1.45834472,0.09713903,-0.09713903,1.69766033,-1.69766033,0.50197097,-0.50197097,0.22307466,-0.22307466
-5.77788894,5.08469227,-5.08469227,0.05747402,-0.05747402,0.85283536,-0.85283536,2.00046744,-2.00046744,1.44348938,-1.44348938,0.09307731,-0.09307731,1.64856490,-1.64856490,0.49018166,-0.49018166,0.21300436,-0.21300436
-5.77188594,4.93309312,-4.93309312,0.05666337,-0.05666337,0.82624449,-0.82624449,1.91456478,-1.91456478,1.42826413,-1.42826413,0.08902460,-0.08902460,1.59680219,-1.59680219,0.47740790,-0.47740790,0.20291497,-0.20291497
-5.76588294,4.77743464,-4.77743464,0.05604270,-0.05604270,0.79876538,-0.79876538,1.82375186,-1.82375186,1.41336437,-1.41336437,0.08500637,-0.08500637,1.54313736,-1.54313736,0.46389384,-0.46389384,0.19284601,-0.19284601
-5.75987994,4.62018455,-4.62018455,0.05564278,-0.05564278,0.77087337,-0.77087337,1.72926121,-1.72926121,1.39949964,-1.39949964,0.08105072,-0.08105072,1.48839743,-1.48839743,0.44989794,-0.44989794,0.18284967,-0.18284967
-5.75387694,4.46386614,-4.46386614,0.05549198,-0.05549198,0.74305014,-0.74305014,1.63238019,-1.63238019,1.38735928,-1.38735928,0.07718691,-0.07718691,1.43343584,-1.43343584,0.43568243,-0.43568243,0.17298684,-0.17298684
-5.74787394,4.31094687,-4.31094687,0.05561487,-0.05561487,0.71576359,-0.71576359,1.53440412,-1.53440413,1.37757832,-1.37757832,0.07344375,-0.07344375,1.37909698,-1.37909698,0.42150280,-0.42150280,0.16332307,-0.16332307
-5.74187094,4.16373306,-4.16373305,0.05603069,-0.05603069,0.68944873,-0.68944873,1.43659216,-1.43659216,1.37070539,-1.37070538,0.06984816,-0.06984816,1.32618261,-1.32618261,0.40759804,-0.40759804,0.15392467,-0.15392467
-5.73586793,4.02427568,-4.02427567,0.05675198,-0.05675198,0.66449063,-0.66449063,1.34012778,-1.34012778,1.36717415,-1.36717415,0.06642384,-0.06642384,1.27542176,-1.27542176,0.39418188,-0.39418188,0.14485522,-0.14485522
-5.72986493,3.89429164,-3.89429164,0.05778342,-0.05778342,0.64121009,-0.64121009,1.24608551,-1.24608551,1.36727981,-1.36727981,0.06319024,-0.06319024,1.22744536,-1.22744536,0.38143570,-0.38143570,0.13617260,-0.13617260
-5.72386193,3.77510381,-3.77510381,0.05912079,-0.05912079,0.61985258,-0.61985258,1.15540482,-1.15540482,1.37116175,-1.37116174,0.06016172,-0.06016172,1.18276687,-1.18276687,0.36950302,-0.36950302,0.12792669,-0.12792669
-5.71785893,3.66760188,-3.66760188,0.06075037,-0.06075037,0.60058093,-0.60058093,1.06887184,-1.06887184,1.37879309,-1.37879308,0.05734713,-0.05734713,1.14176927,-1.14176927,0.35848620,-0.35848620,0.12015779,-0.12015779
-5.71185593,3.57222515,-3.57222515,0.06264859,-0.06264859,0.58347186,-0.58347186,0.98710909,-0.98710909,1.38997785,-1.38997785,0.05474964,-0.05474964,1.10469895,-1.10469895,0.34844497,-0.34844497,0.11289583,-0.11289583
-5.70585293,3.48896689,-3.48896688,0.06478213,-0.06478213,0.56851642,-0.56851642,0.91057285,-0.91057286,1.40435561,-1.40435561,0.05236688,-0.05236688,1.07166622,-1.07166622,0.33939714,-0.33939714,0.10616017,-0.10616017
-5.69984992,3.41739910,-3.41739910,0.06710839,-0.06710839,0.55562415,-0.55562415,0.83955762,-0.83955762,1.42141355,-1.42141354,0.05019144,-0.05019144,1.04265211,-1.04265210,0.33132107,-0.33132107,0.09996019,-0.09996019
-5.69384692,3.35671544,-3.35671543,0.06957637,-0.06957637,0.54463049,-0.54463049,0.77420656,-0.77420656,1.44050526,-1.44050526,0.04821154,-0.04821154,1.01752065,-1.01752065,0.32415984,-0.32415984,0.09429633,-0.09429633
-5.68784392,3.30578921,-3.30578921,0.07212788,-0.07212788,0.53530718,-0.53530718,0.71452696,-0.71452696,1.46087551,-1.46087550,0.04641197,-0.04641197,0.99603577,-0.99603577,0.31782671,-0.31782671,0.08916149,-0.08916149
-5.68184092,3.26324300,-3.26324300,0.07469922,-0.07469921,0.52737486,-0.52737486,0.66040924,-0.66040924,1.48168963,-1.48168962,0.04477507,-0.04477507,0.97788148,-0.97788148,0.31221167,-0.31221167,0.08454278,-0.08454278
-5.67583792,3.22752596,-3.22752596,0.07722292,-0.07722292,0.52051731,-0.52051731,0.61164827,-0.61164827,1.50206639,-1.50206638,0.04328194,-0.04328194,0.96268433,-0.96268433,0.30718854,-0.30718854,0.08042337,-0.08042337
-5.66983492,3.19699467,-3.19699467,0.07962993,-0.07962993,0.51439667,-0.51439667,0.56796572,-0.56796572,1.52111276,-1.52111276,0.04191354,-0.04191354,0.95003665,-0.95003665,0.30262234,-0.30262234,0.07678424,-0.07678424
-5.66383192,3.16999362,-3.16999362,0.08185174,-0.08185174,0.50866887,-0.50866887,0.52903214,-0.52903214,1.53795901,-1.53795900,0.04065180,-0.04065180,0.93951948,-0.93951948,0.29837660,-0.29837660,0.07360593,-0.07360593
-5.65782891,3.14493158,-3.14493157,0.08382265,-0.08382265,0.50299866,-0.50299866,0.49448792,-0.49448792,1.55179261,-1.55179261,0.03948070,-0.03948070,0.93072407,-0.93072407,0.29432012,-0.29432012,0.07086994,-0.07086994
-5.65182591,3.12035043,-3.12035043,0.08548191,-0.08548191,0.49707360,-0.49707360,0.46396210,-0.46396210,1.56188953,-1.56188953,0.03838713,-0.03838713,0.92327080,-0.92327080,0.29033310,-0.29033310,0.06855986,-0.06855986
-5.64582291,3.09498381,-3.09498381,0.08677575,-0.08677575,0.49061656,-0.49061656,0.43708857,-0.43708858,1.56764148,-1.56764148,0.03736168,-0.03736168,0.91682494,-0.91682494,0.28631220,-0.28631220,0.06666211,-0.06666211
-5.63981991,3.06780326,-3.06780326,0.08765913,-0.08765913,0.48339605,-0.48339605,0.41351914,-0.41351914,1.56857808,-1.56857808,0.03639916,-0.03639916,0.91110859,-0.91110859,0.28217453,-0.28217453,0.06516633,-0.06516633
-5.63381691,3.03805062,-3.03805062,0.08809723,-0.08809723,0.47523437,-0.47523437,0.39293330,-0.39293330,1.56438305,-1.56438305,0.03549900,-0.03549900,0.90590842,-0.90590842,0.27786028,-0.27786028,0.06406533,-0.06406533
-5.62781391,3.00525573,-3.00525574,0.08806648,-0.08806648,0.46601307,-0.46601307,0.37504480,-0.37504480,1.55490386,-1.55490386,0.03466535,-0.03466535,0.90107921,-0.90107922,0.27333414,-0.27333414,0.06335472,-0.06335472
-5.62181091,2.96923981,-2.96923981,0.08755523,-0.08755523,0.45567579,-0.45567579,0.35960502,-0.35960503,1.54015450,-1.54015450,0.03390708,-0.03390708,0.89654332,-0.89654333,0.26858546,-0.26858546,0.06303218,-0.06303218
-5.61580790,2.93010485,-2.93010485,0.08656396,-0.08656396,0.44422835,-0.44422835,0.34640362,-0.34640362,1.52031166,-1.52031166,0.03323748,-0.03323748,0.89228640,-0.89228640,0.26362715,-0.26362715,0.06309649,-0.06309649
-5.60980490,2.88821079,-2.88821079,0.08510503,-0.08510503,0.43173634,-0.43173634,0.33526674,-0.33526674,1.49570440,-1.49570440,0.03267391,-0.03267391,0.88834992,-0.88834992,0.25849361,-0.25849361,0.06354641,-0.06354641
-5.60380190,2.84414209,-2.84414210,0.08320202,-0.08320203,0.41832036,-0.41832036,0.32605337,-0.32605337,1.46679830,-1.46679830,0.03223716,-0.03223716,0.88482131,-0.88482132,0.25323779,-0.25323779,0.06437938,-0.06437938
-5.59779890,2.79866622,-2.79866623,0.08088872,-0.08088872,0.40414919,-0.40414920,0.31865028,-0.31865028,1.43417485,-1.43417486,0.03195080,-0.03195080,0.88182233,-0.88182234,0.24792757,-0.24792757,0.06559031,-0.06559031
-5.59179590,2.75268661,-2.75268661,0.07820767,-0.07820767,0.38943141,-0.38943141,0.31296619,-0.31296619,1.39850729,-1.39850730,0.03184041,-0.03184041,0.87949668,-0.87949668,0.24264183,-0.24264183,0.06717035,-0.06717035
-5.58579290,2.70719281,-2.70719282,0.07520862,-0.07520862,0.37440567,-0.37440567,0.30892552,-0.30892552,1.36053414,-1.36053415,0.03193275,-0.03193275,0.87799764,-0.87799764,0.23746619,-0.23746619,0.06910583,-0.06910583
-5.57978989,2.66321084,-2.66321085,0.07194671,-0.07194671,0.35933036,-0.35933036,0.30646230,-0.30646230,1.32103184,-1.32103184,0.03225493,-0.03225493,0.87747663,-0.87747663,0.23248894,-0.23248894,0.07137743,-0.07137743
-5.57378689,2.62175597,-2.62175598,0.06848053,-0.06848053,0.34447294,-0.34447294,0.30551467,-0.30551467,1.28078773,-1.28078774,0.03283365,-0.03283365,0.87807331,-0.87807331,0.22779718,-0.22779718,0.07395962,-0.07395962
-5.56778389,2.58379068,-2.58379069,0.06487033,-0.06487034,0.33009950,-0.33009951,0.30602014,-0.30602014,1.24057472,-1.24057472,0.03369439,-0.03369439,0.87990789,-0.87990790,0.22347339,-0.22347339,0.07682035,-0.07682035
-5.56178089,2.55018942,-2.55018943,0.06117613,-0.06117613,0.31646503,-0.31646503,0.30791210,-0.30791210,1.20112855,-1.20112856,0.03486088,-0.03486088,0.88307606,-0.88307606,0.21959261,-0.21959261,0.07992117,-0.07992117
-5.55577789,2.52171170,-2.52171171,0.05745606,-0.05745606,0.30380460,-0.30380461,0.31111751,-0.31111751,1.16312879,-1.16312880,0.03635451,-0.03635451,0.88764667,-0.88764667,0.21622031,-0.21622031,0.08321762,-0.08321762
-5.54977489,2.49898438,-2.49898439,0.05376495,-0.05376495,0.29232609,-0.29232609,0.31555602,-0.31555602,1.12718390,-1.12718390,0.03819401,-0.03819401,0.89366235,-0.89366236,0.21341095,-0.21341095,0.08666000,-0.08666000
-5.54377189,2.48249345,-2.48249346,0.05015305,-0.05015305,0.28220433,-0.28220433,0.32114038,-0.32114038,1.09382089,-1.09382089,0.04039522,-0.04039522,0.90114274,-0.90114274,0.21120734,-0.21120734,0.09019440,-0.09019440
-5.53776888,2.47258482,-2.47258483,0.04666513,-0.04666513,0.27357717,-0.27357717,0.32777816,-0.32777816,1.06347959,-1.06347959,0.04297106,-0.04297106,0.91008993,-0.91008994,0.20964066,-0.20964066,0.09376408,-0.09376408
-5.53176588,2.46947342,-2.46947343,0.04333976,-0.04333976,0.26654323,-0.26654324,0.33537454,-0.33537454,1.03651123,-1.03651123,0.04593160,-0.04593160,0.92049583,-0.92049583,0.20873110,-0.20873110,0.09731098,-0.09731098
-5.52576288,2.47325917,-2.47325918,0.04020892,-0.04020892,0.26116158,-0.26116158,0.34383601,-0.34383601,1.01318098,-1.01318098,0.04928429,-0.04928429,0.93235041,-0.93235041,0.20848904,-0.20848904,0.10077741,-0.10077741
-5.51975988,2.48394803,-2.48394804,0.03729785,-0.03729785,0.25745291,-0.25745292,0.35307470,-0.35307470,0.99367369,-0.99367370,0.05303424,-0.05303424,0.94565045,-0.94565045,0.20891660,-0.20891660,0.10410781,-0.10410781
-5.51375688,2.50147629,-2.50147629,0.03462514,-0.03462514,0.25540239,-0.25540239,0.36301302,-0.36301302,0.97810212,-0.97810212,0.05718460,-0.05718460,0.96040780,-0.96040780,0.21000939,-0.21000939,0.10725049,-0.10725049
-5.50775388,2.52573578,-2.52573579,0.03220292,-0.03220292,0.25496354,-0.25496355,0.37358836,-0.37358836,0.96651663,-0.96651663,0.06173686,-0.06173686,0.97665647,-0.97665647,0.21175844,-0.21175844,0.11015931,-0.11015931
-5.50175088,2.55659818,-2.55659818,0.03003731,-0.03003731,0.25606317,-0.25606317,0.38475757,-0.38475756,0.95891558,-0.95891558,0.06669117,-0.06669118,0.99445790,-0.99445790,0.21415198,-0.21415198,0.11279511,-0.11279511
-5.49574787,2.59393617,-2.59393617,0.02812889,-0.02812889,0.25860678,-0.25860678,0.39650075,-0.39650074,0.95525547,-0.95525547,0.07204651,-0.07204651,1.01390385,-1.01390386,0.21717716,-0.21717716,0.11512697,-0.11512696
-5.48974487,2.63764007,-2.63764007,0.02647327,-0.02647327,0.26248425,-0.26248425,0.40882441,-0.40882440,0.95546006,-0.95546006,0.07780064,-0.07780064,1.03511651,-1.03511651,0.22082141,-0.22082141,0.11713313,-0.11713313
-5.48374187,2.68762848,-2.68762848,0.02506173,-0.02506173,0.26757545,-0.26757545,0.42176346,-0.42176346,0.95942792,-0.95942792,0.08394999,-0.08394999,1.05824557,-1.05824557,0.22507359,-0.22507359,0.11880157,-0.11880157
-5.47773887,2.74385218,-2.74385218,0.02388174,-0.02388174,0.27375534,-0.27375534,0.43538207,-0.43538206,0.96703790,-0.96703790,0.09048915,-0.09048915,1.08346241,-1.08346241,0.22992464,-0.22992464,0.12013020,-0.12013020
-5.47173587,2.80629095,-2.80629095,0.02291768,-0.02291768,0.28089854,-0.28089854,0.44977317,-0.44977317,0.97815236,-0.97815236,0.09741025,-0.09741025,1.11095140,-1.11095140,0.23536798,-0.23536798,0.12112663,-0.12112663
-5.46573287,2.87494355,-2.87494355,0.02215129,-0.02215129,0.28888296,-0.28888296,0.46505663,-0.46505663,0.99261809,-0.99261809,0.10470201,-0.10470201,1.14089881,-1.14089881,0.24139943,-0.24139943,0.12180757,-0.12180757
-5.45972986,2.94981142,-2.94981142,0.02156232,-0.02156232,0.29759242,-0.29759242,0.48137604,-0.48137604,1.01026507,-1.01026507,0.11234864,-0.11234864,1.17347988,-1.17347988,0.24801690,-0.24801690,0.12219791,-0.12219791
-5.45372686,3.03087738,-3.03087738,0.02112898,-0.02112898,0.30691833,-0.30691832,0.49889414,-0.49889414,1.03090353,-1.03090353,0.12032857,-0.12032857,1.20884468,-1.20884468,0.25521969,-0.25521969,0.12232937,-0.12232937
-5.44772386,3.11808067,-3.11808066,0.02082848,-0.02082848,0.31676022,-0.31676022,0.51778715,-0.51778715,1.05431963,-1.05431963,0.12861314,-0.12861314,1.24710356,-1.24710356,0.26300764,-0.26300764,0.12223901,-0.12223901
-5.44172086,3.21129016,-3.21129015,0.02063749,-0.02063749,0.32702546,-0.32702546,0.53823795,-0.53823795,1.08027055,-1.08027055,0.13716525,-0.13716525,1.28831302,-1.28831302,0.27138007,-0.27138007,0.12196746,-0.12196746
-5.43571786,3.31027759,-3.31027758,0.02053259,-0.02053259,0.33762803,-0.33762803,0.56042848,-0.56042848,1.10847941,-1.10847941,0.14593820,-0.14593820,1.33246275,-1.33246275,0.28033463,-0.28033463,0.12155714,-0.12155713
-5.42971486,3.41469270,-3.41469269,0.02049078,-0.02049078,0.34848687,-0.34848687,0.58453150,-0.58453150,1.13863089,-1.13863089,0.15487477,-0.15487477,1.37946462,-1.37946462,0.28986602,-0.28986602,0.12105033,-0.12105033
-5.42371186,3.52404211,-3.52404211,0.02048987,-0.02048987,0.35952367,-0.35952367,0.61070190,-0.61070190,1.17036792,-1.17036792,0.16390658,-0.16390658,1.42914432,-1.42914431,0.29996472,-0.29996472,0.12048751,-0.12048751
-5.41770885,3.63767356,-3.63767355,0.02050901,-0.02050901,0.37066068,-0.37066068,0.63906803,-0.63906803,1.20329020,-1.20329020,0.17295406,-0.17295406,1.48123608,-1.48123607,0.31061571,-0.31061570,0.11990563,-0.11990563
-5.41170585,3.75476666,-3.75476666,0.02052909,-0.02052909,0.38181850,-0.38181850,0.66972303,-0.66972303,1.23695474,-1.23695474,0.18192678,-0.18192678,1.53538091,-1.53538091,0.32179716,-0.32179716,0.11933679,-0.11933679
-5.40570285,3.87433130,-3.87433129,0.02053317,-0.02053317,0.39291422,-0.39291422,0.70271667,-0.70271666,1.27087878,-1.27087878,0.19072454,-0.19072454,1.59112854,-1.59112854,0.33347919,-0.33347919,0.11880711,-0.11880711
-5.39969985,3.99521393,-3.99521392,0.02050694,-0.02050695,0.40386004,-0.40386004,0.73804780,-0.73804780,1.30454523,-1.30454523,0.19923900,-0.19923900,1.64794297,-1.64794297,0.34562264,-0.34562264,0.11833596,-0.11833596
