energy_ev,total_up,Au_p_up,Au_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,8.57465027,0.84657162,7.24870009,0.03351023,0.19287416,0.79697537,0.00000000
-5.99399700,8.50447040,0.82631981,7.19138568,0.03238247,0.19260474,0.78348297,0.00000000
-5.98799400,8.41941511,0.80555437,7.12227270,0.03118637,0.19214493,0.76808660,0.00000000
-5.98199100,8.31823247,0.78440434,7.04005783,0.02994309,0.19146871,0.75089007,0.00000000
-5.97598799,8.19977959,0.76299051,6.94351623,0.02867296,0.19055156,0.73201401,0.00000000
-5.96998499,8.06307435,0.74141994,6.83155897,0.02739486,0.18937018,0.71159164,0.00000000
-5.96398199,7.90734959,0.71978205,6.70329147,0.02612583,0.18790245,0.68976542,0.00000000
-5.95797899,7.73210631,0.69814666,6.55806945,0.02488068,0.18612761,0.66668465,0.00000000
-5.95197599,7.53716235,0.67656387,6.39554893,0.02367181,0.18402676,0.64250391,0.00000000
-5.94597299,7.32269324,0.65506594,6.21572699,0.02250916,0.18158361,0.61738235,0.00000000
-5.93996998,7.08926231,0.63367076,6.01897081,0.02140025,0.17878542,0.59148360,0.00000000
-5.93396698,6.83783796,0.61238687,5.80603312,0.02035040,0.17562414,0.56497618,0.00000000
-5.92796398,6.56979646,0.59121950,5.57805277,0.01936300,0.17209762,0.53803417,0.00000000
-5.92196098,6.28690980,0.57017737,5.33654041,0.01843992,0.16821083,0.51083803,0.00000000
-5.91595798,5.99131878,0.54927966,5.08334979,0.01758198,0.16397701,0.48357518,0.00000000
-5.90995498,5.68549242,0.52856281,4.82063615,0.01678942,0.15941865,0.45644047,0.00000000
-5.90395198,5.37217567,0.50808674,4.55080366,0.01606244,0.15456822,0.42963613,0.00000000
-5.89794897,5.05432754,0.48794003,4.27644471,0.01540167,0.14946855,0.40337139,0.00000000
-5.89194597,4.73505283,0.46824386,4.00027372,0.01480868,0.14417294,0.37786149,0.00000000
-5.88594297,4.41753030,0.44915438,3.72505877,0.01428639,0.13874469,0.35332635,0.00000000
-5.87993997,4.10494035,0.43086348,3.45355381,0.01383938,0.13325643,0.32998865,0.00000000
-5.87393697,3.80039538,0.41359777,3.18843450,0.01347418,0.12778881,0.30807168,0.00000000
-5.86793397,3.50687518,0.39761593,2.93223992,0.01319942,0.12242897,0.28779684,0.00000000
-5.86193097,3.22716976,0.38320446,2.68732220,0.01302593,0.11726862,0.26938098,0.00000000
-5.85592796,2.96383104,0.37067197,2.45580546,0.01296667,0.11240183,0.25303362,0.00000000
-5.84992496,2.71913483,0.36034236,2.23955494,0.01303661,0.10792265,0.23895419,0.00000000
-5.84392196,2.49505325,0.35254699,2.04015656,0.01325254,0.10392261,0.22732933,0.00000000
-5.83791896,2.29323779,0.34761626,1.85890678,0.01363277,0.10048822,0.21833023,0.00000000
