energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.23307668,0.02271998,0.22909515,0.50625371,0.00000000,0.95123539,0.65914370,0.06165059,0.96011299
-5.99399700,2.34595073,0.02230512,0.23761907,0.53179756,0.00000000,1.02040169,0.69625752,0.06059760,1.01931776
-5.98799400,2.46162105,0.02190118,0.24707012,0.55777973,0.00000000,1.09429352,0.73495578,0.05949646,1.07848583
-5.98199100,2.57916220,0.02151088,0.25747180,0.58389528,0.00000000,1.17256483,0.77502770,0.05837446,1.13693812
-5.97598799,2.69745375,0.02113466,0.26881320,0.60979939,0.00000000,1.25473330,0.81619059,0.05725463,1.19394258
-5.96998499,2.81519909,0.02077088,0.28104694,0.63511662,0.00000000,1.34018461,0.85809170,0.05615495,1.24873076
-5.96398199,2.93095310,0.02041603,0.29408850,0.65945186,0.00000000,1.42818158,0.90031311,0.05508791,1.30051726
-5.95797899,3.04315790,0.02006517,0.30781709,0.68240264,0.00000000,1.51787784,0.94237968,0.05406030,1.34852127
-5.95197599,3.15018518,0.01971228,0.32207789,0.70357211,0.00000000,1.60833574,0.98376981,0.05307331,1.39198933
-5.94597299,3.25038348,0.01935077,0.33668573,0.72258217,0.00000000,1.69854757,1.02392852,0.05212288,1.43021824
-5.93996998,3.34212818,0.01897390,0.35143007,0.73908608,0.00000000,1.78745959,1.06228246,0.05120028,1.46257716
-5.93396698,3.42387210,0.01857520,0.36608096,0.75277991,0.00000000,1.87399769,1.09825616,0.05029294,1.48852780
-5.92796398,3.49419434,0.01814892,0.38039596,0.76341244,0.00000000,1.95709379,1.13128881,0.04938537,1.50764179
-5.92196098,3.55184515,0.01769032,0.39412746,0.77079289,0.00000000,2.03571196,1.16085082,0.04846024,1.51961429
-5.91595798,3.59578488,0.01719592,0.40703034,0.77479625,0.00000000,2.10887322,1.18645953,0.04749946,1.52427335
-5.90995498,3.62521523,0.01666374,0.41886949,0.77536597,0.00000000,2.17567816,1.20769323,0.04648527,1.52158442
-5.90395198,3.63960167,0.01609331,0.42942699,0.77251399,0.00000000,2.23532665,1.22420308,0.04540131,1.51164996
-5.89794897,3.63868603,0.01548573,0.43850852,0.76631816,0.00000000,2.28713403,1.23572235,0.04423344,1.49470416
-5.89194597,3.62248930,0.01484357,0.44594900,0.75691730,0.00000000,2.33054337,1.24207273,0.04297061,1.47110317
-5.88594297,3.59130462,0.01417071,0.45161699,0.74450420,0.00000000,2.36513378,1.24316743,0.04160533,1.44131124
-5.87993997,3.54568137,0.01347218,0.45541796,0.72931709,0.00000000,2.39062458,1.23901133,0.04013413,1.40588382
-5.87393697,3.48640147,0.01275388,0.45729625,0.71162996,0.00000000,2.40687587,1.22969803,0.03855764,1.36544815
-5.86793397,3.41444936,0.01202231,0.45723566,0.69174233,0.00000000,2.41388558,1.21540436,0.03688064,1.32068263
-5.86193097,3.33097756,0.01128433,0.45525891,0.66996904,0.00000000,2.41178375,1.19638270,0.03511176,1.27229574
-5.85592796,3.23726932,0.01054684,0.45142587,0.64663040,0.00000000,2.40082447,1.17295143,0.03326311,1.22100567
-5.84992496,3.13470057,0.00981657,0.44583091,0.62204331,0.00000000,2.38137608,1.14548439,0.03134976,1.16752130
-5.84392196,3.02470248,0.00909983,0.43859930,0.59651355,0.00000000,2.35391023,1.11439953,0.02938907,1.11252545
-5.83791896,2.90872639,0.00840236,0.42988311,0.57032956,0.00000000,2.31899017,1.08014752,0.02740002,1.05666080
-5.83191596,2.78821212,0.00772916,0.41985662,0.54375779,0.00000000,2.27725870,1.04320066,0.02540250,1.00051895
-5.82591296,2.66456053,0.00708442,0.40871143,0.51703970,0.00000000,2.22942597,1.00404246,0.02341656,0.94463263
