energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.31185491,-1.56495306,0.62725555,-0.48066425,0.49012748,-0.15192561,0.00632751,-0.00595066,0.38260540,-0.11771756,0.40975171,-0.37071774,0.22112697,-0.20298673,0.02043431,-0.01869322,0.89218919,-0.79093754
-5.99399700,2.35613538,-1.60969405,0.64635278,-0.49708497,0.50714989,-0.15840056,0.00633513,-0.00601366,0.40193967,-0.12295332,0.40899345,-0.38105169,0.22280858,-0.20713601,0.02116965,-0.01853542,0.89573218,-0.81191289
-5.98799400,2.39713821,-1.65028715,0.66549434,-0.51197511,0.52406466,-0.16464746,0.00631583,-0.00604686,0.42228973,-0.12838413,0.40626143,-0.38947599,0.22412902,-0.21092671,0.02213048,-0.01860157,0.89621149,-0.83012448
-5.98199100,2.43552197,-1.68637302,0.68495934,-0.52523819,0.54097939,-0.17064842,0.00627261,-0.00605203,0.44376754,-0.13403021,0.40171955,-0.39587296,0.22515506,-0.21432757,0.02330924,-0.01889283,0.89388849,-0.84533238
-5.97598799,2.47205146,-1.71775282,0.70505964,-0.53683688,0.55800321,-0.17640205,0.00620897,-0.00603166,0.46647591,-0.13992280,0.39557538,-0.40017391,0.22596729,-0.21732527,0.02469549,-0.01940798,0.88909905,-0.85738058
-5.96998499,2.50756154,-1.74439829,0.72612870,-0.54679581,0.57523909,-0.18192429,0.00612877,-0.00598890,0.49050212,-0.14610412,0.38807323,-0.40236190,0.22665664,-0.21992541,0.02627579,-0.02014344,0.88223997,-0.86620337
-5.96398199,2.54291827,-1.76645438,0.74850940,-0.55520230,0.59277644,-0.18724838,0.00603610,-0.00592740,0.51591211,-0.15262658,0.37948608,-0.40247276,0.22732040,-0.22215259,0.02803365,-0.02109331,0.87375323,-0.87182785
-5.95797899,2.57897982,-1.78423433,0.77254126,-0.56220463,0.61068470,-0.19242411,0.00593517,-0.00585122,0.54274547,-0.15955163,0.37010670,-0.40059410,0.22805804,-0.22404950,0.02994958,-0.02224925,0.86410887,-0.87437273
-5.95197599,2.61655913,-1.79820761,0.79854762,-0.56800825,0.62900822,-0.19751623,0.00583010,-0.00576463,0.57101171,-0.16694789,0.36023846,-0.39686254,0.22896690,-0.22567522,0.03200111,-0.02360044,0.85378746,-0.87404340
-5.94597299,2.65639053,-1.80898133,0.82682340,-0.57286987,0.64776290,-0.20260221,0.00572483,-0.00567196,0.60068796,-0.17488905,0.35018613,-0.39145921,0.23013818,-0.22710266,0.03416305,-0.02513343,0.84326289,-0.87112362
-5.93996998,2.69910185,-1.81727622,0.85762377,-0.57708986,0.66693484,-0.20776940,0.00562299,-0.00557746,0.63171834,-0.18345134,0.34024710,-0.38460376,0.23165323,-0.22841547,0.03640772,-0.02683207,0.83298637,-0.86596424
-5.93396698,2.74519334,-1.82389857,0.89115415,-0.58100326,0.68648098,-0.21311186,0.00552784,-0.00548512,0.66401497,-0.19271097,0.33070334,-0.37654719,0.23358041,-0.22970441,0.03870544,-0.02867738,0.82337226,-0.85896970
-5.92796398,2.79502408,-1.82970961,0.92756194,-0.58496972,0.70633188,-0.21872689,0.00544214,-0.00539857,0.69746060,-0.20274147,0.32181426,-0.36756383,0.23597272,-0.23106355,0.04102506,-0.03064761,0.81478627,-0.85058280
-5.92196098,2.84880602,-1.83559393,0.96693004,-0.58936291,0.72639623,-0.22471170,0.00536815,-0.00532092,0.73191264,-0.21361131,0.31381086,-0.35794280,0.23886605,-0.23258632,0.04333456,-0.03271831,0.80753641,-0.84126872
-5.91595798,2.90660529,-1.84242857,1.00927227,-0.59455974,0.74656691,-0.23116016,0.00530759,-0.00525471,0.76720823,-0.22538177,0.30689106,-0.34797933,0.24227832,-0.23436172,0.04560185,-0.03486249,0.80186685,-0.83149886
-5.90995498,2.96834985,-1.85105413,1.05453079,-0.60092970,0.76672797,-0.23816010,0.00526162,-0.00520184,0.80317005,-0.23810523,0.30121639,-0.33796635,0.24620930,-0.23647082,0.04779553,-0.03705096,0.79795459,-0.82173531
-5.90395198,3.03384228,-1.86224924,1.10257523,-0.60882479,0.78676213,-0.24579105,0.00523091,-0.00516352,0.83961235,-0.25182402,0.29690996,-0.32818647,0.25064117,-0.23898366,0.04988568,-0.03925279,0.79590892,-0.81241656
-5.89794897,3.10277600,-1.87670928,1.15320354,-0.61857015,0.80655809,-0.25412274,0.00521559,-0.00514029,0.87634676,-0.26656985,0.29405567,-0.31890487,0.25553962,-0.24195669,0.05184468,-0.04143586,0.79577328,-0.80394490
-5.89194597,3.17475345,-1.89502992,1.20614434,-0.63045569,0.82601709,-0.26321438,0.00521537,-0.00513205,0.91318743,-0.28236380,0.29269843,-0.31036305,0.26085546,-0.24543071,0.05364787,-0.04356751,0.79752909,-0.79667592
-5.88594297,3.24930436,-1.91769585,1.26106041,-0.64472880,0.84505823,-0.27311465,0.00522956,-0.00513809,0.94995506,-0.29921685,0.29284539,-0.30277375,0.26652648,-0.24942954,0.05527423,-0.04561538,0.80110120,-0.79091031
-5.87993997,3.32590273,-1.94507450,1.31755327,-0.66158825,0.86362203,-0.28386241,0.00525710,-0.00515715,0.98647955,-0.31713088,0.29446786,-0.29631699,0.27247959,-0.25395916,0.05670680,-0.04754814,0.80636440,-0.78688807
-5.87393697,3.40398130,-1.97741453,1.37516861,-0.68117923,0.88167198,-0.29548805,0.00529663,-0.00518756,1.02260105,-0.33610006,0.29750388,-0.29113732,0.27863298,-0.25900747,0.05793303,-0.04933641,0.81315058,-0.78478498
-5.86793397,3.48294268,-2.01484832,1.43340241,-0.70358964,0.89919390,-0.30801523,0.00534654,-0.00522726,1.05816943,-0.35611236,0.30186116,-0.28734217,0.28489823,-0.26454451,0.05894489,-0.05095354,0.82125616,-0.78471131
-5.86193097,3.56216673,-2.05739775,1.49170759,-0.72884752,0.91619325,-0.32146284,0.00540501,-0.00527394,1.09304205,-0.37715120,0.30742046,-0.28500133,0.29118242,-0.27052315,0.05973883,-0.05237638,0.83044947,-0.78671243
-5.85592796,3.64101446,-2.10498232,1.54950128,-0.75691967,0.93269038,-0.33584701,0.00547001,-0.00532513,1.12708036,-0.39919688,0.31403910,-0.28414725,0.29738997,-0.27688007,0.06031557,-0.05358594,0.84047790,-0.79077099
-5.84992496,3.71882888,-2.15742883,1.60617259,-0.78771135,0.94871444,-0.35118280,0.00553938,-0.00537827,1.16014541,-0.42222780,0.32155467,-0.28477631,0.30342441,-0.28353712,0.06067969,-0.05456795,0.85107456,-0.79681054
-5.84392196,3.79493376,-2.21448152,1.66109093,-0.82106722,0.96429608,-0.36748552,0.00561082,-0.00543084,1.19209298,-0.44622125,0.32978888,-0.28685066,0.30919005,-0.29040280,0.06083913,-0.05531318,0.86196464,-0.80470012
-5.83791896,3.86863168,-2.27581230,1.71361494,-0.85677337,0.97945992,-0.38477129,0.00568193,-0.00548037,1.22276865,-0.47115368,0.33855150,-0.29030070,0.31459347,-0.29737408,0.06080458,-0.05581769,0.87287127,-0.81425958
-5.83191596,3.93920263,-2.34103024,1.76310215,-0.89456068,0.99421722,-0.40305686,0.00575023,-0.00552453,1.25200359,-0.49700035,0.34764441,-0.29502804,0.31954500,-0.30433827,0.06058880,-0.05608276,0.88352121,-0.82526556
-5.82591296,4.00590460,-2.40969003,1.80891926,-0.93410928,1.00855952,-0.42235854,0.00581317,-0.00556119,1.27961148,-0.52373452,0.35686582,-0.30090874,0.32396028,-0.31117517,0.06020599,-0.05611476,0.89365017,-0.83745773
-5.81990995,4.06797756,-2.48129949,1.85045314,-0.97505437,1.02245386,-0.44269019,0.00586820,-0.00558842,1.30538709,-0.55132595,0.36601446,-0.30779693,0.32776180,-0.31775929,0.05967108,-0.05592478,0.90300827,-0.85054536
-5.81390695,4.12465170,-2.55532587,1.88712253,-1.01699329,1.03584004,-0.46406045,0.00591276,-0.00560455,1.32910700,-0.57973910,0.37489406,-0.31552862,0.33088056,-0.32396235,0.05899921,-0.05552807,0.91136530,-0.86421409
-5.80790395,4.17516063,-2.63120144,1.91839019,-1.05949371,1.04863038,-0.48646925,0.00594438,-0.00560814,1.35053256,-0.60893090,0.38331768,-0.32392561,0.33325783,-0.32965590,0.05820522,-0.05494340,0.91851612,-0.87813278
-5.80190095,4.21875974,-2.70832855,1.94377527,-1.10210295,1.06071196,-0.50990389,0.00596068,-0.00559803,1.36941529,-0.63884846,0.39111216,-0.33279958,0.33484702,-0.33471413,0.05730327,-0.05419235,0.92428596,-0.89196061
-5.79589795,4.25474921,-2.78608469,1.96286582,-1.14435815,1.07195156,-0.53433493,0.00595947,-0.00557332,1.38550454,-0.66942678,0.39812242,-0.34195622,0.33561554,-0.33901680,0.05630660,-0.05329843,0.92853567,-0.90535421
