energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,2.52489907,0.00840049,0.49090630,0.65496581,0.42082823,0.93383263,0.00000000,1.92009381,0.67601507
-5.99399700,2.47631923,0.00800988,0.47654475,0.66035745,0.40919204,0.93874279,0.00000000,1.87626626,0.65716905
-5.98799400,2.42388287,0.00764745,0.46113446,0.66470779,0.39727830,0.94211010,0.00000000,1.82818505,0.63701742
-5.98199100,2.36801209,0.00730873,0.44488110,0.66784062,0.38515399,0.94372338,0.00000000,1.77670708,0.61577867
-5.97598799,2.30916227,0.00698968,0.42800069,0.66959480,0.37288471,0.94339592,0.00000000,1.72272056,0.59368052
-5.96998499,2.24781610,0.00668672,0.41071322,0.66983201,0.36053557,0.94097422,0.00000000,1.66711445,0.57095566
-5.96398199,2.18448049,0.00639680,0.39323701,0.66844458,0.34817278,0.93634718,0.00000000,1.61075166,0.54783846
-5.95797899,2.11968630,0.00611746,0.37578402,0.66536318,0.33586563,0.92945494,0.00000000,1.55444726,0.52456251
-5.95197599,2.05399060,0.00584682,0.35855615,0.66056380,0.32368878,0.92029725,0.00000000,1.49895220,0.50135911
-5.94597299,1.98798067,0.00558365,0.34174276,0.65407370,0.31172462,0.90894048,0.00000000,1.44494295,0.47845638
-5.93996998,1.92227901,0.00532729,0.32551920,0.64597591,0.30006559,0.89552302,0.00000000,1.39301699,0.45607913
-5.93396698,1.85754839,0.00507768,0.31004631,0.63641196,0.28881602,0.88025849,0.00000000,1.34369343,0.43444899
-5.92796398,1.79449597,0.00483529,0.29547085,0.62558250,0.27809360,0.86343645,0.00000000,1.29741808,0.41378473
-5.92196098,1.73387539,0.00460109,0.28192636,0.61374575,0.26802997,0.84542018,0.00000000,1.25457179,0.39430252
-5.91595798,1.67648614,0.00437646,0.26953449,0.60121362,0.25877061,0.82664171,0.00000000,1.21548078,0.37621582
-5.90995498,1.62316944,0.00416313,0.25840648,0.58834548,0.25047371,0.80759373,0.00000000,1.18042766,0.35973484
-5.90395198,1.57480016,0.00396307,0.24864442,0.57553987,0.24330810,0.78881884,0.00000000,1.14966197,0.34506533
-5.89794897,1.53227461,0.00377843,0.24034230,0.56322425,0.23745028,0.77089624,0.00000000,1.12340894,0.33240661
-5.89194597,1.49649431,0.00361141,0.23358652,0.55184322,0.23308055,0.75442639,0.00000000,1.10187569,0.32194895
-5.88594297,1.46834611,0.00346418,0.22845589,0.54184557,0.23037845,0.74001411,0.00000000,1.08525429,0.31387018
-5.87993997,1.44867934,0.00333879,0.22502096,0.53367066,0.22951762,0.72825080,0.00000000,1.07372125,0.30833174
-5.87393697,1.43828080,0.00323707,0.22334276,0.52773465,0.23066035,0.71969639,0.00000000,1.06743349,0.30547433
-5.86793397,1.43784880,0.00316056,0.22347102,0.52441716,0.23395195,0.71486176,0.00000000,1.06652129,0.30541335
-5.86193097,1.44796730,0.00311044,0.22544195,0.52404874,0.23951527,0.71419236,0.00000000,1.07107857,0.30823434
-5.85592796,1.46908147,0.00308749,0.22927578,0.52689977,0.24744554,0.71805355,0.00000000,1.08115159,0.31398872
-5.84992496,1.50147587,0.00309204,0.23497425,0.53317126,0.25780574,0.72671840,0.00000000,1.09672693,0.32269009
-5.84392196,1.54525636,0.00312399,0.24251817,0.54298764,0.27062274,0.74035823,0.00000000,1.11771987,0.33431123
-5.83791896,1.60033669,0.00318277,0.25186535,0.55639219,0.28588438,0.75903644,0.00000000,1.14396422,0.34878211
-5.83191596,1.66643062,0.00326738,0.26294901,0.57334488,0.30353748,0.78270565,0.00000000,1.17520458,0.36598902
-5.82591296,1.74304975,0.00337645,0.27567682,0.59372300,0.32348704,0.81120832,0.00000000,1.21109180,0.38577482
-5.81990995,1.82950760,0.00350826,0.28993070,0.61732420,0.34559651,0.84428067,0.00000000,1.25118225,0.40794052
-5.81390695,1.92492948,0.00366079,0.30556738,0.64387202,0.36968921,0.88155973,0.00000000,1.29494114,0.43224796
-5.80790395,2.02826787,0.00383186,0.32241983,0.67302343,0.39555072,0.92259304,0.00000000,1.34175002,0.45842366
-5.80190095,2.13832258,0.00401909,0.34029936,0.70437812,0.42293227,0.96685059,0.00000000,1.39091800,0.48616353
-5.79589795,2.25376472,0.00422006,0.35899848,0.73748905,0.45155486,1.01373836,0.00000000,1.44169636,0.51513833
-5.78989495,2.37316341,0.00443235,0.37829426,0.77187383,0.48111401,1.06261288,0.00000000,1.49329566,0.54499965
-5.78389195,2.49501409,0.00465357,0.39795205,0.80702636,0.51128499,1.11279619,0.00000000,1.54490448,0.57538608
-5.77788894,2.61776723,0.00488142,0.41772952,0.84242842,0.54172827,1.16359048,0.00000000,1.59570884,0.60592937
-5.77188594,2.73985638,0.00511372,0.43738066,0.87756063,0.57209507,1.21429210,0.00000000,1.64491125,0.63626044
-5.76588294,2.85972461,0.00534843,0.45665977,0.91191248,0.60203287,1.26420429,0.00000000,1.69174849,0.66601486
-5.75987994,2.97584866,0.00558364,0.47532521,0.94499125,0.63119075,1.31264840,0.00000000,1.73550736,0.69483785
-5.75387694,3.08676035,0.00581751,0.49314283,0.97632956,0.65922445,1.35897350,0.00000000,1.77553776,0.72238860
-5.74787394,3.19106494,0.00604835,0.50988907,1.00549153,0.68580111,1.40256424,0.00000000,1.81126272,0.74834396
-5.74187094,3.28745675,0.00627444,0.52535365,1.03207764,0.71060368,1.44284712,0.00000000,1.84218534,0.77240151
-5.73586793,3.37473214,0.00649413,0.53934189,1.05572837,0.73333508,1.47929538,0.00000000,1.86789264,0.79428211
-5.72986493,3.45180040,0.00670568,0.55167678,1.07612685,0.75372195,1.51143285,0.00000000,1.88805666,0.81373207
-5.72386193,3.51769317,0.00690731,0.56220070,1.09300075,0.77151830,1.53883699,0.00000000,1.90243336,0.83052504
-5.71785893,3.57157298,0.00709710,0.57077709,1.10612374,0.78650887,1.56114164,0.00000000,1.91085976,0.84446386
-5.71185593,3.61274146,0.00727306,0.57729187,1.11531659,0.79851239,1.57803964,0.00000000,1.91325008,0.85538240
-5.70585293,3.64064754,0.00743305,0.58165496,1.12044828,0.80738463,1.58928568,0.00000000,1.90959129,0.86314759
-5.69984992,3.65489601,0.00757487,0.58380164,1.12143719,0.81302137,1.59469941,0.00000000,1.89993880,0.86766155
-5.69384692,3.65525623,0.00769626,0.58369399,1.11825235,0.81536101,1.59416893,0.00000000,1.88441244,0.86886396
-5.68784392,3.64167085,0.00779499,0.58132216,1.11091470,0.81438696,1.58765446,0.00000000,1.86319305,0.86673442
-5.68184092,3.61426379,0.00786892,0.57670554,1.09949841,0.81012948,1.57519191,0.00000000,1.83651968,0.86129480
-5.67583792,3.57334691,0.00791611,0.56989366,1.08413177,0.80266693,1.55689617,0.00000000,1.80468730,0.85261128
-5.66983492,3.51942438,0.00793490,0.56096668,1.06499758,0.79212626,1.53296345,0.00000000,1.76804463,0.84079591
-5.66383192,3.45319383,0.00792401,0.55003538,1.04233277,0.77868246,1.50367243,0.00000000,1.72699179,0.82600742
-5.65782891,3.37554329,0.00788264,0.53724045,1.01642680,0.76255700,1.46938361,0.00000000,1.68197733,0.80845105
-5.65182591,3.28754326,0.00781057,0.52275107,0.98761882,0.74401492,1.43053657,0.00000000,1.63349417,0.78837717
-5.64582291,3.19043323,0.00770820,0.50676261,0.95629325,0.72336079,1.38764481,0.00000000,1.58207408,0.76607854
-5.63981991,3.08560241,0.00757658,0.48949343,0.92287378,0.70093323,1.34128803,0.00000000,1.52828052,0.74188622
-5.63381691,2.97456479,0.00741747,0.47118093,0.88781579,0.67709833,1.29210175,0.00000000,1.47269964,0.71616391
