energy_ev,total_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.32402754,0.11064048,0.42489620,0.03498423,0.94488075,0.16274455,0.00002913
-5.99399700,1.29334064,0.10704649,0.41179811,0.03572023,0.93499560,0.15069772,0.00002899
-5.98799400,1.25737436,0.10340659,0.39738596,0.03623864,0.91910444,0.13927631,0.00002871
-5.98199100,1.21645135,0.09968921,0.38180942,0.03653037,0.89749804,0.12849560,0.00002829
-5.97598799,1.17102081,0.09587355,0.36524840,0.03659265,0.87058538,0.11836680,0.00002772
-5.96998499,1.12164828,0.09194990,0.34791055,0.03642939,0.83888057,0.10889790,0.00002703
-5.96398199,1.06900209,0.08791962,0.33002817,0.03605126,0.80298669,0.10009485,0.00002622
-5.95797899,1.01383731,0.08379486,0.31185444,0.03547560,0.76357715,0.09196267,0.00002531
-5.95197599,0.95697763,0.07959798,0.29365939,0.03472610,0.72137544,0.08450679,0.00002433
-5.94597299,0.89929616,0.07536076,0.27572544,0.03383234,0.67713422,0.07773415,0.00002330
-5.93996998,0.84169574,0.07112338,0.25834289,0.03282910,0.63161455,0.07165440,0.00002226
-5.93396698,0.78508950,0.06693328,0.24180537,0.03175555,0.58556603,0.06628074,0.00002124
-5.92796398,0.73038245,0.06284393,0.22640537,0.03065436,0.53970874,0.06163073,0.00002027
-5.92196098,0.67845448,0.05891355,0.21242993,0.02957062,0.49471728,0.05772672,0.00001940
-5.91595798,0.63014531,0.05520387,0.20015668,0.02855086,0.45120762,0.05459611,0.00001866
-5.90995498,0.58624169,0.05177901,0.18985011,0.02764187,0.40972680,0.05227134,0.00001810
-5.90395198,0.54746699,0.04870439,0.18175815,0.02688963,0.37074570,0.05078965,0.00001776
-5.89794897,0.51447319,0.04604592,0.17610911,0.02633824,0.33465482,0.05019266,0.00001770
-5.89194597,0.48783530,0.04386934,0.17310891,0.02602886,0.30176282,0.05052569,0.00001796
-5.88594297,0.46804790,0.04223969,0.17293867,0.02599877,0.27229760,0.05183709,0.00001860
-5.87993997,0.45552378,0.04122114,0.17575245,0.02628043,0.24640950,0.05417738,0.00001968
-5.87393697,0.45059427,0.04087688,0.18167549,0.02690072,0.22417624,0.05759843,0.00002125
-5.86793397,0.45351105,0.04126924,0.19080264,0.02788021,0.20560919,0.06215260,0.00002340
-5.86193097,0.46444925,0.04245995,0.20319721,0.02923259,0.19066047,0.06789207,0.00002619
