energy_ev,total_up,Ag_p_up,Ag_d_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up
-6.00000000,3.63738173,0.42077446,2.93736148,0.30346039,0.00000000,0.02615168,0.15859876
-5.99399700,3.63303261,0.41548729,2.94193011,0.29995131,0.00000000,0.02503889,0.15772145
-5.98799400,3.63039148,0.41018570,2.94768335,0.29688389,0.00000000,0.02398021,0.15667843
-5.98199100,3.62873643,0.40481017,2.95399994,0.29416127,0.00000000,0.02298094,0.15548586
-5.97598799,3.62737571,0.39931368,2.96028738,0.29168890,0.00000000,0.02204420,0.15416388
-5.96998499,3.62567484,0.39366411,2.96600444,0.28937713,0.00000000,0.02117108,0.15273611
-5.96398199,3.62308055,0.38784598,2.97068124,0.28714341,0.00000000,0.02036098,0.15122917
-5.95797899,3.61914074,0.38186127,2.97393586,0.28491400,0.00000000,0.01961185,0.14967195
-5.95197599,3.61351937,0.37572944,2.97548684,0.28262536,0.00000000,0.01892063,0.14809496
-5.94597299,3.60600585,0.36948665,2.97516099,0.28022496,0.00000000,0.01828356,0.14652943
-5.93996998,3.59651843,0.36318407,2.97289623,0.27767164,0.00000000,0.01769656,0.14500648
-5.93396698,3.58510166,0.35688551,2.96873935,0.27493565,0.00000000,0.01715559,0.14355626
-5.92796398,3.57191815,0.35066447,2.96283895,0.27199815,0.00000000,0.01665693,0.14220704
-5.92196098,3.55723507,0.34460060,2.95543401,0.26885050,0.00000000,0.01619748,0.14098436
-5.91595798,3.54140641,0.33877591,2.94683872,0.26549322,0.00000000,0.01577492,0.13991024
-5.90995498,3.52485189,0.33327081,2.93742455,0.26193474,0.00000000,0.01538791,0.13900247
-5.90395198,3.50803387,0.32816017,2.92760057,0.25819013,0.00000000,0.01503613,0.13827400
-5.89794897,3.49143348,0.32350967,2.91779312,0.25427961,0.00000000,0.01472031,0.13773251
-5.89194597,3.47552737,0.31937244,2.90842603,0.25022725,0.00000000,0.01444222,0.13738006
-5.88594297,3.46076646,0.31578637,2.89990245,0.24605963,0.00000000,0.01420453,0.13721298
-5.87993997,3.44755763,0.31277206,2.89258929,0.24180472,0.00000000,0.01401070,0.13722195
