energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.25237216,0.00275540,0.13416610,0.80792845,0.43103397,0.01203516,0.41617532,0.30735713,0.05364392
-5.99399700,1.22518545,0.00244538,0.12957197,0.76921451,0.42458649,0.01320208,0.41037804,0.30203702,0.05237903
-5.98799400,1.20122485,0.00215929,0.12543972,0.73046304,0.41915869,0.01445376,0.40548265,0.29735271,0.05136584
-5.98199100,1.18116605,0.00189855,0.12180139,0.69225575,0.41493189,0.01577955,0.40176142,0.29366368,0.05063630
-5.97598799,1.16562856,0.00166402,0.11868190,0.65516208,0.41206646,0.01716631,0.39946770,0.29132652,0.05021913
-5.96998499,1.15516041,0.00145605,0.11609882,0.61972490,0.41069761,0.01859857,0.39882904,0.29068538,0.05013915
-5.96398199,1.15022476,0.00127458,0.11406226,0.58644738,0.41093194,0.02005882,0.40004101,0.29206255,0.05041648
-5.95797899,1.15118889,0.00111924,0.11257503,0.55578159,0.41284501,0.02152784,0.40326201,0.29574941,0.05106595
-5.95197599,1.15831608,0.00098942,0.11163294,0.52811922,0.41647989,0.02298512,0.40860929,0.30199805,0.05209646
-5.94597299,1.17176056,0.00088434,0.11122534,0.50378489,0.42184689,0.02440937,0.41615617,0.31101374,0.05351063
-5.93996998,1.19156572,0.00080318,0.11133595,0.48303210,0.42892428,0.02577905,0.42593058,0.32294857,0.05530444
-5.93396698,1.21766560,0.00074512,0.11194380,0.46604197,0.43766005,0.02707298,0.43791502,0.33789629,0.05746716
-5.92796398,1.24988927,0.00070942,0.11302439,0.45292472,0.44797447,0.02827090,0.45204764,0.35588862,0.05998141
-5.92196098,1.28796815,0.00069546,0.11455088,0.44372369,0.45976337,0.02935406,0.46822464,0.37689316,0.06282344
-5.91595798,1.33154553,0.00070281,0.11649550,0.43842158,0.47290188,0.03030580,0.48630371,0.40081289,0.06596354
-5.90995498,1.38018819,0.00073122,0.11883077,0.43694852,0.48724850,0.03111205,0.50610833,0.42748739,0.06936677
-5.90395198,1.43339943,0.00078069,0.12153076,0.43919163,0.50264921,0.03176176,0.52743290,0.45669580,0.07299367
-5.89794897,1.49063318,0.00085147,0.12457226,0.44500544,0.51894161,0.03224722,0.55004844,0.48816141,0.07680132
-5.89194597,1.55130870,0.00094403,0.12793566,0.45422273,0.53595886,0.03256436,0.57370872,0.52155786,0.08074437
-5.88594297,1.61482534,0.00105910,0.13160577,0.46666530,0.55353325,0.03271285,0.59815665,0.55651678,0.08477624
-5.87993997,1.68057723,0.00119759,0.13557225,0.48215405,0.57149953,0.03269613,0.62313073,0.59263678,0.08885035
-5.87393697,1.74796710,0.00136065,0.13982988,0.50051802,0.58969776,0.03252132,0.64837145,0.62949329,0.09292133
-5.86793397,1.81641927,0.00154954,0.14437848,0.52160187,0.60797579,0.03219897,0.67362738,0.66664929,0.09694626
-5.86193097,1.88539112,0.00176566,0.14922256,0.54527149,0.62619131,0.03174278,0.69866089,0.70366626,0.10088574
-5.85592796,1.95438293,0.00201043,0.15437072,0.57141738,0.64421344,0.03116920,0.72325317,0.74011522,0.10470485
-5.84992496,2.02294558,0.00228528,0.15983475,0.59995565,0.66192400,0.03049688,0.74720849,0.77558722,0.10837399
-5.84392196,2.09068580,0.00259154,0.16562846,0.63082640,0.67921826,0.02974616,0.77035752,0.80970299,0.11186939
-5.83791896,2.15726880,0.00293035,0.17176636,0.66398973,0.69600527,0.02893842,0.79255951,0.84212137,0.11517344
-5.83191596,2.22241790,0.00330260,0.17826206,0.69941911,0.71220772,0.02809551,0.81370312,0.87254603,0.11827473
-5.82591296,2.28591100,0.00370879,0.18512660,0.73709274,0.72776131,0.02723905,0.83370603,0.90073023,0.12116777
-5.81990995,2.34757402,0.00414897,0.19236667,0.77698297,0.74261348,0.02638983,0.85251308,0.92647943,0.12385243
-5.81390695,2.40727122,0.00462259,0.19998275,0.81904437,0.75672175,0.02556721,0.87009296,0.94965157,0.12633313
-5.80790395,2.46489280,0.00512843,0.20796732,0.86320105,0.77005131,0.02478857,0.88643371,0.97015511,0.12861775
-5.80190095,2.52034026,0.00566450,0.21630319,0.90933383,0.78257227,0.02406883,0.90153703,0.98794477,0.13071639
-5.79589795,2.57351009,0.00622795,0.22496195,0.95726813,0.79425639,0.02342006,0.91541170,1.00301551,0.13263993
-5.78989495,2.62427678,0.00681501,0.23390275,1.00676313,0.80507357,0.02285114,0.92806650,1.01539484,0.13439862
-5.78389195,2.67247602,0.00742099,0.24307140,1.05750320,0.81498815,0.02236758,0.93950297,1.02513411,0.13600063
-5.77788894,2.71788930,0.00804021,0.25239985,1.10909210,0.82395542,0.02197142,0.94970841,1.03229927,0.13745067
-5.77188594,2.76023100,0.00866609,0.26180620,1.16105067,0.83191842,0.02166124,0.95864974,1.03696173,0.13874892
-5.76588294,2.79913900,0.00929118,0.27119526,1.21281842,0.83880536,0.02143228,0.96626846,1.03918983,0.13989007
-5.75987994,2.83417001,0.00990730,0.28045960,1.26375927,0.84452793,0.02127670,0.97247737,1.03904158,0.14086284
-5.75387694,2.86480014,0.01050564,0.28948120,1.31317166,0.84898073,0.02118391,0.97715915,1.03655910,0.14164974
-5.74787394,2.89043143,0.01107702,0.29813366,1.36030261,0.85204193,0.02114100,0.98016725,1.03176518,0.14222735
-5.74187094,2.91040443,0.01161202,0.30628490,1.40436558,0.85357541,0.02113326,0.98132911,1.02466215,0.14256696
-5.73586793,2.92401660,0.01210130,0.31380022,1.44456144,0.85343427,0.02114471,0.98045166,1.01523322,0.14263559
-5.72986493,2.93054611,0.01253583,0.32054573,1.48010169,0.85146576,0.02115876,0.97732900,1.00344608,0.14239745
-5.72386193,2.92927988,0.01290719,0.32639196,1.51023298,0.84751734,0.02115878,0.97175189,0.98925873,0.14181555
-5.71785893,2.91954478,0.01320781,0.33121754,1.53426197,0.84144382,0.02112873,0.96351854,0.97262696,0.14085368
-5.71185593,2.90074038,0.01343123,0.33491275,1.55157924,0.83311506,0.02105374,0.95244627,0.95351303,0.13947832
-5.70585293,2.87237158,0.01357236,0.33738289,1.56168123,0.82242394,0.02092060,0.93838329,0.93189505,0.13766069
-5.69984992,2.83407936,0.01362762,0.33855133,1.56418921,0.80929416,0.02071825,0.92121988,0.90777631,0.13537862
-5.69384692,2.78566798,0.01359513,0.33836205,1.55886436,0.79368751,0.02043811,0.90089856,0.88119398,0.13261819
-5.68784392,2.72712717,0.01347477,0.33678159,1.54561826,0.77561007,0.02007435,0.87742224,0.85222658,0.12937509
-5.68184092,2.65864786,0.01326820,0.33380052,1.52451835,0.75511715,0.01962401,0.85086033,0.82099978,0.12565556
-5.67583792,2.58063086,0.01297884,0.32943409,1.49578810,0.73231653,0.01908707,0.82135192,0.78769001,0.12147695
-5.66983492,2.49368755,0.01261177,0.32372230,1.45980207,0.70737000,0.01846633,0.78910631,0.75252573,0.11686771
-5.66383192,2.39863298,0.01217357,0.31672930,1.41707594,0.68049285,0.01776726,0.75440036,0.71578625,0.11186700
-5.65782891,2.29647123,0.01167211,0.30854222,1.36825225,0.65195165,0.01699773,0.71757319,0.67779814,0.10652379
-5.65182591,2.18837418,0.01111634,0.29926935,1.31408245,0.62206008,0.01616766,0.67901820,0.63892940,0.10089562
-5.64582291,2.07565438,0.01051595,0.28903793,1.25540601,0.59117336,0.01528862,0.63917295,0.59958178,0.09504695
-5.63981991,1.95973363,0.00988116,0.27799157,1.19312775,0.55968121,0.01437340,0.59850742,0.56018157,0.08904737
-5.63381691,1.84210841,0.00922236,0.26628724,1.12819413,0.52799994,0.01343558,0.55751121,0.52116942,0.08296954
-5.62781391,1.72431397,0.00854985,0.25409223,1.06156948,0.49656377,0.01248907,0.51668024,0.48298960,0.07688717
-5.62181091,1.60788828,0.00787358,0.24158079,0.99421306,0.46581596,0.01154769,0.47650362,0.44607927,0.07087298
-5.61580790,1.49433737,0.00720287,0.22893087,0.92705766,0.43619975,0.01062479,0.43745126,0.41085818,0.06499682
-5.60980490,1.38510313,0.00654626,0.21632076,0.86099030,0.40814976,0.00973293,0.39996256,0.37771914,0.05932398
-5.60380190,1.28153448,0.00591132,0.20392591,0.79683553,0.38208367,0.00888356,0.36443676,0.34701967,0.05391374
-5.59779890,1.18486253,0.00530452,0.19191577,0.73534157,0.35839470,0.00808686,0.33122501,0.31907489,0.04881821
-5.59179590,1.09618021,0.00473119,0.18045088,0.67716935,0.33744476,0.00735153,0.30062448,0.29415193,0.04408152
-5.58579290,1.01642630,0.00419548,0.16968013,0.62288465,0.31955837,0.00668475,0.27287438,0.27246581,0.03973930
-5.57978989,0.94637394,0.00370035,0.15973829,0.57295291,0.30501743,0.00609210,0.24815401,0.25417670,0.03581843
-5.57378689,0.88662321,0.00324767,0.15074377,0.52773682,0.29405671,0.00557757,0.22658247,0.23938864,0.03233713
-5.56778389,0.83759745,0.00283827,0.14279673,0.48749619,0.28686009,0.00514366,0.20822006,0.22814933,0.02930525
-5.56178089,0.79954291,0.00247203,0.13597754,0.45238990,0.28355741,0.00479139,0.19307089,0.22045111,0.02672476
-5.55577789,0.77253114,0.00214804,0.13034550,0.42247969,0.28422199,0.00452047,0.18108664,0.21623278,0.02459034
-5.54977489,0.75646385,0.00186470,0.12593811,0.39773540,0.28886879,0.00432938,0.17217106,0.21538221,0.02289020
-5.54377189,0.75107985,0.00161987,0.12277060,0.37804153,0.29745316,0.00421550,0.16618512,0.21773961,0.02160680
-5.53776888,0.75596382,0.00141101,0.12083596,0.36320485,0.30987029,0.00417529,0.16295253,0.22310145,0.02071773
-5.53176588,0.77055679,0.00123528,0.12010550,0.35296290,0.32595549,0.00420435,0.16226547,0.23122485,0.02019652
