energy_ev,total_up,Fe_p_up,Fe_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.09475737,0.27188617,0.29779463,0.13711248,0.34714863,0.00252637,0.05171668,0.00409377,0.39976927
-5.99399700,1.09187371,0.27036154,0.31289707,0.12722254,0.33424582,0.00258363,0.04853829,0.00396208,0.40975111
-5.98799400,1.09801736,0.27161354,0.33036966,0.11822719,0.32406727,0.00266599,0.04573798,0.00386301,0.42329487
-5.98199100,1.11373877,0.27587103,0.35026503,0.11023632,0.31683245,0.00277240,0.04335975,0.00379812,0.44056631
-5.97598799,1.13939395,0.28331076,0.37258246,0.10333379,0.31270197,0.00290134,0.04143816,0.00376815,0.46165902
-5.96998499,1.17513547,0.29405476,0.39726325,0.09757799,0.31177580,0.00305072,0.03999845,0.00377309,0.48658990
-5.96398199,1.22090999,0.30816900,0.42418810,0.09300306,0.31409354,0.00321791,0.03905697,0.00381214,0.51529698
-5.95797899,1.27646239,0.32566325,0.45317676,0.08962088,0.31963633,0.00339978,0.03862177,0.00388383,0.54763995
-5.95197599,1.34134618,0.34649210,0.48399024,0.08742342,0.32833043,0.00359277,0.03869350,0.00398608,0.58340319
-5.94597299,1.41493998,0.37055708,0.51633541,0.08638547,0.34005214,0.00379295,0.03926625,0.00411635,0.62230158
-5.93996998,1.49646925,0.39770968,0.54987224,0.08646757,0.35463380,0.00399611,0.04032860,0.00427169,0.66398856
-5.93396698,1.58503266,0.42775542,0.58422319,0.08761898,0.37187065,0.00419790,0.04186459,0.00444898,0.70806658
-5.92796398,1.67963202,0.46045852,0.61898465,0.08978055,0.39152819,0.00439398,0.04385473,0.00464500,0.75409919
-5.92196098,1.77920468,0.49554746,0.65373985,0.09288739,0.41334991,0.00458010,0.04627691,0.00485660,0.80162465
-5.91595798,1.88265707,0.53272097,0.68807282,0.09687134,0.43706487,0.00475232,0.04910719,0.00508085,0.85017029
-5.90995498,1.98889829,0.57165450,0.72158271,0.10166302,0.46239517,0.00490706,0.05232051,0.00531515,0.89926714
-5.90395198,2.09687207,0.61200701,0.75389779,0.10719356,0.48906282,0.00504131,0.05589124,0.00555735,0.94846417
-5.89794897,2.20558608,0.65342790,0.78468858,0.11339584,0.51679589,0.00515269,0.05979359,0.00580583,0.99734158
-5.89194597,2.31413717,0.69556381,0.81367926,0.12020541,0.54533376,0.00523954,0.06400184,0.00605956,1.04552234
-5.88594297,2.42173158,0.73806535,0.84065699,0.12756091,0.57443133,0.00530105,0.06849046,0.00631814,1.09268177
-5.87993997,2.52769915,0.78059328,0.86547848,0.13540413,0.60386195,0.00533721,0.07323404,0.00658180,1.13855435
-5.87393697,2.63150106,0.82282421,0.88807353,0.14367971,0.63341919,0.00534889,0.07820713,0.00685137,1.18293772
-5.86793397,2.73273069,0.86445544,0.90844530,0.15233452,0.66291733,0.00533778,0.08338391,0.00712818,1.22569353
-5.86193097,2.83110768,0.90520899,0.92666731,0.16131683,0.69219059,0.00530637,0.08873784,0.00741404,1.26674517
-5.85592796,2.92646565,0.94483449,0.94287725,0.17057526,0.72109137,0.00525789,0.09424115,0.00771106,1.30607244
-5.84992496,3.01873420,0.98311107,0.95726792,0.18005763,0.74948738,0.00519618,0.09986437,0.00802155,1.34370364
-5.84392196,3.10791635,1.01984806,0.97007580,0.18970979,0.77725822,0.00512564,0.10557580,0.00834787,1.37970531
-5.83791896,3.19406273,1.05488462,0.98156778,0.19947454,0.80429137,0.00505107,0.11134103,0.00869228,1.41417035
-5.83191596,3.27724396,1.08808839,0.99202677,0.20929064,0.83047804,0.00497760,0.11712253,0.00905680,1.44720516
-5.82591296,3.35752301,1.11935326,1.00173697,0.21909210,0.85570917,0.00491059,0.12287931,0.00944304,1.47891656
-5.81990995,3.43492923,1.14859658,1.01096950,0.22880777,0.87987188,0.00485548,0.12856681,0.00985214,1.50939921
-5.81390695,3.50943551,1.17575587,1.01996922,0.23836122,0.90284663,0.00481777,0.13413680,0.01028467,1.53872437
-5.80790395,3.58094032,1.20078551,1.02894330,0.24767115,0.92450543,0.00480296,0.13953771,0.01074055,1.56693057
-5.80190095,3.64925559,1.22365348,1.03805223,0.25665214,0.94471123,0.00481644,0.14471497,0.01121904,1.59401684
-5.79589795,3.71410143,1.24433856,1.04740357,0.26521592,0.96331865,0.00486355,0.14961171,0.01171879,1.61993882
-5.78989495,3.77510810,1.26282807,1.05704879,0.27327301,0.98017614,0.00494954,0.15416969,0.01223787,1.64460813
-5.78389195,3.83182523,1.27911651,1.06698317,0.28073477,0.99512945,0.00507955,0.15833043,0.01277387,1.66789489
-5.77788894,3.88373787,1.29320485,1.07714878,0.28751575,1.00802631,0.00525865,0.16203649,0.01332401,1.68963324
-5.77188594,3.93028833,1.30510090,1.08744010,0.29353620,1.01872205,0.00549184,0.16523303,0.01388529,1.70962963
-5.76588294,3.97090260,1.31482026,1.09771196,0.29872473,1.02708591,0.00578403,0.16786932,0.01445463,1.72767312
