energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,3.19702594,0.02513647,0.16938752,1.99645535,1.07036010,0.00791500,1.52446048,0.84998348,0.25420351
-5.99399700,3.14760533,0.02500637,0.16438051,1.95519553,1.04722856,0.00774874,1.51087878,0.84847377,0.24997689
-5.98799400,3.09154303,0.02489372,0.15934967,1.91147055,1.02153469,0.00756801,1.49359474,0.84492893,0.24515318
-5.98199100,3.03028961,0.02481299,0.15432669,1.86603904,0.99374409,0.00737740,1.47336338,0.83970544,0.23987530
-5.97598799,2.96533447,0.02477616,0.14934298,1.81965542,0.96435765,0.00718141,1.45095533,0.83316525,0.23428750
-5.96998499,2.89815821,0.02479219,0.14442948,1.77304795,0.93389880,0.00698435,1.42712858,0.82565975,0.22853079
-5.96398199,2.83018733,0.02486661,0.13961640,1.72689803,0.90290039,0.00679017,1.40260221,0.81751486,0.22273877
-5.95797899,2.76275359,0.02500127,0.13493290,1.68182189,0.87189192,0.00660234,1.37803329,0.80901805,0.21703398
-5.95197599,2.69706033,0.02519435,0.13040677,1.63835600,0.84138794,0.00642376,1.35399845,0.80040808,0.21152506
-5.94597299,2.63415745,0.02544037,0.12606410,1.59694706,0.81187812,0.00625671,1.33098068,0.79186793,0.20630476
-5.93996998,2.57492647,0.02573056,0.12192924,1.55794735,0.78381957,0.00610280,1.30936224,0.78352143,0.20144887
-5.93396698,2.52007614,0.02605324,0.11802485,1.52161599,0.75763164,0.00596300,1.28942377,0.77543372,0.19701612
-5.92796398,2.47014859,0.02639442,0.11437228,1.48812590,0.73369351,0.00583762,1.27134941,0.76761540,0.19304897
-5.92196098,2.42553540,0.02673845,0.11099214,1.45757634,0.71234439,0.00572643,1.25523748,0.76003017,0.18957526
-5.91595798,2.38650205,0.02706879,0.10790529,1.43001022,0.69388608,0.00562868,1.24111576,0.75260536,0.18661050
-5.90995498,2.35321896,0.02736876,0.10513391,1.40543519,0.67858770,0.00554329,1.22896028,0.74524467,0.18416064
-5.90395198,2.32579672,0.02762232,0.10270290,1.38384712,0.66669164,0.00546888,1.21871612,0.73784231,0.18222516
-5.89794897,2.30432293,0.02781479,0.10064132,1.36525460,0.65842047,0.00540396,1.21031897,0.73029756,0.18080021
-5.89194597,2.28889783,0.02793352,0.09898386,1.34970270,0.65398374,0.00534702,1.20371560,0.72252882,0.17988159
-5.88594297,2.27966627,0.02796838,0.09777228,1.33729451,0.65358418,0.00529667,1.19888218,0.71448624,0.17946737
-5.87993997,2.27684332,0.02791221,0.09705652,1.32820884,0.65742243,0.00525172,1.19583882,0.70616210,0.17955998
-5.87393697,2.28073180,0.02776101,0.09689561,1.32271283,0.66569983,0.00521131,1.19465955,0.69759824,0.18016761
-5.86793397,2.29173003,0.02751412,0.09735808,1.32116833,0.67861860,0.00517497,1.19547687,0.68889004,0.18130480
-5.86193097,2.31032897,0.02717406,0.09852184,1.32403135,0.69637940,0.00514263,1.19848049,0.68018668,0.18299227
-5.85592796,2.33709857,0.02674638,0.10047353,1.33184410,0.71917584,0.00511471,1.20391035,0.67168760,0.18525589
-5.84992496,2.37266364,0.02623929,0.10330713,1.34521984,0.74718624,0.00509209,1.21204408,0.66363526,0.18812488
-5.84392196,2.41767053,0.02566318,0.10712199,1.36482060,0.78056287,0.00507610,1.22317980,0.65630471,0.19162939
-5.83791896,2.47274609,0.02503013,0.11202015,1.39132893,0.81941910,0.00506848,1.23761504,0.64999042,0.19579761
-5.83191596,2.53845126,0.02435327,0.11810311,1.42541447,0.86381521,0.00507133,1.25562319,0.64499118,0.20065250
-5.82591296,2.61523165,0.02364617,0.12546806,1.46769691,0.91374349,0.00508704,1.27742875,0.64159376,0.20620842
-5.81990995,2.70336801,0.02292230,0.13420368,1.51870705,0.96911373,0.00511819,1.30318285,0.64005642,0.21246796
-5.81390695,2.80292934,0.02219437,0.14438572,1.57884748,1.02973975,0.00516748,1.33294072,0.64059302,0.21941889
-5.80790395,2.91373145,0.02147394,0.15607244,1.64835508,1.09532812,0.00523763,1.36664216,0.64335865,0.22703181
-5.80190095,3.03530348,0.02077095,0.16930014,1.72726708,1.16546974,0.00533126,1.40409665,0.64843762,0.23525834
-5.79589795,3.16686460,0.02009343,0.18407899,1.81539235,1.23963523,0.00545079,1.44497381,0.65583436,0.24403016
-5.78989495,3.30731269,0.01944731,0.20038935,1.91228993,1.31717449,0.00559834,1.48880016,0.66546782,0.25325894
-5.78389195,3.45522605,0.01883638,0.21817874,2.01725579,1.39732114,0.00577564,1.53496247,0.67716967,0.26283720
-5.77788894,3.60887888,0.01826224,0.23735968,2.12931930,1.47920171,0.00598389,1.58271791,0.69068642,0.27264011
