energy_ev,total_up,B_p_up,B_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,0.80824324,0.24009557,0.00000000,0.01557327,0.11924255,0.16624263,0.38315327
-5.99399700,0.79902852,0.23795550,0.00000000,0.01662066,0.11676545,0.16347322,0.37367290
-5.98799400,0.79269938,0.23677492,0.00000000,0.01779581,0.11454604,0.16143228,0.36543009
-5.98199100,0.78966826,0.23667103,0.00000000,0.01909722,0.11265931,0.16018703,0.35864363
-5.97598799,0.79023745,0.23772498,0.00000000,0.02051944,0.11116848,0.15978214,0.35347966
-5.96998499,0.79458355,0.23997742,0.00000000,0.02205278,0.11012252,0.16023667,0.35004481
-5.96398199,0.80274678,0.24342552,0.00000000,0.02368320,0.10955423,0.16154194,0.34838176
-5.95797899,0.81462560,0.24802170,0.00000000,0.02539239,0.10947906,0.16366055,0.34846718
-5.95197599,0.82997719,0.25367417,0.00000000,0.02715790,0.10989458,0.16652648,0.35021248
-5.94597299,0.84842349,0.26024915,0.00000000,0.02895361,0.11078080,0.17004640,0.35346698
-5.93996998,0.86946294,0.26757488,0.00000000,0.03075024,0.11210110,0.17410217,0.35802360
-5.93396698,0.89248712,0.27544712,0.00000000,0.03251606,0.11380389,0.17855434,0.36362675
-5.92796398,0.91680177,0.28363605,0.00000000,0.03421782,0.11582479,0.18324667,0.36998203
-5.92196098,0.94165130,0.29189407,0.00000000,0.03582159,0.11808930,0.18801128,0.37676734
-5.91595798,0.96624550,0.29996446,0.00000000,0.03729391,0.12051578,0.19267449,0.38364498
-5.90995498,0.98978762,0.30759026,0.00000000,0.03860275,0.12301858,0.19706282,0.39027413
-5.90395198,1.01150235,0.31452326,0.00000000,0.03971863,0.12551131,0.20100919,0.39632327
-5.89794897,1.03066274,0.32053244,0.00000000,0.04061552,0.12790988,0.20435879,0.40148208
-5.89194597,1.04661489,0.32541183,0.00000000,0.04127181,0.13013543,0.20697466,0.40547217
-5.88594297,1.05879937,0.32898722,0.00000000,0.04167098,0.13211690,0.20874247,0.40805653
-5.87993997,1.06676888,0.33112171,0.00000000,0.04180217,0.13379316,0.20957465,0.40904713
-5.87393697,1.07020126,0.33171965,0.00000000,0.04166055,0.13511479,0.20941343,0.40831059
-5.86793397,1.06890779,0.33072919,0.00000000,0.04124748,0.13604522,0.20823285,0.40577172
-5.86193097,1.06283659,0.32814309,0.00000000,0.04057038,0.13656155,0.20603971,0.40141497
-5.85592796,1.05207126,0.32399809,0.00000000,0.03964251,0.13665476,0.20287343,0.39528374
-5.84992496,1.03682517,0.31837279,0.00000000,0.03848243,0.13632959,0.19880479,0.38747788
-5.84392196,1.01743191,0.31138429,0.00000000,0.03711336,0.13560401,0.19393382,0.37814941
-5.83791896,0.99433252,0.30318378,0.00000000,0.03556242,0.13450843,0.18838680,0.36749689
-5.83191596,0.96806027,0.29395132,0.00000000,0.03385968,0.13308459,0.18231262,0.35575867
-5.82591296,0.93922375,0.28389011,0.00000000,0.03203722,0.13138433,0.17587863,0.34320541
-5.81990995,0.90848898,0.27322040,0.00000000,0.03012819,0.12946823,0.16926606,0.33013212
-5.81390695,0.87656128,0.26217341,0.00000000,0.02816581,0.12740414,0.16266538,0.31685007
-5.80790395,0.84416731,0.25098537,0.00000000,0.02618251,0.12526565,0.15627143,0.30367882
-5.80190095,0.81203796,0.23989188,0.00000000,0.02420910,0.12313054,0.15027878,0.29093859
-5.79589795,0.78089222,0.22912270,0.00000000,0.02227411,0.12107912,0.14487712,0.27894304
-5.78989495,0.75142233,0.21889706,0.00000000,0.02040319,0.11919262,0.14024695,0.26799269
-5.78389195,0.72428023,0.20941958,0.00000000,0.01861867,0.11755136,0.13655553,0.25836896
-5.77788894,0.70006538,0.20087670,0.00000000,0.01693935,0.11623299,0.13395316,0.25032882
-5.77188594,0.67931382,0.19343370,0.00000000,0.01538023,0.11531057,0.13256980,0.24410016
-5.76588294,0.66248848,0.18723221,0.00000000,0.01395259,0.11485052,0.13251207,0.23987762
-5.75987994,0.64997056,0.18238826,0.00000000,0.01266399,0.11491062,0.13386062,0.23781918
-5.75387694,0.64205207,0.17899069,0.00000000,0.01151849,0.11553795,0.13666786,0.23804314
-5.74787394,0.63892950,0.17710005,0.00000000,0.01051685,0.11676678,0.14095629,0.24062578
-5.74187094,0.64069873,0.17674786,0.00000000,0.00965689,0.11861674,0.14671713,0.24559952
-5.73586793,0.64735140,0.17793633,0.00000000,0.00893377,0.12109109,0.15390966,0.25295181
-5.72986493,0.65877295,0.18063844,0.00000000,0.00834039,0.12417531,0.16246110,0.26262464
-5.72386193,0.67474255,0.18479862,0.00000000,0.00786776,0.12783616,0.17226723,0.27451490
-5.71785893,0.69493539,0.19033380,0.00000000,0.00750536,0.13202123,0.18319377,0.28847567
-5.71185593,0.71892737,0.19713510,0.00000000,0.00724149,0.13665907,0.19507850,0.30431841
-5.70585293,0.74620251,0.20507010,0.00000000,0.00706367,0.14166007,0.20773431,0.32181626
-5.69984992,0.77616324,0.21398563,0.00000000,0.00695891,0.14691800,0.22095302,0.34070838
-5.69384692,0.80814334,0.22371118,0.00000000,0.00691407,0.15231226,0.23451000,0.36070533
-5.68784392,0.84142361,0.23406284,0.00000000,0.00691611,0.15771088,0.24816950,0.38149545
-5.68184092,0.87524977,0.24484758,0.00000000,0.00695241,0.16297403,0.26169054,0.40275200
-5.67583792,0.90885217,0.25586800,0.00000000,0.00701097,0.16795817,0.27483325,0.42414104
-5.66983492,0.94146670,0.26692708,0.00000000,0.00708068,0.17252041,0.28736532,0.44532958
-5.66383192,0.97235617,0.27783312,0.00000000,0.00715149,0.17652318,0.29906855,0.46599397
-5.65782891,1.00083136,0.28840436,0.00000000,0.00721461,0.17983884,0.30974508,0.48582801
-5.65182591,1.02627094,0.29847344,0.00000000,0.00726265,0.18235408,0.31922308,0.50455063
-5.64582291,1.04813947,0.30789121,0.00000000,0.00728976,0.18397397,0.32736179,0.52191277
-5.63981991,1.06600279,0.31653006,0.00000000,0.00729171,0.18462545,0.33405562,0.53770327
-5.63381691,1.07954007,0.32428642,0.00000000,0.00726596,0.18426004,0.33923717,0.55175347
-5.62781391,1.08855236,0.33108257,0.00000000,0.00721167,0.18285576,0.34287907,0.56394058
-5.62181091,1.09296707,0.33686758,0.00000000,0.00712973,0.18041814,0.34499465,0.57418951
-5.61580790,1.09283848,0.34161748,0.00000000,0.00702267,0.17698023,0.34563731,0.58247339
-5.60980490,1.08834443,0.34533474,0.00000000,0.00689461,0.17260175,0.34489882,0.58881271
-5.60380190,1.07977936,0.34804710,0.00000000,0.00675115,0.16736734,0.34290650,0.59327330
-5.59779890,1.06754418,0.34980582,0.00000000,0.00659921,0.16138394,0.33981959,0.59596327
-5.59179590,1.05213358,0.35068364,0.00000000,0.00644690,0.15477773,0.33582479,0.59702909
-5.58579290,1.03412127,0.35077235,0.00000000,0.00630330,0.14769036,0.33113132,0.59665114
-5.57978989,1.01414392,0.35018024,0.00000000,0.00617826,0.14027502,0.32596558,0.59503868
-5.57378689,0.99288426,0.34902940,0.00000000,0.00608218,0.13269231,0.32056561,0.59242464
-5.56778389,0.97105398,0.34745306,0.00000000,0.00602581,0.12510614,0.31517551,0.58906022
-5.56178089,0.94937695,0.34559282,0.00000000,0.00601996,0.11767986,0.31003991,0.58520933
-5.55577789,0.92857301,0.34359590,0.00000000,0.00607527,0.11057262,0.30539860,0.58114305
-5.54977489,0.90934276,0.34161241,0.00000000,0.00620201,0.10393625,0.30148136,0.57713401
-5.54377189,0.89235338,0.33979248,0.00000000,0.00640981,0.09791258,0.29850311,0.57345069
-5.53776888,0.87822576,0.33828330,0.00000000,0.00670744,0.09263136,0.29665926,0.57035165
-5.53176588,0.86752289,0.33722606,0.00000000,0.00710261,0.08820859,0.29612151,0.56807964
-5.52576288,0.86073947,0.33675277,0.00000000,0.00760176,0.08474559,0.29703384,0.56685566
-5.51975988,0.85829298,0.33698290,0.00000000,0.00820988,0.08232833,0.29950905,0.56687308
-5.51375688,0.86051597,0.33802004,0.00000000,0.00893041,0.08102734,0.30362566,0.56829178
-5.50775388,0.86764983,0.33994862,0.00000000,0.00976503,0.08089785,0.30942535,0.57123272
-5.50175088,0.87984004,0.34283072,0.00000000,0.01071365,0.08198020,0.31691106,0.57577298
-5.49574787,0.89713301,0.34670332,0.00000000,0.01177436,0.08430044,0.32604584,0.58194170
-5.48974487,0.91947477,0.35157601,0.00000000,0.01294336,0.08787085,0.33675252,0.58971709
-5.48374187,0.94671149,0.35742941,0.00000000,0.01421510,0.09269064,0.34891441,0.59902487
-5.47773887,0.97859212,0.36421444,0.00000000,0.01558226,0.09874632,0.36237701,0.60973833
-5.47173587,1.01477312,0.37185262,0.00000000,0.01703599,0.10601212,0.37695089,0.62168037
-5.46573287,1.05482543,0.38023741,0.00000000,0.01856599,0.11445006,0.39241565,0.63462740
