energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.68341906,0.20396638,0.41272800,0.05218158,0.02610009,0.07553158,1.53502867,0.79305249,0.81311853
-5.99399700,2.67592493,0.19765764,0.40353917,0.05048633,0.02519079,0.07610540,1.54456326,0.80502145,0.82267085
-5.98799400,2.66728517,0.19132404,0.39382890,0.04872872,0.02430678,0.07646403,1.55329140,0.81608326,0.83270488
-5.98199100,2.65782437,0.18506724,0.38368759,0.04692530,0.02346016,0.07659172,1.56124500,0.82607897,0.84324986
-5.97598799,2.64783500,0.17898366,0.37321347,0.04509092,0.02266188,0.07647884,1.56844355,0.83487768,0.85428032
-5.96998499,2.63757896,0.17316289,0.36251194,0.04323867,0.02192143,0.07612221,1.57489752,0.84238013,0.86571846
-5.96398199,2.62729480,0.16768669,0.35169512,0.04137993,0.02124685,0.07552529,1.58061479,0.84852258,0.87744006
-5.95797899,2.61720955,0.16262852,0.34088159,0.03952443,0.02064466,0.07469836,1.58560948,0.85328067,0.88928341
-5.95197599,2.60755381,0.15805356,0.33019611,0.03768050,0.02011993,0.07365837,1.58991255,0.85667276,0.90106086
-5.94597299,2.59857829,0.15401905,0.31976911,0.03585528,0.01967646,0.07242879,1.59358291,0.85876259,0.91257213
-5.93996998,2.59057000,0.15057486,0.30973589,0.03405497,0.01931689,0.07103922,1.59671818,0.85966063,0.92361850
-5.93396698,2.58386624,0.14776415,0.30023532,0.03228510,0.01904292,0.06952473,1.59946383,0.85952408,0.93401705
-5.92796398,2.57886456,0.14562393,0.29140809,0.03055072,0.01885548,0.06792515,1.60201974,0.85855498,0.94361387
-5.92196098,2.57602735,0.14418552,0.28339423,0.02885665,0.01875490,0.06628406,1.60464324,0.85699635,0.95229542
-5.91595798,2.57587981,0.14347463,0.27633026,0.02720756,0.01874101,0.06464770,1.60764805,0.85512639,0.95999717
-5.90995498,2.57900071,0.14351127,0.27034563,0.02560807,0.01881324,0.06306373,1.61139855,0.85325057,0.96670908
