energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Te_p_up,Te_d_up
-6.00000000,7.36041879,1.26019593,5.11518731,0.04103524,0.06692338,0.42138027,0.72095427,1.55371122,0.00000000
-5.99399700,7.27280074,1.21695477,5.06604640,0.04206959,0.06157709,0.39017302,0.72496246,1.52597339,0.00000000
-5.98799400,7.20679872,1.18140950,5.03076092,0.04314747,0.05699563,0.36231356,0.73001229,1.50329504,0.00000000
-5.98199100,7.15848591,1.15261004,5.00648819,0.04424290,0.05312699,0.33759949,0.73581292,1.48500218,0.00000000
-5.97598799,7.12385785,1.12959060,4.99030763,0.04532904,0.04991929,0.31582601,0.74207503,1.47041069,0.00000000
-5.96998499,7.09890938,1.11139393,4.97927411,0.04637874,0.04732176,0.29679028,0.74851747,1.45884119,0.00000000
-5.96398199,7.07971085,1.09709359,4.97047439,0.04736511,0.04528543,0.28029435,0.75487283,1.44963195,0.00000000
-5.95797899,7.06248230,1.08581383,4.96108521,0.04826213,0.04376370,0.26614695,0.76089193,1.44214987,0.00000000
-5.95197599,7.04366392,1.07674676,4.94843164,0.04904521,0.04271268,0.25416426,0.76634703,1.43579938,0.00000000
-5.94597299,7.01998117,1.06916672,4.93004352,0.04969178,0.04209141,0.24416986,0.77103398,1.43002926,0.00000000
-5.93996998,6.98850273,1.06244172,4.90370811,0.05018173,0.04186194,0.23599400,0.77477331,1.42433770,0.00000000
-5.93396698,6.94668981,1.05604192,4.86751694,0.05049791,0.04198931,0.22947257,0.77741041,1.41827555,0.00000000
-5.92796398,6.89243548,1.04954509,4.81990485,0.05062646,0.04244158,0.22444596,0.77881505,1.41144827,0.00000000
-5.92196098,6.82409293,1.04263925,4.75967975,0.05055706,0.04318971,0.22075785,0.77888046,1.40351664,0.00000000
-5.91595798,6.74049215,1.03512249,4.68604181,0.05028318,0.04420752,0.21825443,0.77752220,1.39419667,0.00000000
-5.90995498,6.64094457,1.02690023,4.59859136,0.04980209,0.04547160,0.21678383,0.77467703,1.38325899,0.00000000
-5.90395198,6.52523625,1.01798002,4.49732525,0.04911488,0.04696130,0.21619609,0.77030200,1.37052792,0.00000000
-5.89794897,6.39360986,1.00846408,4.38262194,0.04822633,0.04865868,0.21634369,0.76437397,1.35588048,0.00000000
-5.89194597,6.24673678,0.99853992,4.25521617,0.04714471,0.05054842,0.21708246,0.75688952,1.33924547,0.00000000
-5.88594297,6.08568027,0.98846900,4.11616430,0.04588147,0.05261782,0.21827301,0.74786539,1.32060262,0.00000000
-5.87993997,5.91185149,0.97857403,3.96680204,0.04445092,0.05485660,0.21978244,0.73733938,1.29998191,0.00000000
-5.87393697,5.72695970,0.96922471,3.80869628,0.04286981,0.05725673,0.22148627,0.72537153,1.27746275,0.00000000
-5.86793397,5.53295834,0.96082261,3.64359301,0.04115688,0.05981210,0.22327038,0.71204549,1.25317300,0.00000000
-5.86193097,5.33198849,0.95378501,3.47336326,0.03933240,0.06251814,0.22503284,0.69746974,1.22728753,0.00000000
-5.85592796,5.12632120,0.94852840,3.29994909,0.03741767,0.06537118,0.22668542,0.68177849,1.20002600,0.00000000
-5.84992496,4.91829985,0.94545159,3.12531113,0.03543457,0.06836782,0.22815469,0.66513196,1.17164966,0.00000000
-5.84392196,4.71028373,0.94491913,2.95137945,0.03340514,0.07150402,0.22938260,0.64771580,1.14245696,0.00000000
-5.83791896,4.50459390,0.94724512,2.78000874,0.03135108,0.07477423,0.23032635,0.62973936,1.11277764,0.00000000
-5.83191596,4.30346195,0.95267812,2.61293889,0.02929344,0.07817039,0.23095773,0.61143280,1.08296542,0.00000000
-5.82591296,4.10898264,0.96138748,2.45176163,0.02725225,0.08168086,0.23126176,0.59304287,1.05338919,0.00000000
-5.81990995,3.92307100,0.97345163,2.29789354,0.02524624,0.08528949,0.23123482,0.57482739,1.02442285,0.00000000
-5.81390695,3.74742457,0.98884879,2.15255571,0.02329260,0.08897477,0.23088234,0.55704858,0.99643408,0.00000000
-5.80790395,3.58349142,1.00745063,2.01675989,0.02140682,0.09270914,0.23021616,0.53996544,0.96977248,0.00000000
-5.80190095,3.43244463,1.02901925,1.89130115,0.01960253,0.09645855,0.22925184,0.52382544,0.94475741,0.00000000
-5.79589795,3.29516383,1.05320778,1.77675658,0.01789144,0.10018237,0.22800595,0.50885589,0.92166623,0.00000000
-5.78989495,3.17222435,1.07956491,1.67348975,0.01628331,0.10383357,0.22649366,0.49525544,0.90072336,0.00000000
-5.78389195,3.06389445,1.10754329,1.58166054,0.01478599,0.10735939,0.22472668,0.48318613,0.88209086,0.00000000
-5.77788894,2.97014104,1.13651179,1.50123974,0.01340543,0.11070225,0.22271171,0.47276629,0.86586098,0.00000000
-5.77188594,2.89064384,1.16577129,1.43202802,0.01214581,0.11380116,0.22044954,0.46406492,0.85205118,0.00000000
-5.76588294,2.82481796,1.19457367,1.37367856,0.01100966,0.11659334,0.21793477,0.45709762,0.84060181,0.00000000
-5.75987994,2.77184439,1.22214314,1.32572269,0.00999801,0.11901620,0.21515623,0.45182457,0.83137697,0.00000000
-5.75387694,2.73070758,1.24769944,1.28759795,0.00911057,0.12100939,0.21209792,0.44815056,0.82416825,0.00000000
-5.74787394,2.70023901,1.27048179,1.25867742,0.00834588,0.12251699,0.20874054,0.44592719,0.81870145,0.00000000
-5.74187094,2.67916521,1.28977275,1.23829977,0.00770159,0.12348964,0.20506340,0.44495723,0.81464603,0.00000000
-5.73586793,2.66615856,1.30492106,1.22579873,0.00717456,0.12388659,0.20104654,0.44500086,0.81162684,0.00000000
-5.72986493,2.65988879,1.31536236,1.22053109,0.00676114,0.12367738,0.19667298,0.44578377,0.80923759,0.00000000
-5.72386193,2.65907307,1.32063712,1.22190212,0.00645728,0.12284328,0.19193084,0.44700651,0.80705558,0.00000000
-5.71785893,2.66252253,1.32040483,1.22938732,0.00625877,0.12137830,0.18681528,0.44835486,0.80465694,0.00000000
-5.71185593,2.66918317,1.31445410,1.24254944,0.00616129,0.11928970,0.18133005,0.44951080,0.80163177,0.00000000
-5.70585293,2.67816908,1.30270808,1.26105006,0.00616062,0.11659800,0.17548857,0.45016343,0.79759844,0.00000000
-5.69984992,2.68878656,1.28522516,1.28465483,0.00625261,0.11333650,0.16931454,0.45001965,0.79221661,0.00000000
-5.69384692,2.70054778,1.26219492,1.31323210,0.00643331,0.10955031,0.16284188,0.44881384,0.78519822,0.00000000
-5.68784392,2.71317333,1.23392972,1.34674459,0.00669887,0.10529501,0.15611424,0.44631649,0.77631619,0.00000000
-5.68184092,2.72658342,1.20085214,1.38523445,0.00704559,0.10063481,0.14918387,0.44234116,0.76541049,0.00000000
-5.67583792,2.74087824,1.16347922,1.42880210,0.00746973,0.09564059,0.14211016,0.43674969,0.75239140,0.00000000
-5.66983492,2.75630833,1.12240387,1.47757977,0.00796745,0.09038767,0.13495770,0.42945552,0.73723980,0.00000000
-5.66383192,2.77323667,1.07827461,1.53170112,0.00853466,0.08495353,0.12779422,0.42042489,0.72000488,0.00000000
-5.65782891,2.79209437,1.03177431,1.59126827,0.00916681,0.07941556,0.12068826,0.40967617,0.70079918,0.00000000
-5.65182591,2.81333262,0.98359880,1.65631825,0.00985872,0.07384891,0.11370695,0.39727719,0.67979144,0.00000000
-5.64582291,2.83737344,0.93443638,1.72679080,0.01060443,0.06832454,0.10691381,0.38334100,0.65719771,0.00000000
-5.63981991,2.86456231,0.88494867,1.80249954,0.01139701,0.06290760,0.10036678,0.36802020,0.63327111,0.00000000
-5.63381691,2.89512544,0.83575375,1.88310870,0.01222843,0.05765601,0.09411653,0.35150006,0.60829080,0.00000000
-5.62781391,2.92913443,0.78741188,1.96811697,0.01308949,0.05261948,0.08820506,0.33399098,0.58255072,0.00000000
-5.62181091,2.96648074,0.74041434,2.05685046,0.01396976,0.04783890,0.08266481,0.31572054,0.55634854,0.00000000
-5.61580790,3.00686182,0.69517548,2.14846553,0.01485762,0.04334598,0.07751808,0.29692536,0.52997545,0.00000000
-5.60980490,3.04978008,0.65202819,2.24196242,0.01574038,0.03916335,0.07277690,0.27784342,0.50370696,0.00000000
-5.60380190,3.09455546,0.61122257,2.33620973,0.01660438,0.03530491,0.06844331,0.25870679,0.47779534,0.00000000
-5.59779890,3.14035104,0.57292778,2.42997904,0.01743531,0.03177639,0.06450997,0.23973530,0.45246365,0.00000000
-5.59179590,3.18621104,0.53723659,2.52198863,0.01821847,0.02857622,0.06096116,0.22113112,0.42790171,0.00000000
-5.58579290,3.23110902,0.50417234,2.61095454,0.01893912,0.02569645,0.05777397,0.20307457,0.40426395,0.00000000
-5.57978989,3.27400413,0.47369772,2.69564647,0.01958292,0.02312386,0.05491968,0.18572105,0.38166905,0.00000000
-5.57378689,3.31390213,0.44572504,2.77494586,0.02013628,0.02084107,0.05236534,0.16919931,0.36020129,0.00000000
-5.56778389,3.34991798,0.42012716,2.84790322,0.02058687,0.01882765,0.05007531,0.15361071,0.33991328,0.00000000
-5.56178089,3.38133617,0.39674886,2.91379142,0.02092396,0.01706123,0.04801285,0.13902971,0.32082989,0.00000000
-5.55577789,3.40766556,0.37541786,2.97215199,0.02113883,0.01551850,0.04614162,0.12550515,0.30295289,0.00000000
-5.54977489,3.42868510,0.35595522,3.02283175,0.02122509,0.01417615,0.04442701,0.11306240,0.28626616,0.00000000
-5.54377189,3.44447798,0.33818462,3.06600733,0.02117889,0.01301166,0.04283732,0.10170598,0.27074093,0.00000000
-5.53776888,3.45545174,0.32194031,3.10219613,0.02099913,0.01200397,0.04134475,0.09142263,0.25634086,0.00000000
-5.53176588,3.46234335,0.30707341,3.13225262,0.02068748,0.01113405,0.03992609,0.08218463,0.24302671,0.00000000
-5.52576288,3.46620859,0.29345645,3.15735012,0.02024838,0.01038534,0.03856321,0.07395306,0.23076021,0.00000000
-5.51975988,3.46839649,0.28098630,3.17894861,0.01968888,0.00974398,0.03724329,0.06668109,0.21950732,0.00000000
-5.51375688,3.47050999,0.26958526,3.19875035,0.01901845,0.00919913,0.03595881,0.06031697,0.20924037,0.00000000
-5.50775388,3.47435544,0.25920075,3.21864554,0.01824866,0.00874294,0.03470733,0.05480675,0.19993950,0.00000000
-5.50175088,3.48188345,0.24980366,3.24065075,0.01739278,0.00837068,0.03349113,0.05009671,0.19159318,0.00000000
-5.49574787,3.49512474,0.24138564,3.26684362,0.01646541,0.00808066,0.03231664,0.04613530,0.18419799,0.00000000
-5.48974487,3.51612437,0.23395566,3.29929698,0.01548200,0.00787416,0.03119384,0.04287479,0.17775785,0.00000000
-5.48374187,3.54687793,0.22753618,3.34001585,0.01445839,0.00775526,0.03013556,0.04027245,0.17228283,0.00000000
-5.47773887,3.58927286,0.22215906,3.39088016,0.01341036,0.00773077,0.02915681,0.03829148,0.16778768,0.00000000
-5.47173587,3.64503763,0.21786173,3.45359585,0.01235323,0.00781001,0.02827406,0.03690149,0.16429035,0.00000000
-5.46573287,3.71570061,0.21468356,3.52965589,0.01130144,0.00800459,0.02750465,0.03607882,0.16181051,0.00000000
-5.45972986,3.80255993,0.21266279,3.62031240,0.01026825,0.00832827,0.02686625,0.03580652,0.16036826,0.00000000
-5.45372686,3.90666431,0.21183401,3.72655975,0.00926550,0.00879666,0.02637639,0.03607417,0.15998311,0.00000000
-5.44772386,4.02880431,0.21222628,3.84912807,0.00830340,0.00942696,0.02605212,0.03687745,0.16067316,0.00000000
-5.44172086,4.16951252,0.21386175,3.98848552,0.00739042,0.01023766,0.02590975,0.03821761,0.16245459,0.00000000
-5.43571786,4.32907039,0.21675485,4.14484733,0.00653328,0.01124813,0.02596468,0.04010073,0.16534127,0.00000000
-5.42971486,4.50751930,0.22091177,4.31818896,0.00573695,0.01247820,0.02623131,0.04253683,0.16934458,0.00000000
-5.42371186,4.70467312,0.22633025,4.50826093,0.00500474,0.01394764,0.02672299,0.04553887,0.17447312,0.00000000
-5.41770885,4.92012957,0.23299925,4.71460261,0.00433845,0.01567559,0.02745205,0.04912161,0.18073240,0.00000000
-5.41170585,5.15327820,0.24089876,4.93655288,0.00373854,0.01767985,0.02842979,0.05330036,0.18812435,0.00000000
-5.40570285,5.40330344,0.24999921,5.17325605,0.00320433,0.01997618,0.02966651,0.05808957,0.19664652,0.00000000
-5.39969985,5.66918189,0.26026071,5.42366234,0.00273427,0.02257749,0.03117156,0.06350152,0.20629102,0.00000000
-5.39369685,5.94967392,0.27163201,5.68652281,0.00232609,0.02549301,0.03295329,0.06954479,0.21704325,0.00000000
-5.38769385,6.24331086,0.28404909,5.96037984,0.00197715,0.02872747,0.03501911,0.07622294,0.22888023,0.00000000
-5.38169085,6.54837955,0.29743379,6.24355498,0.00168456,0.03228026,0.03737546,0.08353321,0.24176898,0.00000000
-5.37568784,6.86290717,0.31169222,6.53413659,0.00144549,0.03614475,0.04002782,0.09146540,0.25566481,0.00000000
-5.36968484,7.18464950,0.32671353,6.82997035,0.00125729,0.04030759,0.04298077,0.10000100,0.27050974,0.00000000
-5.36368184,7.51108610,0.34236898,7.12865586,0.00111775,0.04474830,0.04623804,0.10911270,0.28623138,0.00000000
-5.35767884,7.83942583,0.35851169,7.42755236,0.00102519,0.04943899,0.04980269,0.11876416,0.30274223,0.00000000
-5.35167584,8.16662549,0.37497716,7.72379637,0.00097863,0.05434429,0.05367727,0.12891037,0.31993974,0.00000000
-5.34567284,8.48942391,0.39158489,8.01433330,0.00097790,0.05942160,0.05786411,0.13949831,0.33770719,0.00000000
-5.33966983,8.80439251,0.40814099,8.29596395,0.00102371,0.06462164,0.06236567,0.15046817,0.35591544,0.00000000
-5.33366683,9.10800225,0.42444209,8.56540596,0.00111770,0.06988918,0.06718485,0.16175500,0.37442563,0.00000000
-5.32766383,9.39670555,0.44028023,8.81936896,0.00126252,0.07516418,0.07232541,0.17329067,0.39309277,0.00000000
-5.32166083,9.66703056,0.45544891,9.05464084,0.00146180,0.08038313,0.07779229,0.18500616,0.41177007,0.00000000
-5.31565783,9.91568382,0.46974978,9.26818183,0.00172015,0.08548057,0.08359186,0.19683405,0.43031378,0.00000000
-5.30965483,10.13965639,0.48299993,9.45722169,0.00204310,0.09039082,0.08973207,0.20871094,0.44858845,0.00000000
-5.30365183,10.33632820,0.49503931,9.61935528,0.00243710,0.09504982,0.09622238,0.22057989,0.46647209,0.00000000
-5.29764882,10.50356459,0.50573791,9.75263119,0.00290932,0.09939694,0.10307344,0.23239248,0.48386109,0.00000000
-5.29164582,10.63979963,0.51500226,9.85562821,0.00346765,0.10337677,0.11029655,0.24411053,0.50067450,0.00000000
-5.28564282,10.74410100,0.52278099,9.92751526,0.00412045,0.10694074,0.11790276,0.25570727,0.51685742,0.00000000
-5.27963982,10.81621234,0.52906890,9.96809069,0.00487645,0.11004857,0.12590176,0.26716781,0.53238310,0.00000000
-5.27363682,10.85657003,0.53390932,9.97779852,0.00574452,0.11266945,0.13430038,0.27848904,0.54725383,0.00000000
-5.26763382,10.86629289,0.53739466,9.95772006,0.00673344,0.11478279,0.14310098,0.28967870,0.56150021,0.00000000
-5.26163082,10.84714490,0.53966480,9.90954091,0.00785171,0.11637874,0.15229962,0.30075382,0.57517905,0.00000000
-5.25562781,10.80147226,0.54090352,9.83549480,0.00910724,0.11745821,0.16188418,0.31173854,0.58836979,0.00000000
-5.24962481,10.73211810,0.54133296,9.73828680,0.01050710,0.11803258,0.17183255,0.32266142,0.60116973,0.00000000
-5.24362181,10.64231874,0.54120633,9.62099979,0.01205730,0.11812297,0.18211099,0.33355241,0.61368823,0.00000000
-5.23761881,10.53558701,0.54079927,9.48698872,0.01376248,0.11775925,0.19267282,0.34443967,0.62604032,0.00000000
