energy_ev,total_up,B_p_up,B_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,4.00899848,0.67249086,0.00000000,2.05609655,1.93142882,1.13683534,0.00000000
-5.99399700,4.01232758,0.68324497,0.00000000,2.05225927,1.93914627,1.12481769,0.00000000
-5.98799400,4.02135993,0.69585780,0.00000000,2.05023645,1.95081760,1.11350530,0.00000000
-5.98199100,4.03734431,0.71059955,0.00000000,2.05082544,1.96720257,1.10327500,0.00000000
-5.97598799,4.06141022,0.72771788,0.00000000,2.05476884,1.98900138,1.09447332,0.00000000
-5.96998499,4.09452556,0.74742727,0.00000000,2.06272923,2.01682907,1.08740497,0.00000000
-5.96398199,4.13745687,0.76989826,0.00000000,2.07526583,2.05119055,1.08232223,0.00000000
-5.95797899,4.19073295,0.79524702,0.00000000,2.09281351,2.09245719,1.07941566,0.00000000
-5.95197599,4.25461321,0.82352552,0.00000000,2.11566484,2.14084544,1.07880626,0.00000000
-5.94597299,4.32906167,0.85471260,0.00000000,2.14395566,2.19639835,1.08053953,0.00000000
-5.93996998,4.41372789,0.88870641,0.00000000,2.17765475,2.25897080,1.08458163,0.00000000
-5.93396698,4.50793559,0.92531855,0.00000000,2.21655774,2.32821894,1.09081787,0.00000000
-5.92796398,4.61068007,0.96427032,0.00000000,2.26028588,2.40359472,1.09905357,0.00000000
-5.92196098,4.72063504,1.00519146,0.00000000,2.30828971,2.48434600,1.10901765,0.00000000
-5.91595798,4.83616948,1.04762166,0.00000000,2.35985786,2.56952276,1.12036866,0.00000000
-5.90995498,4.95537484,1.09101513,0.00000000,2.41413088,2.65798971,1.13270344,0.00000000
-5.90395198,5.07610235,1.13474836,0.00000000,2.47012009,2.74844545,1.14556806,0.00000000
-5.89794897,5.19601021,1.17813108,0.00000000,2.52673093,2.83944803,1.15847100,0.00000000
-5.89194597,5.31261960,1.22042041,0.00000000,2.58279040,2.92944654,1.17089790,0.00000000
-5.88594297,5.42337825,1.26083774,0.00000000,2.63707785,3.01681816,1.18232773,0.00000000
-5.87993997,5.52572970,1.29858814,0.00000000,2.68835823,3.09990944,1.19224967,0.00000000
-5.87393697,5.61718621,1.33288157,0.00000000,2.73541662,3.17708090,1.20018014,0.00000000
-5.86793397,5.69540262,1.36295519,0.00000000,2.77709309,3.24675321,1.20567923,0.00000000
-5.86193097,5.75824853,1.38809601,0.00000000,2.81231641,3.30745348,1.20836616,0.00000000
-5.85592796,5.80387588,1.40766291,0.00000000,2.84013545,3.35785975,1.20793271,0.00000000
-5.84992496,5.83077928,1.42110722,0.00000000,2.85974703,3.39684202,1.20415450,0.00000000
-5.84392196,5.83784633,1.42799081,0.00000000,2.87051912,3.42349808,1.19689925,0.00000000
-5.83791896,5.82439582,1.42800101,0.00000000,2.87200854,3.43718258,1.18613195,0.00000000
-5.83191596,5.79020220,1.42096165,0.00000000,2.86397240,3.43752806,1.17191657,0.00000000
-5.82591296,5.73550497,1.40683966,0.00000000,2.84637295,3.42445713,1.15441424,0.00000000
-5.81990995,5.66100288,1.38574694,0.00000000,2.81937576,3.39818510,1.13387818,0.00000000
-5.81390695,5.56783294,1.35793744,0.00000000,2.78334147,3.35921305,1.11064544,0.00000000
-5.80790395,5.45753553,1.32379957,0.00000000,2.73881164,3.30831171,1.08512598,0.00000000
-5.80190095,5.33200697,1.28384425,0.00000000,2.68648944,3.24649673,1.05778955,0.00000000
-5.79589795,5.19344188,1.23868929,0.00000000,2.62721628,3.17499667,1.02915103,0.00000000
-5.78989495,5.04426786,1.18904070,0.00000000,2.56194545,3.09521492,0.99975481,0.00000000
-5.78389195,4.88707527,1.13567183,0.00000000,2.49171405,3.00868738,0.97015892,0.00000000
-5.77788894,4.72454496,1.07940119,0.00000000,2.41761436,2.91703747,0.94091942,0.00000000
-5.77188594,4.55937686,1.02107002,0.00000000,2.34076596,2.82193043,0.91257580,0.00000000
-5.76588294,4.39422191,0.96152032,0.00000000,2.26228938,2.72502850,0.88563765,0.00000000
-5.75987994,4.23161964,0.90157425,0.00000000,2.18328246,2.62794867,0.86057305,0.00000000
-5.75387694,4.07394307,0.84201556,0.00000000,2.10479969,2.53222420,0.83779902,0.00000000
-5.74787394,3.92335241,0.78357363,0.00000000,2.02783520,2.43927120,0.81767390,0.00000000
-5.74187094,3.78175816,0.72691036,0.00000000,1.95330941,2.35036091,0.80049202,0.00000000
-5.73586793,3.65079411,0.67261028,0.00000000,1.88205937,2.26659819,0.78648030,0.00000000
-5.72986493,3.53179992,0.62117382,0.00000000,1.81483245,2.18890648,0.77579688,0.00000000
-5.72386193,3.42581294,0.57301360,0.00000000,1.75228305,2.11801914,0.76853133,0.00000000
-5.71785893,3.33356833,0.52845366,0.00000000,1.69497182,2.05447675,0.76470661,0.00000000
-5.71185593,3.25550664,0.48773111,0.00000000,1.64336682,1.99863007,0.76428217,0.00000000
-5.70585293,3.19178763,0.45099994,0.00000000,1.59784606,1.95064777,0.76715819,0.00000000
-5.69984992,3.14230924,0.41833655,0.00000000,1.55870087,1.91052850,0.77318087,0.00000000
-5.69384692,3.10673062,0.38974654,0.00000000,1.52613975,1.87811619,0.78214827,0.00000000
-5.68784392,3.08449819,0.36517239,0.00000000,1.50029223,1.85311810,0.79381688,0.00000000
-5.68184092,3.07487388,0.34450162,0.00000000,1.48121261,1.83512460,0.80790870,0.00000000
-5.67583792,3.07696457,0.32757518,0.00000000,1.46888338,1.82363019,0.82411853,0.00000000
-5.66983492,3.08975238,0.31419575,0.00000000,1.46321843,1.81805493,0.84212171,0.00000000
-5.66383192,3.11212496,0.30413582,0.00000000,1.46406604,1.81776579,0.86158181,0.00000000
-5.65782891,3.14290556,0.29714538,0.00000000,1.47121199,1.82209749,0.88215851,0.00000000
-5.65182591,3.18088232,0.29295908,0.00000000,1.48438290,1.83037233,0.90351520,0.00000000
-5.64582291,3.22483666,0.29130302,0.00000000,1.50325014,1.84191868,0.92532646,0.00000000
-5.63981991,3.27357032,0.29190082,0.00000000,1.52743462,1.85608805,0.94728503,0.00000000
-5.63381691,3.32593091,0.29447937,0.00000000,1.55651257,1.87227032,0.96910821,0.00000000
-5.62781391,3.38083561,0.29877392,0.00000000,1.59002264,1.88990729,0.99054356,0.00000000
-5.62181091,3.43729289,0.30453274,0.00000000,1.62747431,1.90850417,1.01137365,0.00000000
-5.61580790,3.49442192,0.31152127,0.00000000,1.66835764,1.92763930,1.03141992,0.00000000
-5.60980490,3.55146936,0.31952577,0.00000000,1.71215419,1.94697184,1.05054536,0.00000000
-5.60380190,3.60782336,0.32835642,0.00000000,1.75834899,1.96624756,1.06865609,0.00000000
-5.59779890,3.66302433,0.33784984,0.00000000,1.80644311,1.98530261,1.08570171,0.00000000
-5.59179590,3.71677233,0.34787092,0.00000000,1.85596632,2.00406538,1.10167460,0.00000000
-5.58579290,3.76893056,0.35831399,0.00000000,1.90648952,2.02255626,1.11660800,0.00000000
-5.57978989,3.81952480,0.36910314,0.00000000,1.95763602,2.04088527,1.13057305,0.00000000
-5.57378689,3.86873839,0.38019170,0.00000000,2.00909130,2.05924747,1.14367494,0.00000000
-5.56778389,3.91690250,0.39156069,0.00000000,2.06061043,2.07791597,1.15604804,0.00000000
-5.56178089,3.96448149,0.40321642,0.00000000,2.11202265,2.09723243,1.16785036,0.00000000
-5.55577789,4.01205322,0.41518696,0.00000000,2.16323248,2.11759503,1.17925728,0.00000000
-5.54977489,4.06028441,0.42751770,0.00000000,2.21421713,2.13944372,1.19045475,0.00000000
-5.54377189,4.10990115,0.44026602,0.00000000,2.26501989,2.16324300,1.20163197,0.00000000
-5.53776888,4.16165516,0.45349514,0.00000000,2.31573944,2.18946220,1.21297378,0.00000000
-5.53176588,4.21628637,0.46726741,0.00000000,2.36651546,2.21855379,1.22465287,0.00000000
-5.52576288,4.27448297,0.48163718,0.00000000,2.41751087,2.25093011,1.23682198,0.00000000
-5.51975988,4.33684000,0.49664363,0.00000000,2.46889145,2.28693922,1.24960626,0.00000000
-5.51375688,4.40381831,0.51230380,0.00000000,2.52080379,2.32684083,1.26309609,0.00000000
-5.50775388,4.47570545,0.52860619,0.00000000,2.57335270,2.37078321,1.27734061,0.00000000
-5.50175088,4.55258051,0.54550532,0.00000000,2.62657929,2.41878237,1.29234223,0.00000000
-5.49574787,4.63428505,0.56291751,0.00000000,2.68044117,2.47070457,1.30805249,0.00000000
-5.48974487,4.72040179,0.58071830,0.00000000,2.73479595,2.52625347,1.32436951,0.00000000
-5.48374187,4.81024311,0.59874169,0.00000000,2.78938943,2.58496296,1.34113744,0.00000000
-5.47773887,4.90285063,0.61678142,0.00000000,2.84384940,2.64619658,1.35814792,0.00000000
-5.47173587,4.99700699,0.63459435,0.00000000,2.89768590,2.70915429,1.37514407,0.00000000
-5.46573287,5.09126017,0.65190607,0.00000000,2.95029840,2.77288677,1.39182662,0.00000000
-5.45972986,5.18396021,0.66841831,0.00000000,3.00098993,2.83631740,1.40786258,0.00000000
-5.45372686,5.27330742,0.68381828,0.00000000,3.04898781,2.89827124,1.42289587,0.00000000
-5.44772386,5.35741059,0.69778927,0.00000000,3.09347022,2.95751033,1.43655990,0.00000000
-5.44172086,5.43435281,0.71002228,0.00000000,3.13359751,3.01277385,1.44849137,0.00000000
-5.43571786,5.50226230,0.72022803,0.00000000,3.16854662,3.06282169,1.45834503,0.00000000
-5.42971486,5.55938509,0.72814889,0.00000000,3.19754705,3.10647939,1.46580844,0.00000000
-5.42371186,5.60415601,0.73357003,0.00000000,3.21991642,3.14268252,1.47061625,0.00000000
-5.41770885,5.63526484,0.73632939,0.00000000,3.23509373,3.17051841,1.47256331,0.00000000
-5.41170585,5.65171413,0.73632586,0.00000000,3.24266852,3.18926320,1.47151574,0.00000000
-5.40570285,5.65286602,0.73352529,0.00000000,3.24240439,3.19841257,1.46741965,0.00000000
-5.39969985,5.63847580,0.72796410,0.00000000,3.23425550,3.19770449,1.46030688,0.00000000
-5.39369685,5.60871052,0.71975023,0.00000000,3.21837525,3.18713325,1.45029745,0.00000000
-5.38769385,5.56415198,0.70906148,0.00000000,3.19511672,3.16695395,1.43759875,0.00000000
-5.38169085,5.50578414,0.69614137,0.00000000,3.16502481,3.13767758,1.42250132,0.00000000
-5.37568784,5.43496592,0.68129270,0.00000000,3.12882063,3.10005710,1.40537149,0.00000000
-5.36968484,5.35339090,0.66486930,0.00000000,3.08737911,3.05506541,1.38664142,0.00000000
-5.36368184,5.26303636,0.64726629,0.00000000,3.04170096,3.00386655,1.36679674,0.00000000
-5.35767884,5.16610420,0.62890947,0.00000000,2.99288055,2.94778167,1.34636272,0.00000000
-5.35167584,5.06495694,0.61024439,0.00000000,2.94207142,2.88825171,1.32588933,0.00000000
-5.34567284,4.96205162,0.59172545,0.00000000,2.89045104,2.82679831,1.30593604,0.00000000
-5.33966983,4.85987481,0.57380574,0.00000000,2.83918646,2.76498515,1.28705693,0.00000000
-5.33366683,4.76088111,0.55692787,0.00000000,2.78940240,2.70438088,1.26978654,0.00000000
-5.32766383,4.66743740,0.54151609,0.00000000,2.74215293,2.64652527,1.25462715,0.00000000
-5.32166083,4.58177464,0.52796993,0.00000000,2.69839771,2.59289949,1.24203764,0.00000000
-5.31565783,4.50594796,0.51665948,0.00000000,2.65898337,2.54490110,1.23242421,0.00000000
-5.30965483,4.44180573,0.50792213,0.00000000,2.62463046,2.50382398,1.22613311,0.00000000
-5.30365183,4.39096733,0.50206067,0.00000000,2.59592565,2.47084318,1.22344535,0.00000000
-5.29764882,4.35480903,0.49934263,0.00000000,2.57331919,2.44700415,1.22457331,0.00000000
-5.29164582,4.33445697,0.50000033,0.00000000,2.55712688,2.43321566,1.22965908,0.00000000
-5.28564282,4.33078596,0.50423151,0.00000000,2.54753591,2.43024559,1.23877442,0.00000000
-5.27963982,4.34442268,0.51220006,0.00000000,2.54461377,2.43871864,1.25192208,0.00000000
-5.27363682,4.37575190,0.52403656,0.00000000,2.54831931,2.45911500,1.26903831,0.00000000
-5.26763382,4.42492441,0.53983840,0.00000000,2.55851518,2.49176915,1.28999636,0.00000000
-5.26163082,4.49186555,0.55966913,0.00000000,2.57498078,2.53686829,1.31461087,0.00000000
-5.25562781,4.57628363,0.58355710,0.00000000,2.59742506,2.59444967,1.34264298,0.00000000
-5.24962481,4.67767758,0.61149316,0.00000000,2.62549854,2.66439699,1.37380614,0.00000000
-5.24362181,4.79534382,0.64342765,0.00000000,2.65880413,2.74643576,1.40777236,0.00000000
-5.23761881,4.92838233,0.67926669,0.00000000,2.69690647,2.84012809,1.44417907,0.00000000
-5.23161581,5.07570250,0.71886821,0.00000000,2.73933949,2.94486756,1.48263630,0.00000000
-5.22561281,5.23602904,0.76203784,0.00000000,2.78561227,3.05987484,1.52273420,0.00000000
-5.21960980,5.40790904,0.80852513,0.00000000,2.83521317,3.18419519,1.56405070,0.00000000
