energy_ev,total_up,Au_p_up,Au_d_up,In_p_up,In_d_up,S_s_up,S_p_up
-6.00000000,2.97913757,0.19360297,2.81661669,0.16134223,0.01314969,0.00150890,0.04681460
-5.99399700,3.06158769,0.20315853,2.89211666,0.16563002,0.01318730,0.00163660,0.04805305
-5.98799400,3.15459451,0.21365223,2.97754576,0.17067461,0.01327702,0.00177234,0.04952635
-5.98199100,3.25694270,0.22499375,3.07178316,0.17640327,0.01341515,0.00191489,0.05120693
-5.97598799,3.36726186,0.23708000,3.17356049,0.18272726,0.01359728,0.00206301,0.05306372
-5.96998499,3.48406549,0.24979720,3.28149813,0.18954457,0.01381849,0.00221548,0.05506319
-5.96398199,3.60579031,0.26302299,3.39414202,0.19674290,0.01407341,0.00237107,0.05717029
-5.95797899,3.73083447,0.27662838,3.50999937,0.20420278,0.01435641,0.00252856,0.05934958
-5.95197599,3.85759311,0.29047950,3.62757211,0.21180061,0.01466168,0.00268676,0.06156615
-5.94597299,3.98449031,0.30443922,3.74538692,0.21941170,0.01498333,0.00284448,0.06378662
-5.93996998,4.11000657,0.31836852,3.86202109,0.22691297,0.01531552,0.00300056,0.06597995
-5.93396698,4.23270140,0.33212771,3.97612389,0.23418549,0.01565252,0.00315382,0.06811825
-5.92796398,4.35123108,0.34557755,4.08643335,0.24111666,0.01598879,0.00330312,0.07017745
-5.92196098,4.46436184,0.35858031,4.19178875,0.24760206,0.01631902,0.00344731,0.07213781
-5.91595798,4.57097914,0.37100096,4.29113935,0.25354701,0.01663820,0.00358524,0.07398448
-5.90995498,4.67009380,0.38270845,4.38355012,0.25886776,0.01694168,0.00371579,0.07570780
-5.90395198,4.76084595,0.39357729,4.46820539,0.26349248,0.01722517,0.00383783,0.07730364
-5.89794897,4.84250774,0.40348950,4.54441115,0.26736188,0.01748481,0.00395029,0.07877362
-5.89194597,4.91448559,0.41233680,4.61159685,0.27042975,0.01771720,0.00405214,0.08012530
-5.88594297,4.97632267,0.42002338,4.66931731,0.27266325,0.01791941,0.00414244,0.08137224
-5.87993997,5.02770192,0.42646885,4.71725509,0.27404300,0.01808907,0.00422040,0.08253409
-5.87393697,5.06844975,0.43161156,4.75522337,0.27456313,0.01822431,0.00428539,0.08363658
-5.86793397,5.09854015,0.43541217,4.78316924,0.27423112,0.01832388,0.00433701,0.08471143
-5.86193097,5.11809876,0.43785714,4.80117685,0.27306752,0.01838710,0.00437516,0.08579617
-5.85592796,5.12740615,0.43896222,4.80946996,0.27110557,0.01841388,0.00440009,0.08693391
-5.84992496,5.12689948,0.43877558,4.80841290,0.26839059,0.01840476,0.00441250,0.08817297
-5.84392196,5.11717164,0.43738060,4.79850946,0.26497929,0.01836084,0.00441355,0.08956639
-5.83791896,5.09896714,0.43489790,4.78039862,0.26093889,0.01828379,0.00440496,0.09117128
-5.83191596,5.07317400,0.43148670,4.75484691,0.25634605,0.01817580,0.00438909,0.09304811
-5.82591296,5.04081131,0.42734532,4.72273676,0.25128567,0.01803949,0.00436894,0.09525982
-5.81990995,5.00301238,0.42271058,4.68505100,0.24584957,0.01787792,0.00434822,0.09787081
-5.81390695,4.96100370,0.41785637,4.64285360,0.24013504,0.01769445,0.00433136,0.10094582
-5.80790395,4.91608034,0.41309100,4.59726738,0.23424331,0.01749268,0.00432356,0.10454884
-5.80190095,4.86957864,0.40875366,4.54944931,0.22827802,0.01727638,0.00433072,0.10874180
-5.79589795,4.82284736,0.40520982,4.50056469,0.22234364,0.01704942,0.00435946,0.11358346
-5.78989495,4.77721848,0.40284578,4.45176127,0.21654397,0.01681569,0.00441704,0.11912814
-5.78389195,4.73397914,0.40206227,4.40414459,0.21098069,0.01657903,0.00451132,0.12542463
-5.77788894,4.69434581,0.40326738,4.35875572,0.20575202,0.01634320,0.00465060,0.13251513
-5.77188594,4.65944194,0.40686877,4.31655254,0.20095149,0.01611187,0.00484354,0.14043434
-5.76588294,4.63027996,0.41326528,4.27839523,0.19666677,0.01588854,0.00509897,0.14920853
-5.75987994,4.60774815,0.42283804,4.24503669,0.19297872,0.01567659,0.00542570,0.15885488
-5.75387694,4.59260263,0.43594126,4.21711792,0.18996038,0.01547924,0.00583232,0.16938079
-5.74787394,4.58546443,0.45289269,4.19516837,0.18767619,0.01529960,0.00632695,0.18078329
-5.74187094,4.58682103,0.47396398,4.17961062,0.18618118,0.01514064,0.00691697,0.19304847
-5.73586793,4.59703170,0.49937110,4.17076877,0.18552019,0.01500524,0.00760875,0.20615100
-5.72986493,4.61633568,0.52926508,4.16887942,0.18572721,0.01489614,0.00840739,0.22005354
-5.72386193,4.64486190,0.56372317,4.17410413,0.18682468,0.01481599,0.00931639,0.23470618
-5.71785893,4.68263934,0.60274093,4.18654210,0.18882283,0.01476729,0.01033744,0.25004590
-5.71185593,4.72960663,0.64622538,4.20624183,0.19171915,0.01475236,0.01147016,0.26599598
-5.70585293,4.78562014,0.69398973,4.23321085,0.19549791,0.01477331,0.01271194,0.28246546
-5.69984992,4.85045974,0.74574989,4.26742233,0.20012983,0.01483197,0.01405772,0.29934876
-5.69384692,4.92383172,0.80112332,4.30881835,0.20557200,0.01492979,0.01550004,0.31652540
-5.68784392,5.00536900,0.85963037,4.35730921,0.21176799,0.01506780,0.01702893,0.33386006
-5.68184092,5.09462859,0.92069849,4.41276917,0.21864832,0.01524646,0.01863207,0.35120305
-5.67583792,5.19108714,0.98366946,4.47502875,0.22613129,0.01546564,0.02029495,0.36839116
-5.66983492,5.29413529,1.04780980,4.54386463,0.23412417,0.01572451,0.02200115,0.38524918
-5.66383192,5.40307194,1.11232415,4.61898797,0.24252485,0.01602148,0.02373269,0.40159204
-5.65782891,5.51709982,1.17637171,4.70003246,0.25122386,0.01635415,0.02547047,0.41722767
-5.65182591,5.63532337,1.23908509,4.78654348,0.26010688,0.01671931,0.02719481,0.43196047
-5.64582291,5.75675042,1.29959140,4.87796970,0.26905745,0.01711293,0.02888594,0.44559558
-5.63981991,5.88029843,1.35703469,4.97365832,0.27796012,0.01753020,0.03052466,0.45794362
-5.63381691,6.00480630,1.41059921,5.07285523,0.28670371,0.01796562,0.03209289,0.46882589
-5.62781391,6.12905195,1.45953255,5.17471068,0.29518466,0.01841309,0.03357424,0.47807988
-5.62181091,6.25177588,1.50316782,5.27829111,0.30331041,0.01886607,0.03495460,0.48556478
-5.61580790,6.37171015,1.54094396,5.38259716,0.31100251,0.01931769,0.03622253,0.49116683
-5.60980490,6.48761210,1.57242342,5.48658744,0.31819960,0.01976098,0.03736973,0.49480413
-5.60380190,6.59830144,1.59730623,5.58920755,0.32485978,0.02018905,0.03839124,0.49643086
-5.59779890,6.70269925,1.61544010,5.68942287,0.33096262,0.02059527,0.03928567,0.49604050
-5.59179590,6.79986702,1.62682576,5.78625403,0.33651040,0.02097350,0.04005518,0.49366780
-5.58579290,6.88904381,1.63161740,5.87881302,0.34152864,0.02131828,0.04070544,0.48938963
-5.57978989,6.96967934,1.63011807,5.96633828,0.34606590,0.02162496,0.04124536,0.48332419
-5.57378689,7.04146121,1.62277007,6.04822669,0.35019258,0.02188990,0.04168682,0.47562890
-5.56778389,7.10433437,1.61014071,6.12406068,0.35399906,0.02211054,0.04204414,0.46649683
-5.56178089,7.15851123,1.59290386,6.19362859,0.35759280,0.02228550,0.04233361,0.45615168
-5.55577789,7.20447138,1.57181796,6.25693690,0.36109478,0.02241461,0.04257287,0.44484174
-5.54977489,7.24295019,1.54770134,6.31421321,0.36463519,0.02249889,0.04278020,0.43283274
-5.54377189,7.27491592,1.52140566,6.36589912,0.36834844,0.02254051,0.04297390,0.42040005
-5.53776888,7.30153597,1.49378850,6.41263292,0.37236780,0.02254268,0.04317152,0.40782045
-5.53176588,7.32413283,1.46568596,6.45522234,0.37681968,0.02250950,0.04338924,0.39536380
-5.52576288,7.34413135,1.43788645,6.49460802,0.38181775,0.02244583,0.04364117,0.38328489
-5.51975988,7.36299921,1.41110636,6.53181929,0.38745730,0.02235706,0.04393881,0.37181580
-5.51375688,7.38218273,1.38596854,6.56792367,0.39380976,0.02224888,0.04429054,0.36115912
-5.50775388,7.40304106,1.36298441,6.60397259,0.40091786,0.02212711,0.04470119,0.35148211
-5.50175088,7.42678127,1.34254008,6.64094556,0.40879163,0.02199739,0.04517182,0.34291221
-5.49574787,7.45439764,1.32488715,6.67969568,0.41740529,0.02186505,0.04569946,0.33553391
-5.48974487,7.48661800,1.31013829,6.72089903,0.42669546,0.02173486,0.04627721,0.32938718
-5.48374187,7.52385995,1.29826792,6.76501076,0.43656066,0.02161085,0.04689425,0.32446742
-5.47773887,7.56619946,1.28911770,6.81223027,0.44686235,0.02149623,0.04753620,0.32072701
-5.47173587,7.61335376,1.28240677,6.86247767,0.45742749,0.02139326,0.04818549,0.31807838
-5.46573287,7.66467998,1.27774628,6.91538289,0.46805255,0.02130320,0.04882189,0.31639832
-5.45972986,7.71919004,1.27465765,6.97028880,0.47850910,0.02122635,0.04942323,0.31553368
-5.45372686,7.77558183,1.27259387,7.02626823,0.48855055,0.02116205,0.04996612,0.31530790
-5.44772386,7.83228549,1.27096295,7.08215479,0.49791999,0.02110882,0.05042682,0.31552831
-5.44172086,7.88752315,1.26915267,7.13658614,0.50635876,0.02106445,0.05078208,0.31599390
-5.43571786,7.93937948,1.26655568,7.18805790,0.51361539,0.02102618,0.05101010,0.31650317
-5.42971486,7.98587999,1.26259377,7.23498557,0.51945464,0.02099087,0.05109133,0.31686189
-5.42371186,8.02507319,1.25674049,7.27577178,0.52366598,0.02095520,0.05100934,0.31689029
-5.41770885,8.05511305,1.24854116,7.30887520,0.52607142,0.02091587,0.05075145,0.31642956
-5.41170585,8.07433737,1.23762942,7.33287801,0.52653209,0.02086975,0.05030938,0.31534729
-5.40570285,8.08133859,1.22373967,7.34654835,0.52495338,0.02081407,0.04967962,0.31354176
-5.39969985,8.07502345,1.20671498,7.34889482,0.52128831,0.02074655,0.04886371,0.31094479
-5.39369685,8.05465873,1.18651019,7.33921030,0.51553904,0.02066550,0.04786823,0.30752311
-5.38769385,8.01990118,1.16319015,7.31710321,0.50775643,0.02056987,0.04670472,0.30327835
-5.38169085,7.97081037,1.13692343,7.28251485,0.49803771,0.02045931,0.04538934,0.29824549
-5.37568784,7.90784437,1.10797178,7.23572235,0.48652231,0.02033411,0.04394235,0.29248999
-5.36968484,7.83183900,1.07667616,7.17732764,0.47338629,0.02019519,0.04238750,0.28610384
-5.36368184,7.74397233,1.04344001,7.10823344,0.45883544,0.02004402,0.04075128,0.27920057
-5.35767884,7.64571670,1.00871075,7.02960799,0.44309757,0.01988249,0.03906205,0.27190972
-5.35167584,7.53878134,0.97296051,6.94284097,0.42641439,0.01971284,0.03734925,0.26437084
-5.34567284,7.42504870,0.93666703,6.84949294,0.40903323,0.01953750,0.03564244,0.25672740
-5.33966983,7.30650804,0.90029567,6.75124134,0.39119927,0.01935899,0.03397057,0.24912102
-5.33366683,7.18518952,0.86428345,6.64982561,0.37314833,0.01917981,0.03236113,0.24168600
-5.32766383,7.06310178,0.82902563,6.54699405,0.35510075,0.01900231,0.03083957,0.23454463
-5.32166083,6.94217554,0.79486545,6.44445466,0.33725642,0.01882865,0.02942869,0.22780338
-5.31565783,6.82421518,0.76208730,6.34383151,0.31979122,0.01866069,0.02814828,0.22154996
-5.30965483,6.71085943,0.73091335,6.24662802,0.30285485,0.01850001,0.02701479,0.21585147
-5.30365183,6.60355185,0.70150351,6.15419770,0.28656998,0.01834780,0.02604122,0.21075362
-5.29764882,6.50352087,0.67395847,6.06772233,0.27103276,0.01820495,0.02523702,0.20628082
-5.29164582,6.41176877,0.64832531,5.98819741,0.25631435,0.01807198,0.02460825,0.20243719
-5.28564282,6.32906848,0.62460509,5.91642397,0.24246335,0.01794909,0.02415760,0.19920832
-5.27963982,6.25596678,0.60276186,5.85300583,0.22950891,0.01783621,0.02388470,0.19656357
-5.27363682,6.19279224,0.58273233,5.79835103,0.21746411,0.01773297,0.02378633,0.19445872
-5.26763382,6.13966653,0.56443568,5.75267654,0.20632959,0.01763879,0.02385664,0.19283894
-5.26163082,6.09651762,0.54778278,5.71601498,0.19609695,0.01755285,0.02408751,0.19164168
-5.25562781,6.06309361,0.53268452,5.68822268,0.18675199,0.01747417,0.02446870,0.19079959
-5.24962481,6.03897667,0.51905872,5.66898843,0.17827731,0.01740156,0.02498819,0.19024315
-5.24362181,6.02359637,0.50683549,5.65784268,0.17065457,0.01733370,0.02563234,0.18990305
-5.23761881,6.01624246,0.49596075,5.65416716,0.16386594,0.01726912,0.02638612,0.18971222
