energy_ev,total_up,Pd_p_up,Pd_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,4.44227925,3.09039059,1.64858215,1.41462499,0.01567967,0.03676418,1.28723402
-5.99399700,4.33062116,2.97189479,1.59920306,1.36523608,0.01497551,0.03610217,1.27771810
-5.98799400,4.21618414,2.84630051,1.54798694,1.31290517,0.01423575,0.03536301,1.27177144
-5.98199100,4.10154351,2.71600092,1.49607820,1.25870241,0.01347385,0.03456540,1.26966106
-5.97598799,3.98915347,2.58337777,1.44458826,1.20368821,0.01270302,0.03372773,1.27154611
-5.96998499,3.88127979,2.45074199,1.39456653,1.14888680,0.01193593,0.03286743,1.27746960
-5.96398199,3.77994012,2.32027884,1.34697431,1.09526165,0.01118437,0.03200044,1.28735371
-5.95797899,3.68685407,2.19399939,1.30266214,1.04369381,0.01045904,0.03114067,1.30099885
-5.95197599,3.60340434,2.07369918,1.26235138,0.99496347,0.00976933,0.03029968,1.31808681
-5.94597299,3.53061020,1.96092534,1.22662028,0.94973524,0.00912316,0.02948637,1.33818801
-5.93996998,3.46911346,1.85695232,1.19589487,0.90854733,0.00852688,0.02870688,1.36077272
-5.93396698,3.41917728,1.76276655,1.17044458,0.87180474,0.00798524,0.02796459,1.38522595
-5.92796398,3.38069692,1.67905989,1.15038257,0.83977639,0.00750139,0.02726027,1.41086565
-5.92196098,3.35322172,1.60623128,1.13567036,0.81259605,0.00707693,0.02659226,1.43696335
-5.91595798,3.33598677,1.54439605,1.12612644,0.79026672,0.00671198,0.02595686,1.46276662
-5.90995498,3.32795257,1.49340198,1.12143827,0.77266818,0.00640533,0.02534869,1.48752237
-5.90395198,3.32785095,1.45285114,1.12117707,0.75956724,0.00615455,0.02476120,1.51049996
-5.89794897,3.33423503,1.42212652,1.12481490,0.75063033,0.00595621,0.02418709,1.53101336
-5.89194597,3.34553140,1.40042228,1.13174327,0.74543780,0.00580601,0.02361885,1.54844106
-5.88594297,3.36009256,1.38677675,1.14129274,0.74349970,0.00569898,0.02304921,1.56224335
