energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.16365761,0.04107754,0.00015989,0.00730501,0.01285195,0.03506912,0.01066203
-5.99399700,0.17611226,0.04414573,0.00017866,0.00791755,0.01356528,0.03790011,0.01124385
-5.98799400,0.18999480,0.04741846,0.00019885,0.00854906,0.01467142,0.04109561,0.01202478
-5.98199100,0.20526756,0.05087437,0.00022048,0.00919428,0.01619097,0.04465461,0.01300837
-5.97598799,0.22188984,0.05448901,0.00024357,0.00984763,0.01814677,0.04857646,0.01419893
-5.96998499,0.23981794,0.05823527,0.00026811,0.01050328,0.02056328,0.05286069,0.01560136
-5.96398199,0.25900475,0.06208372,0.00029409,0.01115528,0.02346568,0.05750682,0.01722071
-5.95797899,0.27939885,0.06600291,0.00032148,0.01179763,0.02687889,0.06251397,0.01906185
-5.95197599,0.30094320,0.06995966,0.00035025,0.01242441,0.03082643,0.06788039,0.02112894
-5.94597299,0.32357328,0.07391923,0.00038032,0.01302982,0.03532911,0.07360288,0.02342493
-5.93996998,0.34721500,0.07784546,0.00041162,0.01360822,0.04040376,0.07967605,0.02595096
-5.93396698,0.37178224,0.08170086,0.00044402,0.01415423,0.04606175,0.08609160,0.02870582
-5.92796398,0.39717443,0.08544677,0.00047741,0.01466269,0.05230768,0.09283752,0.03168529
-5.92196098,0.42327414,0.08904340,0.00051162,0.01512872,0.05913802,0.09989729,0.03488168
-5.91595798,0.44994502,0.09245006,0.00054646,0.01554768,0.06653989,0.10724916,0.03828324
-5.90995498,0.47703022,0.09562544,0.00058171,0.01591526,0.07449000,0.11486554,0.04187386
-5.90395198,0.50435155,0.09852795,0.00061715,0.01622740,0.08295386,0.12271250,0.04563267
-5.89794897,0.53170950,0.10111626,0.00065250,0.01648037,0.09188521,0.13074948,0.04953398
-5.89194597,0.55888422,0.10335000,0.00068749,0.01667077,0.10122578,0.13892921,0.05354724
-5.88594297,0.58563759,0.10519054,0.00072182,0.01679562,0.11090546,0.14719789,0.05763725
-5.87993997,0.61171632,0.10660195,0.00075520,0.01685236,0.12084273,0.15549554,0.06176451
-5.87393697,0.63685606,0.10755203,0.00078733,0.01683900,0.13094561,0.16375666,0.06588576
-5.86793397,0.66078633,0.10801343,0.00081789,0.01675415,0.14111288,0.17191110,0.06995473
-5.86193097,0.68323620,0.10796470,0.00084660,0.01659711,0.15123571,0.17988505,0.07392294
-5.85592796,0.70394033,0.10739135,0.00087318,0.01636802,0.16119953,0.18760223,0.07774077
-5.84992496,0.72264527,0.10628673,0.00089738,0.01606788,0.17088630,0.19498522,0.08135847
-5.84392196,0.73911561,0.10465276,0.00091895,0.01569865,0.18017679,0.20195678,0.08472736
-5.83791896,0.75313979,0.10250036,0.00093770,0.01526327,0.18895317,0.20844124,0.08780095
-5.83191596,0.76453529,0.09984965,0.00095344,0.01476570,0.19710151,0.21436582,0.09053608
-5.82591296,0.77315300,0.09672983,0.00096602,0.01421087,0.20451435,0.21966194,0.09289397
-5.81990995,0.77888057,0.09317866,0.00097533,0.01360465,0.21109304,0.22426638,0.09484122
-5.81390695,0.78164470,0.08924170,0.00098128,0.01295373,0.21675004,0.22812240,0.09635055
-5.80790395,0.78141226,0.08497122,0.00098381,0.01226552,0.22141080,0.23118066,0.09740149
-5.80190095,0.77819025,0.08042489,0.00098289,0.01154796,0.22501543,0.23340005,0.09798085
-5.79589795,0.77202477,0.07566419,0.00097851,0.01080935,0.22751994,0.23474839,0.09808290
-5.78989495,0.76299893,0.07075280,0.00097070,0.01005818,0.22889710,0.23520294,0.09770949
-5.78389195,0.75123005,0.06575489,0.00095950,0.00930287,0.22913690,0.23475088,0.09686983
-5.77788894,0.73686612,0.06073341,0.00094497,0.00855161,0.22824649,0.23338954,0.09558015
-5.77188594,0.72008186,0.05574853,0.00092722,0.00781216,0.22624977,0.23112657,0.09386315
-5.76588294,0.70107450,0.05085618,0.00090635,0.00709167,0.22318660,0.22797998,0.09174735
-5.75987994,0.68005934,0.04610689,0.00088252,0.00639652,0.21911155,0.22397800,0.08926624
-5.75387694,0.65726542,0.04154478,0.00085590,0.00573224,0.21409245,0.21915880,0.08645739
