energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.11012393,-2.10998546,0.52420145,-0.52409439,0.14824952,-0.14847344,0.00544377,-0.00543055,0.13494406,-0.13516117,0.24466857,-0.24526280,0.21089204,-0.21077695,0.01233002,-0.01232748,1.06378450,-1.06349276
-5.99399700,2.13425192,-2.13434081,0.53004833,-0.52992002,0.15367554,-0.15391164,0.00542234,-0.00541190,0.13658868,-0.13687049,0.25344247,-0.25413357,0.21002841,-0.20992342,0.01295577,-0.01296896,1.07760914,-1.07736503
-5.98799400,2.16091422,-2.16131962,0.53530083,-0.53516587,0.15927595,-0.15952750,0.00545666,-0.00544937,0.13914467,-0.13950646,0.26307420,-0.26387558,0.20936282,-0.20927955,0.01381988,-0.01384945,1.09161453,-1.09144846
-5.98199100,2.19103095,-2.19184445,0.54008432,-0.53995762,0.16509488,-0.16536545,0.00555195,-0.00554821,0.14278580,-0.14324299,0.27370698,-0.27463259,0.20901101,-0.20896117,0.01493207,-0.01497876,1.10608813,-1.10603179
-5.97598799,2.22557659,-2.22688886,0.54453365,-0.54442991,0.17118268,-0.17147595,0.00571351,-0.00571373,0.14768596,-0.14825368,0.28549673,-0.28656058,0.20908908,-0.20908411,0.01630384,-0.01636846,1.12135006,-1.12143503
-5.96998499,2.26553572,-2.26743330,0.54878579,-0.54871889,0.17759331,-0.17791289,0.00594646,-0.00595102,0.15401420,-0.15470689,0.29860566,-0.29982128,0.20970905,-0.20975977,0.01794773,-0.01803111,1.13773410,-1.13799054
-5.96398199,2.31185908,-2.31442134,0.55297253,-0.55295511,0.18438158,-0.18473089,0.00625548,-0.00626474,0.16192971,-0.16276072,0.31319527,-0.31457520,0.21097463,-0.21109094,0.01987642,-0.01997937,1.15556879,-1.15602425
-5.95797899,2.36542117,-2.36871755,0.55721391,-0.55725692,0.19160035,-0.19198241,0.00664457,-0.00665883,0.17157689,-0.17255804,0.32941907,-0.33097433,0.21297758,-0.21316818,0.02210186,-0.02222510,1.17515939,-1.17583771
-5.95197599,2.42698099,-2.43106861,0.56161237,-0.56172474,0.19929769,-0.19971499,0.00711684,-0.00713636,0.18308050,-0.18422180,0.34741523,-0.34915481,0.21579445,-0.21606666,0.02463429,-0.02477841,1.19677128,-1.19769169
-5.94597299,2.49714715,-2.50206880,0.56624805,-0.56643648,0.20751427,-0.20796865,0.00767431,-0.00769926,0.19654125,-0.19785050,0.36729944,-0.36922980,0.21948406,-0.21984367,0.02748135,-0.02764676,1.22061556,-1.22179194
-5.93996998,2.57634844,-2.58213107,0.57117541,-0.57144421,0.21628095,-0.21677345,0.00831776,-0.00834826,0.21203175,-0.21351430,0.38915819,-0.39128289,0.22408567,-0.22453679,0.03064715,-0.03083403,1.24683715,-1.24827753
-5.93396698,2.66481093,-2.67146459,0.57642122,-0.57677226,0.22561677,-0.22614758,0.00904660,-0.00908266,0.22959297,-0.23125147,0.41304292,-0.41536223,0.22961775,-0.23016279,0.03413145,-0.03433971,1.27550611,-1.27721234
-5.92796398,2.76254206,-2.77005934,0.58198405,-0.58241683,0.23552730,-0.23609570,0.00985876,-0.00990033,0.24923144,-0.25106566,0.43896501,-0.44147565,0.23607759,-0.23671727,0.03792894,-0.03815817,1.30661210,-1.30857982
-5.92196098,2.86932228,-2.87767823,0.58783521,-0.58834696,0.24600359,-0.24660789,0.01075069,-0.01079760,0.27091709,-0.27292382,0.46689201,-0.46958698,0.24344153,-0.24417486,0.04202863,-0.04227809,1.34006243,-1.34228111
-5.91595798,2.98470420,-2.99385676,0.59392097,-0.59450691,0.25702155,-0.25765912,0.01171731,-0.01176931,0.29458197,-0.29675494,0.49674519,-0.49961367,0.25166584,-0.25249024,0.04641340,-0.04668201,1.37568337,-1.37813669
-5.90995498,3.10801928,-3.11791009,0.60016602,-0.60081957,0.26854187,-0.26920919,0.01275209,-0.01280884,0.32011983,-0.32244974,0.52839842,-0.53142584,0.26068817,-0.26159956,0.05105983,-0.05134611,1.41322473,-1.41589102
-5.90395198,3.23839141,-3.24894710,0.60647779,-0.60719091,0.28051061,-0.28120330,0.01384715,-0.01390823,0.34738661,-0.34986121,0.56167862,-0.56484675,0.27042956,-0.27142250,0.05593812,-0.05624025,1.45236738,-1.45522027
-5.89794897,3.37475710,-3.38589086,0.61275151,-0.61351503,0.29286010,-0.29357305,0.01499338,-0.01505830,0.37620192,-0.37880616,0.59636756,-0.59965478,0.28079680,-0.28186463,0.06101232,-0.06132815,1.49273321,-1.49574239
-5.89194597,3.51589118,-3.52750475,0.61887562,-0.61967961,0.30551051,-0.30623794,0.01618069,-0.01624888,0.40635147,-0.40906769,0.63220512,-0.63558672,0.29168516,-0.29282021,0.06624085,-0.06656789,1.53389724,-1.53702929
-5.88594297,3.66043748,-3.67242330,0.62473733,-0.62557143,0.31837168,-0.31910732,0.01739822,-0.01746907,0.43759037,-0.44039861,0.66889381,-0.67234243,0.30298141,-0.30417516,0.07157713,-0.07191265,1.57540115,-1.57862051
-5.87993997,3.80694329,-3.81918697,0.63022807,-0.63108186,0.33134543,-0.33208266,0.01863464,-0.01870749,0.46964751,-0.47252585,0.70610449,-0.70959060,0.31456696,-0.31581027,0.07697061,-0.07731165,1.61676798,-1.62003784
-5.87393697,3.95389692,-3.96627990,0.63524854,-0.63611184,0.34432810,-0.34506012,0.01987847,-0.01995264,0.50223061,-0.50515559,0.74348310,-0.74697561,0.32632112,-0.32760445,0.08236787,-0.08271136,1.65751722,-1.66080058
-5.86793397,4.09976734,-4.11216963,0.63971328,-0.64057652,0.35721336,-0.35793336,0.02111843,-0.02119323,0.53503222,-0.53797931,0.78065825,-0.78412510,0.33812446,-0.33943810,0.08771403,-0.08805682,1.69718012,-1.70044076
