energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.20882172,0.00026023,0.00617337,0.04946521,0.03619271,0.00831707,0.12306208,0.03934519,0.00372918
-5.99399700,0.23304879,0.00026693,0.00699484,0.05280312,0.04177210,0.00949106,0.13697496,0.04352433,0.00405345
-5.98799400,0.26202668,0.00029259,0.00795659,0.05736401,0.04809875,0.01084201,0.15369169,0.04856222,0.00448971
-5.98199100,0.29568551,0.00033893,0.00905957,0.06308208,0.05518551,0.01237007,0.17316168,0.05442748,0.00503922
-5.97598799,0.33393793,0.00040858,0.01030419,0.06989227,0.06303824,0.01407405,0.19532414,0.06108264,0.00570460
-5.96998499,0.37667389,0.00050507,0.01169021,0.07772881,0.07165498,0.01595120,0.22010501,0.06848289,0.00648988
-5.96398199,0.42375695,0.00063290,0.01321659,0.08652414,0.08102542,0.01799706,0.24741474,0.07657509,0.00740053
-5.95797899,0.47502247,0.00079760,0.01488149,0.09620812,0.09113086,0.02020537,0.27714712,0.08529711,0.00844344
-5.95197599,0.53027818,0.00100575,0.01668225,0.10670768,0.10194459,0.02256813,0.30917967,0.09457777,0.00962701
-5.94597299,0.58930710,0.00126502,0.01861547,0.11794705,0.11343279,0.02507574,0.34337527,0.10433719,0.01096115
-5.93996998,0.65187299,0.00158413,0.02067717,0.12984859,0.12555591,0.02771730,0.37958545,0.11448780,0.01245732
-5.93396698,0.71772792,0.00197286,0.02286292,0.14233407,0.13827047,0.03048095,0.41765482,0.12493595,0.01412847
-5.92796398,0.78662156,0.00244193,0.02516808,0.15532652,0.15153115,0.03335434,0.45742675,0.13558399,0.01598900
-5.92196098,0.85831159,0.00300289,0.02758804,0.16875236,0.16529318,0.03632515,0.49874958,0.14633282,0.01805459
-5.91595798,0.93257425,0.00366792,0.03011841,0.18254372,0.17951466,0.03938161,0.54148309,0.15708475,0.02034200
-5.90995498,1.00921425,0.00444961,0.03275519,0.19664083,0.19415877,0.04251302,0.58550457,0.16774655,0.02286863
-5.90395198,1.08807278,0.00536059,0.03549490,0.21099403,0.20919558,0.04571016,0.63071394,0.17823246,0.02565210
-5.89794897,1.16903278,0.00641319,0.03833458,0.22556546,0.22460337,0.04896566,0.67703715,0.18846694,0.02870957
-5.89194597,1.25202042,0.00761898,0.04127169,0.24032995,0.24036914,0.05227419,0.72442754,0.19838709,0.03205693
-5.88594297,1.33700209,0.00898823,0.04430387,0.25527514,0.25648817,0.05563237,0.77286450,0.20794443,0.03570790
-5.87993997,1.42397633,0.01052939,0.04742859,0.27040052,0.27296273,0.05903866,0.82234911,0.21710594,0.03967293
-5.87393697,1.51296070,0.01224847,0.05064265,0.28571539,0.28979954,0.06249280,0.87289690,0.22585425,0.04395807
-5.86793397,1.60397361,0.01414848,0.05394158,0.30123579,0.30700643,0.06599524,0.92452747,0.23418692,0.04856373
-5.86193097,1.69701195,0.01622880,0.05731891,0.31698037,0.32458794,0.06954624,0.97725163,0.24211485,0.05348349
-5.85592796,1.79202550,0.01848468,0.06076551,0.33296542,0.34254040,0.07314485,1.03105651,0.24965980,0.05870293
-5.84992496,1.88888963,0.02090676,0.06426880,0.34919936,0.36084645,0.07678779,1.08588951,0.25685125,0.06419867
-5.84392196,1.98737796,0.02348072,0.06781214,0.36567692,0.37946963,0.08046835,1.14164212,0.26372275,0.06993757
-5.83791896,2.08713714,0.02618705,0.07137426,0.38237350,0.39834925,0.08417523,1.19813470,0.27030801,0.07587623
-5.83191596,2.18766561,0.02900102,0.07492897,0.39924004,0.41739592,0.08789162,1.25510361,0.27663695,0.08196085
-5.82591296,2.28829861,0.03189280,0.07844503,0.41619881,0.43648835,0.09159444,1.31219157,0.28273213,0.08812757
-5.81990995,2.38820095,0.03482781,0.08188631,0.43314058,0.45547150,0.09525389,1.36894264,0.28860570,0.09430317
-5.81390695,2.48636932,0.03776728,0.08521237,0.44992342,0.47415665,0.09883335,1.42480257,0.29425716,0.10040629
-5.80790395,2.58164480,0.04066898,0.08837919,0.46637353,0.49232333,0.10228969,1.47912501,0.29967227,0.10634919
-5.80190095,2.67273623,0.04348825,0.09134039,0.48228797,0.50972344,0.10557403,1.53118402,0.30482300,0.11203979
-5.79589795,2.75825383,0.04617903,0.09404863,0.49743964,0.52608735,0.10863283,1.58019270,0.30966884,0.11738430
-5.78989495,2.83675237,0.04869521,0.09645726,0.51158413,0.54113192,0.11140950,1.62532733,0.31415929,0.12228992
-5.78389195,2.90678206,0.05099193,0.09852219,0.52446835,0.55457006,0.11384623,1.66575615,0.31823746,0.12666792
-5.77788894,2.96694495,0.05302700,0.10020380,0.53584047,0.56612146,0.11588615,1.70067165,0.32184459,0.13043668
