energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,6.38575003,0.83361259,3.99922065,0.01387588,0.03444905,0.07264648,1.49781367,0.57723115,0.31995656
-5.99399700,6.16771284,0.79708160,3.87921546,0.01379331,0.03440877,0.07007601,1.43447603,0.56107150,0.30908595
-5.98799400,5.96324618,0.76215182,3.76677065,0.01378405,0.03452107,0.06764855,1.37441777,0.54648970,0.29919118
-5.98199100,5.77391343,0.72901011,3.66281912,0.01383855,0.03478786,0.06538488,1.31803080,0.53349513,0.29035917
-5.97598799,5.60068187,0.69777278,3.56792306,0.01394600,0.03520684,0.06329960,1.26557422,0.52204767,0.28264488
-5.96998499,5.44395201,0.66848821,3.48229453,0.01409463,0.03577158,0.06140132,1.21717947,0.51206271,0.27607247
-5.96398199,5.30360708,0.64114227,3.40582855,0.01427200,0.03647179,0.05969312,1.17286012,0.50341771,0.27063739
-5.95797899,5.17907856,0.61566606,3.33814602,0.01446533,0.03729369,0.05817318,1.13252563,0.49595994,0.26630936
-5.95197599,5.06942269,0.59194528,3.27864318,0.01466181,0.03822051,0.05683549,1.09599780,0.48951486,0.26303583
-5.94597299,4.97340300,0.56983072,3.22654439,0.01484903,0.03923302,0.05567065,1.06302894,0.48389475,0.26074574
-5.93996998,4.88957378,0.54914922,3.18095506,0.01501521,0.04031014,0.05466677,1.03332046,0.47890709,0.25935347
-5.93396698,4.81635985,0.52971434,3.14091178,0.01514963,0.04142957,0.05381018,1.00654093,0.47436230,0.25876253
-5.92796398,4.75212903,0.51133647,3.10542733,0.01524280,0.04256840,0.05308618,0.98234266,0.47008041,0.25886901
-5.92196098,4.69525400,0.49383167,3.07352855,0.01528676,0.04370366,0.05247963,0.96037607,0.46589656,0.25956463
-5.91595798,4.64416190,0.47702899,3.04428622,0.01527525,0.04481289,0.05197542,0.94030136,0.46166498,0.26073920
-5.90995498,4.59737072,0.46077614,3.01683613,0.01520377,0.04587455,0.05155876,0.92179727,0.45726153,0.26228268
-5.90395198,4.55351264,0.44494328,2.99039184,0.01506969,0.04686849,0.05121542,0.90456682,0.45258478,0.26408655
-5.89794897,4.51134557,0.42942513,2.96424987,0.01487218,0.04777625,0.05093172,0.88834031,0.44755571,0.26604498
-5.89194597,4.46975480,0.41414138,2.93778861,0.01461217,0.04858135,0.05069452,0.87287590,0.44211639,0.26805544
