energy_ev,total_up,Bi_p_up,Bi_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,3.55965929,1.39457448,0.02488946,1.02056450,0.00000000,1.62652535,1.69718454
-5.99399700,3.44914098,1.34644122,0.02410382,0.99328529,0.00000000,1.57983022,1.64596236
-5.98799400,3.32161062,1.29186844,0.02320714,0.96094002,0.00000000,1.52499832,1.58657072
-5.98199100,3.17912716,1.23177175,0.02221264,0.92400916,0.00000000,1.46293221,1.51995614
-5.97598799,3.02397488,1.16714219,0.02113490,0.88305275,0.00000000,1.39464759,1.44717770
-5.96998499,2.85860167,1.09901968,0.01998949,0.83869493,0.00000000,1.32124539,1.36937841
-5.96398199,2.68555458,1.02846635,0.01879260,0.79160668,0.00000000,1.24388216,1.28775487
-5.95797899,2.50741515,0.95654080,0.01756062,0.74248749,0.00000000,1.16373995,1.20352665
-5.95197599,2.32673713,0.88427402,0.01630975,0.69204674,0.00000000,1.08199695,1.11790642
-5.94597299,2.14598874,0.81264811,0.01505566,0.64098567,0.00000000,0.99979986,1.03207201
-5.93996998,1.96750144,0.74257808,0.01381311,0.58998041,0.00000000,0.91823907,0.94714135
-5.93396698,1.79342667,0.67489742,0.01259573,0.53966691,0.00000000,0.83832727,0.86415104
-5.92796398,1.62570173,0.61034752,0.01141574,0.49062817,0.00000000,0.76098224,0.78403920
-5.92196098,1.46602504,0.54957097,0.01028377,0.44338402,0.00000000,0.68701392,0.70763268
-5.91595798,1.31584113,0.49310869,0.00920879,0.39838376,0.00000000,0.61711598,0.63563897
-5.90995498,1.17633462,0.44140022,0.00819798,0.35600172,0.00000000,0.55186178,0.56864242
-5.90395198,1.04843254,0.39478711,0.00725681,0.31653545,0.00000000,0.49170427,0.50710453
-5.89794897,0.93281371,0.35351840,0.00638905,0.28020656,0.00000000,0.43697942,0.45136767
-5.89194597,0.82992378,0.31775780,0.00559686,0.24716363,0.00000000,0.38791255,0.40166178
-5.88594297,0.73999445,0.28759179,0.00488093,0.21748704,0.00000000,0.34462689,0.35811301
-5.87993997,0.66306516,0.26303806,0.00424063,0.19119508,0.00000000,0.30715352,0.32075390
-5.87393697,0.59900599,0.24405359,0.00367420,0.16825101,0.00000000,0.27544227,0.28953407
-5.86793397,0.54754019,0.23054206,0.00317892,0.14857061,0.00000000,0.24937261,0.26433104
-5.86193097,0.50826540,0.22236004,0.00275129,0.13202979,0.00000000,0.22876421,0.24496037
-5.85592796,0.48067254,0.21932190,0.00238721,0.11847197,0.00000000,0.21338668,0.23118492
-5.84992496,0.46416212,0.22120323,0.00208216,0.10771500,0.00000000,0.20296813,0.22272283
-5.84392196,0.45805735,0.22774289,0.00183131,0.09955736,0.00000000,0.19720247,0.21925405
-5.83791896,0.46161454,0.23864392,0.00162970,0.09378360,0.00000000,0.19575534,0.22042560
