energy_ev,total_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,1.10911835,0.43669504,0.51145958,0.00090059,0.10108815,0.51261404,0.00664622
-5.99399700,1.10747476,0.43380824,0.51127306,0.00086220,0.09821808,0.51371207,0.00667818
-5.98799400,1.10679940,0.43123662,0.51162159,0.00082570,0.09569177,0.51511138,0.00671597
-5.98199100,1.10695891,0.42891482,0.51248065,0.00079176,0.09351638,0.51669687,0.00675919
-5.97598799,1.10782797,0.42677383,0.51383656,0.00076110,0.09169074,0.51835627,0.00680759
-5.96998499,1.10930203,0.42474661,0.51569197,0.00073445,0.09020629,0.51998660,0.00686111
-5.96398199,1.11130972,0.42277398,0.51807083,0.00071258,0.08904833,0.52150044,0.00692000
-5.95797899,1.11382398,0.42081003,0.52102264,0.00069626,0.08819741,0.52283170,0.00698484
-5.95197599,1.11687111,0.41882707,0.52462564,0.00068628,0.08763080,0.52394049,0.00705661
-5.94597299,1.12053717,0.41681947,0.52898831,0.00068344,0.08732394,0.52481682,0.00713672
-5.93996998,1.12497095,0.41480639,0.53424938,0.00068851,0.08725182,0.52548278,0.00722697
-5.93396698,1.13038320,0.41283294,0.54057564,0.00070225,0.08739021,0.52599319,0.00732960
-5.92796398,1.13704188,0.41096990,0.54815796,0.00072538,0.08771655,0.52643434,0.00744713
-5.92196098,1.14526343,0.40931166,0.55720519,0.00075859,0.08821074,0.52692107,0.00758236
-5.91595798,1.15540035,0.40797276,0.56793627,0.00080246,0.08885545,0.52759211,0.00773823
-5.90995498,1.16782549,0.40708292,0.58057078,0.00085754,0.08963626,0.52860398,0.00791768
-5.90395198,1.18291383,0.40678089,0.59531835,0.00092424,0.09054144,0.53012367,0.00812352
-5.89794897,1.20102259,0.40720754,0.61236730,0.00100285,0.09156145,0.53232038,0.00835828
-5.89194597,1.22247067,0.40849831,0.63187327,0.00109352,0.09268830,0.53535694,0.00862403
-5.88594297,1.24751848,0.41077566,0.65394817,0.00119625,0.09391467,0.53938109,0.00892228
-5.87993997,1.27634928,0.41414181,0.67865025,0.00131085,0.09523301,0.54451720,0.00925381
-5.87393697,1.30905314,0.41867220,0.70597584,0.00143693,0.09663462,0.55085895,0.00961859
-5.86793397,1.34561430,0.42441006,0.73585315,0.00157393,0.09810876,0.55846308,0.01001569
-5.86193097,1.38590293,0.43136242,0.76813872,0.00172104,0.09964194,0.56734489,0.01044325
-5.85592796,1.42967163,0.43949778,0.80261679,0.00187726,0.10121737,0.57747542,0.01089849
-5.84992496,1.47655724,0.44874558,0.83900158,0.00204141,0.10281466,0.58878072,0.01137774
-5.84392196,1.52608779,0.45899768,0.87694283,0.00221209,0.10440978,0.60114311,0.01187652
-5.83791896,1.57769446,0.47011158,0.91603407,0.00238775,0.10597533,0.61440440,0.01238965
-5.83191596,1.63072819,0.48191545,0.95582364,0.00256666,0.10748103,0.62837104,0.01291143
-5.82591296,1.68447992,0.49421458,0.99582774,0.00274702,0.10889451,0.64282080,0.01343581
-5.81990995,1.73820377,0.50679910,1.03554517,0.00292693,0.11018232,0.65751073,0.01395654
-5.81390695,1.79114200,0.51945237,1.07447288,0.00310444,0.11131106,0.67218606,0.01446744
-5.80790395,1.84255050,0.53195985,1.11212183,0.00327763,0.11224863,0.68658951,0.01496255
-5.80190095,1.89172367,0.54411778,1.14803217,0.00344462,0.11296553,0.70047066,0.01543632
-5.79589795,1.93801744,0.55574138,1.18178736,0.00360361,0.11343608,0.71359490,0.01588382
-5.78989495,1.98086952,0.56667212,1.21302622,0.00375297,0.11363957,0.72575152,0.01630083
-5.78389195,2.01981571,0.57678357,1.24145275,0.00389123,0.11356118,0.73676063,0.01668399
-5.77788894,2.05450190,0.58598571,1.26684293,0.00401712,0.11319271,0.74647858,0.01703082
-5.77188594,2.08469100,0.59422742,1.28904867,0.00412963,0.11253303,0.75480168,0.01733981
-5.76588294,2.11026486,0.60149696,1.30799840,0.00422802,0.11158826,0.76166813,0.01761034
-5.75987994,2.13122116,0.60782062,1.32369473,0.00431183,0.11037159,0.76705804,0.01784269
-5.75387694,2.14766568,0.61325948,1.33620925,0.00438088,0.10890284,0.77099177,0.01803791
-5.74787394,2.15980047,0.61790458,1.34567482,0.00443529,0.10720780,0.77352656,0.01819773
