energy_ev,total_up,As_p_up,As_d_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,2.51552876,0.44641037,0.00000000,1.32331427,0.68789692,0.03030197,0.78688214
-5.99399700,2.40480849,0.42355668,0.00000000,1.24809231,0.66323355,0.02836935,0.75205284
-5.98799400,2.29835965,0.40181585,0.00000000,1.17625640,0.63946469,0.02652100,0.71840953
-5.98199100,2.19701062,0.38139460,0.00000000,1.10847691,0.61673760,0.02477069,0.68619368
-5.97598799,2.10133189,0.36244874,0.00000000,1.04526908,0.59513533,0.02312776,0.65556730
-5.96998499,2.01164904,0.34508528,0.00000000,0.98699695,0.57468146,0.02159734,0.62661679
-5.96398199,1.92806487,0.32936601,0.00000000,0.93388213,0.55534717,0.02018076,0.59935987
-5.95797899,1.85048880,0.31531224,0.00000000,0.88601664,0.53706030,0.01887608,0.57375485
-5.95197599,1.77867153,0.30291047,0.00000000,0.84337870,0.51971567,0.01767866,0.54971171
-5.94597299,1.71224280,0.29211845,0.00000000,0.80585044,0.50318618,0.01658178,0.52710431
-5.93996998,1.65075018,0.28287137,0.00000000,0.77323631,0.48733401,0.01557730,0.50578289
-5.93396698,1.59369675,0.27508788,0.00000000,0.74528147,0.47202139,0.01465626,0.48558647
-5.92796398,1.54057616,0.26867566,0.00000000,0.72168919,0.45712051,0.01380945,0.46635432
-5.92196098,1.49090346,0.26353631,0.00000000,0.70213655,0.44252198,0.01302790,0.44793610
-5.91595798,1.44424074,0.25956961,0.00000000,0.68628818,0.42814176,0.01230330,0.43020035
-5.90995498,1.40021694,0.25667676,0.00000000,0.67380762,0.41392620,0.01162827,0.41304101
-5.90395198,1.35854156,0.25476304,0.00000000,0.66436622,0.39985512,0.01099663,0.39638187
-5.89794897,1.31901233,0.25373952,0.00000000,0.65764986,0.38594309,0.01040346,0.38017895
-5.89194597,1.28151739,0.25352424,0.00000000,0.65336345,0.37223888,0.00984517,0.36442095
-5.88594297,1.24603253,0.25404282,0.00000000,0.65123376,0.35882333,0.00931939,0.34912794
-5.87993997,1.21261442,0.25522862,0.00000000,0.65101086,0.34580593,0.00882492,0.33434859
-5.87393697,1.18139064,0.25702275,0.00000000,0.65246857,0.33332030,0.00836153,0.32015617
-5.86793397,1.15254762,0.25937379,0.00000000,0.65540429,0.32151897,0.00792977,0.30664381
-5.86193097,1.12631714,0.26223758,0.00000000,0.65963854,0.31056762,0.00753076,0.29391914
-5.85592796,1.10296240,0.26557687,0.00000000,0.66501439,0.30063916,0.00716598,0.28209872
-5.84992496,1.08276403,0.26936116,0.00000000,0.67139698,0.29190768,0.00683708,0.27130252
-5.84392196,1.06600670,0.27356633,0.00000000,0.67867306,0.28454269,0.00654569,0.26164865
