energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.80200864,0.84400015,0.26652007,0.04907727,0.05698536,0.05064940,1.26277297,0.31173923,1.31772297
-5.99399700,3.67820939,0.81666682,0.26862773,0.04854587,0.05693525,0.04737622,1.22617948,0.30442859,1.25914906
-5.98799400,3.57083989,0.79236565,0.27232239,0.04820490,0.05704091,0.04457284,1.19545021,0.29807704,1.20598968
-5.98199100,3.48133485,0.77130115,0.27768352,0.04810289,0.05734890,0.04225866,1.17097300,0.29289224,1.15873484
-5.97598799,3.41083432,0.75360200,0.28476768,0.04828271,0.05790874,0.04044959,1.15302798,0.28907009,1.11776591
-5.96998499,3.36017076,0.73931993,0.29360718,0.04877988,0.05877256,0.03915896,1.14178547,0.28679093,1.08335159
-5.96398199,3.32986247,0.72843036,0.30420904,0.04962097,0.05999454,0.03839835,1.13730595,0.28621603,1.05564640
-5.95797899,3.32011284,0.72083472,0.31655435,0.05082238,0.06163030,0.03817842,1.13954203,0.28748457,1.03469159
-5.95197599,3.33081525,0.71636437,0.33059796,0.05238928,0.06373604,0.03850956,1.14834239,0.29071094,1.02041829
-5.94597299,3.36156315,0.71478590,0.34626857,0.05431496,0.06636761,0.03940252,1.16345759,0.29598270,1.01265248
-5.93996998,3.41166469,0.71580783,0.36346933,0.05658053,0.06957932,0.04086875,1.18454744,0.30335895,1.01112172
-5.93396698,3.48016135,0.71908827,0.38207876,0.05915500,0.07342262,0.04292060,1.21119002,0.31286930,1.01546313
-5.92796398,3.56585007,0.72424363,0.40195225,0.06199583,0.07794452,0.04557130,1.24289184,0.32451320,1.02523252
-5.92196098,3.66730815,0.73085801,0.42292392,0.06504979,0.08318591,0.04883471,1.27909920,0.33825984,1.03991435
-5.91595798,3.78292037,0.73849313,0.44480900,0.06825431,0.08917968,0.05272481,1.31921025,0.35404834,1.05893224
-5.90995498,3.91090781,0.74669869,0.46740651,0.07153911,0.09594880,0.05725499,1.36258756,0.37178839,1.08166008
-5.90395198,4.04935784,0.75502283,0.49050235,0.07482821,0.10350431,0.06243714,1.40857093,0.39136104,1.10743324
-5.89794897,4.19625471,0.76302256,0.51387270,0.07804214,0.11184345,0.06828047,1.45649007,0.41261989,1.13556010
-5.89194597,4.34951043,0.77027394,0.53728753,0.08110032,0.12094786,0.07479031,1.50567684,0.43539238,1.16533354
-5.88594297,4.50699533,0.77638179,0.56051432,0.08392358,0.13078206,0.08196672,1.55547675,0.45948136,1.19604239
-5.87993997,4.66656807,0.78098861,0.58332176,0.08643663,0.14129225,0.08980306,1.60525945,0.48466678,1.22698276
-5.87393697,4.82610463,0.78378260,0.60548336,0.08857050,0.15240560,0.09828459,1.65442784,0.51070768,1.25746899
-5.86793397,4.98352607,0.78450450,0.62678090,0.09026473,0.16403002,0.10738717,1.70242580,0.53734436,1.28684435
-5.86193097,5.13682465,0.78295301,0.64700769,0.09146936,0.17605463,0.11707608,1.74874413,0.56430085,1.31449103
-5.85592796,5.28408822,0.77898865,0.66597142,0.09214650,0.18835082,0.12730507,1.79292485,0.59128774,1.33983962
-5.84992496,5.42352266,0.77253590,0.68349671,0.09227164,0.20077407,0.13801573,1.83456373,0.61800541,1.36237758
-5.84392196,5.55347231,0.76358363,0.69942723,0.09183436,0.21316649,0.14913712,1.87331118,0.64414771,1.38165685
-5.83791896,5.67243831,0.75218365,0.71362739,0.09083868,0.22535998,0.16058588,1.90887167,0.66940616,1.39730027
-5.83191596,5.77909497,0.73844759,0.72598368,0.08930294,0.23718012,0.17226669,1.94100195,0.69347469,1.40900678
-5.82591296,5.87230419,0.72254225,0.73640551,0.08725920,0.24845049,0.18407317,1.96950834,0.71605496,1.41655525
-5.81990995,5.95112804,0.70468346,0.74482580,0.08475225,0.25899746,0.19588926,1.99424342,0.73686218,1.41980696
-5.81390695,6.01483970,0.68512898,0.75120119,0.08183826,0.26865521,0.20759090,2.01510261,0.75563144,1.41870660
-5.80790395,6.06293275,0.66417055,0.75551204,0.07858319,0.27727091,0.21904818,2.03202081,0.77212438,1.41328188
-5.80190095,6.09512894,0.64212555,0.75776211,0.07506092,0.28470972,0.23012772,2.04496955,0.78613621,1.40364179
-5.79589795,6.11138445,0.61932862,0.75797818,0.07135130,0.29085963,0.24069528,2.05395492,0.79750264,1.38997354
-5.78989495,6.11189439,0.59612355,0.75620943,0.06753811,0.29563579,0.25061858,2.05901635,0.80610676,1.37253825
-5.78389195,6.09709548,0.57285580,0.75252673,0.06370710,0.29898425,0.25977009,2.06022642,0.81188548,1.35166561
-5.77788894,6.06766647,0.54986578,0.74702182,0.05994406,0.30088489,0.26802983,2.05769167,0.81483525,1.32774752
-5.77188594,6.02452589,0.52748332,0.73980637,0.05633301,0.30135351,0.27528804,2.05155415,0.81501681,1.30123078
-5.76588294,5.96882655,0.50602304,0.73101088,0.05295463,0.30044281,0.28144759,2.04199367,0.81255858,1.27260906
-5.75987994,5.90194627,0.48578104,0.72078348,0.04988483,0.29824239,0.28642615,2.02923025,0.80765856,1.24241408
-5.75387694,5.82547411,0.46703249,0.70928850,0.04719350,0.29487754,0.29015795,2.01352645,0.80058433,1.21120621
-5.74787394,5.74119166,0.45003019,0.69670484,0.04494353,0.29050690,0.29259513,1.99518913,0.79167097,1.17956442
-5.74187094,5.65104872,0.43500374,0.68322416,0.04318993,0.28531909,0.29370872,1.97457021,0.78131681,1.14807576
-5.73586793,5.55713319,0.42215918,0.66904865,0.04197913,0.27952826,0.29348905,1.95206593,0.76997682,1.11732433
-5.72986493,5.46163481,0.41167872,0.65438870,0.04134842,0.27336867,0.29194576,1.92811433,0.75815374,1.08787992
-5.72386193,5.36680317,0.40372037,0.63946011,0.04132551,0.26708852,0.28910736,1.90319066,0.74638695,1.06028633
-5.71785893,5.27490006,0.39841728,0.62448113,0.04192813,0.26094316,0.28502035,1.87780041,0.73523928,1.03504961
-5.71185593,5.18814727,0.39587642,0.60966916,0.04316374,0.25518773,0.27974793,1.85247013,0.72528210,1.01262632
-5.70585293,5.10867067,0.39617676,0.59523729,0.04502932,0.25006968,0.27336847,1.82773599,0.71707901,0.99341219
-5.69984992,5.03844230,0.39936672,0.58139070,0.04751123,0.24582114,0.26597357,1.80413046,0.71116859,0.97773129
-5.69384692,4.97922214,0.40546104,0.56832291,0.05058515,0.24265151,0.25766600,1.78216743,0.70804673,0.96582623
-5.68784392,4.93250170,0.41443728,0.55621228,0.05421619,0.24074053,0.24855743,1.76232644,0.70814931,0.95784966
-5.68184092,4.89945173,0.42623205,0.54521846,0.05835913,0.24023191,0.23876613,1.74503662,0.71183555,0.95385749
-5.67583792,4.88087649,0.44073742,0.53547941,0.06295889,0.24122791,0.22841457,1.73066119,0.71937304,0.95380432
-5.66983492,4.87717686,0.45779774,0.52710868,0.06795121,0.24378500,0.21762714,1.71948318,0.73092480,0.95754129
-5.66383192,4.88832466,0.47720738,0.52019347,0.07326361,0.24791078,0.20652789,1.71169343,0.74653923,0.96481684
-5.65782891,4.91385014,0.49870961,0.51479338,0.07881661,0.25356236,0.19523851,1.70738136,0.76614324,0.97528052
-5.65182591,4.95284402,0.52199700,0.51094005,0.08452531,0.26064630,0.18387643,1.70652943,0.78953924,0.98849001
-5.64582291,5.00397530,0.54671375,0.50863774,0.09030116,0.26902013,0.17255327,1.70901160,0.81640617,1.00392141
-5.63981991,5.06552490,0.57245984,0.50786492,0.09605405,0.27849555,0.16137343,1.71459635,0.84630474,1.02098256
-5.63381691,5.13543503,0.59879742,0.50857689,0.10169460,0.28884326,0.15043310,1.72295414,0.87868700,1.03902919
-5.62781391,5.21137279,0.62525910,0.51070928,0.10713651,0.29979914,0.13981949,1.73366942,0.91290990,1.05738339
-5.62181091,5.29080625,0.65135821,0.51418240,0.11229907,0.31107193,0.12961040,1.74625668,0.94825266,1.07535380
-5.61580790,5.37109025,0.67660058,0.51890621,0.11710954,0.32235186,0.11987403,1.76017996,0.98393730,1.09225691
-5.60980490,5.44955865,0.70049756,0.52478574,0.12150543,0.33332014,0.11066911,1.77487504,1.01915166,1.10743845
-5.60380190,5.52361920,0.72257971,0.53172659,0.12543646,0.34365891,0.10204518,1.78977322,1.05307417,1.12029430
-5.59779890,5.59084702,0.74241063,0.53964033,0.12886624,0.35306134,0.09404304,1.80432568,1.08489932,1.13028980
-5.59179590,5.64907254,0.75960038,0.54844939,0.13177344,0.36124141,0.08669540,1.81802705,1.11386288,1.13697675
-5.58579290,5.69645977,0.77381785,0.55809117,0.13415246,0.36794314,0.08002749,1.83043711,1.13926599,1.14000740
-5.57978989,5.73157151,0.78480145,0.56852103,0.13601349,0.37294874,0.07405772,1.84119946,1.16049691,1.13914476
-5.57378689,5.75341806,0.79236775,0.57971398,0.13738203,0.37608554,0.06879834,1.85005605,1.17704975,1.13426880
-5.56778389,5.76148748,0.79641755,0.59166484,0.13829772,0.37723133,0.06425592,1.85685691,1.18853940,1.12537834
-5.56178089,5.75575574,0.79693912,0.60438673,0.13881267,0.37631788,0.06043181,1.86156443,1.19471191,1.11258854
-5.55577789,5.73667644,0.79400846,0.61790791,0.13898926,0.37333272,0.05732236,1.86425190,1.19545018,1.09612415
-5.54977489,5.70515069,0.78778649,0.63226707,0.13889747,0.36831886,0.05491907,1.86509644,1.19077463,1.07630907
-5.54377189,5.66247865,0.77851343,0.64750716,0.13861199,0.36137276,0.05320853,1.86436653,1.18083898,1.05355245
-5.53776888,5.61029540,0.76650041,0.66366811,0.13820901,0.35264056,0.05217223,1.86240491,1.16592145,1.02833232
-5.53176588,5.55049417,0.75211896,0.68077877,0.13776312,0.34231274,0.05178633,1.85960759,1.14641187,1.00117741
-5.52576288,5.48514092,0.73578856,0.69884852,0.13734415,0.33061759,0.05202126,1.85640020,1.12279536,0.97264799
-5.51975988,5.41638443,0.71796299,0.71785898,0.13701431,0.31781369,0.05284144,1.85321286,1.09563343,0.94331669
-5.51375688,5.34636607,0.69911596,0.73775644,0.13682573,0.30418182,0.05420495,1.85045490,1.06554336,0.91374999
-5.50775388,5.27713372,0.67972660,0.75844536,0.13681838,0.29001649,0.05606334,1.84849074,1.03317681,0.88449121
-5.50175088,5.21056330,0.66026538,0.77978354,0.13701859,0.27561765,0.05836160,1.84761819,0.99919863,0.85604556
-5.49574787,5.14829159,0.64118087,0.80157929,0.13743822,0.26128261,0.06103838,1.84805031,0.96426657,0.82886774
-5.48974487,5.09166263,0.62288790,0.82359095,0.13807445,0.24729858,0.06402634,1.84990161,0.92901284,0.80335240
-5.48374187,5.04168953,0.60575731,0.84552892,0.13891020,0.23393604,0.06725294,1.85317937,0.89402800,0.77982750
-5.47773887,4.99903269,0.59010763,0.86706034,0.13991526,0.22144295,0.07064133,1.85778039,0.85984754,0.75855069
