energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.64043969,0.00852290,0.85944660,0.07155138,0.11706560,0.76330959,0.61581860
-5.99399700,1.67673813,0.00835236,0.87861271,0.07212218,0.12033008,0.79630011,0.62268948
-5.98799400,1.71581518,0.00819595,0.89967568,0.07273025,0.12363842,0.83285373,0.63009405
-5.98199100,1.75806861,0.00806011,0.92286203,0.07340157,0.12700392,0.87305559,0.63825350
-5.97598799,1.80375543,0.00795042,0.94831018,0.07415835,0.13043499,0.91685835,0.64735304
-5.96998499,1.85296887,0.00787153,0.97605799,0.07501789,0.13393385,0.96407149,0.65753290
-5.96398199,1.90562131,0.00782698,1.00603379,0.07599168,0.13749535,1.01435591,0.66888085
-5.95797899,1.96143386,0.00781921,1.03805169,0.07708469,0.14110620,1.06722440,0.68142659
-5.95197599,2.01993386,0.00784947,1.07181146,0.07829489,0.14474437,1.12204831,0.69513843
-5.94597299,2.08046038,0.00791794,1.10690321,0.07961308,0.14837907,1.17807050,0.70992238
-5.93996998,2.14217812,0.00802371,1.14281692,0.08102295,0.15197097,1.23442443,0.72562373
-5.93396698,2.20409933,0.00816495,1.17895650,0.08250153,0.15547299,1.29015858,0.74203121
-5.92796398,2.26511308,0.00833901,1.21465799,0.08401984,0.15883146,1.34426570,0.75888345
-5.92196098,2.32402069,0.00854258,1.24921110,0.08554383,0.16198771,1.39571537,0.77587766
-5.91595798,2.37957607,0.00877187,1.28188331,0.08703554,0.16487990,1.44348880,0.79268004
-5.90995498,2.43052900,0.00902277,1.31194537,0.08845443,0.16744523,1.48661417,0.80893753
-5.90395198,2.47566971,0.00929103,1.33869723,0.08975886,0.16962218,1.52420104,0.82429036
-5.89794897,2.51387248,0.00957240,1.36149306,0.09090760,0.17135287,1.55547207,0.83838491
-5.89194597,2.54413643,0.00986278,1.37976440,0.09186130,0.17258528,1.57979077,0.85088620
-5.88594297,2.56562154,0.01015834,1.39304022,0.09258395,0.17327533,1.59668381,0.86148955
-5.87993997,2.57767838,0.01045558,1.40096312,0.09304419,0.17338866,1.60585688,0.86993089
-5.87393697,2.57987014,0.01075141,1.40330094,0.09321638,0.17290202,1.60720349,0.87599522
-5.86793397,2.57198606,0.01104315,1.39995330,0.09308153,0.17180417,1.60080620,0.87952304
-5.86193097,2.55404593,0.01132857,1.39095291,0.09262787,0.17009641,1.58693049,0.88041433
-5.85592796,2.52629555,0.01160581,1.37646167,0.09185117,0.16779246,1.56601153,0.87863020
-5.84992496,2.48919360,0.01187335,1.35676203,0.09075484,0.16491802,1.53863477,0.87419204
-5.84392196,2.44339094,0.01212997,1.33224389,0.08934961,0.16150968,1.50551131,0.86717848
-5.83791896,2.38970338,0.01237465,1.30338813,0.08765307,0.15761363,1.46744934,0.85772028
-5.83191596,2.32907955,0.01260648,1.27074739,0.08568891,0.15328397,1.42532326,0.84599352
-5.82591296,2.26256534,0.01282463,1.23492515,0.08348599,0.14858077,1.38004164,0.83221149
-5.81990995,2.19126690,0.01302824,1.19655422,0.08107725,0.14356811,1.33251589,0.81661573
-5.81390695,2.11631358,0.01321640,1.15627539,0.07849855,0.13831199,1.28363065,0.79946660
-5.80790395,2.03882260,0.01338808,1.11471732,0.07578743,0.13287842,1.23421729,0.78103379
-5.80190095,1.95986666,0.01354212,1.07247832,0.07298192,0.12733152,1.18503133,0.76158724
-5.79589795,1.88044579,0.01367722,1.03011069,0.07011933,0.12173199,1.13673452,0.74138885
-5.78989495,1.80146409,0.01379195,0.98810805,0.06723525,0.11613575,1.08988202,0.72068504
-5.78389195,1.72371202,0.01388477,0.94689590,0.06436257,0.11059287,1.04491463,0.69970071
-5.77788894,1.64785441,0.01395409,0.90682558,0.06153070,0.10514690,1.00215622,0.67863453
-5.77188594,1.57442429,0.01399826,0.86817155,0.05876498,0.09983444,0.96181564,0.65765564
-5.76588294,1.50382211,0.01401568,0.83113173,0.05608628,0.09468505,0.92399304,0.63690202
-5.75987994,1.43632003,0.01400485,0.79583079,0.05351075,0.08972138,0.88868947,0.61648019
-5.75387694,1.37207053,0.01396441,0.76232583,0.05104985,0.08495963,0.85581949,0.59646642
-5.74787394,1.31111885,0.01389321,0.73061410,0.04871042,0.08041011,0.82522568,0.57690914
-5.74187094,1.25341821,0.01379042,0.70064234,0.04649507,0.07607799,0.79669456,0.55783257
-5.73586793,1.19884719,0.01365551,0.67231719,0.04440259,0.07196420,0.76997302,0.53924122
-5.72986493,1.14722850,0.01348839,0.64551633,0.04242854,0.06806631,0.74478475,0.52112515
-5.72386193,1.09834819,0.01328944,0.62009975,0.04056589,0.06437951,0.72084613,0.50346578
-5.71785893,1.05197478,0.01305954,0.59592088,0.03880574,0.06089752,0.69788088,0.48624188
-5.71185593,1.00787748,0.01280016,0.57283715,0.03713804,0.05761349,0.67563342,0.46943568
-5.70585293,0.96584307,0.01251335,0.55071966,0.03555234,0.05452083,0.65388027,0.45303866
-5.69984992,0.92569073,0.01220183,0.52946163,0.03403845,0.05161390,0.63243952,0.43705691
-5.69384692,0.88728452,0.01186894,0.50898540,0.03258708,0.04888860,0.61117807,0.42151575
-5.68784392,0.85054302,0.01151868,0.48924780,0.03119036,0.04634286,0.59001654,0.40646334
-5.68184092,0.81544589,0.01115571,0.47024371,0.02984229,0.04397692,0.56893185,0.39197319
-5.67583792,0.78203719,0.01078525,0.45200765,0.02853899,0.04179349,0.54795743,0.37814531
-5.66983492,0.75042527,0.01041308,0.43461346,0.02727893,0.03979773,0.52718113,0.36510590
-5.66383192,0.72077930,0.01004540,0.41817198,0.02606290,0.03799709,0.50674095,0.35300553
-5.65782891,0.69332251,0.00968877,0.40282685,0.02489397,0.03640099,0.48681875,0.34201573
-5.65182591,0.66832246,0.00934990,0.38874856,0.02377721,0.03502029,0.46763220,0.33232419
-5.64582291,0.64607850,0.00903557,0.37612692,0.02271937,0.03386674,0.44942516,0.32412842
-5.63981991,0.62690705,0.00875238,0.36516224,0.02172845,0.03295224,0.43245695,0.31762838
-5.63381691,0.61112519,0.00850661,0.35605557,0.02081321,0.03228802,0.41699071,0.31301804
-5.62781391,0.59903309,0.00830396,0.34899826,0.01998260,0.03188379,0.40328141,0.31047636
