energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.93023392,0.81375740,1.81883244,0.02331071,0.03003116,0.02772486,0.38278541,0.23318889,0.28694395
-5.99399700,2.81422397,0.79645526,1.74847297,0.02176376,0.02835357,0.02719504,0.36726852,0.21975335,0.26904482
-5.98799400,2.70432846,0.78047548,1.68164637,0.02033102,0.02680587,0.02673394,0.35232449,0.20720934,0.25230533
-5.98199100,2.60118413,0.76600343,1.61876810,0.01902978,0.02538880,0.02634623,0.33800371,0.19558595,0.23680757
-5.97598799,2.50542105,0.75324206,1.56025490,0.01787633,0.02410164,0.02603793,0.32435062,0.18490042,0.22262277
-5.96998499,2.41768064,0.74241553,1.50653303,0.01688610,0.02294267,0.02581662,0.31140792,0.17516136,0.20981401
-5.96398199,2.33862697,0.73377030,1.45804218,0.01607373,0.02190952,0.02569155,0.29922012,0.16637182,0.19843857
-5.95797899,2.26894984,0.72757321,1.41523432,0.01545316,0.02099948,0.02567364,0.28783613,0.15853181,0.18854953
-5.95197599,2.20935906,0.72410638,1.37856729,0.01503765,0.02020977,0.02577523,0.27731080,0.15164031,0.18019677
-5.94597299,2.16056963,0.72365888,1.34849320,0.01483968,0.01953767,0.02600985,0.26770522,0.14569663,0.17342706
-5.93996998,2.12327869,0.72651557,1.32544207,0.01487089,0.01898058,0.02639169,0.25908586,0.14070103,0.16828331
-5.93396698,2.09813511,0.73294337,1.30980173,0.01514179,0.01853600,0.02693501,0.25152246,0.13665464,0.16480308
-5.92796398,2.08570382,0.74317575,1.30189502,0.01566157,0.01820142,0.02765353,0.24508511,0.13355881,0.16301634
-5.92196098,2.08642669,0.75739627,1.30195579,0.01643771,0.01797413,0.02855957,0.23984035,0.13141385,0.16294269
-5.91595798,2.10058277,0.77572196,1.31010526,0.01747559,0.01785102,0.02966331,0.23584695,0.13021739,0.16458826
-5.90995498,2.12825029,0.79818766,1.32633035,0.01877807,0.01782835,0.03097201,0.23315144,0.12996247,0.16794235
-5.90395198,2.16927321,0.82473227,1.35046560,0.02034503,0.01790149,0.03248925,0.23178372,0.13063552,0.17297422
-5.89794897,2.22323454,0.85518779,1.38218004,0.02217291,0.01806475,0.03421428,0.23175323,0.13221442,0.17963014
-5.89194597,2.28943885,0.88927208,1.42097032,0.02425427,0.01831117,0.03614149,0.23304571,0.13466676,0.18783092
-5.88594297,2.36690538,0.92658582,1.46616087,0.02657741,0.01863247,0.03826003,0.23562106,0.13794841,0.19747017
-5.87993997,2.45437304,0.96661430,1.51691164,0.02912607,0.01901901,0.04055366,0.23941227,0.14200261,0.20841347
