energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,3.36550343,-3.36550341,0.08104056,-0.08104056,0.67085002,-0.67085003,0.11189554,-0.11189554,0.15179984,-0.15179984,0.75740594,-0.75740591,0.88238026,-0.88238025,0.02044082,-0.02044082,0.78551201,-0.78551200
-5.99399700,3.23557851,-3.23557849,0.07942667,-0.07942667,0.64157442,-0.64157443,0.10981449,-0.10981449,0.14450824,-0.14450824,0.72583602,-0.72583600,0.85506857,-0.85506856,0.01916130,-0.01916130,0.75880705,-0.75880704
-5.98799400,3.10769779,-3.10769777,0.07793624,-0.07793624,0.61350559,-0.61350560,0.10814987,-0.10814987,0.13693826,-0.13693826,0.69450821,-0.69450819,0.82935322,-0.82935321,0.01792406,-0.01792406,0.73140595,-0.73140595
-5.98199100,2.98316506,-2.98316504,0.07659292,-0.07659292,0.58681275,-0.58681276,0.10690039,-0.10690038,0.12919545,-0.12919545,0.66365683,-0.66365681,0.80550040,-0.80550039,0.01673797,-0.01673797,0.70373580,-0.70373579
-5.97598799,2.86332105,-2.86332103,0.07541716,-0.07541716,0.56167287,-0.56167287,0.10606659,-0.10606659,0.12138793,-0.12138793,0.63354732,-0.63354730,0.78375891,-0.78375890,0.01561209,-0.01561209,0.67623656,-0.67623655
-5.96998499,2.74949948,-2.74949945,0.07442584,-0.07442584,0.53826209,-0.53826210,0.10565027,-0.10565027,0.11362357,-0.11362357,0.60446408,-0.60446406,0.76435228,-0.76435227,0.01455533,-0.01455533,0.64935000,-0.64934999
-5.96398199,2.64298850,-2.64298847,0.07363200,-0.07363200,0.51674830,-0.51674830,0.10565389,-0.10565389,0.10600737,-0.10600737,0.57669901,-0.57669900,0.74747311,-0.74747310,0.01357624,-0.01357624,0.62350965,-0.62350965
-5.95797899,2.54499891,-2.54499888,0.07304501,-0.07304501,0.49728496,-0.49728496,0.10608025,-0.10608025,0.09863921,-0.09863921,0.55054097,-0.55054096,0.73327974,-0.73327973,0.01268280,-0.01268280,0.59913231,-0.59913230
-5.95197599,2.45663986,-2.45663984,0.07267076,-0.07267076,0.48000661,-0.48000662,0.10693219,-0.10693218,0.09161193,-0.09161193,0.52626662,-0.52626661,0.72189520,-0.72189519,0.01188229,-0.01188229,0.57661102,-0.57661101
-5.94597299,2.37890204,-2.37890201,0.07251224,-0.07251224,0.46502587,-0.46502587,0.10821244,-0.10821244,0.08500995,-0.08500995,0.50413290,-0.50413289,0.71340804,-0.71340803,0.01118124,-0.01118124,0.55630980,-0.55630979
-5.93996998,2.31264773,-2.31264770,0.07257005,-0.07257005,0.45243176,-0.45243176,0.10992353,-0.10992353,0.07890817,-0.07890817,0.48437113,-0.48437112,0.70787491,-0.70787490,0.01058540,-0.01058540,0.53855994,-0.53855993
-5.93396698,2.25860668,-2.25860665,0.07284316,-0.07284316,0.44228940,-0.44228940,0.11206768,-0.11206768,0.07337145,-0.07337145,0.46718274,-0.46718273,0.70532395,-0.70532394,0.01009981,-0.01009981,0.52365772,-0.52365771
-5.92796398,2.21737641,-2.21737638,0.07332951,-0.07332951,0.43464033,-0.43464033,0.11464657,-0.11464656,0.06845437,-0.06845437,0.45273637,-0.45273636,0.70575872,-0.70575871,0.00972889,-0.00972889,0.51186326,-0.51186325
-5.92196098,2.18942518,-2.18942515,0.07402660,-0.07402660,0.42950348,-0.42950348,0.11766109,-0.11766109,0.06420141,-0.06420141,0.44116618,-0.44116617,0.70916186,-0.70916186,0.00947651,-0.00947651,0.50340025,-0.50340024
-5.91595798,2.17509621,-2.17509618,0.07493196,-0.07493196,0.42687625,-0.42687625,0.12111089,-0.12111089,0.06064741,-0.06064741,0.43257107,-0.43257106,0.71549799,-0.71549798,0.00934616,-0.00934616,0.49845626,-0.49845625
-5.90995498,2.17461162,-2.17461159,0.07604336,-0.07604335,0.42673533,-0.42673533,0.12499370,-0.12499370,0.05781818,-0.05781818,0.42701445,-0.42701444,0.72471540,-0.72471539,0.00934102,-0.00934102,0.49718332,-0.49718331
-5.90395198,2.18807491,-2.18807488,0.07735886,-0.07735886,0.42903722,-0.42903722,0.12930457,-0.12930457,0.05573138,-0.05573138,0.42452444,-0.42452443,0.73674623,-0.73674623,0.00946414,-0.00946414,0.49969854,-0.49969852
-5.89794897,2.21547141,-2.21547137,0.07887659,-0.07887659,0.43371808,-0.43371807,0.13403488,-0.13403488,0.05439745,-0.05439745,0.42509418,-0.42509418,0.75150505,-0.75150504,0.00971848,-0.00971848,0.50608461,-0.50608460
-5.89194597,2.25666633,-2.25666630,0.08059430,-0.08059430,0.44069293,-0.44069293,0.13917130,-0.13917130,0.05382057,-0.05382057,0.42868223,-0.42868222,0.76888580,-0.76888579,0.01010701,-0.01010701,0.51639025,-0.51639024
-5.88594297,2.31140082,-2.31140078,0.08250873,-0.08250873,0.44985438,-0.44985438,0.14469476,-0.14469476,0.05399970,-0.05399970,0.43521287,-0.43521287,0.78875758,-0.78875757,0.01063275,-0.01063275,0.53063040,-0.53063039
