energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.90653565,-1.38441223,2.10518512,-0.87978510,1.68084820,-0.24294888,0.00347323,-0.00253556,1.31862460,-0.06510405,0.01815848,-0.01889203,0.54074911,-0.80654234
-5.99399700,4.02149323,-1.34658700,2.16489975,-0.84887316,1.73759298,-0.23801638,0.00372066,-0.00253697,1.36688684,-0.06326366,0.01821500,-0.01926877,0.54328071,-0.78477633
-5.98799400,4.12748016,-1.30959211,2.21760774,-0.81770068,1.79158581,-0.23329886,0.00397113,-0.00257375,1.41093895,-0.06150327,0.01821372,-0.01988738,0.54573427,-0.76338836
-5.98199100,4.22240429,-1.27457239,2.26226642,-0.78720520,1.84184592,-0.22898024,0.00422171,-0.00264584,1.45000631,-0.05988819,0.01814748,-0.02074386,0.54793038,-0.74304955
-5.97598799,4.30436302,-1.24266090,2.29796764,-0.75833115,1.88745521,-0.22524304,0.00446930,-0.00275254,1.48339121,-0.05848466,0.01801059,-0.02183083,0.54970396,-0.72442507
-5.96998499,4.37168767,-1.21494924,2.32396105,-0.73200817,1.92757793,-0.22226337,0.00471077,-0.00289255,1.51049133,-0.05735844,0.01779899,-0.02313738,0.55090587,-0.70815662
-5.96398199,4.42298179,-1.19245856,2.33967352,-0.70912996,1.96147829,-0.22020596,0.00494289,-0.00306394,1.53081572,-0.05657316,0.01751045,-0.02464889,0.55140423,-0.69484540
-5.95797899,4.45715224,-1.17611197,2.34472376,-0.69053388,1.98853550,-0.21921939,0.00516244,-0.00326418,1.54399758,-0.05618882,0.01714466,-0.02634704,0.55108556,-0.68503581
-5.95197599,4.47343170,-1.16670918,2.33893163,-0.67698171,2.00825574,-0.21943162,0.00536620,-0.00349020,1.54980350,-0.05626024,0.01670324,-0.02820973,0.54985542,-0.67920052
-5.94597299,4.47139196,-1.16490414,2.32232148,-0.66914198,2.02028076,-0.22094611,0.00555106,-0.00373837,1.54813869,-0.05683555,0.01618970,-0.03021119,0.54763870,-0.67772721
-5.93996998,4.45094743,-1.17118603,2.29511942,-0.66757384,2.02439284,-0.22383839,0.00571404,-0.00400464,1.53904812,-0.05795488,0.01560931,-0.03232221,0.54437948,-0.68090735
-5.93396698,4.41234893,-1.18586422,2.25774459,-0.67271297,2.02051607,-0.22815343,0.00585234,-0.00428450,1.52271344,-0.05964895,0.01496896,-0.03451046,0.54004047,-0.68892727
-5.92796398,4.35616822,-1.20905743,2.21079475,-0.68485953,2.00871388,-0.23390368,0.00596344,-0.00457315,1.49944588,-0.06193799,0.01427685,-0.03674095,0.53460218,-0.70186179
-5.92196098,4.28327391,-1.24068736,2.15502679,-0.70416844,1.98918312,-0.24106803,0.00604515,-0.00486550,1.46967550,-0.06483067,0.01354229,-0.03897663,0.52806186,-0.71967043
-5.91595798,4.19479998,-1.28047687,2.09133302,-0.73064209,1.96224486,-0.24959146,0.00609568,-0.00515633,1.43393713,-0.06832329,0.01277532,-0.04117910,0.52043221,-0.74219637
-5.90995498,4.09210834,-1.32795273,2.02071429,-0.76412588,1.92833240,-0.25938560,0.00611368,-0.00544037,1.39285358,-0.07239912,0.01198644,-0.04330944,0.51174025,-0.76916812
-5.90395198,3.97674691,-1.38245300,1.94425096,-0.80430657,1.88797689,-0.27033007,0.00609831,-0.00571241,1.34711689,-0.07702803,0.01118628,-0.04532909,0.50202620,-0.80020396
-5.89794897,3.85040506,-1.44313875,1.86307298,-0.85071393,1.84179121,-0.28227463,0.00604928,-0.00596740,1.29746823,-0.08216633,0.01038528,-0.04720077,0.49134255,-0.83481897
-5.89194597,3.71486805,-1.50901010,1.77833034,-0.90272567,1.79045261,-0.29504204,0.00596686,-0.00620059,1.24467732,-0.08775697,0.00959347,-0.04888946,0.47975355,-0.87243461
-5.88594297,3.57197226,-1.57892627,1.69116479,-0.95957606,1.73468485,-0.30843156,0.00585192,-0.00640762,1.18952203,-0.09373003,0.00882020,-0.05036328,0.46733483,-0.91239077
-5.87993997,3.42356265,-1.65162932,1.60268409,-1.02036821,1.67524034,-0.32222317,0.00570587,-0.00658460,1.13276891,-0.10000351,0.00807399,-0.05159441,0.45417358,-0.95395982
-5.87393697,3.27145390,-1.72577118,1.51393931,-1.08409009,1.61288294,-0.33618220,0.00553070,-0.00672823,1.07515534,-0.10648461,0.00736242,-0.05255976,0.44036886,-0.99636281
-5.86793397,3.11739635,-1.79994354,1.42590617,-1.14963429,1.54837194,-0.35006450,0.00532889,-0.00683585,1.01737385,-0.11307122,0.00669202,-0.05324168,0.42603221,-1.03878715
-5.86193097,2.96304747,-1.87270996,1.33947045,-1.21582112,1.48244766,-0.36362194,0.00510336,-0.00690552,0.96005896,-0.11965386,0.00606832,-0.05362840,0.41128846,-1.08040565
-5.85592796,2.80994950,-1.94263962,1.25541798,-1.28142490,1.41581911,-0.37660811,0.00485743,-0.00693600,0.90377702,-0.12611792,0.00549582,-0.05371437,0.39627643,-1.12039639
-5.84992496,2.65951331,-2.00834173,1.17442899,-1.34520259,1.34915384,-0.38878414,0.00459468,-0.00692683,0.84901905,-0.13234618,0.00497810,-0.05350032,0.38114963,-1.15796297
-5.84392196,2.51300860,-2.06849998,1.09707662,-1.40592432,1.28307035,-0.39992454,0.00431889,-0.00687826,0.79619677,-0.13822152,0.00451791,-0.05299327,0.36607663,-1.19235458
