energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,1.57982371,0.00079510,0.71364499,1.20030145,0.44587862,0.01129393,0.09278175
-5.99399700,1.53233797,0.00080051,0.69120726,1.16948077,0.42821320,0.01099284,0.09202423
-5.98799400,1.48593613,0.00080149,0.66953989,1.13983246,0.41101325,0.01070549,0.09116867
-5.98199100,1.44164460,0.00079823,0.64912012,1.11205067,0.39458526,0.01044257,0.09026663
-5.97598799,1.40045783,0.00079100,0.63040408,1.08681168,0.37921883,0.01021417,0.08937440
-5.96998499,1.36331600,0.00078016,0.61381647,1.06475906,0.36518080,0.01002950,0.08855178
-5.96398199,1.33108279,0.00076613,0.59974048,1.04648796,0.35270978,0.00989665,0.08786060
-5.95797899,1.30452375,0.00074941,0.58850807,1.03252939,0.34201092,0.00982232,0.08736319
-5.95197599,1.28428623,0.00073051,0.58039111,1.02333493,0.33325148,0.00981158,0.08712071
-5.94597299,1.27088166,0.00070995,0.57559372,1.01926277,0.32655712,0.00986779,0.08719155
-5.93996998,1.26467115,0.00068824,0.57424615,1.02056574,0.32200906,0.00999239,0.08762990
-5.93396698,1.26585500,0.00066590,0.57640057,1.02738203,0.31964253,0.01018490,0.08848435
-5.92796398,1.27446692,0.00064336,0.58202905,1.03972937,0.31944621,0.01044288,0.08979688
-5.92196098,1.29037340,0.00062102,0.59102392,1.05750291,0.32136311,0.01076200,0.09160209
-5.91595798,1.31327842,0.00059922,0.60320053,1.08047739,0.32529271,0.01113612,0.09392680
-5.90995498,1.34273363,0.00057821,0.61830262,1.10831353,0.33109436,0.01155750,0.09678996
-5.90395198,1.37815369,0.00055819,0.63600999,1.14056857,0.33859191,0.01201698,0.10020296
-5.89794897,1.41883629,0.00053926,0.65594827,1.17671078,0.34757941,0.01250424,0.10417029
-5.89194597,1.46398624,0.00052148,0.67770059,1.21613713,0.35782770,0.01300811,0.10869041
-5.88594297,1.51274248,0.00050484,0.70082059,1.25819366,0.36909161,0.01351690,0.11375691
-5.87993997,1.56420715,0.00048929,0.72484630,1.30219754,0.38111757,0.01401869,0.11935976
-5.87393697,1.61747536,0.00047473,0.74931441,1.34745991,0.39365137,0.01450171,0.12548670
-5.86793397,1.67166456,0.00046105,0.77377431,1.39330846,0.40644566,0.01495468,0.13212452
-5.86193097,1.72594217,0.00044815,0.79780133,1.43910888,0.41926702,0.01536707,0.13926029
-5.85592796,1.77955060,0.00043590,0.82100882,1.48428419,0.43190233,0.01572945,0.14688242
-5.84992496,1.83182834,0.00042422,0.84305847,1.52833117,0.44416414,0.01603366,0.15498140
-5.84392196,1.88222684,0.00041305,0.86366854,1.57083344,0.45589493,0.01627308,0.16355036
-5.83791896,1.93032216,0.00040238,0.88261996,1.61147064,0.46697017,0.01644270,0.17258519
-5.83191596,1.97582160,0.00039221,0.89975985,1.65002361,0.47729997,0.01653928,0.18208448
-5.82591296,2.01856497,0.00038261,0.91500275,1.68637558,0.48682955,0.01656132,0.19204897
-5.81990995,2.05852084,0.00037371,0.92832948,1.72050962,0.49553832,0.01650909,0.20248089
-5.81390695,2.09577827,0.00036564,0.93978385,1.75250267,0.50343789,0.01638451,0.21338293
-5.80790395,2.13053454,0.00035861,0.94946754,1.78251665,0.51056901,0.01619105,0.22475708
-5.80190095,2.16307964,0.00035282,0.95753337,1.81078730,0.51699776,0.01593358,0.23660328
-5.79589795,2.19377824,0.00034852,0.96417736,1.83761128,0.52281092,0.01561816,0.24891808
-5.78989495,2.22305009,0.00034595,0.96962999,1.86333207,0.52811111,0.01525180,0.26169322
-5.78389195,2.25134936,0.00034535,0.97414676,1.88832530,0.53301146,0.01484228,0.27491428
-5.77788894,2.27914386,0.00034694,0.97799864,1.91298388,0.53763032,0.01439786,0.28855941
-5.77188594,2.30689454,0.00035094,0.98146239,1.93770322,0.54208597,0.01392707,0.30259819
-5.76588294,2.33503592,0.00035749,0.98481119,1.96286694,0.54649154,0.01343846,0.31699070
-5.75987994,2.36395763,0.00036672,0.98830554,1.98883311,0.55095026,0.01294041,0.33168670
-5.75387694,2.39398763,0.00037867,0.99218468,2.01592116,0.55555101,0.01244088,0.34662513
-5.74787394,2.42537712,0.00039336,0.99665862,2.04439963,0.56036444,0.01194727,0.36173374
-5.74187094,2.45828754,0.00041071,1.00190085,2.07447473,0.56543954,0.01146629,0.37692906
-5.73586793,2.49277971,0.00043060,1.00804186,2.10628000,0.57080076,0.01100376,0.39211665
-5.72986493,2.52880549,0.00045283,1.01516357,2.13986712,0.57644582,0.01056460,0.40719156
-5.72386193,2.56620209,0.00047715,1.02329486,2.17519831,0.58234420,0.01015270,0.42203921
-5.71785893,2.60468946,0.00050325,1.03240837,2.21214060,0.58843636,0.00977093,0.43653658
-5.71185593,2.64387096,0.00053077,1.04241871,2.25046238,0.59463386,0.00942108,0.45055372
-5.70585293,2.68323769,0.00055932,1.05318242,2.28983279,0.60082037,0.00910392,0.46395566
