energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.78403249,0.36080385,1.28488298,0.08847522,0.03661518,0.03053662,0.75990836,0.37590677,0.20568888
-5.99399700,2.77213009,0.35817199,1.27948379,0.08617777,0.03680076,0.03065311,0.75461912,0.37073849,0.19901509
-5.98799400,2.77163205,0.35698508,1.27966927,0.08414992,0.03717529,0.03087318,0.75221151,0.36661132,0.19314536
-5.98199100,2.78223317,0.35728507,1.28499897,0.08239575,0.03773396,0.03119897,0.75279413,0.36358343,0.18815292
-5.97598799,2.80357809,0.35910385,1.29502285,0.08091580,0.03847109,0.03163291,0.75645482,0.36170728,0.18410195
-5.96998499,2.83526474,0.36246201,1.30928887,0.07970745,0.03938004,0.03217759,0.76325773,0.36102866,0.18104621
-5.96398199,2.87684550,0.36736729,1.32734890,0.07876533,0.04045313,0.03283570,0.77324001,0.36158577,0.17902789
-5.95797899,2.92782586,0.37381287,1.34876298,0.07808170,0.04168151,0.03360983,0.78640844,0.36340842,0.17807636
-5.95197599,2.98766127,0.38177562,1.37310186,0.07764681,0.04305509,0.03450225,0.80273593,0.36651738,0.17820704
-5.94597299,3.05575264,0.39121437,1.39994817,0.07744923,0.04456243,0.03551467,0.82215832,0.37092390,0.17942045
-5.93996998,3.13144131,0.40206840,1.42889633,0.07747607,0.04619070,0.03664794,0.84457153,0.37662946,0.18170134
-5.93396698,3.21400438,0.41425636,1.45955170,0.07771316,0.04792571,0.03790171,0.86982955,0.38362586,0.18501821
-5.92796398,3.30265129,0.42767568,1.49152918,0.07814521,0.04975196,0.03927423,0.89774334,0.39189550,0.18932296
-5.92196098,3.39652260,0.44220276,1.52445182,0.07875585,0.05165285,0.04076197,0.92808098,0.40141218,0.19455108
-5.91595798,3.49469162,0.45769398,1.55794961,0.07952763,0.05361093,0.04235948,0.96056921,0.41214205,0.20062210
-5.90995498,3.59616957,0.47398757,1.59165890,0.08044208,0.05560823,0.04405915,0.99489645,0.42404504,0.20744059
-5.90395198,3.69991452,0.49090654,1.62522254,0.08147962,0.05762676,0.04585115,1.03071741,0.43707642,0.21489759
-5.89794897,3.80484417,0.50826241,1.65829104,0.08261961,0.05964900,0.04772339,1.06765914,0.45118866,0.22287243
