energy_ev,total_up,Ga_p_up,Ga_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,4.32243910,1.10009202,0.00000000,1.80250895,2.99916110,0.00412797,0.52034105
-5.99399700,4.51818469,1.16635113,0.00000000,1.87311968,3.14605552,0.00437259,0.52066895
-5.98799400,4.70890116,1.23136540,0.00000000,1.94169099,3.28948184,0.00462166,0.52051058
-5.98199100,4.89237981,1.29429440,0.00000000,2.00738206,3.42784096,0.00487423,0.51988045
-5.97598799,5.06641951,1.35430303,0.00000000,2.06932210,3.55956098,0.00512944,0.51876582
-5.96998499,5.22889097,1.41058423,0.00000000,2.12663498,3.68314353,0.00538658,0.51712802
-5.96398199,5.37780161,1.46238142,0.00000000,2.17846586,3.79720915,0.00564507,0.51490549
-5.95797899,5.51135792,1.50901011,0.00000000,2.22400887,3.90053972,0.00590450,0.51201854
-5.95197599,5.62802255,1.54987753,0.00000000,2.26253433,3.99211581,0.00616456,0.50837518
-5.94597299,5.72656315,1.58449963,0.00000000,2.29341437,4.07114710,0.00642508,0.50387784
-5.93996998,5.80609083,1.61251472,0.00000000,2.31614566,4.13709468,0.00668592,0.49843053
-5.93396698,5.86608647,1.63369317,0.00000000,2.33036819,4.18968404,0.00694699,0.49194594
-5.92796398,5.90641375,1.64794282,0.00000000,2.33587915,4.22890839,0.00720813,0.48435211
-5.92196098,5.92731868,1.65530979,0.00000000,2.33264138,4.25502254,0.00746914,0.47559833
-5.91595798,5.92941584,1.65597497,0.00000000,2.32078588,4.26852768,0.00772965,0.46566000
-5.90995498,5.91366238,1.65024608,0.00000000,2.30060851,4.27014827,0.00798915,0.45454211
-5.90395198,5.88132150,1.63854595,0.00000000,2.27256099,4.26080245,0.00824693,0.44228135
-5.89794897,5.83391728,1.62139748,0.00000000,2.23723676,4.24156741,0.00850205,0.42894671
-5.89194597,5.77318324,1.59940605,0.00000000,2.19535251,4.21364181,0.00875341,0.41463865
-5.88594297,5.70100725,1.57324003,0.00000000,2.14772620,4.17830678,0.00899970,0.39948686
-5.87993997,5.61937496,1.54361039,0.00000000,2.09525270,4.13688728,0.00923949,0.38364688
-5.87393697,5.53031437,1.51125014,0.00000000,2.03887822,4.09071539,0.00947125,0.36729572
-5.86793397,5.43584325,1.47689439,0.00000000,1.97957441,4.04109662,0.00969346,0.35062667
-5.86193097,5.33792125,1.44126179,0.00000000,1.91831337,3.98928024,0.00990464,0.33384375
-5.85592796,5.23840781,1.40503783,0.00000000,1.85604442,3.93643423,0.01010342,0.31715571
-5.84992496,5.13902686,1.36886068,0.00000000,1.79367332,3.88362504,0.01028867,0.30077024
-5.84392196,5.04133847,1.33330963,0.00000000,1.73204461,3.83180226,0.01045949,0.28488820
-5.83791896,4.94671778,1.29889654,0.00000000,1.67192749,3.78178801,0.01061529,0.26969837
-5.83191596,4.85634090,1.26606025,0.00000000,1.61400532,3.73427059,0.01075581,0.25537275
-5.82591296,4.77117731,1.23516393,0.00000000,1.55886899,3.68980214,0.01088113,0.24206248
-5.81990995,4.69198847,1.20649511,0.00000000,1.50701388,3.64879973,0.01099168,0.22989459
-5.81390695,4.61933191,1.18026833,0.00000000,1.45884033,3.61154965,0.01108815,0.21896960
-5.80790395,4.55357031,1.15662987,0.00000000,1.41465717,3.57821439,0.01117149,0.20935994
-5.80190095,4.49488512,1.13566441,0.00000000,1.37468796,3.54884224,0.01124283,0.20110928
-5.79589795,4.44329417,1.11740320,0.00000000,1.33907951,3.52337933,0.01130342,0.19423269
-5.78989495,4.39867291,1.10183326,0.00000000,1.30791213,3.50168384,0.01135450,0.18871766
-5.78389195,4.36077880,1.08890740,0.00000000,1.28121112,3.48354247,0.01139730,0.18452580
