energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,6.48726694,0.03036964,0.46651001,0.80305156,0.19293234,2.08803715,1.82820072,0.14406498,2.51648595
-5.99399700,6.56223908,0.03157011,0.46740442,0.81112020,0.19584416,2.11953650,1.86165059,0.14513040,2.53782738
-5.98799400,6.63373434,0.03270793,0.46885402,0.81975995,0.19849549,2.15993768,1.89434541,0.14569859,2.55607742
-5.98199100,6.70095823,0.03378138,0.47083951,0.82894365,0.20087432,2.20960352,1.92601809,0.14573410,2.57090447
-5.97598799,6.76353718,0.03479174,0.47337755,0.83864543,0.20298978,2.26890024,1.95651987,0.14522042,2.58214020
-5.96998499,6.82155128,0.03574324,0.47652325,0.84884358,0.20487340,2.33819938,1.98582985,0.14416032,2.58979277
-5.96398199,6.87554356,0.03664292,0.48037056,0.85952227,0.20657941,2.41787430,2.01405799,0.14257549,2.59405121
-5.95797899,6.92650447,0.03750030,0.48505042,0.87067211,0.20818389,2.50829045,2.04144104,0.14050534,2.59528094
-5.95197599,6.97583146,0.03832700,0.49072650,0.88228918,0.20978286,2.60978921,2.06833156,0.13800526,2.59401006
-5.94597299,7.02526500,0.03913610,0.49758886,0.89437278,0.21148930,2.72266553,2.09518011,0.13514424,2.59090722
-5.93996998,7.07680352,0.03994156,0.50584546,0.90692193,0.21342922,2.84713972,2.12251156,0.13200199,2.58675167
-5.93396698,7.13260082,0.04075744,0.51571191,0.91993077,0.21573691,2.98332446,2.15089634,0.12866580,2.58239717
-5.92796398,7.19485053,0.04159719,0.52739992,0.93338325,0.21854948,3.13118841,2.18091798,0.12522710,2.57873113
-5.92196098,7.26566305,0.04247284,0.54110474,0.94724743,0.22200103,3.29051806,2.21313846,0.12177805,2.57663108
-5.91595798,7.34694060,0.04339429,0.55699233,0.96146984,0.22621663,3.46087983,2.24806293,0.11840812,2.57692041
-5.90995498,7.44025641,0.04436865,0.57518668,0.97597015,0.23130633,3.64158461,2.28610563,0.11520093,2.58032559
-5.90395198,7.54674400,0.04539969,0.59575801,0.99063687,0.23735946,3.83165706,2.32755844,0.11223141,2.58743684
-5.89794897,7.66700187,0.04648738,0.61871226,1.00532413,0.24443960,4.02981182,2.37256386,0.10956342,2.59867413
-5.89194597,7.80101854,0.04762763,0.64398269,1.01985007,0.25258018,4.23443883,2.42109351,0.10724781,2.61426019
-5.88594297,7.94812182,0.04881220,0.67142382,1.03399703,0.26178122,4.44359958,2.47293346,0.10532109,2.63420178
-5.87993997,8.10695510,0.05002870,0.70080823,1.04751366,0.27200710,4.65503564,2.52767704,0.10380471,2.65828014
-5.87393697,8.27548240,0.05126090,0.73182654,1.06011895,0.28318561,4.86619067,2.58472565,0.10270490,2.68605110
-5.86793397,8.45102243,0.05248911,0.76409059,1.07150827,0.29520840,5.07424601,2.64329758,0.10201311,2.71685494
-5.86193097,8.63031077,0.05369075,0.79714003,1.08136102,0.30793266,5.27616987,2.70244474,0.10170695,2.74983553
-5.85592796,8.80958793,0.05484103,0.83045194,1.08934983,0.32118414,5.46877908,2.76107658,0.10175166,2.78396796
-5.84992496,8.98471004,0.05591380,0.86345342,1.09515082,0.33476148,5.64881187,2.81799027,0.10210191,2.81809361
-5.84392196,9.15127766,0.05688241,0.89553661,1.09845447,0.34844143,5.81300950,2.87190613,0.10270394,2.85096093
-5.83791896,9.30477785,0.05772060,0.92607563,1.09897683,0.36198518,5.95820401,2.92150685,0.10349790,2.88127043
-5.83191596,9.44073353,0.05840347,0.95444477,1.09647025,0.37514526,6.08140891,2.96547897,0.10442027,2.90772196
-5.82591296,9.55485438,0.05890832,0.98003726,1.09073350,0.38767290,6.17990928,3.00255515,0.10540637,2.92906212
-5.81990995,9.64318316,0.05921548,1.00228384,1.08162054,0.39932566,6.25134774,3.03155543,0.10639266,2.94413026
-5.81390695,9.70223165,0.05930900,1.02067046,1.06904770,0.40987485,6.29380256,3.05142623,0.10731896,2.95190081
-5.80790395,9.72910104,0.05917721,1.03475421,1.05299889,0.41911273,6.30585464,3.06127537,0.10813042,2.95152064
-5.80190095,9.72158201,0.05881314,1.04417710,1.03352863,0.42685901,6.28664026,3.06040205,0.10877917,2.94233985
-5.79589795,9.67823103,0.05821475,1.04867689,1.01076275,0.43296647,6.23588712,3.04832072,0.10922560,2.92393499
-5.78989495,9.59842010,0.05738496,1.04809475,0.98489669,0.43732554,6.15393202,3.02477801,0.10943934,2.89612388
-5.78389195,9.48235855,0.05633157,1.04237938,0.95619160,0.43986762,6.04171902,2.98976222,0.10939982,2.85897181
-5.77788894,9.33108652,0.05506697,1.03158753,0.92496828,0.44056702,5.90077795,2.94350535,0.10909643,2.81278883
-5.77188594,9.14644113,0.05360768,1.01588094,0.89159934,0.43944138,5.73318413,2.88647741,0.10852838,2.75811879
-5.76588294,8.93099710,0.05197378,0.99551991,0.85649980,0.43655066,5.54150060,2.81937377,0.10770423,2.69572054
-5.75987994,8.68798483,0.05018832,0.97085387,0.82011664,0.43199470,5.32870531,2.74309586,0.10664107,2.62654236
-5.75387694,8.42118966,0.04827651,0.94230943,0.78291756,0.42590939,5.09810611,2.65872631,0.10536358,2.55169078
-5.74787394,8.13483654,0.04626502,0.91037634,0.74537954,0.41846163,4.85324695,2.56749928,0.10390278,2.47239509
-5.74187094,7.83346470,0.04418123,0.87559214,0.70797746,0.40984337,4.59780905,2.47076743,0.10229474,2.38996905
-5.73586793,7.52179739,0.04205243,0.83852600,0.67117321,0.40026481,4.33551080,2.36996651,0.10057916,2.30577119
-5.72986493,7.20461114,0.03990525,0.79976250,0.63540569,0.38994717,4.07001029,2.26657886,0.09879790,2.22116521
-5.72386193,6.88660924,0.03776497,0.75988579,0.60108181,0.37911525,3.80481382,2.16209715,0.09699360,2.13748178
-5.71785893,6.57230350,0.03565507,0.71946486,0.56856882,0.36799008,3.54319376,2.05798927,0.09520823,2.05598302
-5.71185593,6.26590761,0.03359679,0.67904022,0.53818815,0.35678199,3.28811819,1.95566557,0.09348178,1.97783063
-5.70585293,5.97124524,0.03160887,0.63911247,0.51021059,0.34568432,3.04219441,1.85644914,0.09185109,1.90405864
-5.69984992,5.69167462,0.02970731,0.60013298,0.48485317,0.33486801,2.80762749,1.76154997,0.09034872,1.83555120
-5.69384692,5.43003134,0.02790529,0.56249682,0.46227734,0.32447733,2.58619466,1.67204339,0.08900206,1.77302609
-5.68784392,5.18858964,0.02621314,0.52653811,0.44258861,0.31462677,2.37923522,1.58885312,0.08783254,1.71702388
-5.68184092,4.96904248,0.02463843,0.49252768,0.42583746,0.30539928,2.18765535,1.51273920,0.08685506,1.66790296
-5.67583792,4.77249951,0.02318603,0.46067297,0.41202126,0.29684590,2.01194655,1.44429062,0.08607757,1.62584006
-5.66983492,4.59950182,0.02185834,0.43112003,0.40108720,0.28898656,1.85221582,1.38392271,0.08550089,1.59083603
-5.66383192,4.45005197,0.02065548,0.40395733,0.39293601,0.28181228,1.70822567,1.33187892,0.08511869,1.56272633
-5.65782891,4.32365726,0.01957549,0.37922118,0.38742627,0.27528826,1.57944143,1.28823669,0.08491768,1.54119574
-5.65182591,4.21938409,0.01861460,0.35690244,0.38437924,0.26935799,1.46508368,1.25291705,0.08487800,1.52579647
